region_id,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA6000,5227,4010,9237,148,159,307,145,125,270,146,122,268,583,604,1187,1866,1503,3369,866,536,1402,629,375,1004,494,313,807,223,141,364,96,86,182,31,46,77,4845,3810,8655,383,200,583,35,27,62,0,0,0,0,4,4,35,31,66,1886,1494,3380,2516,2035,4551,2993,2233,5226,1420,1307,2727,2802,2187,4989,18,16,34,116,98,214,89,73,162,170,221,391,358,362,720,3126,2521,5647,294,182,476,416,308,724,95,63,158,108,104,212,35,40,75,3796,3269,7065,3471,1983,5454
POA6003,1613,1340,2953,46,42,88,68,57,125,41,36,77,213,171,384,560,514,1074,279,157,436,165,151,316,140,123,263,68,45,113,26,32,58,7,13,20,1489,1261,2750,124,78,202,14,10,24,4,0,4,0,0,0,18,10,28,653,510,1163,751,682,1433,961,731,1692,443,461,904,941,794,1735,3,7,10,49,50,99,24,28,52,75,69,144,159,142,301,965,843,1808,104,74,178,152,92,244,33,20,53,32,45,77,7,14,21,1297,1149,2446,315,195,510
POA6004,4474,3710,8184,161,113,274,116,87,203,152,128,280,469,511,980,1477,1270,2747,681,439,1120,525,412,937,493,446,939,270,193,463,103,72,175,29,38,67,4152,3532,7684,321,177,498,23,32,55,0,0,0,0,0,0,23,32,55,1479,1199,2678,2225,1959,4184,2374,1925,4299,1339,1240,2579,2300,1901,4201,16,11,27,88,61,149,94,75,169,162,202,364,327,320,647,2689,2324,5013,231,174,405,347,317,664,57,52,109,57,54,111,25,17,42,3436,3040,6476,1903,1147,3050
POA6005,2777,2391,5168,75,75,150,82,77,159,71,65,136,273,300,573,991,841,1832,414,287,701,302,268,570,288,209,497,161,111,272,81,97,178,38,61,99,2609,2288,4897,169,103,272,11,6,17,0,0,0,0,0,0,11,6,17,1092,926,2018,1247,1114,2361,1688,1367,3055,655,688,1343,1581,1338,2919,8,14,22,60,58,118,34,35,69,95,97,192,194,189,383,1711,1448,3159,128,102,230,214,210,424,38,30,68,51,50,101,14,28,42,2192,1951,4143,804,637,1441
POA6006,4219,4325,8544,298,272,570,414,401,815,165,166,331,342,340,682,780,824,1604,715,714,1429,596,561,1157,407,374,781,236,280,516,201,256,457,65,137,202,3994,4143,8137,223,184,407,13,17,30,3,0,3,0,0,0,16,17,33,2542,2663,5205,1360,1429,2789,3004,3064,6068,917,1041,1958,3429,3633,7062,61,52,113,375,367,742,119,130,249,118,156,274,175,232,407,2188,2279,4467,220,192,412,451,415,866,65,65,130,185,259,444,40,59,99,3751,3912,7663,346,353,699
POA6007,3292,3455,6747,198,204,402,220,238,458,140,111,251,275,280,555,875,810,1685,535,544,1079,396,387,783,352,370,722,163,200,363,97,173,270,40,138,178,3077,3302,6379,216,152,368,8,11,19,0,0,0,0,0,0,8,11,19,1826,1978,3804,1150,1206,2356,2461,2559,5020,535,636,1171,2433,2683,5116,25,44,69,192,218,410,100,84,184,98,119,217,193,210,403,2033,2040,4073,158,140,298,266,346,612,45,66,111,58,97,155,17,24,41,2870,2984,5854,475,645,1120
POA6008,6761,7097,13858,382,381,763,679,642,1321,317,333,650,490,520,1010,1215,1238,2453,955,1048,2003,951,994,1945,930,947,1877,553,552,1105,214,277,491,76,165,241,6359,6775,13134,402,323,725,33,35,68,3,3,6,0,0,0,36,38,74,3978,4161,8139,2306,2462,4768,5422,5569,10991,884,1082,1966,5241,5509,10750,64,80,144,615,590,1205,249,266,515,242,262,504,320,451,771,4186,4356,8542,272,339,611,507,625,1132,103,101,204,109,105,214,10,17,27,5975,6376,12351,951,983,1934
POA6009,8075,8496,16571,373,393,766,1096,1074,2170,643,589,1232,919,829,1748,969,882,1851,861,990,1851,1045,1208,2253,1000,1095,2095,695,707,1402,329,396,725,145,333,478,7671,8202,15873,405,293,698,15,19,34,0,0,0,0,0,0,15,19,34,4618,4873,9491,3081,3252,6333,6140,6437,12577,1586,1704,3290,6323,6669,12992,94,109,203,1038,997,2035,566,524,1090,653,571,1224,513,503,1016,5319,5428,10747,293,379,672,450,616,1066,114,130,244,46,81,127,3,9,12,7502,7942,15444,720,838,1558
POA6010,7489,7992,15481,413,367,780,1019,917,1936,702,523,1225,585,569,1154,752,769,1521,811,935,1746,1022,1189,2211,954,1036,1990,700,741,1441,382,558,940,149,389,538,7034,7615,14649,456,376,832,35,9,44,3,0,3,3,0,3,41,9,50,4725,5233,9958,2204,2384,4588,6224,6817,13041,703,826,1529,6048,6722,12770,105,97,202,899,863,1762,545,454,999,306,314,620,197,343,540,4295,4802,9097,344,414,758,614,777,1391,150,185,335,80,86,166,9,4,13,6567,7393,13960,884,539,1423
POA6011,4297,4628,8925,214,200,414,570,596,1166,270,331,601,326,309,635,588,544,1132,456,580,1036,634,653,1287,609,665,1274,378,364,742,183,223,406,70,162,232,4004,4386,8390,293,242,535,4,11,15,0,0,0,0,0,0,4,11,15,2894,3110,6004,995,1087,2082,3663,3888,7551,249,326,575,3470,3754,7224,55,43,98,510,533,1043,219,282,501,157,179,336,121,206,327,2618,2691,5309,162,283,445,269,336,605,65,76,141,25,43,68,0,0,0,3749,4066,7815,463,557,1020
