region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
POA6000,31,2472,948,400,2214,1.2,1750,1.9
POA6003,31,2167,802,350,1945,1.2,1385,1.9
POA6004,32,2400,994,430,2399,1.2,1814,1.9
POA6005,32,2350,1007,380,2419,1.1,1699,1.7
POA6006,36,2400,846,360,2376,1.1,1736,2.3
POA6007,35,2167,979,380,2604,1.1,1927,2.2
POA6008,38,2383,972,380,2700,1.1,1889,2.2
POA6009,38,3000,779,410,2748,1.1,2217,2.7
POA6010,41,2600,808,375,2632,1.0,1843,2.4
POA6011,40,3000,1037,453,2823,1.1,2519,2.5
POA6012,38,2582,748,283,2555,1.1,1497,2.3
POA6014,37,2300,868,300,2583,1.1,1759,2.5
POA6015,44,3033,874,650,2818,1.0,2576,2.8
POA6016,34,2167,774,310,2200,1.1,1579,2.4
POA6017,32,1733,706,275,1406,1.2,1102,1.9
POA6018,38,2225,760,340,2182,1.0,1669,2.5
POA6019,35,2221,884,350,2198,1.1,1627,2.2
POA6020,42,2167,777,350,2391,1.0,1908,2.6
POA6021,38,2100,638,320,1724,1.0,1354,2.5
POA6022,39,1800,687,350,1735,1.0,1489,2.5
POA6023,40,2000,761,400,2237,1.0,1960,2.8
POA6024,39,1900,686,350,1811,1.0,1563,2.6
POA6025,38,2000,737,360,1972,1.0,1700,2.7
POA6026,41,1898,699,380,2107,1.0,1820,2.8
POA6027,36,2000,698,360,1908,1.0,1676,2.7
POA6028,35,2167,728,395,2218,1.0,2079,3.1
POA6029,40,2167,867,400,2460,1.0,2094,2.7
POA6030,32,2100,651,350,1666,1.0,1491,2.9
POA6031,28,2300,762,375,1837,1.0,1757,3.1
POA6032,40,2383,569,220,1799,1.1,1042,3.0
POA6033,32,2383,642,240,1714,1.1,1510,3.1
POA6035,38,2100,597,320,1458,1.0,1245,2.6
POA6036,28,2340,752,360,1803,1.1,1718,3.1
POA6037,40,1733,490,260,1257,1.0,966,2.5
POA6041,47,1800,378,260,996,1.1,859,2.5
POA6042,59,2167,412,240,1583,1.0,919,2.2
POA6043,49,1700,355,270,833,1.0,687,2.1
POA6044,45,1142,554,152,991,1.1,869,2.3
POA6050,37,2300,797,320,2467,1.1,1715,2.3
POA6051,34,1950,793,270,1782,1.1,1221,2.0
POA6052,37,2123,738,300,2083,1.1,1489,2.4
POA6053,38,2004,717,300,1888,1.1,1413,2.3
POA6054,37,1733,621,290,1491,1.1,1214,2.4
POA6055,37,2000,680,300,1797,1.1,1533,2.7
POA6056,38,1733,610,300,1530,1.1,1228,2.5
POA6057,35,1950,710,330,1750,1.0,1552,2.7
POA6058,37,1842,646,320,1557,1.1,1304,2.5
POA6059,40,2000,618,300,1699,1.1,1290,2.5
POA6060,36,1950,712,300,1592,1.1,1199,2.0
POA6061,31,1733,515,300,1181,1.1,1042,2.5
POA6062,39,1880,583,325,1462,1.1,1266,2.6
POA6063,32,1733,606,310,1489,1.1,1386,3.0
POA6064,34,1560,520,300,1308,1.1,1173,2.8
POA6065,32,2200,732,390,1908,1.0,1728,2.9
POA6066,34,1733,616,350,1640,1.1,1495,3.1
POA6067,28,3033,270,100,350,1.2,350,2.4
POA6068,30,0,0,73,0,1.0,1375,1.0
POA6069,30,2383,785,370,1890,1.0,1774,3.0
POA6070,43,2000,743,395,2210,1.0,1923,2.7
POA6071,42,1950,660,330,1927,1.0,1734,2.8
POA6072,45,1750,678,360,1904,1.1,1859,2.8
POA6073,46,1625,577,260,1726,1.0,1312,2.5
POA6074,44,2111,613,275,1764,1.1,1446,2.7
POA6076,43,2000,652,300,1902,1.0,1571,2.7
POA6077,47,2167,586,240,1530,1.1,1365,2.8
POA6078,42,2000,635,300,1937,1.1,1852,3.2
POA6079,50,0,900,0,0,1.0,1125,2.0
POA6081,39,1900,706,350,1984,1.0,1818,2.9
POA6082,40,2000,653,310,1698,1.1,1585,2.9
POA6083,43,2000,676,200,1978,1.1,1734,2.8
POA6084,39,2105,649,285,1714,1.1,1525,2.9
POA6090,48,0,1066,0,0,1.0,1633,1.0
POA6100,33,2167,801,330,1944,1.1,1514,2.2
POA6101,33,2167,706,310,1828,1.1,1385,2.3
POA6102,30,2000,396,270,1204,1.1,875,2.3
POA6103,33,2080,696,290,1722,1.1,1293,2.2
POA6104,36,2000,705,300,1700,1.1,1357,2.4
POA6105,36,1944,596,315,1386,1.1,1168,2.5
POA6106,57,0,875,0,1125,1.0,4500,3.0
POA6107,31,1900,597,320,1483,1.1,1300,2.7
POA6108,36,1700,616,320,1589,1.1,1411,2.8
POA6109,35,1600,543,280,1266,1.1,1093,2.6
POA6110,33,1800,618,300,1514,1.1,1285,2.7
POA6111,38,1733,604,280,1529,1.1,1284,2.6
POA6112,32,1950,630,290,1533,1.1,1321,2.7
POA6121,39,2318,681,345,1935,1.1,1894,3.2
POA6122,32,2167,714,350,1811,1.1,1724,3.0
POA6123,35,1950,567,300,1517,1.1,1477,3.0
POA6124,40,1733,631,250,1715,1.0,1437,2.7
POA6125,41,2080,574,200,1503,1.1,1340,2.8
POA6126,43,1700,464,200,1452,1.0,1281,2.4
POA6147,34,1625,588,300,1431,1.1,1235,2.6
POA6148,40,1950,629,340,1817,1.1,1454,2.6
POA6149,41,1950,690,388,2230,1.0,1884,2.8
POA6150,38,2000,559,410,2182,1.0,1783,3.0
POA6151,37,2383,910,350,2528,1.1,1842,2.2
POA6152,35,2145,699,320,2075,1.1,1452,2.3
POA6153,41,2466,816,380,2418,1.0,1832,2.5
POA6154,41,2167,682,350,2027,1.0,1440,2.5
POA6155,34,2058,706,400,2049,1.0,1917,3.1
POA6156,38,2167,694,310,2047,1.1,1486,2.5
POA6157,41,2167,773,320,2051,1.0,1412,2.2
POA6158,42,2275,858,360,2532,1.1,1838,2.5
POA6159,43,2600,974,370,2491,1.1,1861,2.1
POA6160,41,2250,773,320,2148,1.1,1397,2.0
POA6161,33,0,807,0,1687,1.1,1312,1.9
POA6162,41,2200,622,300,1781,1.1,1195,2.3
POA6163,39,1800,576,300,1535,1.1,1195,2.5
POA6164,31,2167,790,370,1989,1.0,1850,2.9
POA6165,40,2069,538,260,900,1.1,1125,2.7
POA6166,41,2000,636,350,1831,1.0,1550,2.7
POA6167,32,1733,582,255,1387,1.1,1172,2.6
POA6168,41,1697,519,250,1260,1.1,945,2.2
POA6169,37,1733,569,280,1494,1.0,1257,2.6
POA6170,29,2055,701,300,1690,1.1,1589,3.0
