region_id,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA6000,565,1360,3156,1302,931,756,342,168,77,8657,0,7,10,3,0,6,0,3,0,29,0,31,121,193,198,124,49,13,0,729,5,14,148,171,179,100,44,9,0,670,0,19,74,107,126,76,30,4,0,436,0,4,40,46,73,35,3,6,0,207,40,192,296,247,251,202,140,112,86,1566,0,3,12,8,22,11,4,3,0,63,0,0,18,10,10,3,3,0,0,44,6,8,34,14,32,14,4,0,0,112,0,0,3,0,0,0,0,0,0,3,51,271,746,796,891,565,277,147,86,3830,51,278,756,799,891,571,277,150,86,3859,616,1638,3912,2101,1822,1327,619,318,163,12516
POA6003,204,437,975,410,295,247,105,57,19,2749,0,0,0,0,0,0,0,0,3,3,0,0,11,3,0,3,3,0,0,20,0,0,5,3,3,8,0,0,0,19,0,3,5,3,6,3,0,0,0,20,0,0,0,6,0,0,0,0,0,6,6,36,31,25,11,14,8,0,0,131,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,39,52,43,20,31,11,0,0,205,9,39,52,43,20,31,11,0,3,208,213,476,1027,453,315,278,116,57,22,2957
POA6004,460,1188,2589,1041,876,873,423,167,64,7681,0,6,10,3,5,3,3,0,0,30,4,21,98,95,129,60,30,9,0,446,3,33,91,103,113,56,20,11,0,430,3,12,49,48,88,41,15,0,0,256,3,5,19,23,19,37,7,3,3,119,17,89,120,91,95,44,11,3,0,470,0,0,0,11,9,17,7,0,0,44,0,0,3,0,3,0,0,0,0,6,3,3,12,7,9,9,0,0,0,43,0,0,0,0,0,0,0,0,0,0,33,163,392,378,465,264,90,26,3,1814,33,169,402,381,470,267,93,26,3,1844,493,1357,2991,1422,1346,1140,516,193,67,9525
POA6005,296,668,1727,662,542,468,261,177,96,4897,0,3,3,0,0,5,0,0,0,11,3,5,25,19,14,32,11,4,0,113,5,3,10,11,15,31,9,5,0,89,3,9,4,5,10,13,4,5,0,53,0,0,5,5,3,0,3,0,0,16,33,68,115,57,58,45,16,3,0,395,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,44,85,159,101,103,125,43,17,0,677,44,88,162,101,103,130,43,17,0,688,340,756,1889,763,645,598,304,194,96,5585
POA6006,1371,953,1484,1360,1099,738,495,440,196,8136,0,0,0,5,0,0,0,0,0,5,0,3,0,0,3,3,3,0,0,12,0,0,3,0,0,3,0,0,0,6,3,3,3,0,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,20,49,43,20,21,18,8,0,0,179,0,3,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58,49,20,27,27,14,3,0,221,23,58,49,25,27,27,14,3,0,226,1394,1011,1533,1385,1126,765,509,443,196,8362
POA6007,848,749,1557,1038,732,682,343,262,168,6379,3,4,3,3,4,4,0,0,0,21,0,0,3,0,0,3,0,0,0,6,0,3,0,0,0,0,0,0,3,6,0,0,3,0,0,0,3,0,0,6,0,0,0,0,0,0,4,0,0,4,49,42,80,55,57,72,81,67,47,550,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,45,86,58,57,75,88,67,50,575,52,49,89,61,61,79,88,67,50,596,900,798,1646,1099,793,761,431,329,218,6975
POA6008,2042,1577,2267,1900,1844,1742,1049,476,237,13134,3,0,6,5,3,4,3,0,0,24,4,6,9,10,4,3,0,0,0,36,6,3,19,6,5,6,4,5,0,54,0,3,8,3,12,3,4,0,0,33,0,0,3,0,4,3,4,0,0,14,280,136,164,118,82,85,59,37,15,976,0,0,3,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,293,148,206,140,110,100,74,42,15,1128,296,148,212,145,113,104,77,42,15,1152,2338,1725,2479,2045,1957,1846,1126,518,252,14286
POA6009,2894,2846,1744,1779,2156,1990,1306,697,461,15873,4,11,0,4,0,0,0,4,0,23,8,4,6,4,4,7,4,3,0,40,0,0,0,4,3,7,5,3,0,22,3,0,3,0,3,8,0,0,0,17,0,3,3,3,0,0,0,3,4,16,23,107,84,69,101,152,157,145,162,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,6,0,0,0,0,3,0,0,0,0,3,34,117,96,80,114,180,166,154,166,1107,38,128,96,84,114,180,166,158,166,1130,2932,2974,1840,1863,2270,2170,1472,855,627,17003
POA6010,2661,2256,1390,1646,2111,1879,1296,894,518,14651,3,3,4,3,3,0,4,0,5,25,0,3,8,3,0,4,4,3,0,25,3,3,3,3,6,0,0,4,0,22,3,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,98,144,117,70,77,74,42,12,4,638,0,0,0,0,0,3,3,3,0,9,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,104,150,128,79,86,86,49,22,4,708,107,153,132,82,89,86,53,22,9,733,2768,2409,1522,1728,2200,1965,1349,916,527,15384
POA6011,1545,1151,1033,981,1228,1175,672,382,225,8392,0,8,0,0,3,0,5,0,0,16,3,3,9,11,3,3,3,3,0,38,0,3,8,4,7,9,7,3,4,45,0,4,5,5,3,5,0,0,0,22,0,0,0,3,3,0,0,0,0,6,52,66,67,31,28,21,12,15,0,292,0,0,4,3,0,6,0,3,0,16,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,55,76,93,57,44,50,22,24,4,425,55,84,93,57,47,50,27,24,4,441,1600,1235,1126,1038,1275,1225,699,406,229,8833
POA6012,1449,1224,1066,1042,1132,978,679,382,209,8161,7,0,3,4,0,0,0,0,0,14,0,0,0,5,4,0,9,0,0,18,0,0,0,0,4,3,0,0,0,7,0,0,0,3,0,3,0,0,0,6,0,0,3,0,0,0,0,0,0,3,30,63,33,25,22,12,8,14,5,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,30,63,36,33,30,18,21,14,5,250,37,63,39,37,30,18,21,14,5,264,1486,1287,1105,1079,1162,996,700,396,214,8425
POA6014,3754,2385,2460,2755,2539,1777,1032,900,521,18123,0,5,3,0,3,4,3,0,4,22,0,0,5,4,0,4,6,0,0,19,3,5,3,3,3,3,4,0,0,24,0,0,5,0,4,0,5,0,0,14,0,0,0,0,3,3,3,5,0,14,31,76,77,34,31,39,27,8,10,333,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,3,0,0,12,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37,81,90,44,44,52,48,13,10,419,37,86,93,44,47,56,51,13,14,441,3791,2471,2553,2799,2586,1833,1083,913,535,18564
POA6015,1250,927,233,696,1055,670,605,474,179,6089,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,0,0,10,0,0,0,0,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,23,18,13,6,9,8,3,0,93,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,23,22,16,12,9,11,3,0,118,22,23,22,16,12,9,11,3,0,118,1272,950,255,712,1067,679,616,477,179,6207
POA6016,1794,1104,1751,1675,1190,759,373,340,176,9162,0,4,0,0,3,0,0,0,0,7,0,0,3,3,0,0,3,3,0,12,0,0,3,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,9,18,40,44,24,15,17,18,3,4,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,53,27,19,23,21,6,4,214,21,44,53,27,22,23,21,6,4,221,1815,1148,1804,1702,1212,782,394,346,180,9383
POA6017,456,526,1176,551,385,361,182,170,59,3866,0,3,3,3,4,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,35,9,10,13,0,3,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,24,35,12,10,13,4,3,0,109,8,27,38,15,14,13,4,6,0,125,464,553,1214,566,399,374,186,176,59,3991
POA6018,6227,4002,4728,5102,4179,3353,2497,1847,951,32886,6,0,5,6,0,4,4,3,4,32,7,0,13,7,5,6,14,0,0,52,3,5,7,4,8,13,8,3,0,51,9,3,4,3,0,4,6,0,0,29,0,0,5,0,0,3,0,0,0,8,82,141,140,94,72,77,42,21,5,674,3,3,3,0,3,3,3,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,5,5,0,17,0,0,0,0,0,0,0,0,0,0,107,152,172,112,88,106,78,29,5,849,113,152,177,118,88,110,82,32,9,881,6340,4154,4905,5220,4267,3463,2579,1879,960,33767
POA6019,2891,2597,3833,2922,2377,1886,1306,841,301,18954,6,3,7,4,0,0,0,0,0,20,3,12,28,46,42,24,6,0,0,161,0,6,33,31,59,38,6,3,0,176,3,15,20,21,32,22,0,0,0,113,0,7,0,21,6,8,0,0,0,42,54,125,153,95,83,67,42,16,10,645,0,0,0,0,3,0,0,3,0,6,0,0,0,3,3,0,3,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,60,165,234,217,234,159,57,22,10,1158,66,168,241,221,234,159,57,22,10,1178,2957,2765,4074,3143,2611,2045,1363,863,311,20132
POA6020,3508,2617,1607,2494,3001,3254,1712,732,311,19236,0,3,4,0,0,5,4,0,0,16,3,3,5,9,5,12,3,0,0,40,3,3,3,5,0,5,4,0,4,27,3,0,3,9,6,3,3,0,0,27,0,0,0,0,0,4,0,0,0,4,65,94,82,49,33,53,22,12,4,414,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,74,100,97,72,44,80,32,12,8,519,74,103,101,72,44,85,36,12,8,535,3582,2720,1708,2566,3045,3339,1748,744,319,19771
POA6021,3157,2253,2797,2726,2285,2153,1669,1084,358,18482,3,3,3,3,3,0,3,0,0,18,0,0,3,3,3,3,3,0,0,15,0,3,0,3,0,3,3,3,0,15,3,0,3,3,3,0,3,3,0,18,0,0,0,0,0,0,0,0,0,0,34,57,91,42,36,38,43,47,39,427,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,37,60,97,54,45,47,52,53,39,484,40,63,100,57,48,47,55,53,39,502,3197,2316,2897,2783,2333,2200,1724,1137,397,18984
