region_id,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
POA6000,0,0,0,0,147,147,27,3,0,0,554,584,420,25,23,0,1398,1866,310,43,89,0,425,867,248,36,113,0,232,629,191,35,121,9,139,495,92,14,59,7,51,223,43,0,9,11,33,96,12,0,0,13,5,30,1343,156,414,40,2984,4937,8,0,0,3,112,123,59,3,0,0,543,605,444,25,33,4,997,1503,249,29,70,0,187,535,160,32,75,9,97,373,149,18,80,18,48,313,67,6,31,22,14,140,22,0,8,43,11,84,6,0,3,35,3,47,1164,113,300,134,2012,3723,8,0,0,3,259,270,86,6,0,0,1097,1189,864,50,56,4,2395,3369,559,72,159,0,612,1402,408,68,188,9,329,1002,340,53,201,27,187,808,159,20,90,29,65,363,65,0,17,54,44,180,18,0,3,48,8,77,2507,269,714,174,4996,8660
POA6003,0,0,0,0,39,39,6,0,0,0,208,214,108,9,8,0,435,560,83,9,26,0,161,279,42,12,40,5,64,163,64,11,28,0,37,140,27,6,12,3,22,70,8,0,7,4,5,24,8,0,0,0,0,8,346,47,121,12,971,1497,0,0,0,0,36,36,15,0,0,0,155,170,124,10,9,0,370,513,70,7,23,0,57,157,57,12,33,4,47,153,52,3,39,13,16,123,17,0,9,10,8,44,6,0,3,20,4,33,4,0,3,7,0,14,345,32,119,54,693,1243,0,0,0,0,75,75,21,0,0,0,363,384,232,19,17,0,805,1073,153,16,49,0,218,436,99,24,73,9,111,316,116,14,67,13,53,263,44,6,21,13,30,114,14,0,10,24,9,57,12,0,3,7,0,22,691,79,240,66,1664,2740
POA6004,3,0,0,3,148,154,8,0,0,3,457,468,373,18,34,0,1052,1477,309,35,67,0,270,681,240,44,111,4,125,524,279,35,105,5,70,494,153,13,49,7,46,268,43,7,18,13,22,103,12,3,3,7,4,29,1420,155,387,42,2194,4198,3,0,0,0,124,127,35,0,3,0,475,513,417,18,30,3,802,1270,227,22,54,0,134,437,235,28,80,8,61,412,256,26,99,30,34,445,121,4,29,30,8,192,23,0,7,36,5,71,5,0,3,32,0,40,1322,98,305,139,1643,3507,6,0,0,3,272,281,43,0,3,3,932,981,790,36,64,3,1854,2747,536,57,121,0,404,1118,475,72,191,12,186,936,535,61,204,35,104,939,274,17,78,37,54,460,66,7,25,49,27,174,17,3,6,39,4,69,2742,253,692,181,3837,7705
POA6005,0,0,0,0,72,72,8,0,3,0,261,272,237,8,12,0,735,992,154,18,38,3,202,415,132,14,50,0,105,301,119,38,77,3,50,287,66,14,41,10,32,163,37,3,6,16,18,80,17,3,0,15,4,39,770,98,227,47,1479,2621,0,0,0,0,64,64,23,3,0,3,273,302,253,14,13,0,560,840,131,4,36,0,115,286,127,15,61,6,59,268,102,11,67,10,20,210,42,6,28,21,13,110,28,3,19,41,8,99,5,0,0,52,3,60,711,56,224,133,1115,2239,0,0,0,0,136,136,31,3,3,3,534,574,490,22,25,0,1295,1832,285,22,74,3,317,701,259,29,111,6,164,569,221,49,144,13,70,497,108,20,69,31,45,273,65,6,25,57,26,179,22,3,0,67,7,99,1481,154,451,180,2594,4860
POA6006,0,0,0,0,166,166,6,3,0,0,333,342,183,3,12,0,580,778,431,8,45,3,228,715,345,22,75,3,150,595,221,24,85,6,69,405,140,6,34,15,41,236,142,3,7,32,17,201,39,0,3,20,3,65,1507,69,261,79,1587,3503,0,0,0,0,165,165,14,0,0,0,328,342,263,10,15,0,537,825,449,29,75,0,161,714,326,28,80,11,116,561,201,14,82,23,53,373,145,11,45,61,18,280,101,3,16,119,16,255,17,3,7,105,5,137,1516,98,320,319,1399,3652,0,0,0,0,331,331,20,3,0,0,661,684,446,13,27,0,1117,1603,880,37,120,3,389,1429,671,50,155,14,266,1156,422,38,167,29,122,778,285,17,79,76,59,516,243,6,23,151,33,456,56,3,10,125,8,202,3023,167,581,398,2986,7155
POA6007,0,0,0,0,140,140,8,0,0,0,266,274,192,6,6,0,671,875,296,9,40,0,190,535,201,13,69,0,113,396,207,19,55,0,70,351,107,3,28,6,21,165,62,3,11,15,7,98,17,0,3,16,5,41,1090,53,212,37,1483,2875,0,0,0,0,111,111,16,0,0,0,263,279,235,3,10,3,560,811,294,11,65,0,176,546,210,13,79,8,76,386,205,16,74,15,60,370,94,7,34,31,33,199,46,3,11,74,39,173,10,0,4,87,36,137,1110,53,277,218,1354,3012,0,0,0,0,251,251,24,0,0,0,529,553,427,9,16,3,1231,1686,590,20,105,0,366,1081,411,26,148,8,189,782,412,35,129,15,130,721,201,10,62,37,54,364,108,6,22,89,46,271,27,0,7,103,41,178,2200,106,489,255,2837,5887
POA6008,0,0,0,0,316,316,8,0,3,0,479,490,302,10,12,0,893,1217,581,18,55,3,298,955,584,48,116,9,193,950,544,55,176,13,143,931,326,27,110,25,65,553,125,13,31,25,19,213,43,0,0,28,5,76,2513,171,503,103,2411,5701,0,0,0,0,332,332,16,0,0,0,504,520,432,17,29,0,760,1238,647,35,98,5,263,1048,588,58,153,13,183,995,526,43,192,60,125,946,261,23,116,98,54,552,87,5,39,126,22,279,29,0,10,117,9,165,2586,181,637,419,2252,6075,0,0,0,0,648,648,24,0,3,0,983,1010,734,27,41,0,1653,2455,1228,53,153,8,561,2003,1172,106,269,22,376,1945,1070,98,368,73,268,1877,587,50,226,123,119,1105,212,18,70,151,41,492,72,0,10,145,14,241,5099,352,1140,522,4663,11776
POA6009,3,0,0,0,641,644,3,0,0,0,916,919,265,6,14,0,684,969,658,14,29,0,158,859,834,15,79,7,110,1045,807,26,83,12,72,1000,580,14,57,16,28,695,261,7,17,32,12,329,85,3,6,51,0,145,3496,85,285,118,2621,6605,0,0,0,0,589,589,16,0,0,0,811,827,343,10,12,0,518,883,788,23,52,4,125,992,960,36,109,14,88,1207,811,27,150,40,67,1095,486,14,87,82,38,707,168,4,45,154,26,397,46,0,15,265,8,334,3618,114,470,559,2270,7031,3,0,0,0,1230,1233,19,0,0,0,1727,1746,608,16,26,0,1202,1852,1446,37,81,4,283,1851,1794,51,188,21,198,2252,1618,53,233,52,139,2095,1066,28,144,98,66,1402,429,11,62,186,38,726,131,3,21,316,8,479,7114,199,755,677,4891,13636
POA6010,0,0,0,0,700,700,8,0,0,0,578,586,192,4,5,0,551,752,559,20,23,3,207,812,744,43,95,5,133,1020,701,26,120,8,100,955,534,11,87,23,45,700,276,4,27,55,21,383,87,0,6,51,4,148,3101,108,363,145,2339,6056,0,0,0,0,525,525,11,3,0,3,551,568,284,4,12,0,470,770,710,30,71,5,118,934,818,54,185,19,114,1190,686,36,207,40,66,1035,433,28,130,104,45,740,204,6,71,241,35,557,50,0,21,301,17,389,3196,161,697,713,1941,6708,0,0,0,0,1225,1225,19,3,0,3,1129,1154,476,8,17,0,1021,1522,1269,50,94,8,325,1746,1562,97,280,24,247,2210,1387,62,327,48,166,1990,967,39,217,127,90,1440,480,10,98,296,56,940,137,0,27,352,21,537,6297,269,1060,858,4280,12764
POA6011,0,0,0,0,268,268,4,0,0,0,324,328,91,7,5,0,484,587,303,12,24,0,118,457,461,14,64,0,94,633,468,8,78,14,41,609,308,4,38,11,17,378,147,3,13,15,6,184,37,3,7,21,3,71,1819,51,229,61,1355,3515,0,0,0,0,331,331,5,0,0,0,304,309,146,4,7,3,385,545,405,15,37,0,123,580,478,24,72,11,69,654,479,16,103,27,40,665,254,4,54,45,7,364,97,3,21,91,12,224,24,0,9,122,5,160,1888,66,303,299,1276,3832,0,0,0,0,599,599,9,0,0,0,628,637,237,11,12,3,869,1132,708,27,61,0,241,1037,939,38,136,11,163,1287,947,24,181,41,81,1274,562,8,92,56,24,742,244,6,34,106,18,408,61,3,16,143,8,231,3707,117,532,360,2631,7347
