region_id,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
POA6000,0,7,98,105,16,67,309,392,306,342,733,1381,194,104,305,603,152,69,219,440,126,28,187,341,69,7,64,140,30,3,25,58,12,0,8,20,905,627,1948,3480,3,10,79,92,47,124,312,483,352,307,519,1178,192,69,181,442,125,38,140,303,118,21,113,252,56,3,60,119,19,0,50,69,3,0,20,23,915,572,1474,2961,3,17,177,197,63,191,621,875,658,649,1252,2559,386,173,486,1045,277,107,359,743,244,49,300,593,125,10,124,259,49,3,75,127,15,0,28,43,1820,1199,3422,6441
POA6003,0,3,33,36,6,32,135,173,77,103,239,419,67,43,111,221,31,33,65,129,52,10,53,115,23,3,35,61,10,0,11,21,9,0,0,9,275,227,682,1184,0,4,33,37,11,32,95,138,94,122,193,409,55,23,55,133,50,21,58,129,41,7,61,109,17,0,23,40,8,0,23,31,4,0,5,9,280,209,546,1035,0,7,66,73,17,64,230,311,171,225,432,828,122,66,166,354,81,54,123,258,93,17,114,224,40,3,58,101,18,0,34,52,13,0,5,18,555,436,1228,2219
POA6004,0,5,104,109,6,57,286,349,260,252,590,1102,204,68,230,502,174,53,172,399,214,29,149,392,119,8,70,197,32,3,35,70,11,0,9,20,1020,475,1645,3140,3,6,84,93,29,88,300,417,315,248,432,995,180,49,131,360,185,45,114,344,212,30,128,370,86,0,62,148,20,0,40,60,3,0,19,22,1033,466,1310,2809,3,11,188,202,35,145,586,766,575,500,1022,2097,384,117,361,862,359,98,286,743,426,59,277,762,205,8,132,345,52,3,75,130,14,0,28,42,2053,941,2955,5949
POA6005,0,3,48,51,4,38,175,217,175,182,420,777,109,45,170,324,84,28,126,238,85,17,114,216,48,8,75,131,30,3,23,56,7,0,7,14,542,324,1158,2024,0,3,47,50,20,60,165,245,200,178,314,692,95,41,100,236,92,20,96,208,76,7,87,170,36,3,53,92,21,3,43,67,3,0,14,17,543,315,919,1777,0,6,95,101,24,98,340,462,375,360,734,1469,204,86,270,560,176,48,222,446,161,24,201,386,84,11,128,223,51,6,66,123,10,0,21,31,1085,639,2077,3801
POA6006,0,0,154,154,6,35,252,293,151,185,316,652,378,90,149,617,308,62,159,529,196,36,118,350,126,7,73,206,121,0,49,170,35,0,17,52,1321,415,1287,3023,0,3,155,158,12,47,244,303,227,185,309,721,414,95,141,650,307,52,154,513,184,25,120,329,130,5,96,231,87,0,109,196,9,0,81,90,1370,412,1409,3191,0,3,309,312,18,82,496,596,378,370,625,1373,792,185,290,1267,615,114,313,1042,380,61,238,679,256,12,169,437,208,0,158,366,44,0,98,142,2691,827,2696,6214
POA6007,0,0,126,126,4,26,191,221,152,180,401,733,253,68,142,463,175,65,102,342,186,27,94,307,94,6,37,137,51,0,24,75,12,0,14,26,927,372,1131,2430,0,0,101,101,9,44,185,238,204,179,297,680,266,86,140,492,191,53,103,347,179,19,121,319,70,3,87,160,33,3,70,106,5,0,59,64,957,387,1163,2507,0,0,227,227,13,70,376,459,356,359,698,1413,519,154,282,955,366,118,205,689,365,46,215,626,164,9,124,297,84,3,94,181,17,0,73,90,1884,759,2294,4937
POA6008,0,0,283,283,5,38,387,430,256,238,513,1007,503,113,213,829,520,85,217,822,461,63,262,786,297,25,160,482,111,5,64,180,27,3,22,52,2180,570,2121,4871,0,4,292,296,14,79,375,468,360,236,453,1049,585,110,239,934,522,87,294,903,461,50,318,829,231,17,235,483,71,0,161,232,15,3,82,100,2259,586,2449,5294,0,4,575,579,19,117,762,898,616,474,966,2056,1088,223,452,1763,1042,172,511,1725,922,113,580,1615,528,42,395,965,182,5,225,412,42,6,104,152,4439,1156,4570,10165
POA6009,0,3,598,601,3,29,807,839,228,108,543,879,605,51,124,780,765,64,134,963,741,46,119,906,514,20,71,605,232,5,50,287,63,0,35,98,3151,326,2481,5958,0,3,553,556,11,50,692,753,305,113,388,806,736,54,160,950,898,54,189,1141,730,37,260,1027,423,16,187,626,150,3,187,340,30,0,162,192,3283,330,2778,6391,0,6,1151,1157,14,79,1499,1592,533,221,931,1685,1341,105,284,1730,1663,118,323,2104,1471,83,379,1933,937,36,258,1231,382,8,237,627,93,0,197,290,6434,656,5259,12349
POA6010,0,0,543,543,9,31,450,490,167,128,315,610,501,71,117,689,684,68,154,906,629,43,175,847,453,31,112,596,244,9,82,335,68,0,51,119,2755,381,1999,5135,0,3,449,452,12,45,453,510,251,149,292,692,666,58,141,865,739,70,301,1110,613,44,294,951,364,14,271,649,187,8,316,511,36,0,254,290,2868,391,2771,6030,0,3,992,995,21,76,903,1000,418,277,607,1302,1167,129,258,1554,1423,138,455,2016,1242,87,469,1798,817,45,383,1245,431,17,398,846,104,0,305,409,5623,772,4770,11165
POA6011,0,0,243,243,0,9,259,268,78,96,277,451,252,55,80,387,402,51,106,559,390,39,86,515,252,17,49,318,123,5,26,154,32,0,19,51,1529,272,1145,2946,0,3,259,262,4,23,236,263,116,121,212,449,360,48,107,515,433,46,119,598,387,26,151,564,206,9,93,308,84,3,113,200,13,0,87,100,1603,279,1377,3259,0,3,502,505,4,32,495,531,194,217,489,900,612,103,187,902,835,97,225,1157,777,65,237,1079,458,26,142,626,207,8,139,354,45,0,106,151,3132,551,2522,6205
