region_id,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sinhalese_BP_B_OS,Sinhalese_FO_B_OS,Sinhalese_MO_B_OS,Sinhalese_BP_B_Aus,Sinhalese_BP_NS,Sinhalese_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_Fther_only_brn_os,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_ns_Both_prnts_brn_os,Ancestry_ns_Fthr_only_brn_os,Ancestry_ns_Mthr_only_brn_os,Ancestry_ns_Bth_prnts_brn_Aus,Ancestry_ns_Country_birth_ns,Ancestry_ns_Tot_Resp,Tot_respnses_BP_B_OS,Tot_respnses_FO_B_OS,Tot_respnses_MO_B_OS,Tot_resp_BP_B_Aus,Tot_responses_Count_birth_ns,Tot_responses_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS
POA6000,49,233,151,900,15,1348,0,3,0,18,0,21,770,14,14,3,16,817,39,9,3,19,0,70,89,25,11,25,0,150,1121,212,168,823,43,2367,88,3,6,0,0,97,69,8,7,13,3,100,141,16,22,102,3,284,45,10,4,19,0,78,11,4,0,0,0,15,244,9,0,0,0,253,541,40,41,354,14,990,252,52,20,133,12,469,133,0,3,0,0,136,13,0,0,0,0,13,27,0,0,3,0,30,3,0,3,4,0,10,44,0,0,0,0,44,71,9,6,0,0,86,89,13,3,17,3,125,32,0,3,3,0,38,304,53,35,250,4,646,31,0,0,0,0,31,0,0,0,0,0,0,54,0,3,3,0,60,54,3,3,4,0,64,8,0,0,0,0,8,175,3,0,0,4,182,51,8,10,12,0,81,1260,62,45,49,26,1442,80,0,9,16,1257,1362,5888,789,570,2770,1400,11417,5114,470
POA6003,24,83,71,288,13,479,0,0,0,0,0,0,222,0,4,0,8,234,18,3,0,10,0,31,26,13,3,8,0,50,362,82,60,281,9,794,20,0,0,0,0,20,32,0,0,3,3,38,49,17,10,14,0,90,8,4,0,3,0,15,5,0,0,0,0,5,38,0,0,0,0,38,170,18,18,131,6,343,101,10,8,32,0,151,83,0,0,0,0,83,5,0,3,0,0,8,23,0,0,0,5,28,0,0,5,0,0,5,17,0,0,0,0,17,19,0,0,0,0,19,35,5,3,3,0,46,5,0,0,0,0,5,95,14,15,93,0,217,22,0,0,3,0,25,0,0,0,0,0,0,8,4,0,0,0,12,18,0,0,0,0,18,3,0,0,0,0,3,88,0,6,0,0,94,14,0,0,3,0,17,352,17,19,20,14,422,29,0,4,4,340,377,1891,270,229,896,398,3684,1626,175
POA6004,53,175,135,716,21,1100,0,0,0,13,0,13,925,9,15,5,9,963,34,3,3,16,3,59,74,17,7,15,3,116,907,148,124,705,19,1903,82,0,4,0,0,86,65,4,6,11,0,86,114,19,3,81,0,217,37,9,0,8,0,54,12,3,0,3,0,18,327,3,3,3,8,344,368,36,28,269,9,710,148,27,11,72,3,261,142,0,3,3,3,151,7,3,0,3,0,13,7,0,0,3,0,10,5,0,0,0,0,5,40,3,3,0,0,46,67,10,0,0,0,77,87,8,0,13,3,111,42,0,3,7,0,52,252,35,20,179,8,494,39,0,0,0,0,39,6,0,0,0,0,6,45,0,0,0,0,45,30,3,0,3,0,36,15,0,0,0,0,15,74,0,3,0,0,77,34,6,3,8,0,51,1201,26,37,38,17,1319,41,3,0,22,1270,1336,5280,550,411,2196,1376,9813,4663,330
POA6005,27,145,112,534,23,841,0,0,0,3,0,3,362,3,9,0,6,380,26,6,0,6,0,38,51,10,8,13,0,82,624,154,103,498,19,1398,57,0,4,0,0,61,45,9,0,7,0,61,92,11,7,48,4,162,55,9,3,21,0,88,11,0,7,0,0,18,164,3,0,0,3,170,264,31,27,211,16,549,152,35,10,63,3,263,51,0,0,0,0,51,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,6,0,6,18,0,0,0,0,18,41,4,3,0,0,48,42,4,6,10,3,65,20,0,0,7,3,30,198,27,19,149,0,393,16,3,0,3,0,22,4,0,0,0,0,4,35,0,0,3,0,38,32,0,0,3,0,35,7,0,0,0,0,7,50,0,0,0,0,50,21,0,0,10,3,34,615,28,26,41,15,725,24,5,0,10,757,796,3122,487,344,1646,855,6454,2658,295
POA6006,87,392,233,1489,60,2261,0,0,3,3,0,6,299,6,13,11,6,335,52,18,6,25,0,101,92,28,20,37,5,182,796,337,206,1130,63,2532,28,0,8,0,6,42,45,4,3,16,3,71,94,29,14,100,0,237,151,36,15,59,0,261,20,3,3,0,0,26,97,8,6,3,0,114,293,91,54,467,16,921,717,127,54,254,26,1178,27,0,3,0,3,33,7,0,4,0,0,11,144,9,0,26,0,179,22,4,0,4,0,30,13,3,0,0,0,16,70,23,9,4,0,106,59,7,10,22,0,98,13,0,4,3,0,20,238,55,54,341,10,698,46,0,3,3,0,52,0,0,0,0,0,0,37,3,3,0,3,46,29,0,6,6,0,41,3,0,0,0,0,3,192,0,0,0,7,199,31,8,8,13,0,60,563,94,60,78,21,816,60,14,6,45,503,628,4325,1299,808,4139,732,11303,3685,795
POA6007,60,322,238,1152,22,1794,0,0,0,0,0,0,240,3,15,5,3,266,11,9,3,22,0,45,81,21,11,31,3,147,855,270,187,962,20,2294,20,0,4,0,0,24,54,3,4,7,0,68,87,12,18,87,3,207,45,15,9,33,3,105,7,0,3,6,0,16,146,6,8,3,3,166,415,56,50,361,9,891,286,68,27,83,10,474,24,0,0,0,0,24,4,0,0,3,0,7,14,0,3,3,0,20,7,3,0,3,3,16,8,0,0,3,0,11,65,12,12,5,0,94,44,8,5,12,4,73,6,0,3,0,0,9,223,57,55,292,11,638,14,0,3,6,0,23,3,0,0,0,0,3,46,4,12,3,0,65,19,4,0,3,0,26,3,0,0,0,0,3,45,3,0,0,4,52,32,4,7,13,0,56,520,65,50,54,7,696,40,3,3,13,551,610,3424,948,730,3165,656,8923,2909,554
POA6008,109,734,487,2656,75,4061,0,0,0,12,0,12,529,24,17,21,10,601,51,22,13,44,3,133,131,37,33,40,0,241,2040,643,439,2185,100,5407,64,3,14,0,0,81,99,17,16,19,0,151,211,42,33,190,4,480,56,30,7,45,3,141,36,4,11,3,0,54,202,20,4,4,3,233,505,152,89,927,23,1696,230,85,26,191,10,542,28,0,4,0,0,32,3,0,0,3,0,6,5,4,4,9,0,22,5,3,0,0,0,8,19,0,0,3,3,25,100,23,16,0,9,148,111,12,8,30,0,161,49,4,8,6,0,67,571,131,99,678,12,1491,44,4,0,3,0,51,9,0,0,0,0,9,110,6,16,3,4,139,50,3,0,10,4,67,16,5,0,0,0,21,50,0,0,0,0,50,76,16,6,28,0,126,1123,139,111,115,26,1514,56,17,11,67,874,1025,6688,2180,1472,7292,1163,18795,5498,1290
POA6009,104,746,649,3178,49,4726,0,3,0,3,0,6,1988,55,75,23,29,2170,47,6,7,37,0,97,163,42,24,41,6,276,1943,660,499,2673,68,5843,30,0,5,4,3,42,124,6,12,20,4,166,182,32,35,156,7,412,67,35,13,85,3,203,24,0,3,5,0,32,362,19,6,15,8,410,402,141,109,941,18,1611,202,101,30,199,4,536,32,0,3,0,0,35,8,3,4,9,0,24,12,0,0,7,0,19,15,4,0,6,0,25,12,4,3,3,0,22,78,27,20,3,0,128,78,16,13,23,0,130,28,0,17,3,0,48,588,190,130,734,17,1659,13,0,9,0,0,22,36,0,0,0,0,36,169,9,11,0,4,193,35,4,5,14,0,58,6,0,0,0,0,6,69,0,6,0,0,75,69,17,11,34,4,135,1533,144,118,120,48,1963,88,9,21,56,657,831,8507,2273,1838,8392,929,21939,7285,1369
POA6010,103,757,614,3432,88,4994,0,0,0,3,0,3,480,33,35,19,5,572,52,6,8,32,0,98,184,47,22,48,0,301,2247,673,550,2962,96,6528,32,0,14,0,0,46,92,3,3,30,3,131,214,38,27,220,7,506,47,13,5,69,0,134,27,3,5,6,0,41,197,11,11,10,3,232,444,143,111,1070,29,1797,180,59,30,181,7,457,21,0,0,0,0,21,9,3,0,8,0,20,10,4,3,3,0,20,14,7,0,12,0,33,11,3,0,5,0,19,83,28,12,7,0,130,85,14,8,27,4,138,42,3,8,3,0,56,534,171,137,935,10,1787,0,3,0,0,0,3,16,0,0,0,0,16,187,16,12,0,3,218,30,0,5,8,0,43,13,0,0,0,0,13,28,0,0,0,0,28,74,17,9,46,7,153,912,144,112,111,23,1302,41,19,16,104,856,1036,6409,2218,1757,9351,1141,20876,5275,1344
POA6011,53,419,367,2136,44,3019,0,0,0,3,0,3,97,7,8,11,0,123,29,12,4,17,0,62,90,39,18,25,3,175,1107,392,313,1927,65,3804,19,0,5,0,0,24,65,11,7,21,0,104,112,28,27,141,4,312,30,27,10,51,0,118,18,3,5,0,0,26,38,3,5,6,0,52,242,68,58,713,20,1101,101,46,17,118,3,285,10,0,0,0,0,10,3,3,4,4,0,14,7,0,0,3,0,10,5,3,0,3,0,11,6,0,3,0,0,9,55,18,11,5,3,92,30,5,9,19,0,63,12,5,0,0,0,17,254,69,73,613,18,1027,10,3,0,0,0,13,6,0,0,0,0,6,91,12,9,0,0,112,21,3,3,12,0,39,0,0,0,0,0,0,6,0,0,0,0,6,40,4,10,22,0,76,373,65,50,70,10,568,21,5,3,56,768,853,2951,1250,1019,5976,938,12134,2342,751
