region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
POA6000,334,1932,1392,9242
POA6003,138,623,384,2946
POA6004,253,1561,1369,8176
POA6005,203,1173,836,5165
POA6006,488,2883,692,8543
POA6007,426,2225,633,6747
POA6008,855,5120,1097,13860
POA6009,1083,5948,883,16568
POA6010,1053,6733,1074,15479
POA6011,624,4315,896,8928
POA6012,547,3527,638,8601
POA6014,1198,7968,1079,18984
POA6015,427,2738,276,6358
POA6016,563,3297,714,9562
POA6017,169,939,587,4049
POA6018,2154,14062,2235,34381
POA6019,1239,7897,1878,20152
POA6020,1257,8851,980,20283
POA6021,926,5469,1197,19153
POA6022,321,2218,177,4982
POA6023,917,6201,501,15018
POA6024,862,5711,548,13433
POA6025,1938,10778,1537,29802
POA6026,1393,9010,1015,22423
POA6027,2550,12535,2408,42097
POA6028,1158,5073,703,20114
POA6029,182,1294,179,2668
POA6030,2219,10923,3371,37594
POA6031,684,3112,674,11329
POA6032,12,102,11,218
POA6033,34,257,90,741
POA6035,277,1391,480,4243
POA6036,647,2734,643,10828
POA6037,150,977,191,2245
POA6041,86,576,123,1369
POA6042,3,50,3,81
POA6043,18,115,24,207
POA6044,67,725,269,1479
POA6050,995,5321,1063,14918
POA6051,586,3404,1206,12356
POA6052,610,3926,628,10452
POA6053,826,4819,1038,13525
POA6054,1258,7820,1383,19761
POA6055,783,5012,1255,12055
POA6056,2373,16338,3283,37072
POA6057,1084,7456,1179,16115
POA6058,679,5294,837,11820
POA6059,1121,6354,1193,22517
POA6060,1096,6147,1770,21888
POA6061,1426,8154,3488,33701
POA6062,1468,8817,1767,31115
POA6063,727,4078,990,13991
POA6064,1455,8786,2165,30440
POA6065,3104,16268,2707,52079
POA6066,1170,6419,1063,18953
POA6067,4,72,21,122
POA6068,0,0,0,0
POA6069,1783,9760,1427,25380
POA6070,238,1364,130,3528
POA6071,223,1441,307,3524
POA6072,65,354,70,831
POA6073,229,1313,226,3020
POA6074,59,461,28,943
POA6076,1439,8356,1184,21505
POA6077,64,604,120,1528
POA6078,62,316,46,855
POA6079,0,0,0,3
POA6081,355,2207,239,4717
POA6082,236,1460,250,3157
POA6083,237,1652,280,3472
POA6084,439,2936,416,6387
POA6090,5,0,0,10
POA6100,686,3800,1364,13614
POA6101,827,5004,1186,14993
POA6102,505,3044,1741,13837
POA6103,412,2589,880,8410
POA6104,684,4542,1424,13293
