region_id,Australia_M,Australia_F,Australia_P,Bosnia_Herzegovina_M,Bosnia_Herzegovina_F,Bosnia_Herzegovina_P,Cambodia_M,Cambodia_F,Cambodia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Frmr_Yug_Repc_Mac_FYROM_M,Frmr_Yug_Repc_Mac_FYROM_F,Frmr_Yug_Repc_Mac_FYROM_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_Tot,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,South_Eastern_Europe_nfd_M,South_Eastern_Europe_nfd_F,South_Eastern_Europe_nfd_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,Turkey_M,Turkey_F,Turkey_P,UK_Channel_Islands_Isle_Man_M,UK_Channel_Islands_Isle_Man_F,UK_Channel_Islands_Isle_Man_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,Tot_M,Tot_F,Tot_P
POA6000,1885,1495,3380,15,11,26,5,0,5,41,39,80,82,100,182,8,6,14,8,0,8,3,5,8,4,7,11,35,40,75,13,10,23,53,39,92,131,86,217,54,75,129,8,0,8,190,121,311,56,58,114,44,46,90,63,66,129,6,4,10,115,106,221,0,0,0,14,19,33,179,127,306,39,44,83,23,30,53,47,80,127,54,44,98,11,7,18,14,10,24,34,44,78,5,0,5,555,281,836,60,63,123,82,85,167,466,381,847,825,481,1306,5227,4010,9237
POA6003,652,511,1163,5,6,11,0,6,6,3,16,19,25,41,66,0,6,6,3,3,6,0,3,3,4,10,14,13,11,24,4,0,4,20,11,31,30,23,53,4,10,14,3,0,3,64,37,101,24,21,45,9,14,23,39,43,82,4,0,4,23,22,45,0,0,0,9,4,13,47,45,92,8,9,17,17,12,29,8,11,19,15,10,25,7,4,11,4,3,7,4,16,20,0,0,0,150,88,238,11,15,26,41,41,82,158,140,298,205,148,353,1613,1340,2953
POA6004,1479,1199,2678,8,12,20,0,0,0,22,26,48,108,132,240,8,8,16,4,5,9,3,4,7,3,0,3,25,25,50,6,9,15,36,32,68,152,74,226,40,105,145,12,5,17,137,77,214,33,23,56,38,50,88,68,78,146,5,0,5,154,155,309,3,0,3,19,13,32,140,113,253,30,57,87,22,30,52,80,82,162,45,45,90,5,0,5,18,16,34,14,37,51,4,4,8,429,268,697,24,27,51,33,39,72,500,410,910,770,550,1320,4477,3710,8187
POA6005,1093,927,2020,8,4,12,3,5,8,18,14,32,57,63,120,5,3,8,10,8,18,3,5,8,3,6,9,20,15,35,14,7,21,26,15,41,88,59,147,9,19,28,0,0,0,83,60,143,36,36,72,32,46,78,23,24,47,0,0,0,50,42,92,0,0,0,8,10,18,96,82,178,19,33,52,17,10,27,32,35,67,32,41,73,3,0,3,7,10,17,6,21,27,6,3,9,266,181,447,28,21,49,10,25,35,226,215,441,441,345,786,2778,2390,5168
POA6006,2541,2664,5205,6,0,6,0,4,4,12,24,36,28,43,71,12,12,24,0,6,6,0,5,5,26,27,53,18,26,44,57,71,128,16,14,30,38,40,78,5,7,12,4,3,7,61,45,106,199,241,440,16,23,39,9,18,27,6,3,9,30,31,61,3,5,8,14,15,29,90,68,158,21,13,34,13,19,32,15,25,40,35,30,65,13,13,26,10,6,16,0,19,19,3,0,3,320,260,580,20,27,47,77,91,168,190,189,379,311,238,549,4219,4325,8544
POA6007,1826,1979,3805,0,3,3,0,3,3,15,24,39,15,20,35,5,3,8,3,4,7,3,5,8,5,3,8,16,24,40,4,9,13,14,16,30,84,60,144,3,6,9,3,0,3,100,125,225,73,82,155,12,33,45,6,13,19,0,0,0,33,38,71,3,3,6,10,20,30,97,83,180,7,10,17,8,16,24,17,23,40,33,32,65,3,0,3,9,11,20,3,6,9,0,3,3,350,270,620,26,28,54,30,27,57,163,198,361,316,275,591,3295,3455,6750
POA6008,3977,4162,8139,6,16,22,0,4,4,49,41,90,47,64,111,14,6,20,7,8,15,3,5,8,0,3,3,44,53,97,6,10,16,25,26,51,73,78,151,24,32,56,3,3,6,92,76,168,37,37,74,35,56,91,15,20,35,3,3,6,97,124,221,3,0,3,31,38,69,157,155,312,19,40,59,14,35,49,70,68,138,82,105,187,4,4,8,9,19,28,18,27,45,5,7,12,853,735,1588,89,102,191,13,31,44,363,430,793,475,474,949,6762,7097,13859
POA6009,4619,4872,9491,4,0,4,4,5,9,41,55,96,255,243,498,9,7,16,12,8,20,5,4,9,3,0,3,31,49,80,9,10,19,66,83,149,127,110,237,68,95,163,7,3,10,41,46,87,34,23,57,31,44,75,16,18,34,0,0,0,341,387,728,3,3,6,42,45,87,114,114,228,8,22,30,14,22,36,241,232,473,138,155,293,3,5,8,44,53,97,9,19,28,7,3,10,752,724,1476,132,122,254,25,35,60,445,509,954,374,371,745,8074,8496,16570
POA6010,4724,5234,9958,3,3,6,0,0,0,46,58,104,48,53,101,7,7,14,5,3,8,5,9,14,4,0,4,59,59,118,4,3,7,30,40,70,78,72,150,18,28,46,3,0,3,56,47,103,33,35,68,18,34,52,8,16,24,0,0,0,74,104,178,5,0,5,50,38,88,132,135,267,9,22,31,12,26,38,69,83,152,172,169,341,3,3,6,16,24,40,11,20,31,4,5,9,828,826,1654,88,91,179,4,11,15,302,362,664,561,372,933,7489,7992,15481
POA6011,2893,3110,6003,0,0,0,0,0,0,21,23,44,4,20,24,3,7,10,0,3,3,3,0,3,0,4,4,24,29,53,3,7,10,11,9,20,19,9,28,5,10,15,0,0,0,32,36,68,23,15,38,4,10,14,3,3,6,0,0,0,13,20,33,0,0,0,18,19,37,74,80,154,8,8,16,3,4,7,20,36,56,73,85,158,3,3,6,4,6,10,3,8,11,0,0,0,415,404,819,56,77,133,0,0,0,150,151,301,409,432,841,4297,4628,8925
