region_id,Indonesia_2006,Indonesia_2007,Indonesia_2008,Indonesia_2009,Indonesia_2010,Indonesia_2011,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iraq_Before_1941,Iraq_1941_1950,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2005,Iraq_2006,Iraq_2007,Iraq_2008,Iraq_2009,Iraq_2010,Iraq_2011,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1941,Ireland_1941_1950,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2005,Ireland_2006,Ireland_2007,Ireland_2008,Ireland_2009,Ireland_2010,Ireland_2011,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1941,Italy_1941_1950,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2005,Italy_2006,Italy_2007,Italy_2008,Italy_2009,Italy_2010,Italy_2011,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1941,Japan_1941_1950,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2005,Japan_2006,Japan_2007,Japan_2008,Japan_2009,Japan_2010,Japan_2011,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1941,Korea_Rep_Sth_1941_1950,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2005,Korea_Republic_South_2006,Korea_Republic_South_2007,Korea_Republic_South_2008,Korea_Republic_South_2009,Korea_Republic_South_2010,Korea_Republic_South_2011,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1941,Lebanon_1941_1950,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2005,Lebanon_2006,Lebanon_2007,Lebanon_2008,Lebanon_2009,Lebanon_2010,Lebanon_2011,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1941,Malaysia_1941_1950,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2005,Malaysia_2006,Malaysia_2007,Malaysia_2008,Malaysia_2009,Malaysia_2010,Malaysia_2011,Malaysia_Yr_arrival_ns,Malaysia_Tot,Malta_Before_1941,Malta_1941_1950,Malta_1951_1960,Malta_1961_1970,Malta_1971_1980,Malta_1981_1990,Malta_1991_2000,Malta_2001_2005,Malta_2006,Malta_2007,Malta_2008,Malta_2009,Malta_2010,Malta_2011,Malta_Yr_arrival_NS,Malta_Tot,Netherlands_Before_1941,Netherlands_1941_1950,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2005,Netherlands_2006,Netherlands_2007,Netherlands_2008,Netherlands_2009,Netherlands_2010,Netherlands_2011,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1941,New_Zealand_1941_1950,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2005,New_Zealand_2006,New_Zealand_2007,New_Zealand_2008,New_Zealand_2009,New_Zealand_2010,New_Zealand_2011,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,Philippines_Before_1941,Philippines_1941_1950,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2005,Philippines_2006,Philippines_2007,Philippines_2008,Philippines_2009,Philippines_2010,Philippines_2011,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1941,Poland_1941_1950,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2005,Poland_2006,Poland_2007,Poland_2008,Poland_2009,Poland_2010,Poland_2011,Poland_Yr_arrival_NS,Poland_Tot
POA6000,3,11,14,13,11,12,4,130,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,3,0,27,6,0,4,13,35,25,93,90,15,311,3,14,41,26,4,4,0,3,0,0,0,3,5,5,5,113,0,0,0,0,0,6,16,11,0,5,3,15,19,5,9,89,0,0,0,0,0,0,0,25,8,15,11,10,14,19,27,129,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,20,46,31,24,7,18,5,19,19,12,18,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,3,0,3,3,0,0,3,3,3,3,35,0,0,3,5,16,36,49,32,10,15,25,22,35,41,19,308,0,0,0,0,0,7,5,5,3,9,15,11,16,14,0,85,0,3,0,0,4,20,10,3,0,3,0,0,3,6,0,52
POA6003,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,0,0,4,0,3,3,4,11,19,16,28,8,99,3,0,23,8,6,0,0,0,0,0,0,3,0,3,0,46,0,0,0,0,0,3,4,9,0,0,0,6,0,0,0,22,0,0,0,0,0,0,3,3,3,20,6,14,10,8,13,80,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,9,0,0,0,3,6,12,3,5,3,3,6,3,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,3,0,0,12,0,0,0,4,8,16,9,6,3,6,4,9,4,19,4,92,0,0,0,0,3,3,3,0,0,0,4,0,0,5,0,18,0,0,0,0,0,15,3,5,0,0,0,5,0,0,0,28
POA6004,12,13,16,14,15,9,0,143,0,0,0,0,0,0,3,7,0,0,0,3,5,0,0,18,0,0,0,5,4,16,3,6,7,5,11,39,41,57,17,211,0,3,21,11,4,3,0,0,0,0,0,0,3,3,7,55,0,0,0,0,0,0,8,17,4,13,8,5,11,9,13,88,0,0,0,0,0,9,5,21,6,8,23,20,21,23,9,145,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,32,62,28,50,22,16,30,24,15,23,4,310,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,9,0,0,8,0,3,3,3,0,3,3,0,4,3,0,3,33,0,0,4,7,34,41,24,20,6,13,6,17,37,34,12,255,0,0,0,0,0,14,12,13,4,8,4,6,12,9,4,86,0,3,3,5,6,20,8,0,0,0,3,4,0,0,0,52
POA6005,5,3,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,5,3,5,9,14,17,41,26,4,138,3,3,24,12,0,4,4,3,3,0,0,3,3,4,6,72,0,0,0,0,0,8,7,16,6,3,10,9,4,7,6,76,0,0,0,0,0,3,0,3,3,3,4,8,8,15,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,20,13,14,3,3,4,3,7,10,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,4,4,0,0,0,0,0,0,0,17,3,0,0,13,5,26,19,17,0,21,23,11,6,20,11,175,0,0,0,0,0,11,5,6,3,5,3,3,9,3,3,51,0,0,0,0,0,14,4,0,0,0,3,0,3,0,3,27
POA6006,0,0,0,0,4,0,0,11,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,9,0,0,3,8,4,18,8,5,4,9,16,7,10,11,5,108,3,25,220,119,12,4,3,0,0,0,0,0,4,0,50,440,0,0,0,0,0,4,6,5,5,9,0,5,0,0,5,39,0,0,0,0,0,4,3,4,3,0,3,0,7,0,5,29,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,8,17,17,3,6,0,0,3,4,5,0,0,63,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,5,5,6,3,0,0,0,0,0,4,0,0,29,0,0,0,5,17,37,25,14,5,6,13,10,9,11,4,156,0,0,0,0,0,3,4,5,0,3,0,5,7,4,3,34,0,6,0,0,5,11,5,0,0,0,0,0,0,0,3,30
POA6007,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,29,3,7,21,11,3,3,11,28,24,31,34,4,226,0,20,71,25,18,0,0,3,0,4,0,0,3,5,5,154,0,0,0,0,3,3,9,10,3,7,3,3,0,3,3,47,0,0,0,0,0,0,0,3,5,3,0,0,5,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,23,9,3,3,4,6,3,0,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,10,3,3,5,0,0,0,0,0,0,3,0,3,31,0,0,3,8,26,53,13,10,9,8,6,6,17,18,3,180,0,0,0,0,0,5,3,3,0,3,0,0,3,3,0,20,0,7,0,0,0,6,0,3,0,0,0,3,0,0,3,22
POA6008,10,0,3,0,3,4,4,53,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,8,11,32,14,7,0,4,21,13,19,25,12,169,6,8,27,7,0,3,3,0,0,0,0,7,3,6,4,74,0,0,0,0,3,3,5,13,3,3,9,28,17,8,0,92,0,0,0,0,3,3,3,8,3,3,3,3,3,0,3,35,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,4,3,19,47,33,16,19,8,5,9,13,21,10,12,219,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,15,5,7,5,4,4,4,4,9,3,9,0,0,69,0,0,0,32,51,58,35,21,6,4,17,18,21,29,21,313,0,0,0,3,8,10,3,0,3,3,10,11,5,0,4,60,3,12,3,3,3,8,8,3,0,3,3,0,3,0,0,52
POA6009,3,10,15,12,20,7,3,162,0,0,0,0,0,0,0,3,0,0,0,3,3,3,0,12,0,0,4,10,10,24,19,4,0,5,0,4,4,0,4,88,0,8,20,8,7,3,4,3,0,0,0,0,0,0,4,57,0,0,0,3,3,3,11,14,3,12,3,14,8,0,3,77,0,0,0,0,3,3,3,0,0,6,9,0,8,5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,48,139,166,58,38,12,38,38,53,63,52,8,730,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,6,0,3,25,3,7,0,13,9,0,5,4,3,12,4,0,88,0,0,4,38,35,45,27,20,4,0,7,12,15,10,12,229,0,0,0,3,3,3,6,0,3,0,3,7,0,0,3,31,0,3,4,0,0,16,3,4,0,3,4,0,0,0,0,37
POA6010,3,0,4,4,3,3,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,8,11,25,12,5,3,0,5,6,3,16,5,103,0,3,3,9,4,4,3,3,10,3,3,10,8,0,4,67,0,0,3,0,3,7,16,4,4,3,3,0,8,0,0,51,0,0,0,0,3,0,3,7,4,0,0,3,0,3,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,4,3,17,34,31,17,18,7,4,11,9,7,12,5,179,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,14,6,7,5,5,0,0,5,8,7,9,12,0,87,0,3,11,24,44,60,33,16,0,11,8,10,19,12,17,268,0,0,0,3,0,6,0,7,6,0,0,6,3,0,0,31,0,3,0,0,4,20,0,4,0,0,0,0,0,5,0,36
POA6011,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,12,3,6,0,4,4,15,10,4,3,70,0,3,12,3,0,4,5,3,0,0,0,0,3,0,4,37,0,0,0,0,0,0,9,0,0,0,3,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,0,7,0,0,0,0,0,0,4,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,7,0,0,0,0,4,6,4,0,0,37,0,0,0,6,25,30,18,8,6,6,3,7,6,24,15,154,0,0,0,0,0,0,3,0,0,0,5,3,3,3,0,17,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6
