region_id,Singapore_Before_1941,Singapore_1941_1950,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2005,Singapore_2006,Singapore_2007,Singapore_2008,Singapore_2009,Singapore_2010,Singapore_2011,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1941,South_Africa_1941_1950,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2005,South_Africa_2006,South_Africa_2007,South_Africa_2008,South_Africa_2009,South_Africa_2010,South_Africa_2011,South_Africa_Yr_arrival_ns,South_Africa_Tot,SE_Europe_nfd_Before_1941,SE_Europe_nfd_1941_1950,SE_Europe_nfd_1951_1960,SE_Europe_nfd_1961_1970,SE_Europe_nfd_1971_1980,SE_Europe_nfd_1981_1990,SE_Europe_nfd_1991_2000,SE_Europe_nfd_2001_2005,South_Eastern_Europe_nfd_2006,South_Eastern_Europe_nfd_2007,South_Eastern_Europe_nfd_2008,South_Eastern_Europe_nfd_2009,South_Eastern_Europe_nfd_2010,South_Eastern_Europe_nfd_2011,SE_Europe_nfd_arrival_ns,SE_Europe_nfd_Total,Sri_Lanka_Before_1941,Sri_Lanka_1941_1950,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2005,Sri_Lanka_2006,Sri_Lanka_2007,Sri_Lanka_2008,Sri_Lanka_2009,Sri_Lanka_2010,Sri_Lanka_2011,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1941,Thailand_1941_1950,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2005,Thailand_2006,Thailand_2007,Thailand_2008,Thailand_2009,Thailand_2010,Thailand_2011,Thailand_Yr_arrival_ns,Thailand_Tot,Turkey_Before_1941,Turkey_1941_1950,Turkey_1951_1960,Turkey_1961_1970,Turkey_1971_1980,Turkey_1981_1990,Turkey_1991_2000,Turkey_2001_2005,Turkey_2006,Turkey_2007,Turkey_2008,Turkey_2009,Turkey_2010,Turkey_2011,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1941,United_Kingdom_1941_1950,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2005,United_Kingdom_2006,United_Kingdom_2007,United_Kingdom_2008,United_Kingdom_2009,United_Kingdom_2010,United_Kingdom_2011,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1941,USA_1941_1950,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2005,United_States_America_2006,United_States_America_2007,United_States_America_2008,United_States_America_2009,United_States_America_2010,United_States_America_2011,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1941,Vietnam_1941_1950,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2005,Vietnam_2006,Vietnam_2007,Vietnam_2008,Vietnam_2009,Vietnam_2010,Vietnam_2011,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1941,Born_elsewhere_1941_1950,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2005,Born_elsewhere_2006,Born_elsewhere_2007,Born_elsewhere_2008,Born_elsewhere_2009,Born_elsewhere_2010,Born_elsewhere_2011,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1941,Tot_1941_1950,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2005,Tot_2006,Tot_2007,Tot_2008,Tot_2009,Tot_2010,Tot_2011,Tot_Yr_arrival_NS,Tot_Tot
POA6000,0,0,3,3,8,13,19,21,0,6,12,14,9,6,13,127,0,0,0,0,3,26,19,12,8,4,5,3,4,13,0,97,0,0,0,7,0,0,6,3,0,0,0,0,0,0,0,16,0,0,0,0,3,4,3,3,0,3,3,3,0,3,0,25,0,0,0,0,0,0,10,16,9,9,6,6,10,4,8,78,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,7,3,6,15,108,98,111,101,47,14,30,40,47,74,91,51,836,0,0,0,6,3,7,6,7,4,3,13,17,22,25,9,122,0,0,0,0,32,50,30,15,0,10,14,5,0,8,4,168,0,8,8,25,29,83,61,76,28,44,99,117,131,95,44,848,6,36,95,220,256,505,487,419,145,263,374,410,570,489,277,4552
POA6003,0,0,0,0,0,0,3,7,0,4,0,3,3,0,0,20,0,0,0,0,3,6,7,0,0,6,4,0,0,0,0,26,0,4,0,3,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,3,3,0,3,3,3,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,25,50,21,10,8,7,9,11,34,11,11,238,0,0,0,0,0,0,3,4,3,0,0,4,6,3,3,26,0,0,0,0,12,34,11,3,3,0,4,3,3,0,10,83,0,0,0,13,20,18,25,24,18,17,33,39,41,22,27,297,3,4,39,89,103,196,138,108,66,94,99,142,159,107,86,1433
POA6004,0,0,3,0,12,31,18,23,7,5,12,13,23,11,7,165,0,0,0,4,3,11,20,18,4,0,3,5,11,3,6,88,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,3,6,4,3,5,5,0,3,0,0,3,32,0,0,0,0,0,3,8,13,0,3,3,3,12,3,3,51,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,9,0,7,18,113,97,88,50,46,21,20,27,30,65,70,42,694,0,0,0,3,4,0,5,0,3,0,9,5,15,4,3,51,0,0,0,0,11,23,11,3,0,3,3,6,3,3,4,70,0,10,4,29,42,66,57,120,47,67,84,115,133,91,44,909,0,27,71,200,294,456,403,476,180,229,303,405,519,400,224,4187
POA6005,0,0,3,0,0,15,6,12,3,3,6,3,5,7,6,69,0,0,0,0,3,15,10,11,3,3,10,3,7,7,3,75,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,3,3,3,3,3,0,3,3,3,0,0,24,0,0,0,0,3,6,7,3,0,0,0,4,0,3,0,26,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,9,3,10,10,53,56,73,40,32,12,24,17,30,32,36,21,449,0,0,0,6,5,4,0,5,0,3,3,5,11,4,3,49,0,0,0,0,6,16,3,0,0,3,4,3,3,0,0,38,3,9,3,26,20,29,37,57,14,31,48,49,54,38,23,441,12,28,57,156,137,281,204,255,96,134,216,204,247,225,111,2363
POA6006,0,0,0,0,12,12,8,4,0,0,0,0,0,3,0,39,0,0,0,3,7,20,15,8,0,0,3,4,0,0,3,63,0,0,3,7,3,3,11,0,0,0,3,0,0,0,0,30,0,0,0,5,0,0,0,4,0,0,5,0,0,0,0,14,0,0,0,0,0,5,5,0,3,0,0,0,0,3,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,93,104,110,71,40,16,21,28,11,19,11,31,579,0,0,0,3,3,9,3,6,0,0,3,5,10,3,3,48,0,0,0,3,47,85,12,3,3,0,3,3,4,0,5,168,0,9,6,42,36,50,65,43,8,24,15,15,25,14,28,380,15,84,339,395,311,441,299,172,63,93,113,96,126,66,178,2791
POA6007,0,3,0,3,8,11,10,3,0,0,0,0,3,0,0,41,0,3,0,3,11,9,16,3,4,3,9,3,0,3,0,67,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,4,4,6,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,11,22,100,81,110,80,46,20,21,23,21,35,10,33,619,0,0,3,4,7,8,7,3,3,3,0,3,5,8,0,54,0,0,0,0,16,22,4,3,0,0,3,3,3,0,3,57,0,6,4,37,29,50,43,44,11,23,28,34,27,14,9,359,21,71,163,225,247,364,252,171,75,113,130,158,155,117,93,2355
POA6008,0,5,3,8,15,15,20,25,10,3,9,6,4,11,4,138,0,0,3,7,26,37,37,20,4,8,15,10,20,0,3,190,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,9,0,0,3,6,3,3,4,3,0,0,0,0,3,3,0,28,0,0,0,0,0,6,7,7,0,4,0,6,5,10,0,45,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,10,6,25,68,273,210,221,185,140,48,64,60,56,95,77,61,1589,0,0,3,9,10,10,28,14,3,15,21,16,33,21,8,191,0,0,0,0,12,11,9,0,0,4,0,0,0,0,8,44,0,15,13,60,54,134,98,90,29,54,48,57,59,56,25,792,15,93,176,493,504,649,577,460,159,209,279,295,397,276,188,4770
POA6009,3,0,5,17,57,50,88,46,10,22,24,56,37,43,16,474,3,0,5,11,29,61,62,33,5,5,18,27,18,11,6,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,17,19,10,15,0,6,0,5,10,3,0,95,0,0,0,0,3,7,5,6,0,4,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,21,41,101,240,187,207,205,172,32,50,38,37,54,31,60,1476,0,0,0,15,24,12,34,32,9,12,30,26,15,34,13,256,0,0,0,0,13,15,3,4,6,4,3,8,0,3,0,59,8,20,25,58,69,130,94,88,40,37,76,135,83,53,38,954,41,108,246,527,698,935,822,599,147,266,377,530,497,327,215,6335
POA6010,3,12,0,6,23,13,41,18,0,7,0,6,6,9,7,151,0,0,4,14,29,67,78,69,10,7,19,18,18,0,7,340,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,6,5,9,5,8,0,0,0,0,3,0,0,40,0,0,0,0,0,0,4,4,4,0,8,4,0,7,0,31,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,11,18,45,116,278,230,231,202,159,39,48,45,34,57,71,82,1655,0,0,0,3,16,17,23,22,8,10,10,11,27,23,8,178,0,0,0,0,3,11,0,0,0,0,0,0,0,0,3,17,5,14,21,42,60,94,97,108,8,31,37,39,47,30,33,666,26,130,216,466,525,664,626,525,133,169,197,225,261,220,204,4587
POA6011,0,0,0,3,7,3,13,9,3,3,3,0,4,6,3,57,0,0,5,7,21,26,27,22,4,5,7,8,13,4,9,158,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,56,148,102,88,99,61,21,21,24,43,46,44,37,817,0,0,0,8,11,13,11,10,0,0,8,22,29,15,5,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,43,23,44,30,27,7,12,11,19,32,20,13,300,13,53,113,258,215,266,251,178,50,51,90,138,164,137,105,2082
