region_id,M_EO_bf1996,M_EO_1996_2000,M_EO_2001_2005,M_E_2006,M_E_2007,M_E_2008,M_E_2009,M_E_2010,M_E_2011,M_EO_arrival_ns,M_E_Tot,M_SOL_SE_V_wll_wll_Bf_1996,M_SOL_SE_VW_W_1996_2000,M_SOL_SE_VW_W_2001_2005,M_SOL_SE_VW_W_2006,M_SOL_SE_VW_W_2007,M_SOL_SE_VW_W_2008,M_SOL_SE_VW_W_2009,M_SOL_SE_VW_W_2010,M_SOL_SE_VW_W_2011,M_SOL_SE_VW_W_Y_a_ns,M_SOL_SE_VW_W_Y_a_Total,M_SOL_SE_NW_NA_bf1996,M_SOL_SE_NW_NA_1996_2000,M_SOL_SE_NW_NA_2001_2005,M_SOL_SE_NW_NA_2006,M_SOL_SE_NW_NA_2007,M_SOL_SE_NW_NA_2008,M_SOL_SE_NW_NA_2009,M_SOL_SE_NW_NA_2010,M_SOL_SE_NW_NA_2011,M_SOL_SE_NW_NA_arrval_ns,M_SOL_SE_NW_NA_Total,M_SOL_SE_PE_ns_bf1996,M_SOL_SE_PE_ns_1996_2000,M_SOL_SE_PE_ns_2001_2005,M_SOL_SE_PE_ns_2006,M_SOL_SE_PE_ns_2007,M_SOL_SE_PE_ns_2008,M_SOL_SE_PE_ns_2009,M_SOL_SE_PE_ns_2010,M_SOL_SE_PE_ns_2011,M_SOL_SE_PE_ns_arrival_ns,M_SOL_SE_PE_ns_arvl_Total,M_SOL_SE_Tot_bf1996,M_SOL_SE_Tot_1996_2000,M_SOL_SE_Tot_2001_2005,M_SOL_SE_Tot_2006,M_SOL_SE_Tot_2007,M_SOL_SE_Tot_2008,M_SOL_SE_Tot_2009,M_SOL_SE_Tot_2010,M_SOL_SE_Tot_2011,M_SOL_SE_Tot_arrival_ns,M_SOL_SE_Tot_Total,M_L_prof_Eng_ns_bf1996,M_L_prof_Eng_ns_1996_2000,M_L_prof_Eng_ns_2001_2005,M_L_prof_Eng_ns_2006,M_L_prof_Eng_ns_2007,M_L_prof_Eng_ns_2008,M_L_prof_Eng_ns_2009,M_L_prof_Eng_ns_2010,M_L_prof_Eng_ns_2011,M_L_prof_Eng_ns_arrival_ns,M_L_prof_Eng_ns_Total,M_Tot_bf1996,M_Tot_1996_2000,M_Tot_2001_2005,M_Tot_2006,M_Tot_2007,M_Tot_2008,M_Tot_2009,M_Tot_2010,M_Tot_2011,M_Tot_Yr_arrival_not_stated,M_Tot_Total,F_EO_bf1996,F_EO_1996_2000,F_EO_2001_2005,F_E_2006,F_E_2007,F_E_2008,F_E_2009,F_E_2010,F_E_2011,F_EO_arrival_ns,F_E_Tot,F_SOL_SE_V_wll_wll_Bf_1996,F_SOL_SE_VW_W_1996_2000,F_SOL_SE_VW_W_2001_2005,F_SOL_SE_VW_W_2006,F_SOL_SE_VW_W_2007,F_SOL_SE_VW_W_2008,F_SOL_SE_VW_W_2009,F_SOL_SE_VW_W_2010,F_SOL_SE_VW_W_2011,F_SOL_SE_VW_W_Y_a_ns,F_SOL_SE_VW_W_Y_a_Total,F_SOL_SE_NW_NA_bf1996,F_SOL_SE_NW_NA_1996_2000,F_SOL_SE_NW_NA_2001_2005,F_SOL_SE_NW_NA_2006,F_SOL_SE_NW_NA_2007,F_SOL_SE_NW_NA_2008,F_SOL_SE_NW_NA_2009,F_SOL_SE_NW_NA_2010,F_SOL_SE_NW_NA_2011,F_SOL_SE_NW_NA_arrval_ns,F_SOL_SE_NW_NA_Total,F_SOL_SE_PE_ns_bf1996,F_SOL_SE_PE_ns_1996_2000,F_SOL_SE_PE_ns_2001_2005,F_SOL_SE_PE_ns_2006,F_SOL_SE_PE_ns_2007,F_SOL_SE_PE_ns_2008,F_SOL_SE_PE_ns_2009,F_SOL_SE_PE_ns_2010,F_SOL_SE_PE_ns_2011,F_SOL_SE_PE_ns_arrival_ns,F_SOL_SE_PE_ns_arvl_Total,F_SOL_SE_Tot_bf1996,F_SOL_SE_Tot_1996_2000,F_SOL_SE_Tot_2001_2005,F_SOL_SE_Tot_2006,F_SOL_SE_Tot_2007,F_SOL_SE_Tot_2008,F_SOL_SE_Tot_2009,F_SOL_SE_Tot_2010,F_SOL_SE_Tot_2011,F_SOL_SE_Tot_arrival_ns,F_SOL_SE_Tot_Total,F_L_prof_Eng_ns_bf1996,F_L_prof_Eng_ns_1996_2000,F_L_prof_Eng_ns_2001_2005,F_L_prof_Eng_ns_2006,F_L_prof_Eng_ns_2007,F_L_prof_Eng_ns_2008,F_L_prof_Eng_ns_2009,F_L_prof_Eng_ns_2010,F_L_prof_Eng_ns_2011,F_L_prof_Eng_ns_arrival_ns,F_L_prof_Eng_ns_Total,F_Tot_bf1996,F_Tot_1996_2000,F_Tot_2001_2005,F_Tot_2006,F_Tot_2007,F_Tot_2008,F_Tot_2009,F_Tot_2010,F_Tot_2011,F_Tot_Yr_arrival_not_stated,F_Tot_Total,P_EO_bf1996,P_EO_1996_2000,P_EO_2001_2005,P_EO_2006,P_EO_2007,P_EO_2008,P_EO_2009,P_EO_2010,P_EO_2011,P_EO_arrival_ns,P_EO_Tot,P_SOL_SE_V_wll_wll_Bf_1996,P_SOL_SE_VW_W_1996_2000,P_SOL_SE_VW_W_2001_2005,P_SOL_SE_VW_W_2006,P_SOL_SE_VW_W_2007,P_SOL_SE_VW_W_2008,P_SOL_SE_VW_W_2009,P_SOL_SE_VW_W_2010,P_SOL_SE_VW_W_2011,P_SOL_SE_VW_W_Y_a_ns,P_SOL_SE_VW_W_Y_a_Total,P_SOL_SE_NW_NA_bf1996,P_SOL_SE_NW_NA_1996_2000,P_SOL_SE_NW_NA_2001_2005,P_SOL_SE_NW_NA_2006,P_SOL_SE_NW_NA_2007,P_SOL_SE_NW_NA_2008,P_SOL_SE_NW_NA_2009,P_SOL_SE_NW_NA_2010,P_SOL_SE_NW_NA_2011,P_SOL_SE_NW_NA_arrval_ns,P_SOL_SE_NW_NA_Total,P_SOL_SE_PE_ns_bf1996,P_SOL_SE_PE_ns_1996_2000,P_SOL_SE_PE_ns_2001_2005,P_SOL_SE_PE_ns_2006,P_SOL_SE_PE_ns_2007,P_SOL_SE_PE_ns_2008,P_SOL_SE_PE_ns_2009,P_SOL_SE_PE_ns_2010,P_SOL_SE_PE_ns_2011,P_SOL_SE_PE_ns_arrival_ns,P_SOL_SE_PE_ns_arvl_Total,P_SOL_SE_Tot_bf1996,P_SOL_SE_Tot_1996_2000
POA6000,498,72,101,39,53,88,77,128,164,60,1280,245,52,109,43,87,103,113,147,81,48,1028,51,11,10,0,13,14,7,28,25,20,179,3,0,0,0,0,0,0,3,0,6,12,299,63,119,43,100,117,120,178,106,74,1219,3,0,0,0,0,3,3,5,0,4,18,800,135,220,82,153,208,200,311,270,138,2517,297,49,59,19,27,66,73,133,96,58,877,191,61,124,40,75,87,115,103,80,52,928,65,7,13,3,10,12,21,24,38,26,219,0,0,0,0,0,0,0,0,3,3,6,256,68,137,43,85,99,136,127,121,81,1153,0,3,0,0,0,0,0,0,0,0,3,553,120,196,62,112,165,209,260,217,139,2033,795,121,160,58,80,154,150,261,260,118,2157,436,113,233,83,162,190,228,250,161,100,1956,116,18,23,3,23,26,28,52,63,46,398,3,0,0,0,0,0,0,3,3,9,18,555,131
POA6003,169,23,22,10,14,17,28,39,30,13,365,82,8,29,18,27,38,34,43,10,13,302,23,3,3,0,5,3,8,8,10,14,77,0,0,4,0,0,0,0,0,0,0,4,105,11,36,18,32,41,42,51,20,27,383,3,0,0,0,0,0,0,0,0,0,3,277,34,58,28,46,58,70,90,50,40,751,130,11,16,10,14,10,20,22,27,16,276,66,16,34,26,28,25,44,37,17,22,315,32,6,0,0,7,6,7,4,12,8,82,3,0,0,0,0,0,0,0,0,0,3,101,22,34,26,35,31,51,41,29,30,400,3,0,0,0,0,0,0,4,0,0,7,234,33,50,36,49,41,71,67,56,46,683,299,34,38,20,28,27,48,61,57,29,641,148,24,63,44,55,63,78,80,27,35,617,55,9,3,0,12,9,15,12,22,22,159,3,0,4,0,0,0,0,0,0,0,7,206,33
POA6004,427,48,96,24,32,45,65,122,110,52,1021,224,60,140,71,79,109,127,123,88,49,1070,22,3,10,0,9,7,13,29,21,14,128,0,0,0,0,0,0,0,0,3,0,3,246,63,150,71,88,116,140,152,112,63,1201,0,0,0,0,0,0,0,5,0,0,5,673,111,246,95,120,161,205,279,222,115,2227,331,41,65,24,32,44,62,97,89,41,826,176,73,152,56,67,88,119,118,63,38,950,27,13,8,4,10,10,20,23,25,29,169,3,0,0,0,0,0,0,0,3,0,6,206,86,160,60,77,98,139,141,91,67,1125,0,0,3,0,0,0,0,5,0,0,8,537,127,228,84,109,142,201,243,180,108,1959,758,89,161,48,64,89,127,219,199,93,1847,400,133,292,127,146,197,246,241,151,87,2020,49,16,18,4,19,17,33,52,46,43,297,3,0,0,0,0,0,0,0,6,0,9,452,149
POA6005,290,32,52,17,30,42,41,68,61,30,663,108,20,78,31,37,49,55,53,44,21,496,23,0,3,3,0,13,12,7,12,10,83,0,0,0,0,0,0,0,0,0,0,0,131,20,81,34,37,62,67,60,56,31,579,3,0,0,0,0,0,0,0,0,0,3,424,52,133,51,67,104,108,128,117,61,1245,198,21,42,12,35,44,40,45,47,16,500,111,20,70,29,23,56,49,68,47,16,489,40,6,8,5,10,11,7,6,14,17,124,0,0,0,0,0,0,0,0,0,0,0,151,26,78,34,33,67,56,74,61,33,613,0,0,0,0,0,3,0,0,0,0,3,349,47,120,46,68,114,96,119,108,49,1116,488,53,94,29,65,86,81,113,108,46,1163,219,40,148,60,60,105,104,121,91,37,985,63,6,11,8,10,24,19,13,26,27,207,0,0,0,0,0,0,0,0,0,0,0,282,46
POA6006,431,44,49,24,30,33,20,32,17,34,714,310,12,30,18,27,25,21,26,12,24,505,97,9,0,0,0,0,3,9,0,17,135,0,0,0,0,0,0,0,3,0,0,3,407,21,30,18,27,25,24,38,12,41,643,0,0,0,0,0,3,0,0,0,0,3,838,65,79,42,57,61,44,70,29,75,1360,388,42,44,11,14,29,25,22,23,38,636,327,39,42,12,22,18,24,23,9,20,536,175,4,4,0,0,5,3,10,7,41,249,0,0,0,0,0,0,0,0,0,4,4,502,43,46,12,22,23,27,33,16,65,789,4,0,0,0,0,0,0,0,0,0,4,894,85,90,23,36,52,52,55,39,103,1429,819,86,93,35,44,62,45,54,40,72,1350,637,51,72,30,49,43,45,49,21,44,1041,272,13,4,0,0,5,6,19,7,58,384,0,0,0,0,0,0,0,3,0,4,7,909,64
POA6007,400,41,48,27,26,36,38,49,45,33,743,123,23,38,21,27,35,40,26,14,9,356,29,0,0,0,0,0,3,3,0,3,38,0,0,0,0,0,0,0,0,3,3,6,152,23,38,21,27,35,43,29,17,15,400,3,0,0,0,3,0,0,0,0,0,6,555,64,86,48,56,71,81,78,62,48,1149,421,44,32,12,23,31,38,43,29,30,703,180,33,51,14,28,29,39,28,18,5,425,38,4,4,3,4,0,3,5,5,7,73,3,0,0,0,0,0,0,0,0,0,3,221,37,55,17,32,29,42,33,23,12,501,0,0,0,0,0,0,0,0,0,3,3,642,81,87,29,55,60,80,76,52,45,1207,821,85,80,39,49,67,76,92,74,63,1446,303,56,89,35,55,64,79,54,32,14,781,67,4,4,3,4,0,6,8,5,10,111,3,0,0,0,0,0,0,0,3,3,9,373,60
POA6008,862,123,138,45,48,75,69,115,79,59,1613,162,44,77,34,42,61,50,70,43,15,598,18,8,3,3,4,0,7,19,9,10,81,3,0,3,0,0,0,0,0,0,7,13,183,52,83,37,46,61,57,89,52,32,692,0,0,0,0,0,0,0,0,0,0,0,1045,175,221,82,94,136,126,204,131,91,2305,834,93,132,38,51,75,88,117,78,65,1571,257,54,101,38,60,63,66,61,47,23,770,39,12,8,0,4,3,12,14,19,9,120,0,0,0,0,0,0,0,0,0,0,0,296,66,109,38,64,66,78,75,66,32,890,0,0,0,0,0,0,0,0,0,0,0,1130,159,241,76,115,141,166,192,144,97,2461,1696,216,270,83,99,150,157,232,157,124,3184,419,98,178,72,102,124,116,131,90,38,1368,57,20,11,3,8,3,19,33,28,19,201,3,0,3,0,0,0,0,0,0,7,13,479,118
POA6009,977,159,173,35,51,72,86,70,47,64,1734,372,70,108,38,68,119,188,170,91,20,1244,12,0,7,3,9,5,17,14,14,9,90,0,0,0,0,0,3,0,0,0,3,6,384,70,115,41,77,127,205,184,105,32,1340,4,0,0,0,3,0,0,0,0,0,7,1365,229,288,76,131,199,291,254,152,96,3081,1044,172,180,28,53,62,72,69,60,67,1807,437,96,125,41,80,112,148,151,90,37,1317,24,11,4,0,3,5,19,17,21,13,117,0,0,0,0,0,0,0,3,3,0,6,461,107,129,41,83,117,167,171,114,50,1440,3,0,0,0,0,0,0,3,0,0,6,1508,279,309,69,136,179,239,243,174,117,3253,2021,331,353,63,104,134,158,139,107,131,3541,809,166,233,79,148,231,336,321,181,57,2561,36,11,11,3,12,10,36,31,35,22,207,0,0,0,0,0,3,0,3,3,3,12,845,177
POA6010,899,141,179,37,58,56,58,65,59,78,1630,154,40,71,29,27,45,63,55,37,19,540,0,0,3,0,0,0,5,7,4,3,22,4,0,0,0,0,0,0,0,0,8,12,158,40,74,29,27,45,68,62,41,30,574,0,0,0,0,0,0,0,0,0,0,0,1057,181,253,66,85,101,126,127,100,108,2204,992,139,185,33,48,44,45,76,72,65,1699,213,47,87,34,33,46,48,50,41,20,619,11,5,0,3,3,4,6,10,8,5,55,3,0,0,0,0,0,0,0,0,8,11,227,52,87,37,36,50,54,60,49,33,685,0,0,0,0,0,0,0,0,0,0,0,1219,191,272,70,84,94,99,136,121,98,2384,1891,280,364,70,106,100,103,141,131,143,3329,367,87,158,63,60,91,111,105,78,39,1159,11,5,3,3,3,4,11,17,12,8,77,7,0,0,0,0,0,0,0,0,16,23,385,92
POA6011,440,53,67,22,22,35,40,46,66,36,827,59,7,17,6,8,10,11,22,6,9,155,3,0,0,0,0,3,0,3,0,0,9,0,3,3,0,0,0,0,0,0,0,6,62,10,20,6,8,13,11,25,6,9,170,0,0,0,0,0,0,0,0,0,0,0,502,63,87,28,30,48,51,71,72,45,997,439,58,69,24,18,27,61,58,50,48,852,87,15,24,0,4,18,27,34,13,9,231,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,87,15,24,0,4,18,27,37,13,9,234,0,0,0,0,0,0,0,0,0,0,0,526,73,93,24,22,45,88,95,63,57,1086,879,111,136,46,40,62,101,104,116,84,1679,146,22,41,6,12,28,38,56,19,18,386,3,0,0,0,0,3,0,6,0,0,12,0,3,3,0,0,0,0,0,0,0,6,149,25
POA6012,468,58,111,27,31,46,41,40,35,36,893,100,26,62,13,22,35,30,22,26,13,349,6,3,0,0,0,0,5,3,7,3,27,0,0,0,0,0,0,0,0,0,3,3,106,29,62,13,22,35,35,25,33,19,379,0,0,0,0,0,0,0,3,0,0,3,574,87,173,40,53,81,76,68,68,55,1275,468,76,146,35,39,43,55,55,54,50,1021,135,57,68,9,32,35,46,33,27,16,458,11,6,0,0,6,3,6,3,0,0,35,3,3,0,0,0,0,0,0,0,3,9,149,66,68,9,38,38,52,36,27,19,502,0,0,0,0,0,0,0,0,3,3,6,617,142,214,44,77,81,107,91,84,72,1529,936,134,257,62,70,89,96,95,89,86,1914,235,83,130,22,54,70,76,55,53,29,807,17,9,0,0,6,3,11,6,7,3,62,3,3,0,0,0,0,0,0,0,6,12,255,95
POA6014,1002,130,183,58,48,84,81,85,57,53,1781,236,57,127,83,57,114,118,97,65,24,978,12,3,4,0,0,6,10,19,10,10,74,0,0,0,0,0,0,0,0,0,0,0,248,60,131,83,57,120,128,116,75,34,1052,0,0,5,3,0,0,0,0,0,0,8,1250,190,319,144,105,204,209,201,132,87,2841,1004,135,180,41,46,70,58,68,54,54,1710,280,62,133,50,56,97,116,123,85,29,1031,29,5,6,0,4,7,17,23,21,12,124,8,0,0,0,0,0,0,0,0,0,8,317,67,139,50,60,104,133,146,106,41,1163,0,0,0,3,0,0,0,0,3,0,6,1321,202,319,94,106,174,191,214,163,95,2879,2006,265,363,99,94,154,139,153,111,107,3491,516,119,260,133,113,211,234,220,150,53,2009,41,8,10,0,4,13,27,42,31,22,198,8,0,0,0,0,0,0,0,0,0,8,565,127
POA6015,390,73,102,11,17,30,17,41,28,24,733,103,20,9,0,9,4,14,16,6,10,191,0,0,0,0,0,0,0,0,5,3,8,3,0,0,0,0,0,0,0,0,0,3,106,20,9,0,9,4,14,16,11,13,202,3,0,0,0,0,0,0,0,0,0,3,499,93,111,11,26,34,31,57,39,37,938,414,49,90,12,17,28,16,35,27,22,710,129,24,18,6,7,4,17,15,11,8,239,12,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,141,24,18,6,7,4,17,15,11,11,254,3,0,0,0,0,0,0,0,0,3,6,558,73,108,18,24,32,33,50,38,36,970,804,122,192,23,34,58,33,76,55,46,1443,232,44,27,6,16,8,31,31,17,18,430,12,0,0,0,0,0,0,0,5,6,23,3,0,0,0,0,0,0,0,0,0,3,247,44
POA6016,481,62,76,23,18,31,34,44,50,31,850,215,31,55,36,41,84,101,43,33,31,670,38,10,5,5,0,5,6,15,12,11,107,4,0,3,0,0,0,0,0,0,3,10,257,41,63,41,41,89,107,58,45,45,787,6,0,0,0,0,0,0,0,0,0,6,744,103,139,64,59,120,141,102,95,76,1643,404,52,61,16,24,24,31,31,25,35,703,268,54,51,26,38,55,74,57,29,24,676,86,4,0,3,0,7,9,15,10,19,153,0,0,0,0,0,0,0,0,0,0,0,354,58,51,29,38,62,83,72,39,43,829,9,0,0,0,0,0,0,0,0,0,9,767,110,112,45,62,86,114,103,64,78,1541,885,114,137,39,42,55,65,75,75,66,1553,483,85,106,62,79,139,175,100,62,55,1346,124,14,5,8,0,12,15,30,22,30,260,4,0,3,0,0,0,0,0,0,3,10,611,99
POA6017,162,20,30,14,7,19,13,20,16,12,313,107,36,78,36,43,66,61,33,16,17,493,32,3,3,3,4,3,7,8,11,0,74,0,0,0,0,0,0,0,0,0,0,0,139,39,81,39,47,69,68,41,27,17,567,3,0,0,0,0,0,0,0,0,0,3,304,59,111,53,54,88,81,61,43,29,883,146,13,33,9,3,16,17,21,19,10,287,114,34,46,17,39,53,65,40,23,17,448,50,3,10,3,3,5,8,11,8,7,108,0,0,0,0,0,0,0,0,0,5,5,164,37,56,20,42,58,73,51,31,29,561,0,0,0,0,0,0,0,0,0,0,0,310,50,89,29,45,74,90,72,50,39,848,308,33,63,23,10,35,30,41,35,22,600,221,70,124,53,82,119,126,73,39,34,941,82,6,13,6,7,8,15,19,19,7,182,0,0,0,0,0,0,0,0,0,5,5,303,76
POA6018,1823,281,345,86,129,173,127,140,83,151,3338,532,151,241,82,98,107,96,82,43,38,1470,57,11,4,6,3,9,5,8,11,9,123,5,0,0,0,0,0,0,0,0,8,13,594,162,245,88,101,116,101,90,54,55,1606,6,0,3,0,3,0,0,0,0,3,15,2423,443,593,174,233,289,228,230,137,209,4959,1947,258,335,67,98,135,109,130,65,167,3311,695,188,265,80,100,107,103,97,40,44,1719,111,14,22,6,5,11,16,22,7,15,229,3,0,0,0,3,0,0,0,0,8,14,809,202,287,86,108,118,119,119,47,67,1962,5,3,3,0,0,0,0,0,0,3,14,2761,463,625,153,206,253,228,249,112,237,5287,3770,539,680,153,227,308,236,270,148,318,6649,1227,339,506,162,198,214,199,179,83,82,3189,168,25,26,12,8,20,21,30,18,24,352,8,0,0,0,3,0,0,0,0,16,27,1403,364
POA6019,1066,169,233,81,116,142,131,177,117,92,2324,202,69,115,38,48,78,58,50,43,26,727,13,0,0,0,3,0,9,11,13,7,56,5,0,0,0,0,0,0,0,0,4,9,220,69,115,38,51,78,67,61,56,37,792,0,0,0,0,0,0,0,0,0,0,0,1286,238,348,119,167,220,198,238,173,129,3116,1120,134,186,69,89,104,132,133,102,88,2157,262,83,110,47,64,77,62,64,44,36,849,20,6,6,0,0,5,7,14,6,9,73,3,0,0,0,0,0,0,0,0,3,6,285,89,116,47,64,82,69,78,50,48,928,4,0,0,0,0,3,0,0,3,0,10,1409,223,302,116,153,189,201,211,155,136,3095,2186,303,419,150,205,246,263,310,219,180,4481,464,152,225,85,112,155,120,114,87,62,1576,33,6,6,0,3,5,16,25,19,16,129,8,0,0,0,0,0,0,0,0,7,15,505,158
