region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
POA6000,256,86,185,216,256,305,227,155,2372,3,3,0,0,0,3,3,5,0,4,21,1353,255,416,144,265,373,409,571,487,277,4550
POA6003,70,44,67,72,93,92,49,57,783,6,0,0,0,0,0,0,4,0,0,10,511,67,108,64,95,99,141,157,106,86,1434
POA6004,310,131,165,214,279,293,203,130,2326,0,0,3,0,0,0,0,10,0,0,13,1210,238,474,179,229,303,406,522,402,223,4186
POA6005,159,68,70,129,123,134,117,64,1192,3,0,0,0,0,3,0,0,0,0,6,773,99,253,97,135,218,204,247,225,110,2361
POA6006,76,30,49,48,51,71,28,106,1432,4,0,0,0,0,3,0,0,0,0,7,1732,150,169,65,93,113,96,125,68,178,2789
POA6007,93,38,59,64,85,62,40,27,901,3,0,0,0,3,0,0,0,0,3,9,1197,145,173,77,111,131,161,154,114,93,2356
POA6008,192,75,110,127,135,164,118,64,1582,0,0,0,0,0,0,0,0,0,0,0,2175,334,462,158,209,277,292,396,275,188,4766
POA6009,244,82,160,244,372,355,219,82,2780,7,0,0,0,3,0,0,3,0,0,13,2873,508,597,145,267,378,530,497,326,213,6334
POA6010,161,66,63,95,122,122,90,63,1259,0,0,0,0,0,0,0,0,0,0,0,2276,372,525,136,169,195,225,263,221,206,4588
POA6011,44,6,12,31,38,62,19,18,404,0,0,0,0,0,0,0,0,0,0,0,1028,136,180,52,52,93,139,166,135,102,2083
POA6012,130,22,60,73,87,61,60,38,881,0,0,0,0,0,0,0,3,3,3,9,1191,229,387,84,130,162,183,159,152,127,2804
POA6014,270,133,117,224,261,262,181,75,2215,0,0,5,6,0,0,0,0,3,0,14,2571,392,638,238,211,378,400,415,295,182,5720
POA6015,27,6,16,8,31,31,22,24,456,6,0,0,0,0,0,0,0,0,3,9,1057,166,219,29,50,66,64,107,77,73,1908
POA6016,114,70,79,151,190,130,84,88,1616,15,0,0,0,0,0,0,0,0,0,15,1511,213,251,109,121,206,255,205,159,154,3184
POA6017,137,59,89,127,141,92,58,46,1128,3,0,0,0,0,0,0,0,0,0,3,614,109,200,82,99,162,171,133,93,68,1731
POA6018,532,174,209,234,220,209,101,122,3568,11,3,6,0,3,0,0,0,0,6,29,5184,906,1218,327,439,542,456,479,249,446,10246
POA6019,231,85,115,160,136,139,106,85,1720,4,0,0,0,0,3,0,0,3,0,10,2695,461,650,235,320,409,399,449,328,265,6211
POA6020,125,41,38,64,53,48,28,39,1242,9,3,0,0,0,0,0,0,0,0,12,3464,553,638,166,178,232,187,169,104,181,5872
POA6021,399,147,183,229,199,127,72,265,4604,15,6,3,3,0,6,0,0,3,6,42,4263,458,633,224,265,333,255,204,149,365,7149
POA6022,46,19,14,18,22,9,6,16,411,0,0,0,0,0,0,0,3,0,0,3,888,97,114,31,39,48,35,22,26,65,1365
POA6023,142,34,62,72,33,40,21,37,1088,10,0,0,0,0,0,0,0,0,0,10,2653,536,605,201,192,245,138,142,91,186,4989
POA6024,109,29,50,71,56,32,30,24,1022,6,0,0,0,3,0,0,3,0,3,15,2308,323,419,104,185,184,139,122,75,112,3971
POA6025,273,84,98,144,113,69,60,94,2255,10,0,3,0,3,0,0,3,3,0,22,5829,929,1256,387,406,492,386,336,269,405,10695
POA6026,153,68,58,63,67,53,29,47,1310,0,0,0,3,0,0,0,0,0,13,16,4099,508,973,331,288,313,246,211,131,292,7392
POA6027,418,169,200,294,296,274,128,190,3668,14,6,3,0,0,3,0,3,3,8,40,8911,1424,2306,723,791,979,765,735,463,708,17805
POA6028,301,87,84,144,124,103,65,68,1826,8,0,0,0,0,3,0,0,0,0,11,3832,1108,1675,532,587,635,517,420,251,319,9876
POA6029,15,6,0,0,11,6,6,3,97,0,0,0,0,0,0,0,0,0,0,0,361,37,56,10,18,11,30,28,20,14,585
POA6030,663,221,200,300,196,193,125,146,3247,10,3,7,0,3,0,0,9,0,0,32,5636,1364,2546,1092,1004,1095,778,754,448,642,15359
POA6031,262,97,61,120,62,50,22,39,1026,0,0,4,3,0,0,0,0,0,0,7,1517,417,1024,400,488,436,288,138,121,167,4996
POA6032,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,40,0,15,0,0,0,3,0,0,0,58
POA6033,7,6,3,3,3,0,3,7,61,0,0,0,0,0,0,0,0,0,0,0,94,28,44,9,10,17,12,5,9,18,246
POA6035,25,6,13,17,8,8,0,13,171,3,3,0,0,0,0,0,0,0,3,9,744,111,208,96,105,120,49,44,14,99,1590
POA6036,202,72,102,126,70,37,32,30,884,6,0,0,3,0,0,0,0,0,0,9,1206,349,1022,483,648,618,326,239,162,150,5203
POA6037,6,0,3,4,7,12,0,3,82,0,0,0,0,0,0,0,0,0,0,0,396,41,53,8,23,16,19,17,0,22,595
POA6041,0,0,0,0,0,0,0,3,46,0,0,0,0,0,0,0,0,0,0,0,288,15,24,11,8,6,8,0,0,21,381
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,15
