region_id,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_Tot_M_EO,C10_12F_O_E_Tot_M_O_EVWW,C10_12F_O_E_Tot_M_O_ENWNA,C10_12F_O_E_Tot_M_O_PENS,C10_12F_O_E_Tot_M_O_E_T,C10_12F_O_E_Tot_M_LPENS,C10_12F_O_E_Tot_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_TM_EO,C13_14F_O_E_TM_O_EVWW,C13_14F_O_E_TM_O_ENWNA,C13_14F_O_E_TM_O_PENS,C13_14F_O_E_TM_O_E_T,C13_14F_O_E_TM_LPENS,C13_14F_O_E_TM_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
POA6000,82,4,0,0,4,0,86,19,66,4,0,70,0,89,0,16,4,0,20,0,20,0,0,0,3,3,0,3,19,82,8,3,93,0,112,0,3,3,0,6,0,6,101,89,11,3,103,0,204,35,0,0,0,0,0,35,14,33,3,0,36,0,50,0,0,5,0,5,0,5,0,0,0,0,0,0,0,14,33,8,0,41,0,55,0,0,0,0,0,0,0,49,33,8,0,41,0,90,18,0,0,0,0,0,18,3,13,0,0,13,0,16,0,0,5,0,5,0,5,0,0,0,0,0,0,0,3,13,5,0,18,0,21,0,0,3,0,3,3,6,21,13,8,0,21,3,45,22,0,0,0,0,0,22,3,5,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,8,0,0,0,0,0,0,0,25,5,0,0,5,0,30,16,0,0,0
POA6003,27,3,0,0,3,0,30,7,13,0,0,13,0,20,0,0,3,0,3,0,3,0,0,0,0,0,0,0,7,13,3,0,16,0,23,0,3,0,0,3,0,3,34,19,3,0,22,0,56,13,0,0,0,0,0,13,0,14,0,0,14,0,14,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,14,3,0,17,0,17,0,0,0,0,0,0,0,13,14,3,0,17,0,30,8,0,0,0,0,0,8,0,10,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,0,0,0,0,0,0,8,10,0,0,10,0,18,7,0,0,0,0,0,7,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,7,3,0,0,3,0,10,7,0,0,0
POA6004,65,10,0,0,10,0,75,21,83,0,0,83,0,104,0,12,6,0,18,0,18,0,0,0,0,0,0,0,21,95,6,0,101,0,122,0,3,0,0,3,0,3,86,108,6,0,114,0,200,27,3,0,0,3,0,30,3,24,5,0,29,0,32,0,6,0,0,6,0,6,0,0,0,0,0,0,0,3,30,5,0,35,0,38,0,0,0,0,0,0,0,30,33,5,0,38,0,68,11,0,0,0,0,0,11,0,12,0,0,12,0,12,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,17,0,0,17,0,17,0,0,0,0,0,0,0,11,17,0,0,17,0,28,6,3,0,0,3,0,9,4,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,8,0,0,0,0,0,0,0,10,7,0,0,7,0,17,19,0,0,0
POA6005,43,3,0,0,3,0,46,7,42,0,0,42,0,49,0,8,3,0,11,0,11,0,0,0,0,0,0,0,7,50,3,0,53,0,60,0,0,0,0,0,0,0,50,53,3,0,56,0,106,17,0,0,0,0,0,17,5,13,0,0,13,0,18,0,3,3,0,6,0,6,0,0,0,0,0,0,0,5,16,3,0,19,0,24,0,0,0,0,0,0,0,22,16,3,0,19,0,41,11,0,0,0,0,0,11,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,11,8,0,0,8,0,19,3,3,0,0,3,0,6,0,5,0,0,5,0,5,0,3,3,0,6,0,6,0,0,0,0,0,0,0,0,8,3,0,11,0,11,0,0,0,0,0,0,0,3,11,3,0,14,0,17,5,0,0,0
POA6006,390,20,0,0,20,0,410,32,46,3,0,49,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,46,3,0,49,0,81,0,0,0,0,0,0,0,422,66,3,0,69,0,491,281,8,0,0,8,0,289,13,53,3,0,56,0,69,0,5,3,0,8,0,8,0,0,0,0,0,0,0,13,58,6,0,64,0,77,0,0,0,0,0,0,0,294,66,6,0,72,0,366,124,3,0,0,3,0,127,4,26,3,0,29,0,33,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,29,3,0,32,0,36,0,0,0,0,0,0,0,128,32,3,0,35,0,163,72,5,0,0,5,0,77,3,13,0,0,13,0,16,0,3,3,0,6,0,6,0,0,0,0,0,0,0,3,16,3,0,19,0,22,0,0,0,0,0,0,0,75,21,3,0,24,0,99,64,3,0,0
POA6007,221,9,0,0,9,0,230,33,56,0,0,56,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,56,0,0,56,0,89,0,0,0,0,0,0,0,254,65,0,0,65,0,319,141,3,0,3,6,0,147,15,25,0,0,25,0,40,0,5,0,0,5,0,5,0,0,0,0,0,0,0,15,30,0,0,30,0,45,0,0,0,0,0,0,0,156,33,0,3,36,0,192,63,3,0,0,3,0,66,8,11,0,0,11,0,19,0,0,3,0,3,0,3,0,0,0,0,0,0,0,8,11,3,0,14,0,22,0,0,0,0,0,0,0,71,14,3,0,17,0,88,41,0,0,0,0,0,41,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,41,8,0,0,8,0,49,70,0,0,0
POA6008,425,27,0,0,27,0,452,42,87,4,0,91,0,133,0,11,0,0,11,0,11,0,0,0,0,0,0,0,42,98,4,0,102,0,144,0,0,0,0,0,0,0,467,125,4,0,129,0,596,424,9,0,0,9,0,433,24,75,3,0,78,0,102,0,8,7,0,15,0,15,0,0,0,0,0,0,0,24,83,10,0,93,0,117,0,0,0,0,0,0,0,448,92,10,0,102,0,550,221,8,0,0,8,0,229,17,40,0,0,40,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40,0,0,40,0,57,0,0,0,0,0,0,0,238,48,0,0,48,0,286,108,4,0,0,4,0,112,6,18,0,0,18,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,18,0,24,0,0,0,0,0,0,0,114,22,0,0,22,0,136,182,0,0,0
POA6009,460,17,0,4,21,0,481,47,140,6,0,146,0,193,0,14,0,0,14,0,14,0,0,0,0,0,0,0,47,154,6,0,160,0,207,0,0,0,0,0,0,0,507,171,6,4,181,0,688,640,24,0,3,27,0,667,37,144,5,0,149,0,186,0,7,0,0,7,0,7,0,0,0,0,0,0,0,37,151,5,0,156,0,193,0,0,0,0,0,0,0,677,175,5,3,183,0,860,438,15,0,0,15,3,456,21,71,0,0,71,0,92,0,4,0,0,4,0,4,0,0,0,0,0,0,0,21,75,0,0,75,0,96,0,0,0,0,0,0,0,459,90,0,0,90,3,552,262,5,0,0,5,0,267,12,47,0,0,47,0,59,0,4,0,0,4,0,4,0,0,0,0,0,0,0,12,51,0,0,51,0,63,0,0,0,0,0,0,0,274,56,0,0,56,0,330,363,13,0,0
POA6010,519,13,0,0,13,0,532,32,64,0,0,64,0,96,0,3,0,0,3,0,3,0,0,0,0,0,0,0,32,67,0,0,67,0,99,0,0,0,0,0,0,0,551,80,0,0,80,0,631,575,15,0,0,15,0,590,33,77,0,0,77,0,110,0,3,0,0,3,0,3,0,0,0,0,0,0,0,33,80,0,0,80,0,113,0,0,0,0,0,0,0,608,95,0,0,95,0,703,350,13,0,0,13,0,363,18,36,4,0,40,0,58,0,0,0,0,0,0,0,3,0,0,0,0,0,3,21,36,4,0,40,0,61,0,0,0,0,0,0,0,371,49,4,0,53,0,424,228,6,0,0,6,0,234,10,32,0,0,32,0,42,0,3,0,0,3,0,3,0,0,0,0,0,0,0,10,35,0,0,35,0,45,0,0,0,0,0,0,0,238,41,0,0,41,0,279,318,7,0,0
POA6011,269,6,0,0,6,0,275,14,19,0,0,19,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,0,19,0,33,0,0,0,0,0,0,0,283,25,0,0,25,0,308,385,7,0,0,7,0,392,11,26,0,0,26,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,0,0,26,0,37,0,0,0,0,0,0,0,396,33,0,0,33,0,429,224,6,0,3,9,0,233,9,15,0,0,15,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,15,0,24,0,0,0,0,0,0,0,233,21,0,3,24,0,257,152,7,0,0,7,0,159,3,7,0,0,7,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,7,0,0,7,0,13,0,0,0,0,0,0,0,158,14,0,0,14,0,172,174,0,0,0
