region_id,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_Tot_M_EO,C15_17F_O_E_Tot_M_O_EVWW,C15_17F_O_E_Tot_M_O_ENWNA,C15_17F_O_E_Tot_M_O_PENS,C15_17F_O_E_Tot_M_O_E_T,C15_17F_O_E_Tot_M_LPENS,C15_17F_O_E_Tot_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_Tot_M_EO,C15_17F_Tot_M_O_EVWW,C15_17F_Tot_M_O_ENWNA,C15_17F_Tot_M_O_PENS,C15_17F_Tot_M_O_E_T,C15_17F_Tot_M_LPENS,C15_17F_Tot_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_Tot_M_EO,C18_20F_O_E_Tot_M_O_EVWW,C18_20F_O_E_Tot_M_O_ENWNA,C18_20F_O_E_Tot_M_O_PENS,C18_20F_O_E_Tot_M_O_E_T,C18_20F_O_E_Tot_M_LPENS,C18_20F_O_E_Tot_M_Tot,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_Tot_M_EO,C18_20F_Tot_M_O_EVWW,C18_20F_Tot_M_O_ENWNA,C18_20F_Tot_M_O_PENS,C18_20F_Tot_M_O_E_T,C18_20F_Tot_M_LPENS,C18_20F_Tot_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_Tot_M_EO,C21_24F_O_E_Tot_M_O_EVWW,C21_24F_O_E_Tot_M_O_ENWNA,C21_24F_O_E_Tot_M_O_PENS,C21_24F_O_E_Tot_M_O_E_T,C21_24F_O_E_Tot_M_LPENS,C21_24F_O_E_Tot_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_Tot_M_EO,C21_24F_Tot_M_O_EVWW,C21_24F_Tot_M_O_ENWNA,C21_24F_Tot_M_O_PENS,C21_24F_Tot_M_O_E_T,C21_24F_Tot_M_LPENS,C21_24F_Tot_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_Tot_M_EO,TCF_O_E_Tot_M_O_EVWW,TCF_O_E_Tot_M_O_ENWNA,TCF_O_E_Tot_M_O_PENS,TCF_O_E_Tot_M_O_E_T,TCF_O_E_Tot_M_LPENS,TCF_O_E_Tot_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_Tot_M_EO,TCF_Tot_M_O_EVWW,TCF_Tot_M_O_ENWNA,TCF_Tot_M_O_PENS,TCF_Tot_M_O_E_T,TCF_Tot_M_LPENS,TCF_Tot_M_T
POA6000,0,0,16,0,10,0,0,10,0,10,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,10,5,0,15,0,15,0,0,0,0,0,0,0,16,10,5,0,15,0,31,10,0,0,0,0,0,10,0,4,0,0,4,0,4,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,4,4,0,8,0,8,0,0,0,0,0,0,0,10,4,4,0,8,0,18,3,3,0,0,3,0,6,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,3,8,0,0,8,0,11,186,7,0,0,7,0,193,39,136,7,0,143,0,182,0,16,23,0,39,0,39,0,0,0,3,3,0,3,39,152,30,3,185,0,224,0,3,6,0,9,3,12,225,162,36,3,201,3,429
POA6003,0,0,7,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,7,3,0,0,3,0,10,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,0,7,0,7,0,0,0,0,0,0,0,0,3,4,0,7,0,7,0,0,0,0,0,0,0,6,3,4,0,7,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,71,3,0,0,3,0,74,7,40,0,0,40,0,47,0,6,10,0,16,0,16,0,0,0,0,0,0,0,7,46,10,0,56,0,63,0,3,0,0,3,0,3,78,52,10,0,62,0,140
POA6004,0,0,19,3,7,0,0,7,0,10,0,4,0,0,4,0,4,0,0,0,0,0,0,0,3,11,0,0,11,0,14,0,0,0,0,0,0,0,22,11,0,0,11,0,33,12,0,0,0,0,0,12,0,7,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7,0,0,0,0,0,0,0,12,7,0,0,7,0,19,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,146,16,0,0,16,0,162,31,137,5,0,142,0,173,0,27,6,0,33,0,33,0,0,0,0,0,0,0,31,164,11,0,175,0,206,0,3,0,0,3,0,3,177,183,11,0,194,0,371
POA6005,0,0,5,4,4,0,0,4,0,8,0,3,3,0,6,0,6,0,0,0,0,0,0,0,4,7,3,0,10,0,14,0,0,0,0,0,0,0,9,7,3,0,10,0,19,5,3,0,0,3,0,8,0,4,0,0,4,0,4,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,4,3,0,7,0,7,0,0,0,0,0,0,0,5,7,3,0,10,0,15,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,88,9,0,0,9,0,97,16,76,0,0,76,0,92,0,17,15,0,32,0,32,0,0,0,0,0,0,0,16,93,15,0,108,0,124,0,0,0,0,0,0,0,104,102,15,0,117,0,221
POA6006,3,0,67,4,20,0,0,20,0,24,0,0,5,0,5,0,5,0,0,0,0,0,0,0,4,20,5,0,25,0,29,0,0,0,0,0,0,0,68,23,5,0,28,0,96,43,0,0,0,0,0,43,3,12,3,0,15,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,0,15,0,18,0,0,0,0,0,0,0,46,12,3,0,15,0,61,11,0,0,0,0,0,11,3,7,0,0,7,0,10,0,6,3,0,9,0,9,0,0,0,0,0,0,0,3,13,3,0,16,0,19,0,0,0,0,0,0,0,14,13,3,0,16,0,30,985,39,0,0,39,0,1024,62,177,12,0,189,0,251,0,17,14,0,31,0,31,0,0,0,0,0,0,0,62,194,26,0,220,0,282,0,0,0,0,0,0,0,1047,233,26,0,259,0,1306
POA6007,0,0,70,3,6,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,9,0,0,0,0,0,0,0,73,6,0,0,6,0,79,45,0,0,0,0,0,45,0,3,0,0,3,0,3,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,6,0,6,0,0,0,0,0,0,0,45,3,3,0,6,0,51,17,0,0,0,0,0,17,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,20,0,0,0,0,0,20,598,15,0,3,18,0,616,62,109,0,0,109,0,171,0,5,6,0,11,0,11,0,0,0,0,0,0,0,62,114,6,0,120,0,182,0,0,0,0,0,0,0,660,129,6,3,138,0,798
POA6008,0,0,182,11,14,0,0,14,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,14,0,25,0,0,0,0,0,0,0,193,14,0,0,14,0,207,118,0,0,0,0,0,118,8,8,0,0,8,0,16,0,4,0,0,4,0,4,0,0,0,0,0,0,0,8,12,0,0,12,0,20,0,0,0,0,0,0,0,126,12,0,0,12,0,138,66,3,0,0,3,0,69,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,69,6,0,0,6,0,75,1544,51,0,0,51,0,1595,111,245,7,0,252,0,363,0,23,7,0,30,0,30,0,0,0,0,0,0,0,111,268,14,0,282,0,393,0,0,0,0,0,0,0,1655,319,14,0,333,0,1988
POA6009,13,0,376,21,62,4,0,66,0,87,0,3,0,0,3,0,3,0,0,0,0,0,0,0,21,65,4,0,69,0,90,0,0,0,0,0,0,0,384,78,4,0,82,0,466,264,3,0,0,3,0,267,9,38,4,0,42,0,51,0,3,4,0,7,0,7,0,0,0,0,0,0,0,9,41,8,0,49,0,58,0,0,0,0,0,0,0,273,44,8,0,52,0,325,159,0,0,0,0,0,159,3,38,0,0,38,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,38,0,41,0,0,0,0,0,0,0,162,38,0,0,38,0,200,2586,77,0,7,84,3,2673,150,540,19,0,559,0,709,0,35,4,0,39,0,39,0,0,0,0,0,0,0,150,575,23,0,598,0,748,0,0,0,0,0,0,0,2736,652,23,7,682,3,3421
POA6010,7,0,325,7,38,0,0,38,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,38,0,0,38,0,45,0,0,0,0,0,0,0,325,45,0,0,45,0,370,186,3,0,0,3,0,189,8,37,0,0,37,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37,0,0,37,0,45,0,0,0,0,0,0,0,194,40,0,0,40,0,234,139,3,0,3,6,0,145,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,139,11,0,3,14,0,153,2315,60,0,3,63,0,2378,108,292,4,0,296,0,404,0,9,0,0,9,0,9,3,0,0,0,0,0,3,111,301,4,0,305,0,416,0,0,0,0,0,0,0,2426,361,4,3,368,0,2794
POA6011,0,0,174,12,10,0,0,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,0,10,0,22,0,0,0,0,0,0,0,186,10,0,0,10,0,196,135,3,0,0,3,0,138,4,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,0,9,0,0,0,0,0,0,0,139,8,0,0,8,0,147,91,3,0,0,3,0,94,3,3,3,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,6,0,9,0,0,0,0,0,0,0,94,6,3,0,9,0,103,1430,32,0,3,35,0,1465,56,85,3,0,88,0,144,0,0,0,0,0,0,0,3,0,0,0,0,0,3,59,85,3,0,88,0,147,0,0,0,0,0,0,0,1489,117,3,3,123,0,1612
