region_id,SEO_Males,SEO_Females,SEO_Persons,SOL_Arabic_M,SOL_Arabic_F,SOL_Arabic_P,SOL_Assyrian_M,SOL_Assyrian_F,SOL_Assyrian_P,SOL_Aus_Indig_Lang_M,SOL_Aus_Indig_Lang_F,SOL_Aus_Indig_Lang_P,SOL_Chin_lang_Cant_M,SOL_Chin_lang_Cant_F,SOL_Chin_lang_Cant_P,SOL_Chin_lang_Mand_M,SOL_Chin_lang_Mand_F,SOL_Chin_lang_Mand_P,SOL_Chin_lang_Other_M,SOL_Chin_lang_Other_F,SOL_Chin_lang_Other_P,SOL_Chin_lang_Tot_M,SOL_Chin_lang_Tot_F,SOL_Chin_lang_Tot_P,SOL_Croatian_M,SOL_Croatian_F,SOL_Croatian_P,SOL_Dutch_M,SOL_Dutch_F,SOL_Dutch_P,SOL_French_M,SOL_French_F,SOL_French_P,SOL_German_M,SOL_German_F,SOL_German_P,SOL_Greek_M,SOL_Greek_F,SOL_Greek_P,SOL_Hungarian_M,SOL_Hungarian_F,SOL_Hungarian_P,SOL_In_Ar_Lang_Beng_M,SOL_In_Ar_Lang_Beng_F,SOL_In_Ar_Lang_Beng_P,SOL_In_Ar_Lang_Hind_M,SOL_In_Ar_Lang_Hind_F,SOL_In_Ar_Lang_Hind_P,SOL_In_Ar_Lang_Punj_M,SOL_In_Ar_Lang_Punj_F,SOL_In_Ar_Lang_Punj_P,SOL_In_Ar_Lang_Sinh_M,SOL_In_Ar_Lang_Sinh_F,SOL_In_Ar_Lang_Sinh_P,SOL_In_Ar_Lang_Urdu_M,SOL_In_Ar_Lang_Urdu_F,SOL_In_Ar_Lang_Urdu_P,SOL_In_Ar_Lang_Othr_M,SOL_In_Ar_Lang_Othr_F,SOL_In_Ar_Lang_Othr_P,SOL_In_Ar_Lang_Tot_M,SOL_In_Ar_Lang_Tot_F,SOL_In_Ar_Lang_Tot_P,SOL_Ir_Lang_Dari_M,SOL_Ir_Lang_Dari_F,SOL_Ir_Lang_Dari_P,SOL_Ir_La_Pe_excl_Da_M,SOL_Ir_La_Pe_excl_Da_F,SOL_Ir_La_Pe_excl_Da_P,SOL_Irani_Lan_Othr_M,SOL_Irani_Lan_Othr_F,SOL_Irani_Lan_Othr_P,SOL_Iran_Lan_Tot_M,SOL_Iran_Lan_Tot_F,SOL_Iran_Lan_Tot_P,SOL_Italian_M,SOL_Italian_F,SOL_Italian_P,SOL_Japanese_M,SOL_Japanese_F,SOL_Japanese_P,SOL_Khmer_M,SOL_Khmer_F,SOL_Khmer_P,SOL_Korean_M,SOL_Korean_F,SOL_Korean_P,SOL_Macedonian_M,SOL_Macedonian_F,SOL_Macedonian_P,SOL_Maltese_M,SOL_Maltese_F,SOL_Maltese_P,SOL_Polish_M,SOL_Polish_F,SOL_Polish_P,SOL_Portuguese_M,SOL_Portuguese_F,SOL_Portuguese_P,SOL_Russian_M,SOL_Russian_F,SOL_Russian_P,SOL_Samoan_M,SOL_Samoan_F,SOL_Samoan_P,SOL_Serbian_M,SOL_Serbian_F,SOL_Serbian_P,SOL_Se_As_A_L_Filipino_M,SOL_Se_As_A_L_Filipino_F,SOL_Se_As_A_L_Filipino_P,SOL_Se_As_A_L_Indon_M,SOL_Se_As_A_L_Indon_F,SOL_Se_As_A_L_Indon_P,SOL_Se_As_A_L_Tagal_M,SOL_Se_As_A_L_Tagal_F,SOL_Se_As_A_L_Tagal_P,SOL_Se_As_A_L_Othr_M,SOL_Se_As_A_L_Othr_F,SOL_Se_As_A_L_Othr_P,SOL_Se_As_A_L_Tot_M,SOL_Se_As_A_L_Tot_F,SOL_Se_As_A_L_Tot_P,SOL_Spanish_M,SOL_Spanish_F,SOL_Spanish_P,SOL_Tamil_M,SOL_Tamil_F,SOL_Tamil_P,SOL_Thai_M,SOL_Thai_F,SOL_Thai_P,SOL_Turkish_M,SOL_Turkish_F,SOL_Turkish_P,SOL_Vietnamese_M,SOL_Vietnamese_F,SOL_Vietnamese_P,SOL_Other_M,SOL_Other_F,SOL_Other_P,SOL_Tot_M,SOL_Tot_F,SOL_Tot_P,Language_spoken_home_ns_M,Language_spoken_home_ns_F,Language_spoken_home_ns_P,Total_M,Total_F,Total_P
POA6000,2992,2234,5226,68,32,100,0,0,0,3,6,9,131,97,228,153,198,351,14,20,34,298,315,613,17,11,28,6,14,20,46,33,79,35,28,63,33,14,47,3,0,3,17,9,26,37,20,57,10,8,18,3,3,6,15,5,20,65,40,105,147,85,232,0,3,3,10,17,27,3,0,3,13,20,33,112,81,193,49,49,98,0,3,3,60,55,115,7,9,16,0,0,0,18,38,56,31,29,60,15,13,28,0,0,0,21,12,33,8,10,18,46,69,115,23,24,47,22,21,43,99,124,223,53,41,94,13,11,24,38,43,81,7,0,7,78,97,175,150,145,295,1420,1308,2728,813,470,1283,5225,4012,9237
POA6003,961,731,1692,8,7,15,0,0,0,0,0,0,41,42,83,41,61,102,4,8,12,86,111,197,7,5,12,4,4,8,15,14,29,4,8,12,9,0,9,0,0,0,3,7,10,4,4,8,8,3,11,0,0,0,0,0,0,12,7,19,27,21,48,0,0,0,6,3,9,0,0,0,6,3,9,37,32,69,10,11,21,0,0,0,40,42,82,8,7,15,0,0,0,14,10,24,19,17,36,0,8,8,0,0,0,17,15,32,5,4,9,7,3,10,3,3,6,0,0,0,15,10,25,25,19,44,0,0,0,3,18,21,5,3,8,43,54,97,42,41,83,444,460,904,207,149,356,1612,1340,2952
POA6004,2374,1926,4300,44,25,69,0,0,0,0,3,3,114,124,238,189,208,397,27,43,70,330,375,705,8,11,19,9,5,14,41,36,77,29,25,54,22,11,33,4,6,10,42,16,58,56,24,80,13,4,17,11,9,20,27,11,38,71,38,109,220,102,322,8,0,8,36,28,64,0,0,0,44,28,72,41,34,75,48,41,89,0,5,5,70,59,129,5,0,5,5,0,5,27,24,51,43,40,83,9,27,36,0,0,0,21,20,41,13,12,25,42,83,125,9,21,30,24,32,56,88,148,236,50,38,88,13,5,18,15,29,44,5,4,9,33,36,69,116,103,219,1340,1240,2580,760,544,1304,4474,3710,8184
POA6005,1688,1365,3053,24,14,38,0,0,0,0,3,3,40,49,89,70,83,153,17,12,29,127,144,271,9,3,12,9,8,17,29,19,48,15,24,39,25,19,44,4,0,4,0,0,0,31,20,51,4,4,8,5,7,12,0,0,0,17,17,34,57,48,105,0,0,0,20,19,39,3,0,3,23,19,42,52,45,97,32,43,75,0,4,4,20,26,46,10,8,18,0,0,0,13,10,23,10,19,29,7,9,16,0,3,3,9,6,15,9,19,28,6,11,17,8,9,17,7,6,13,30,45,75,29,27,56,17,14,31,9,16,25,0,4,4,18,29,47,76,80,156,654,689,1343,435,337,772,2777,2391,5168
POA6006,3004,3064,6068,15,15,30,0,0,0,0,0,0,65,69,134,31,39,70,13,15,28,109,123,232,14,13,27,4,11,15,26,22,48,14,21,35,63,83,146,3,5,8,3,3,6,3,3,6,8,3,11,3,3,6,3,0,3,6,3,9,26,15,41,0,0,0,11,8,19,0,0,0,11,8,19,295,330,625,14,17,31,0,0,0,10,19,29,57,62,119,3,3,6,12,20,32,5,4,9,3,4,7,4,0,4,20,25,45,8,0,8,3,6,9,12,9,21,4,5,9,27,20,47,25,27,52,0,4,4,4,10,14,3,0,3,81,105,186,68,76,144,916,1042,1958,299,219,518,4219,4325,8544
POA6007,2459,2559,5018,3,3,6,0,0,0,4,0,4,35,40,75,34,46,80,6,9,15,75,95,170,3,3,6,15,19,34,25,41,66,16,28,44,16,25,41,0,0,0,8,6,14,33,13,46,15,7,22,0,4,4,4,3,7,26,13,39,86,46,132,0,0,0,13,11,24,0,0,0,13,11,24,103,124,227,19,34,53,0,3,3,6,16,22,12,4,16,0,3,3,9,10,19,19,12,31,4,3,7,0,3,3,10,6,16,0,3,3,3,7,10,3,4,7,3,7,10,9,21,30,12,17,29,6,5,11,0,5,5,0,3,3,17,24,41,52,72,124,534,636,1170,298,261,559,3291,3456,6747
POA6008,5421,5569,10990,34,26,60,0,0,0,0,0,0,55,74,129,81,116,197,11,26,37,147,216,363,10,7,17,15,27,42,69,83,152,65,65,130,23,26,49,8,3,11,4,10,14,10,9,19,3,0,3,4,5,9,5,13,18,10,6,16,36,43,79,0,0,0,21,23,44,0,0,0,21,23,44,64,61,125,47,49,96,3,0,3,9,13,22,0,0,0,3,3,6,19,37,56,16,15,31,14,18,32,3,0,3,16,18,34,8,12,20,19,26,45,10,18,28,8,16,24,45,72,117,45,55,100,12,18,30,16,25,41,6,6,12,12,20,32,127,152,279,885,1081,1966,454,448,902,6760,7098,13858
POA6009,6140,6436,12576,72,56,128,0,0,0,3,4,7,175,206,381,417,444,861,60,71,131,652,721,1373,6,11,17,32,32,64,73,77,150,26,46,72,38,47,85,4,5,9,35,27,62,29,20,49,11,8,19,14,22,36,17,16,33,24,16,40,130,109,239,0,0,0,30,25,55,0,0,0,30,25,55,65,56,121,32,50,82,0,7,7,16,11,27,3,0,3,0,0,0,15,17,32,5,5,10,0,12,12,0,0,0,0,0,0,0,5,5,73,86,159,9,6,15,66,57,123,148,154,302,49,48,97,29,37,66,5,9,14,0,4,4,28,39,67,125,121,246,1586,1703,3289,350,356,706,8076,8495,16571
POA6010,6224,6817,13041,9,7,16,0,0,0,0,0,0,46,73,119,72,83,155,11,12,23,129,168,297,7,8,15,34,37,71,61,66,127,60,54,114,13,21,34,5,4,9,7,6,13,18,15,33,5,4,9,9,12,21,0,0,0,15,11,26,54,48,102,0,0,0,15,28,43,4,0,4,19,28,47,45,62,107,18,36,54,0,0,0,9,10,19,4,5,9,0,0,0,9,18,27,6,10,16,6,14,20,0,0,0,0,0,0,3,6,9,15,14,29,3,8,11,15,13,28,36,41,77,45,45,90,9,8,17,9,11,20,4,6,10,10,13,23,102,106,208,703,826,1529,562,349,911,7489,7992,15481
POA6011,3663,3888,7551,4,3,7,0,0,0,0,4,4,3,9,12,6,23,29,3,3,6,12,35,47,9,5,14,20,25,45,42,35,77,26,25,51,23,19,42,0,10,10,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,4,4,4,8,12,0,0,0,0,8,8,0,0,0,0,8,8,37,42,79,3,12,15,0,0,0,0,3,3,0,3,3,0,0,0,3,3,6,0,3,3,0,6,6,0,0,0,0,0,0,3,3,6,3,5,8,4,6,10,0,3,3,10,17,27,15,17,32,0,0,0,0,4,4,3,0,3,0,0,0,38,39,77,249,326,575,385,415,800,4297,4629,8926
