region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA6000,241,258,499,408,279,687,0,0,0,50,34,84,0,3,3,1050,912,1962,7,9,16,93,69,162,9,14,23,8,3,11,38,25,63,3,3,6,23,22,45,25,31,56,73,69,142,9,4,13,4,3,7,61,89,150,126,146,272,9,9,18,1996,1724,3720,150,95,245,152,104,256,14,18,32,0,3,3,53,29,82,53,32,85,1617,1179,2796,70,26,96,934,574,1508,5227,4010,9237
POA6003,86,105,191,122,91,213,0,0,0,9,11,20,0,0,0,353,313,666,3,0,3,39,32,71,3,0,3,0,0,0,4,3,7,0,0,0,3,12,15,0,4,4,9,13,22,0,4,4,0,0,0,18,23,41,40,34,74,3,0,3,606,540,1146,20,16,36,26,28,54,5,9,14,0,0,0,17,7,24,17,7,24,583,458,1041,41,11,52,229,167,396,1613,1341,2954
POA6004,192,243,435,415,404,819,0,0,0,55,60,115,0,0,0,859,851,1710,5,14,19,75,52,127,10,4,14,8,3,11,23,23,46,5,5,10,10,19,29,30,32,62,85,64,149,3,4,7,0,0,0,109,91,200,87,103,190,9,6,15,1788,1735,3523,178,94,272,191,135,326,26,15,41,0,3,3,53,41,94,53,44,97,1150,814,1964,48,14,62,845,616,1461,4471,3710,8181
POA6005,80,125,205,268,238,506,0,0,0,28,27,55,0,0,0,551,539,1090,11,9,20,57,58,115,5,9,14,3,3,6,25,16,41,4,3,7,7,9,16,15,22,37,59,32,91,3,3,6,3,3,6,39,40,79,46,41,87,0,0,0,1124,1052,2176,69,50,119,71,53,124,13,12,25,0,0,0,13,13,26,13,13,26,839,663,1502,41,11,52,527,412,939,2777,2391,5168
POA6006,126,153,279,408,506,914,0,0,0,30,38,68,0,0,0,1275,1342,2617,4,7,11,196,236,432,12,13,25,4,0,4,8,18,26,0,0,0,6,3,9,11,19,30,44,52,96,4,7,11,5,4,9,71,100,171,58,85,143,9,3,12,2145,2433,4578,22,16,38,30,22,52,43,50,93,0,0,0,19,25,44,19,25,44,1385,1269,2654,59,17,76,390,340,730,4219,4325,8544
POA6007,87,79,166,362,473,835,0,0,0,26,25,51,0,0,0,764,1009,1773,4,13,17,56,69,125,3,4,7,0,0,0,11,13,24,3,0,3,9,11,20,17,15,32,42,53,95,4,0,4,0,0,0,68,100,168,49,67,116,7,12,19,1425,1864,3289,61,46,107,31,32,63,15,15,30,0,0,0,37,19,56,37,19,56,1186,1027,2213,63,20,83,386,353,739,3291,3455,6746
POA6008,154,179,333,1129,1372,2501,0,0,0,54,59,113,0,4,4,1355,1587,2942,30,45,75,97,106,203,17,23,40,5,5,10,45,57,102,0,0,0,15,17,32,17,22,39,115,130,245,0,4,4,8,5,13,203,298,501,109,152,261,8,11,19,3207,3897,7104,52,45,97,83,92,175,33,53,86,3,0,3,48,54,102,51,54,105,2367,2023,4390,84,54,138,730,699,1429,6761,7096,13857
POA6009,203,275,478,1609,1933,3542,0,0,0,98,89,187,0,5,5,1513,1744,3257,19,27,46,108,118,226,13,12,25,9,11,20,31,47,78,3,3,6,21,35,56,43,57,100,178,204,382,13,15,28,8,10,18,397,516,913,170,188,358,11,8,19,4244,5022,9266,155,142,297,234,209,443,62,61,123,3,3,6,52,45,97,55,48,103,2439,2085,4524,73,29,102,610,625,1235,8075,8496,16571
POA6010,85,121,206,1734,2218,3952,0,0,0,60,83,143,0,0,0,1612,1878,3490,31,33,64,56,66,122,3,8,11,0,8,8,41,56,97,3,8,11,19,21,40,44,42,86,181,228,409,3,8,11,3,11,14,336,457,793,112,131,243,11,3,14,4249,5259,9508,59,54,113,50,42,92,39,39,78,0,0,0,44,49,93,44,49,93,2045,1767,3812,80,43,123,839,618,1457,7490,7992,15482
POA6011,27,50,77,1131,1306,2437,0,0,0,18,24,42,0,0,0,845,982,1827,8,6,14,59,53,112,4,5,9,5,0,5,12,29,41,0,0,0,5,9,14,14,16,30,110,142,252,4,0,4,0,0,0,139,202,341,51,48,99,9,3,12,2414,2825,5239,15,13,28,6,9,15,24,16,40,0,0,0,13,19,32,13,19,32,1246,1126,2372,39,28,67,513,542,1055,4297,4628,8925
