region_id,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
POA6000,16,14,30,53,55,108,13,12,25,15,21,36,81,88,169,35,28,63,14,11,25,19,7,26,68,46,114,36,42,78,31,60,91,22,10,32,42,45,87,3,0,3,134,157,291,142,154,296,87,97,184,14,27,41,120,96,216,0,4,4,363,378,741,51,55,106,34,36,70,3,0,3,88,91,179,856,506,1362,1606,1280,2886
POA6003,0,9,9,24,20,44,12,7,19,5,3,8,41,30,71,14,15,29,7,6,13,6,0,6,27,21,48,14,12,26,29,30,59,6,5,11,23,21,44,3,0,3,75,68,143,50,49,99,42,31,73,7,13,20,35,35,70,0,0,0,134,128,262,22,25,47,10,16,26,0,0,0,32,41,73,215,158,373,524,455,979
POA6004,14,13,27,30,23,53,15,13,28,18,6,24,63,42,105,26,14,40,24,15,39,18,15,33,68,44,112,43,19,62,51,60,111,9,12,21,34,44,78,0,0,0,137,135,272,128,182,310,100,70,170,16,21,37,96,90,186,0,0,0,340,363,703,37,28,65,27,40,67,0,3,3,64,71,135,776,553,1329,1462,1221,2683
POA6005,6,8,14,30,29,59,12,5,17,6,6,12,48,40,88,11,24,35,10,9,19,4,4,8,25,37,62,10,13,23,17,22,39,14,3,17,31,34,65,0,0,0,72,72,144,78,81,159,62,49,111,11,14,25,60,55,115,0,0,0,211,199,410,14,14,28,14,27,41,0,0,0,28,41,69,441,351,792,831,748,1579
POA6006,68,58,126,194,175,369,85,73,158,22,33,55,301,281,582,75,73,148,41,41,82,23,37,60,139,151,290,12,20,32,25,17,42,10,7,17,32,39,71,0,0,0,79,83,162,127,157,284,39,66,105,17,28,45,60,83,143,0,0,0,243,334,577,6,6,12,13,25,38,0,0,0,19,31,50,328,257,585,1177,1195,2372
POA6007,27,48,75,100,101,201,27,35,62,21,25,46,148,161,309,29,28,57,43,33,76,32,35,67,104,96,200,13,8,21,20,16,36,15,11,26,26,29,55,0,0,0,74,64,138,96,116,212,57,54,111,11,22,33,67,82,149,0,4,4,231,278,509,12,3,15,11,26,37,0,0,0,23,29,52,314,290,604,921,966,1887
POA6008,75,95,170,365,360,725,36,40,76,81,69,150,482,469,951,142,116,258,35,45,80,100,96,196,277,257,534,18,15,33,16,25,41,21,11,32,36,57,93,0,0,0,91,108,199,264,334,598,110,123,233,27,21,48,122,183,305,0,3,3,523,664,1187,5,15,20,36,43,79,0,0,0,41,58,99,504,497,1001,1993,2148,4141
POA6009,117,132,249,463,396,859,69,91,160,215,216,431,747,703,1450,104,102,206,79,76,155,389,345,734,572,523,1095,27,27,54,24,20,44,12,4,16,18,52,70,0,0,0,81,103,184,827,738,1565,343,244,587,39,52,91,97,151,248,5,3,8,1311,1188,2499,9,22,31,26,32,58,0,0,0,35,54,89,433,473,906,3296,3176,6472
POA6010,116,93,209,288,280,568,114,146,260,217,198,415,619,624,1243,92,69,161,111,117,228,414,315,729,617,501,1118,30,15,45,12,19,31,17,12,29,22,58,80,0,3,3,81,107,188,402,432,834,73,103,176,44,30,74,73,128,201,3,3,6,595,696,1291,9,10,19,18,41,59,0,0,0,27,51,78,665,456,1121,2720,2528,5248
POA6011,59,59,118,235,184,419,35,34,69,123,143,266,393,361,754,24,31,55,32,50,82,171,265,436,227,346,573,14,12,26,5,8,13,8,3,11,15,23,38,0,0,0,42,46,88,207,229,436,39,77,116,23,20,43,51,69,120,3,0,3,323,395,718,5,4,9,9,31,40,0,0,0,14,35,49,423,450,873,1481,1692,3173
POA6012,38,53,91,181,158,339,40,57,97,88,146,234,309,361,670,34,24,58,24,165,189,133,285,418,191,474,665,19,14,33,17,22,39,10,13,23,16,38,54,4,0,4,66,87,153,161,233,394,54,62,116,10,22,32,50,88,138,3,3,6,278,408,686,6,6,12,14,19,33,0,0,0,20,25,45,301,331,632,1203,1739,2942
POA6014,203,172,375,622,515,1137,223,197,420,143,121,264,988,833,1821,167,167,334,171,166,337,208,176,384,546,509,1055,34,38,72,27,54,81,28,25,53,51,69,120,3,4,7,143,190,333,392,388,780,117,129,246,41,38,79,110,168,278,8,5,13,668,728,1396,13,21,34,36,60,96,0,0,0,49,81,130,533,524,1057,3130,3037,6167
POA6015,43,29,72,150,144,294,86,67,153,111,92,203,347,303,650,65,79,144,73,96,169,167,180,347,305,355,660,10,12,22,6,0,6,11,3,14,7,11,18,0,0,0,34,26,60,181,129,310,15,19,34,22,10,32,15,45,60,0,3,3,233,206,439,0,5,5,5,15,20,0,0,0,5,20,25,138,171,309,1105,1110,2215
POA6016,91,93,184,261,260,521,97,86,183,24,30,54,382,376,758,80,85,165,68,64,132,40,41,81,188,190,378,29,26,55,31,30,61,17,9,26,36,52,88,3,0,3,116,117,233,123,163,286,63,57,120,9,29,38,66,101,167,3,0,3,264,350,614,26,12,38,21,42,63,0,4,4,47,58,105,406,346,752,1494,1530,3024
POA6017,20,17,37,48,49,97,21,17,38,4,6,10,73,72,145,22,24,46,14,5,19,3,4,7,39,33,72,17,17,34,23,27,50,8,14,22,29,26,55,3,0,3,80,84,164,39,51,90,26,42,68,9,7,16,26,31,57,0,0,0,100,131,231,8,6,14,12,11,23,0,0,0,20,17,37,339,246,585,671,600,1271
POA6018,285,258,543,873,762,1635,372,351,723,148,171,319,1393,1284,2677,392,347,739,296,287,583,239,418,657,927,1052,1979,67,58,125,47,65,112,75,41,116,99,122,221,4,0,4,292,286,578,464,548,1012,93,164,257,61,78,139,214,261,475,14,3,17,846,1054,1900,25,40,65,58,86,144,3,0,3,86,126,212,1098,1143,2241,4927,5203,10130
POA6019,136,107,243,389,344,733,158,129,287,77,72,149,624,545,1169,149,140,289,133,127,260,323,123,446,605,390,995,48,32,80,34,55,89,54,31,85,74,85,159,0,0,0,210,203,413,252,279,531,94,113,207,26,54,80,140,194,334,0,0,0,512,640,1152,13,12,25,38,43,81,3,0,3,54,55,109,1073,765,1838,3214,2705,5919
POA6020,141,120,261,512,501,1013,182,190,372,125,131,256,819,822,1641,269,253,522,191,132,323,226,244,470,686,629,1315,41,31,72,11,29,40,61,24,85,35,66,101,4,0,4,152,150,302,332,438,770,42,65,107,37,55,92,85,139,224,3,3,6,499,700,1199,14,8,22,19,35,54,3,0,3,36,43,79,519,531,1050,2852,2995,5847
POA6021,130,154,284,307,312,619,310,276,586,68,64,132,685,652,1337,191,189,380,201,183,384,50,63,113,442,435,877,57,43,100,49,49,98,54,27,81,57,79,136,3,0,3,220,198,418,205,252,457,61,57,118,31,27,58,56,101,157,3,3,6,356,440,796,15,18,33,22,51,73,3,0,3,40,69,109,657,568,1225,2530,2516,5046
POA6022,48,49,97,137,140,277,22,36,58,20,13,33,179,189,368,90,58,148,27,27,54,16,25,41,133,110,243,20,9,29,0,8,8,17,3,20,14,28,42,0,0,0,51,48,99,39,56,95,12,11,23,3,4,7,22,31,53,0,0,0,76,102,178,3,5,8,3,9,12,0,0,0,6,14,20,89,115,204,582,627,1209
POA6023,134,115,249,513,458,971,113,91,204,103,93,196,729,642,1371,285,211,496,78,83,161,186,161,347,549,455,1004,29,23,52,8,13,21,61,11,72,35,55,90,0,0,0,133,102,235,219,278,497,28,57,85,15,31,46,71,122,193,3,0,3,336,488,824,11,13,24,19,32,51,0,0,0,30,45,75,264,251,515,2175,2098,4273
POA6024,137,94,231,417,375,792,98,91,189,56,56,112,571,522,1093,202,193,395,68,63,131,53,47,100,323,303,626,29,29,58,25,20,45,38,13,51,42,57,99,3,5,8,137,124,261,117,166,283,30,52,82,28,27,55,61,104,165,0,0,0,236,349,585,7,13,20,23,36,59,0,0,0,30,49,79,277,304,581,1711,1745,3456
