region_id,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
POA6000,61,394,1376,535,350,267,102,29,6,3120,11,44,89,58,42,30,6,5,0,285,8,31,72,90,96,60,38,9,3,407,3,4,16,12,21,18,7,7,3,91,3,6,6,8,8,22,26,22,7,108,0,4,8,3,3,4,3,3,3,31,32,99,297,157,109,94,41,21,10,860,118,582,1864,863,629,495,223,96,32,4902,66,469,1144,387,225,147,57,18,7,2520,9,30,57,34,18,18,3,0,0,169,0,26,62,30,62,66,32,13,6,297,3,4,8,0,9,11,7,7,10,59,0,0,3,15,8,23,16,27,11,103,0,0,9,6,6,6,6,3,5,41,18,75,216,66,46,42,20,17,6,506,96,604,1499,538,374,313,141,85,45,3695,127,863,2520,922,575,414,159,47,13,5640,20,74,146,92,60,48,9,5,0,454,8,57,134,120,158,126,70,22,9,704,6,8,24,12,30,29,14,14,13,150
POA6003,16,154,410,182,82,76,33,6,0,959,7,16,32,20,12,6,4,0,0,97,5,17,23,28,36,25,10,4,0,148,0,0,7,3,5,0,6,0,4,25,0,0,3,3,6,6,8,3,6,35,0,0,0,0,3,3,3,3,0,12,0,26,79,41,20,23,5,9,0,203,28,213,554,277,164,139,69,25,10,1479,25,137,401,108,88,57,12,9,4,841,6,8,22,13,18,5,3,0,0,75,0,8,12,13,19,28,6,5,0,91,0,0,6,4,3,5,4,0,0,22,0,3,0,0,0,15,10,12,4,44,0,0,0,0,4,0,0,0,4,8,0,15,70,17,22,14,10,7,0,155,31,171,511,155,154,124,45,33,12,1236,41,291,811,290,170,133,45,15,4,1800,13,24,54,33,30,11,7,0,0,172,5,25,35,41,55,53,16,9,0,239,0,0,13,7,8,5,10,0,4,47
POA6004,55,325,1049,460,306,296,135,46,11,2683,10,25,56,41,32,25,22,0,0,211,12,22,54,50,71,70,40,14,3,336,0,0,4,7,12,12,9,6,3,53,0,0,3,5,5,12,17,9,4,55,0,0,6,3,5,3,3,4,3,27,33,94,302,115,95,76,45,23,6,789,110,466,1474,681,526,494,271,102,30,4154,61,383,974,308,244,233,89,16,9,2317,5,24,38,17,42,27,7,8,0,168,4,16,31,45,56,99,37,13,9,310,0,0,7,3,8,14,6,4,3,45,0,3,3,3,3,7,14,15,6,54,0,3,3,0,0,3,5,4,0,18,27,84,214,63,57,63,33,12,13,566,97,513,1270,439,410,446,191,72,40,3478,116,708,2023,768,550,529,224,62,20,5000,15,49,94,58,74,52,29,8,0,379,16,38,85,95,127,169,77,27,12,646,0,0,11,10,20,26,15,10,6,98
POA6005,27,184,743,293,181,164,77,27,8,1704,8,25,42,17,16,7,5,3,0,123,6,17,37,28,38,42,29,10,3,210,0,3,6,5,4,4,9,4,4,39,0,5,0,0,4,9,17,13,3,51,0,0,6,0,0,3,3,0,0,12,19,40,158,68,56,59,21,22,22,465,60,274,992,411,299,288,161,79,40,2604,25,234,669,202,139,104,44,22,9,1448,3,4,20,11,28,11,7,5,3,92,7,11,26,25,36,42,26,21,10,204,0,0,0,0,4,6,10,7,4,31,0,3,0,4,3,3,11,14,11,49,0,0,3,5,0,3,3,7,9,30,11,46,123,41,60,40,11,22,13,367,46,298,841,288,270,209,112,98,59,2221,52,418,1412,495,320,268,121,49,17,3152,11,29,62,28,44,18,12,8,3,215,13,28,63,53,74,84,55,31,13,414,0,3,6,5,8,10,19,11,8,70
POA6006,60,267,592,511,393,229,94,27,12,2185,10,20,46,43,37,30,12,0,0,198,13,21,48,88,114,69,44,24,6,427,0,4,6,6,7,12,4,9,3,51,0,0,3,0,6,19,39,86,30,183,0,0,3,0,4,5,6,20,3,41,12,29,80,66,36,42,37,35,11,348,95,341,778,714,597,406,236,201,65,3433,83,289,704,551,362,187,61,20,11,2268,3,19,21,52,44,15,6,6,3,169,8,15,32,56,97,83,59,32,18,400,0,0,3,3,0,15,16,13,3,53,0,0,0,4,12,25,75,104,40,260,6,0,0,4,0,0,15,22,11,58,3,17,65,43,41,47,47,58,52,373,103,340,825,713,556,372,279,255,138,3581,143,556,1296,1062,755,416,155,47,23,4453,13,39,67,95,81,45,18,6,3,367,21,36,80,144,211,152,103,56,24,827,0,4,9,9,7,27,20,22,6,104
POA6007,52,219,713,420,275,224,88,29,11,2031,13,14,25,16,20,24,11,4,4,131,3,10,34,39,58,52,29,14,7,246,0,3,7,3,3,4,3,6,3,32,0,0,0,4,6,4,9,24,10,57,0,0,0,4,0,5,0,6,0,15,12,29,94,48,35,41,24,15,3,301,80,275,873,534,397,354,164,98,38,2813,52,235,666,425,272,205,80,60,39,2034,5,4,18,29,32,15,10,4,5,122,8,14,27,37,55,82,46,27,34,330,0,0,7,6,0,12,12,11,15,63,3,0,0,0,0,9,24,41,20,97,0,0,5,0,0,0,6,10,4,25,5,27,86,50,26,45,20,19,21,299,73,280,809,547,385,368,198,172,138,2970,104,454,1379,845,547,429,168,89,50,4065,18,18,43,45,52,39,21,8,9,253,11,24,61,76,113,134,75,41,41,576,0,3,14,9,3,16,15,17,18,95
POA6008,123,416,1006,774,727,658,345,105,24,4178,15,23,38,37,41,38,28,0,3,223,8,21,41,53,96,110,80,28,9,446,0,0,7,9,8,20,15,11,3,73,0,0,4,7,7,20,24,32,15,109,0,0,0,3,5,0,3,0,0,11,21,25,118,73,68,83,60,38,21,507,167,485,1214,956,952,929,555,214,75,5547,157,464,1062,874,754,602,297,94,34,4338,7,7,37,43,62,59,43,19,6,283,6,18,31,50,107,173,112,51,33,581,4,0,0,9,4,13,23,14,10,77,0,0,3,3,6,15,13,40,22,102,0,0,0,0,0,9,6,0,0,15,14,32,109,69,60,72,54,58,60,528,188,521,1242,1048,993,943,548,276,165,5924,280,880,2068,1648,1481,1260,642,199,58,8516,22,30,75,80,103,97,71,19,9,506,14,39,72,103,203,283,192,79,42,1027,4,0,7,18,12,33,38,25,13,150
POA6009,289,838,858,745,901,841,530,220,72,5294,10,20,27,22,34,27,30,8,6,184,12,10,14,39,64,66,69,44,18,336,0,0,5,0,9,17,11,11,6,59,0,4,0,4,3,3,11,11,9,45,0,0,3,0,0,0,0,0,0,3,23,45,60,48,35,47,45,35,34,372,334,917,967,858,1046,1001,696,329,145,6293,290,761,801,901,1013,844,457,233,108,5408,14,10,14,24,44,52,50,35,28,271,7,8,14,33,88,138,127,52,68,535,0,0,4,4,5,13,17,16,31,90,0,0,4,0,5,8,17,26,24,84,5,0,0,0,0,0,0,3,0,8,20,49,42,31,52,38,38,31,74,375,336,828,879,993,1207,1093,706,396,333,6771,579,1599,1659,1646,1914,1685,987,453,180,10702,24,30,41,46,78,79,80,43,34,455,19,18,28,72,152,204,196,96,86,871,0,0,9,4,14,30,28,27,37,149
POA6010,235,484,605,627,802,730,469,234,76,4262,16,18,36,42,38,42,39,12,5,248,17,16,29,63,91,97,103,45,17,478,5,0,6,9,6,8,23,21,6,84,0,3,0,0,7,8,15,25,18,76,0,0,3,0,3,3,0,0,0,9,80,61,73,70,76,66,50,46,28,550,353,582,752,811,1023,954,699,383,150,5707,226,519,680,805,978,739,424,279,132,4782,6,12,30,31,72,56,57,42,24,330,6,7,21,47,77,174,171,106,72,681,3,3,3,5,4,15,29,37,37,136,0,0,0,0,6,4,13,24,36,83,0,0,0,0,0,0,0,4,0,4,19,27,36,46,52,48,48,65,87,428,260,568,770,934,1189,1036,742,557,388,6444,461,1003,1285,1432,1780,1469,893,513,208,9044,22,30,66,73,110,98,96,54,29,578,23,23,50,110,168,271,274,151,89,1159,8,3,9,14,10,23,52,58,43,220
POA6011,124,275,445,361,517,471,265,112,31,2601,0,10,28,16,22,22,19,9,0,126,5,10,25,35,42,44,44,23,7,235,0,0,0,0,0,9,13,9,10,41,0,0,0,0,4,4,7,7,4,26,0,0,0,0,0,0,0,0,0,0,23,31,90,43,49,57,30,24,20,367,152,326,588,455,634,607,378,184,72,3396,115,272,452,499,522,466,194,109,44,2673,6,6,17,16,38,51,41,22,9,206,4,0,6,16,44,75,75,31,22,273,0,4,6,3,3,6,7,12,9,50,0,0,0,0,3,0,9,10,18,40,0,0,0,0,0,0,0,0,0,0,15,30,60,46,44,68,39,39,56,397,140,312,541,580,654,666,365,223,158,3639,239,547,897,860,1039,937,459,221,75,5274,6,16,45,32,60,73,60,31,9,332,9,10,31,51,86,119,119,54,29,508,0,4,6,3,3,15,20,21,19,91
