region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6000,3,6,9,23,16,45,42,49,18,211,0,4,17,9,9,10,9,6,8,72,50,174,513,223,155,136,61,38,16,1366,214,1186,3363,1401,1003,808,364,181,77,8597
POA6003,0,3,3,3,6,21,18,15,10,79,0,0,0,0,7,3,3,3,4,20,0,41,149,58,42,37,15,16,0,358,59,384,1065,432,318,263,114,58,22,2715
POA6004,0,3,6,8,8,19,31,24,10,109,0,3,9,3,5,6,8,8,3,45,60,178,516,178,152,139,78,35,19,1355,207,979,2744,1120,936,940,462,174,70,7632
POA6005,0,8,0,4,7,12,28,27,14,100,0,0,9,5,0,6,6,7,9,42,30,86,281,109,116,99,32,44,35,832,106,572,1833,699,569,497,273,177,99,4825
POA6006,0,0,3,4,18,44,114,190,70,443,6,0,3,4,4,5,21,42,14,99,15,46,145,109,77,89,84,93,63,721,198,681,1603,1427,1153,778,515,456,203,7014
POA6007,3,0,0,4,6,13,33,65,30,154,0,0,5,4,0,5,6,16,4,40,17,56,180,98,61,86,44,34,24,600,153,555,1682,1081,782,722,362,270,176,5783
POA6008,0,0,7,10,13,35,37,72,37,211,0,0,0,3,5,9,9,0,0,26,35,57,227,142,128,155,114,96,81,1035,355,1006,2456,2004,1945,1872,1103,490,240,11471
POA6009,0,4,4,4,8,11,28,37,33,129,5,0,3,0,0,0,0,3,0,11,43,94,102,79,87,85,83,66,108,747,670,1745,1846,1851,2253,2094,1402,725,478,13064
POA6010,0,3,0,0,13,12,28,49,54,159,0,0,3,0,3,3,0,4,0,13,99,88,109,116,128,114,98,111,115,978,613,1150,1522,1745,2212,1990,1441,940,538,12151
POA6011,0,0,0,0,7,4,16,17,22,66,0,0,0,0,0,0,0,0,0,0,38,61,150,89,93,125,69,63,76,764,292,638,1129,1035,1288,1273,743,407,230,7035
POA6012,0,0,5,7,6,9,25,21,27,100,0,0,0,0,0,0,0,9,0,9,25,43,108,88,71,93,70,67,54,619,295,606,1137,1116,1194,1044,726,392,223,6733
POA6014,0,3,9,7,19,23,50,68,61,240,0,0,4,0,0,5,3,6,4,22,25,90,216,134,124,104,70,105,121,989,565,1390,2635,2886,2660,1871,1097,931,548,14583
POA6015,0,0,0,0,3,3,23,30,25,84,0,0,0,0,0,0,3,6,0,9,18,13,16,22,47,28,42,54,23,263,262,350,258,719,1101,715,630,496,193,4724
POA6016,0,0,9,4,17,57,77,106,62,332,0,6,8,3,4,9,17,21,10,78,22,91,189,105,75,79,45,67,41,714,220,757,1847,1765,1240,802,388,344,181,7544
POA6017,0,4,9,3,12,22,41,61,25,177,0,0,0,6,3,6,6,11,3,35,21,77,176,82,67,67,27,36,17,570,88,435,1225,586,403,372,191,182,60,3542
POA6018,8,4,21,30,50,94,234,298,147,886,4,0,10,12,19,12,12,20,20,109,90,116,361,259,236,220,239,346,329,2196,983,2226,5077,5297,4364,3531,2632,1916,998,27024
POA6019,6,0,10,17,15,33,62,106,45,294,0,7,9,0,3,11,7,6,6,49,74,198,491,270,204,182,133,123,62,1737,571,1640,4217,3098,2541,2007,1384,878,312,16648
POA6020,0,0,7,12,10,56,106,91,70,352,0,0,0,0,3,0,0,8,0,11,56,63,101,113,142,177,122,90,46,910,749,1314,1768,2616,3146,3475,1846,769,331,16014
POA6021,0,6,22,26,69,266,518,431,136,1474,6,5,10,10,19,35,54,80,33,252,45,87,182,135,140,160,202,203,105,1259,563,1323,2930,2826,2386,2223,1724,1116,368,15459
POA6022,0,0,3,4,5,25,59,32,16,144,0,0,6,0,3,4,6,6,3,28,10,9,30,31,21,25,32,23,9,190,134,300,675,716,596,756,514,184,59,3934
POA6023,3,3,4,3,9,31,57,71,52,233,0,0,3,4,6,6,6,3,0,28,18,31,50,57,73,61,61,78,37,466,541,894,1324,2224,2181,2349,1201,527,262,11503
POA6024,0,0,0,23,18,47,90,85,69,332,0,3,0,6,6,0,9,9,0,33,29,36,76,67,72,72,63,88,22,525,440,820,1792,1993,1670,2068,1110,496,202,10591
POA6025,4,4,14,23,48,69,156,127,50,495,0,0,5,6,20,14,0,6,0,51,80,100,190,240,225,215,156,128,51,1385,1202,2039,3679,4296,4614,4044,1943,911,303,23031
POA6026,0,3,10,12,20,78,120,146,104,493,0,0,4,0,3,0,6,9,7,29,36,45,61,76,133,124,109,212,160,956,1042,1445,1895,2876,3981,3305,1285,1049,534,17412
POA6027,10,18,26,21,50,117,139,161,68,610,0,14,10,8,23,13,15,13,5,101,152,232,342,303,368,309,194,212,85,2197,2029,3638,5204,5923,6831,5237,2295,1304,432,32893
POA6028,0,4,8,9,24,35,46,57,12,195,0,3,0,0,10,7,0,8,0,28,38,31,68,96,115,84,52,46,14,544,1120,1350,1813,3534,3700,1725,789,390,78,14499
POA6029,0,0,0,3,0,0,18,16,9,46,0,0,0,3,0,0,0,0,0,3,8,18,18,23,20,19,12,11,12,141,74,160,251,415,412,333,205,135,60,2045
POA6030,10,13,50,63,69,102,154,165,69,695,6,7,15,21,19,8,11,14,4,105,232,250,438,576,428,240,209,233,174,2780,1773,2554,5125,6274,4952,2744,1904,1187,440,26953
POA6031,0,3,15,13,16,24,21,4,6,102,0,3,3,3,6,3,6,3,0,27,46,33,106,111,83,55,42,14,6,496,490,810,1933,1971,1360,707,327,112,22,7732
POA6032,0,0,0,0,0,0,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,3,0,14,10,27,19,29,38,23,18,12,0,176
POA6033,0,0,0,0,3,5,7,0,0,15,0,0,0,0,0,0,3,3,0,6,7,10,17,11,8,7,4,0,0,64,40,62,104,122,84,70,43,15,3,543
POA6035,0,3,3,7,6,8,25,30,0,82,0,0,0,0,5,0,3,0,0,8,29,22,38,46,52,35,45,60,93,420,168,195,476,688,600,410,357,183,106,3183
POA6036,3,4,9,11,11,9,19,14,5,85,0,3,4,6,3,6,3,3,0,28,29,31,117,105,75,46,26,24,3,456,435,677,1860,2130,1073,540,313,108,14,7150
POA6037,3,0,3,6,9,18,27,17,5,88,0,0,0,0,0,3,3,0,0,6,11,9,14,35,21,27,20,27,8,172,87,112,218,315,290,305,239,107,27,1700
POA6041,0,0,0,7,8,7,21,16,7,66,5,0,0,0,0,0,0,0,0,5,6,6,9,20,6,29,21,14,0,111,42,29,91,183,168,283,187,71,12,1066
POA6042,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,7,0,7,6,9,8,29,9,9,0,77
POA6043,0,0,0,0,0,3,6,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,0,0,3,0,18,4,4,19,31,21,36,40,15,0,170
POA6044,0,0,6,3,9,13,31,13,4,79,0,0,0,0,0,0,0,3,0,3,12,10,31,52,35,52,30,23,3,248,36,58,163,211,207,261,186,78,22,1222
POA6050,3,3,7,6,14,47,122,168,117,487,0,0,6,5,4,7,7,18,15,62,43,109,198,125,104,105,86,132,168,1070,565,1310,2541,1980,2062,1617,871,803,596,12345
POA6051,0,6,32,26,31,54,81,92,52,374,0,3,11,9,11,8,16,13,6,77,37,119,374,197,140,133,90,70,59,1219,251,1094,3429,2045,1409,1248,672,364,216,10728
POA6052,3,3,6,14,24,40,105,136,54,385,0,3,3,4,12,12,7,15,0,56,34,43,102,101,79,77,79,67,46,628,321,734,1629,1711,1501,1151,630,480,200,8357
POA6053,0,3,11,21,29,74,114,168,124,544,0,3,8,4,11,5,13,22,5,71,40,73,187,145,114,131,105,132,112,1039,382,845,2251,2220,1891,1436,886,644,422,10977
POA6054,8,9,23,52,100,158,215,232,99,896,0,0,12,24,35,18,29,25,14,157,73,89,159,189,182,169,168,157,51,1237,713,1307,2787,2987,2777,2339,1380,932,317,15539
POA6055,4,3,11,19,35,77,107,85,28,369,0,0,6,5,10,12,5,7,3,48,46,78,176,190,156,131,141,108,63,1089,432,708,1541,1922,1733,1468,867,426,158,9255
POA6056,11,11,43,64,116,252,465,412,173,1547,5,5,4,22,27,12,40,42,16,173,231,220,397,454,450,452,394,358,195,3151,1679,2682,4761,5131,5209,4546,2776,1603,658,29045
POA6057,6,4,18,33,48,80,136,101,33,459,4,3,4,6,5,6,9,11,6,54,73,60,170,202,148,130,103,83,23,992,759,1127,2278,2406,2214,1760,1103,552,115,12314
POA6058,4,6,10,12,37,87,93,91,20,360,0,0,4,18,9,7,0,3,6,47,37,57,110,130,111,129,100,110,60,844,449,830,1624,1584,1621,1560,828,510,179,9185
POA6059,3,11,30,48,92,177,320,340,175,1196,0,9,12,19,30,50,38,43,16,217,66,113,160,162,176,154,177,195,91,1294,768,1509,2777,3173,3118,2575,2117,1481,602,18120
POA6060,6,8,35,53,44,132,270,364,179,1091,0,8,22,15,19,13,42,54,26,199,77,165,420,249,180,202,168,216,135,1812,525,1720,5062,3363,2559,2129,1448,1304,614,18724
POA6061,32,45,139,228,206,312,399,330,85,1776,6,32,110,112,133,82,60,76,15,626,196,318,719,527,435,378,361,252,71,3257,1226,2896,6754,4491,3765,3034,2058,1284,290,25798
POA6062,4,18,50,117,134,283,480,472,177,1735,0,16,23,49,63,63,62,71,38,385,97,110,218,213,270,261,246,262,118,1795,1073,2245,4227,4189,4137,4007,2771,1683,614,24946
POA6063,7,14,27,59,91,122,82,69,20,491,4,4,29,31,46,36,14,10,3,177,71,89,134,147,157,113,89,49,23,872,632,1083,2158,2091,2039,1423,585,268,80,10359
POA6064,16,19,119,186,266,333,359,234,91,1623,4,21,87,112,150,103,74,52,22,625,154,144,271,346,283,266,240,167,62,1933,1360,2176,4354,4309,4184,3347,1936,887,285,22838
POA6065,3,4,48,82,128,211,268,242,100,1086,0,3,22,45,57,35,36,24,15,237,135,145,387,413,333,288,250,258,149,2358,1906,3235,8483,8815,6351,4487,2508,1405,512,37702
POA6066,7,11,34,73,83,120,103,88,23,542,0,5,36,43,30,28,27,10,6,185,79,82,118,176,190,121,78,74,16,934,1001,1501,2140,2859,3257,1795,853,467,85,13958
POA6067,0,0,0,3,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,10,9,3,23,17,14,7,9,0,3,85
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,0,8,27,25,30,77,101,69,31,368,0,0,9,15,6,10,4,6,3,53,83,91,191,257,193,100,96,39,23,1073,905,1471,4176,4512,2906,1780,1099,450,154,17453
POA6070,0,0,0,0,0,0,19,10,4,33,0,0,0,0,0,0,0,0,0,0,0,7,15,14,8,35,20,7,5,111,116,167,221,480,592,574,359,122,32,2663
POA6071,0,0,0,7,7,4,22,13,8,61,0,0,0,0,0,0,0,0,0,0,24,15,19,52,51,34,30,17,3,245,181,194,209,502,624,531,313,114,32,2700
POA6072,0,0,0,0,8,0,5,0,0,13,0,0,0,0,0,0,3,0,0,3,8,4,7,3,24,11,9,5,4,75,39,53,64,95,163,127,76,33,13,663
POA6073,0,0,3,6,3,11,24,35,17,99,0,0,0,0,0,0,0,0,0,0,10,7,6,23,34,36,25,49,38,228,128,134,179,388,482,459,307,219,94,2390
POA6074,0,0,0,3,0,6,6,0,3,18,0,0,0,0,0,0,0,0,0,0,3,0,3,10,9,9,6,0,3,43,48,44,61,138,166,153,90,27,15,742
POA6076,3,4,5,13,21,74,175,142,70,507,0,0,0,0,3,8,11,17,8,47,61,64,71,141,158,182,149,154,132,1112,881,1110,1520,2782,3164,3251,2313,1205,461,16687
POA6077,0,0,3,6,6,12,35,18,6,86,0,0,0,0,3,0,3,3,0,9,4,7,9,10,16,24,13,13,6,102,61,102,95,145,281,263,174,85,24,1230
POA6078,0,0,0,0,0,15,7,3,0,25,0,0,0,0,3,0,0,3,0,6,3,0,3,9,7,4,6,0,0,32,47,54,70,102,166,140,62,12,4,657
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
POA6081,0,0,0,3,16,9,17,12,6,63,0,0,0,0,0,0,0,4,6,10,18,10,13,45,45,28,30,18,0,207,218,227,351,795,799,587,298,127,25,3427
