region_id,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_199_15_19_yrs,M_1_199_20_24_yrs,M_1_199_25_34_yrs,M_1_199_35_44_yrs,M_1_199_45_54_yrs,M_1_199_55_64_yrs,M_1_199_65_74_yrs,M_1_199_75_84_yrs,M_1_199_85ov,M_1_199_Tot,M_200_299_15_19_yrs,M_200_299_20_24_yrs,M_200_299_25_34_yrs,M_200_299_35_44_yrs,M_200_299_45_54_yrs,M_200_299_55_64_yrs,M_200_299_65_74_yrs,M_200_299_75_84_yrs,M_200_299_85ov,M_200_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_599_15_19_yrs,M_400_599_20_24_yrs,M_400_599_25_34_yrs,M_400_599_35_44_yrs,M_400_599_45_54_yrs,M_400_599_55_64_yrs,M_400_599_65_74_yrs,M_400_599_75_84_yrs,M_400_599_85ov,M_400_599_Tot,M_600_799_15_19_yrs,M_600_799_20_24_yrs,M_600_799_25_34_yrs,M_600_799_35_44_yrs,M_600_799_45_54_yrs,M_600_799_55_64_yrs,M_600_799_65_74_yrs,M_600_799_75_84_yrs,M_600_799_85ov,M_600_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1999_15_19_yrs,M_1500_1999_20_24_yrs,M_1500_1999_25_34_yrs,M_1500_1999_35_44_yrs,M_1500_1999_45_54_yrs,M_1500_1999_55_64_yrs,M_1500_1999_65_74_yrs,M_1500_1999_75_84_yrs,M_1500_1999_85ov,M_1500_1999_Tot,M_2000_more_15_19_yrs,M_2000_more_20_24_yrs,M_2000_more_25_34_yrs,M_2000_more_35_44_yrs,M_2000_more_45_54_yrs,M_2000_more_55_64_yrs,M_2000_more_65_74_yrs,M_2000_more_75_84_yrs,M_2000_more_85ov,M_2000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_199_15_19_yrs,F_1_199_20_24_yrs,F_1_199_25_34_yrs,F_1_199_35_44_yrs,F_1_199_45_54_yrs,F_1_199_55_64_yrs,F_1_199_65_74_yrs,F_1_199_75_84_yrs,F_1_199_85ov,F_1_199_Tot,F_200_299_15_19_yrs,F_200_299_20_24_yrs,F_200_299_25_34_yrs,F_200_299_35_44_yrs,F_200_299_45_54_yrs,F_200_299_55_64_yrs,F_200_299_65_74_yrs,F_200_299_75_84_yrs,F_200_299_85ov,F_200_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_599_15_19_yrs,F_400_599_20_24_yrs,F_400_599_25_34_yrs,F_400_599_35_44_yrs,F_400_599_45_54_yrs,F_400_599_55_64_yrs,F_400_599_65_74_yrs,F_400_599_75_84_yrs,F_400_599_85ov,F_400_599_Tot,F_600_799_15_19_yrs,F_600_799_20_24_yrs,F_600_799_25_34_yrs,F_600_799_35_44_yrs,F_600_799_45_54_yrs,F_600_799_55_64_yrs,F_600_799_65_74_yrs,F_600_799_75_84_yrs,F_600_799_85ov,F_600_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot
POA6000,51,66,82,27,19,15,7,3,0,270,20,21,23,16,15,10,0,3,0,108,10,25,31,28,39,39,25,15,6,218,5,43,41,26,23,43,35,13,8,237,9,64,82,39,33,30,35,12,3,307,12,70,137,41,31,37,18,10,0,356,3,65,143,50,38,21,12,7,4,343,0,56,187,74,50,30,11,3,0,411,3,30,198,66,33,17,7,5,0,359,3,30,288,100,69,46,13,0,0,549,0,13,362,246,186,132,22,3,0,964,32,101,292,153,93,75,39,22,10,817,148,584,1866,866,629,495,224,96,31,4939,45,91,134,62,25,22,11,4,5,399,23,38,56,29,9,16,6,3,0,180,8,30,56,23,19,28,20,25,8,217,4,40,57,26,19,20,29,22,26,243,9,73,104,40,28,33,23,9,6,325,7,97,138,38,38,22,6,4,0,350,3,60,130,31,36,19,7,3,0,289
POA6003,16,23,18,15,5,7,0,0,0,84,6,19,17,3,3,3,5,0,3,59,3,15,20,14,9,11,14,6,6,98,3,17,28,11,9,9,12,4,0,93,0,18,48,16,8,8,15,3,0,116,4,30,42,10,12,14,3,3,0,118,0,28,55,19,15,4,5,0,0,126,0,14,58,21,14,11,3,0,0,121,0,16,41,24,8,4,3,0,0,96,0,6,81,42,22,15,0,0,0,166,0,4,75,61,39,33,5,3,0,220,7,24,77,41,21,20,3,8,0,201,39,214,560,277,165,139,68,27,9,1498,7,24,39,17,10,15,4,0,0,116,7,15,23,0,10,6,3,3,3,70,9,13,31,9,6,20,13,8,4,113,3,13,28,3,7,17,12,11,5,99,9,28,34,18,7,13,5,0,0,114,0,23,55,8,15,4,0,3,0,108,0,15,45,11,9,5,0,0,0,85
POA6004,62,64,58,22,17,16,8,7,0,254,18,19,19,4,4,7,3,6,0,80,9,31,25,16,10,28,24,12,0,155,9,30,44,13,7,34,46,32,10,225,11,46,68,19,19,18,27,4,5,217,7,45,87,36,13,22,22,8,0,240,0,28,112,35,20,21,18,3,0,237,0,47,154,44,27,40,6,3,0,321,3,29,127,39,26,27,14,0,0,265,0,25,215,106,57,43,12,3,0,461,0,14,281,236,234,170,49,5,0,989,34,92,287,111,92,67,41,19,11,754,153,470,1477,681,526,493,270,102,26,4198,41,81,130,63,50,56,19,3,0,443,20,25,28,14,13,29,6,5,0,140,9,39,33,14,23,28,27,15,3,191,5,31,45,10,13,29,38,32,14,217,9,56,73,20,24,44,24,3,3,256,7,61,120,24,24,33,16,3,5,293,3,52,109,33,26,28,10,3,3,267
POA6005,18,25,39,11,4,15,7,0,3,122,15,13,10,8,3,8,4,0,0,61,4,20,16,10,12,14,22,8,3,109,4,14,15,13,11,19,24,16,6,122,3,32,33,14,20,10,20,16,0,148,5,38,51,11,9,12,5,6,0,137,3,39,91,17,14,19,8,0,0,191,0,18,86,33,12,14,10,3,0,176,0,17,101,35,17,17,3,3,0,193,0,13,167,51,40,23,4,4,3,305,0,7,227,143,107,87,32,0,3,606,19,37,156,68,52,52,23,22,22,451,71,273,992,414,301,290,162,78,40,2621,22,28,65,34,21,26,3,5,6,210,6,11,21,12,10,4,8,0,3,75,5,24,27,13,7,18,10,19,6,129,4,24,29,10,10,14,19,25,23,158,6,32,42,17,21,26,19,7,3,173,7,40,73,21,12,17,9,9,0,188,3,45,79,16,23,9,7,0,0,182
POA6006,54,30,25,19,15,13,0,11,0,167,57,22,6,7,13,11,10,9,5,140,14,32,21,18,20,22,46,73,27,273,7,33,19,15,19,28,41,30,7,199,11,35,44,21,38,33,39,23,7,251,0,38,56,35,29,33,18,0,0,209,4,37,70,48,37,35,20,4,0,255,0,26,107,49,50,44,12,3,0,291,3,21,71,50,42,26,3,3,0,219,0,18,116,111,98,48,6,4,4,405,0,17,166,274,198,77,11,3,0,746,15,32,78,67,36,36,29,40,14,347,165,341,779,714,595,406,235,203,64,3502,60,14,47,65,31,27,20,8,5,277,57,37,24,50,29,13,13,24,4,251,13,51,37,29,32,29,68,61,16,336,6,32,31,43,24,28,56,66,45,331,6,52,66,60,56,45,43,26,15,369,9,51,82,53,46,38,15,3,0,297,0,48,69,63,50,27,9,0,0,266
POA6007,57,18,28,5,4,9,4,5,0,130,45,18,8,4,8,11,6,5,3,108,11,26,28,9,7,24,17,24,7,153,8,16,30,14,5,14,20,19,13,139,3,33,44,12,17,22,16,15,0,162,3,28,39,26,16,21,18,7,3,161,0,28,64,30,32,23,20,0,3,200,3,43,98,35,20,27,12,3,3,244,0,15,107,41,25,19,3,4,0,214,0,11,134,61,61,47,13,0,0,327,0,12,199,243,171,97,14,3,0,739,10,28,96,55,30,38,21,13,8,299,140,276,875,535,396,352,164,98,40,2876,39,20,43,43,17,32,10,3,3,210,33,29,27,30,12,16,5,6,3,161,11,28,24,19,23,20,31,46,27,229,10,26,23,21,11,37,59,58,43,288,6,25,53,42,29,40,24,18,14,251,5,37,58,49,26,36,22,8,5,246,0,43,79,42,30,27,14,0,3,238
POA6008,124,41,34,25,22,28,15,5,0,294,107,79,26,19,17,17,19,9,6,299,24,49,37,18,25,47,56,36,9,301,17,49,33,17,25,50,76,44,16,327,13,51,47,37,32,49,58,26,8,321,8,45,67,29,37,57,40,18,3,304,0,52,75,37,35,51,47,12,7,316,0,39,146,44,42,48,39,11,7,376,0,21,122,51,49,41,27,4,0,315,0,18,189,116,103,89,41,8,0,564,0,16,320,485,495,374,94,7,0,1791,24,31,119,77,69,79,40,34,20,493,317,491,1215,955,951,930,552,214,76,5701,120,45,108,134,65,69,29,12,0,582,111,64,47,66,39,58,34,9,6,434,28,74,54,44,44,76,54,47,16,437,15,53,44,38,56,65,88,68,38,465,20,60,67,68,54,83,90,50,21,513,4,60,80,75,96,87,57,19,6,484,5,46,110,64,68,65,29,13,6,406
POA6009,331,233,85,27,24,32,25,5,3,765,187,142,35,9,9,10,15,11,4,422,37,134,51,18,8,16,26,25,14,329,23,89,64,21,9,26,40,27,15,314,22,83,128,46,25,35,65,56,17,477,4,40,74,27,27,34,64,29,9,308,0,43,49,18,26,37,54,32,7,266,4,53,96,44,56,47,68,24,6,398,0,25,86,32,44,55,37,19,8,306,0,19,90,94,84,119,63,24,8,501,0,9,146,477,688,536,183,48,16,2103,35,49,65,47,45,53,56,28,38,416,643,919,969,860,1045,1000,696,328,145,6605,272,179,125,155,126,112,56,17,12,1054,195,143,53,71,72,73,34,17,8,666,50,140,50,36,47,60,54,43,26,506,17,81,42,43,48,59,59,73,53,475,18,52,104,75,106,88,110,62,46,661,5,49,60,56,73,91,75,40,18,467,3,53,75,66,86,66,59,20,14,442
POA6010,311,62,24,22,27,19,24,3,0,492,186,95,26,3,11,19,25,10,0,375,31,69,17,14,14,20,29,42,26,262,28,66,18,11,17,38,53,48,18,297,24,59,48,39,30,46,96,76,22,440,13,44,43,18,30,40,66,45,4,303,6,40,49,26,30,46,53,33,10,293,3,36,81,37,41,76,55,31,8,368,0,23,82,35,40,53,45,16,15,309,3,17,111,96,115,108,53,18,6,527,0,9,177,434,588,425,151,31,15,1830,98,64,76,75,79,64,50,28,25,559,703,584,752,810,1022,954,700,381,149,6055,216,57,71,152,109,95,36,23,10,769,182,119,57,68,60,62,41,22,9,620,40,67,42,43,44,50,69,54,34,443,12,58,45,40,57,68,96,100,82,558,24,68,56,74,109,106,134,112,71,754,3,63,58,68,91,87,82,50,32,534,3,48,74,68,93,89,60,44,26,505
POA6011,118,23,18,7,13,15,14,3,3,214,79,50,8,0,3,10,4,3,3,160,10,41,14,5,7,6,13,12,3,111,8,29,8,3,7,11,15,20,7,108,14,31,31,8,8,21,32,19,8,172,4,26,27,17,18,20,47,15,4,178,3,23,41,10,17,21,36,16,11,178,4,16,46,16,24,31,45,20,4,206,0,23,66,21,24,34,24,8,0,200,0,19,85,49,66,66,22,11,4,322,0,10,154,273,397,318,95,33,12,1292,30,34,90,46,50,55,31,24,13,373,270,325,588,455,634,608,378,184,72,3514,154,27,39,79,75,55,22,8,9,468,102,53,23,48,19,33,18,16,3,315,23,44,27,19,18,24,20,19,10,204,5,32,17,18,23,33,30,42,14,214,12,25,41,35,49,60,50,29,19,320,6,29,35,42,52,49,42,13,9,277,0,26,52,39,51,55,30,20,14,287
