region_id,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1999_15_19_yrs,F_1500_1999_20_24_yrs,F_1500_1999_25_34_yrs,F_1500_1999_35_44_yrs,F_1500_1999_45_54_yrs,F_1500_1999_55_64_yrs,F_1500_1999_65_74_yrs,F_1500_1999_75_84_yrs,F_1500_1999_85ov,F_1500_1999_Tot,F_2000_more_15_19_yrs,F_2000_more_20_24_yrs,F_2000_more_25_34_yrs,F_2000_more_35_44_yrs,F_2000_more_45_54_yrs,F_2000_more_55_64_yrs,F_2000_more_65_74_yrs,F_2000_more_75_84_yrs,F_2000_more_85ov,F_2000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_199_15_19_yrs,P_1_199_20_24_yrs,P_1_199_25_34_yrs,P_1_199_35_44_yrs,P_1_199_45_54_yrs,P_1_199_55_64_yrs,P_1_199_65_74_yrs,P_1_199_75_84_yrs,P_1_199_85ov,P_1_199_Tot,P_200_299_15_19_yrs,P_200_299_20_24_yrs,P_200_299_25_34_yrs,P_200_299_35_44_yrs,P_200_299_45_54_yrs,P_200_299_55_64_yrs,P_200_299_65_74_yrs,P_200_299_75_84_yrs,P_200_299_85ov,P_200_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_599_15_19_yrs,P_400_599_20_24_yrs,P_400_599_25_34_yrs,P_400_599_35_44_yrs,P_400_599_45_54_yrs,P_400_599_55_64_yrs,P_400_599_65_74_yrs,P_400_599_75_84_yrs,P_400_599_85ov,P_400_599_Tot,P_600_799_15_19_yrs,P_600_799_20_24_yrs,P_600_799_25_34_yrs,P_600_799_35_44_yrs,P_600_799_45_54_yrs,P_600_799_55_64_yrs,P_600_799_65_74_yrs,P_600_799_75_84_yrs,P_600_799_85ov,P_600_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1999_15_19_yrs,P_1500_1999_20_24_yrs,P_1500_1999_25_34_yrs,P_1500_1999_35_44_yrs,P_1500_1999_45_54_yrs,P_1500_1999_55_64_yrs,P_1500_1999_65_74_yrs,P_1500_1999_75_84_yrs,P_1500_1999_85ov,P_1500_1999_Tot,P_2000_more_15_19_yrs,P_2000_more_20_24_yrs,P_2000_more_25_34_yrs,P_2000_more_35_44_yrs,P_2000_more_45_54_yrs,P_2000_more_55_64_yrs,P_2000_more_65_74_yrs,P_2000_more_75_84_yrs,P_2000_more_85ov,P_2000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6000,3,56,145,54,28,21,6,3,0,316,0,21,157,35,40,25,0,0,0,278,0,19,170,58,42,30,7,0,0,326,0,3,146,79,52,34,6,3,0,323,19,76,210,60,39,43,19,10,0,476,121,604,1503,535,375,313,140,86,45,3722,96,157,216,89,44,37,18,7,5,669,43,59,79,45,24,26,6,6,0,288,18,55,87,51,58,67,45,40,14,435,9,83,98,52,42,63,64,35,34,480,18,137,186,79,61,63,58,21,9,632,19,167,275,79,69,59,24,14,0,706,6,125,273,81,74,40,19,10,4,632,3,112,332,128,78,51,17,6,0,727,3,51,355,101,73,42,7,5,0,637,3,49,458,158,111,76,20,0,0,875,0,16,508,325,238,166,28,6,0,1287,51,177,502,213,132,118,58,32,10,1293,269,1188,3369,1401,1004,808,364,182,76,8661
POA6003,0,9,55,15,12,8,0,0,0,99,0,4,43,11,13,11,3,0,0,85,0,7,58,20,21,3,0,0,0,109,0,0,34,30,16,7,0,0,0,87,3,19,69,17,26,14,5,6,0,159,38,170,514,159,152,123,45,31,12,1244,23,47,57,32,15,22,4,0,0,200,13,34,40,3,13,9,8,3,6,129,12,28,51,23,15,31,27,14,10,211,6,30,56,14,16,26,24,15,5,192,9,46,82,34,15,21,20,3,0,230,4,53,97,18,27,18,3,6,0,226,0,43,100,30,24,9,5,0,0,211,0,23,113,36,26,19,3,0,0,220,0,20,84,35,21,15,6,0,0,181,0,13,139,62,43,18,0,0,0,275,0,4,109,91,55,40,5,3,0,307,10,43,146,58,47,34,8,14,0,360,77,384,1074,436,317,262,113,58,21,2742
POA6004,0,46,150,35,36,31,6,0,0,304,3,22,130,32,29,31,4,0,0,251,0,10,139,50,50,41,8,3,3,304,0,5,102,78,71,40,8,0,0,304,30,82,210,65,51,56,26,6,10,536,127,510,1269,438,410,446,192,73,41,3506,103,145,188,85,67,72,27,10,0,697,38,44,47,18,17,36,9,11,0,220,18,70,58,30,33,56,51,27,3,346,14,61,89,23,20,63,84,64,24,442,20,102,141,39,43,62,51,7,8,473,14,106,207,60,37,55,38,11,5,533,3,80,221,68,46,49,28,6,3,504,0,93,304,79,63,71,12,3,0,625,6,51,257,71,55,58,18,0,0,516,0,35,354,156,107,84,20,6,3,765,0,19,383,314,305,210,57,5,0,1293,64,174,497,176,143,123,67,25,21,1290,280,980,2746,1119,936,939,462,175,67,7704
POA6005,0,34,100,27,29,21,6,0,0,217,0,11,74,21,15,10,4,3,0,138,0,12,131,24,29,15,5,3,0,219,0,0,80,47,35,11,5,3,3,184,12,38,120,46,56,37,16,25,16,366,65,299,841,288,268,208,111,99,60,2239,40,53,104,45,25,41,10,5,9,332,21,24,31,20,13,12,12,0,3,136,9,44,43,23,19,32,32,27,9,238,8,38,44,23,21,33,43,41,29,280,9,64,75,31,41,36,39,23,3,321,12,78,124,32,21,29,14,15,0,325,6,84,170,33,37,28,15,0,0,373,0,52,186,60,41,35,16,3,0,393,0,28,175,56,32,27,7,6,0,331,0,25,298,75,69,38,9,7,3,524,0,7,307,190,142,98,37,3,6,790,31,75,276,114,108,89,39,47,38,817,136,572,1833,702,569,498,273,177,100,4860
POA6006,0,27,121,59,51,24,5,3,0,290,0,6,87,54,48,25,3,0,0,223,0,5,117,92,73,50,5,3,0,345,0,3,75,103,83,24,0,4,0,292,14,15,68,44,39,43,43,57,52,375,165,341,824,715,562,373,280,255,137,3652,114,44,72,84,46,40,20,19,5,444,114,59,30,57,42,24,23,33,9,391,27,83,58,47,52,51,114,134,43,609,13,65,50,58,43,56,97,96,52,530,17,87,110,81,94,78,82,49,22,620,9,89,138,88,75,71,33,3,0,506,4,85,139,111,87,62,29,4,0,521,0,53,228,108,101,68,17,6,0,581,3,27,158,104,90,51,6,3,0,442,0,23,233,203,171,98,11,7,4,750,0,20,241,377,281,101,11,7,0,1038,29,47,146,111,75,79,72,97,66,722,330,682,1603,1429,1157,779,515,458,201,7154
POA6007,0,24,99,49,45,39,3,3,0,262,0,8,110,42,46,26,3,0,0,235,0,7,129,65,62,41,6,3,0,313,0,0,77,93,62,21,5,3,0,261,7,32,87,51,24,34,18,24,40,317,111,279,809,546,387,369,200,172,138,3011,96,38,71,48,21,41,14,8,3,340,78,47,35,34,20,27,11,11,6,269,22,54,52,28,30,44,48,70,34,382,18,42,53,35,16,51,79,77,56,427,9,58,97,54,46,62,40,33,14,413,8,65,97,75,42,57,40,15,8,407,0,71,143,72,62,50,34,0,6,438,3,67,197,84,65,66,15,6,3,506,0,23,217,83,71,45,6,4,0,449,0,18,263,126,123,88,19,3,0,640,0,12,276,336,233,118,19,6,0,1000,17,60,183,106,54,72,39,37,48,616,251,555,1684,1081,783,721,364,270,178,5887
POA6008,0,55,144,76,111,89,36,4,3,518,0,27,130,79,83,68,15,8,4,414,0,3,172,130,134,107,26,0,3,575,0,3,182,206,182,116,42,6,0,737,30,30,101,68,62,63,52,41,62,509,333,520,1239,1048,994,946,552,277,165,6074,244,86,142,159,87,97,44,17,0,876,218,143,73,85,56,75,53,18,12,733,52,123,91,62,69,123,110,83,25,738,32,102,77,55,81,115,164,112,54,792,33,111,114,105,86,132,148,76,29,834,12,105,147,104,133,144,97,37,9,788,5,98,185,101,103,116,76,25,13,722,0,94,290,120,153,137,75,15,10,894,0,48,252,130,132,109,42,12,4,729,0,21,361,246,237,196,67,8,3,1139,0,19,502,691,677,490,136,13,0,2528,54,61,220,145,131,142,92,75,82,1002,650,1011,2454,2003,1945,1876,1104,491,241,11775
POA6009,0,51,100,75,110,99,62,17,20,534,0,18,69,67,83,90,35,15,7,384,0,9,95,98,131,131,50,19,7,540,0,5,65,208,270,176,63,25,9,821,29,50,45,40,56,50,50,48,114,482,589,830,883,990,1208,1095,707,396,334,7032,603,412,210,182,150,144,81,22,15,1819,382,285,88,80,81,83,49,28,12,1088,87,274,101,54,55,76,80,68,40,835,40,170,106,64,57,85,99,100,68,789,40,135,232,121,131,123,175,118,63,1138,9,89,134,83,100,125,139,69,27,775,3,96,124,84,112,103,113,52,21,708,4,104,196,119,166,146,130,41,26,932,0,43,155,99,127,145,72,34,15,690,0,28,185,192,215,250,113,43,15,1041,0,14,211,685,958,712,246,73,25,2924,64,99,110,87,101,103,106,76,152,898,1232,1749,1852,1850,2253,2095,1403,724,479,13637
POA6010,0,37,91,56,116,103,58,33,16,510,0,10,88,73,90,65,33,21,8,388,0,10,81,74,149,106,35,22,13,490,0,5,65,165,214,161,48,25,12,695,42,27,42,53,57,44,48,53,75,441,522,569,770,934,1189,1036,740,559,388,6707,527,119,95,174,136,114,60,26,10,1261,368,214,83,71,71,81,66,32,9,995,71,136,59,57,58,70,98,96,60,705,40,124,63,51,74,106,149,148,100,855,48,127,104,113,139,152,230,188,93,1194,16,107,101,86,121,127,148,95,36,837,9,88,123,94,123,135,113,77,36,798,3,73,172,93,157,179,113,64,24,878,0,33,170,108,130,118,78,37,23,697,3,27,192,170,264,214,88,40,19,1017,0,14,242,599,802,586,199,56,27,2525,140,91,118,128,136,108,98,81,100,1000,1225,1153,1522,1744,2211,1990,1440,940,537,12762
POA6011,0,30,53,47,44,67,26,13,9,289,0,11,67,37,54,43,21,5,5,243,0,3,61,50,88,66,20,3,3,294,0,3,66,116,132,113,46,19,4,499,28,27,64,51,49,67,39,36,61,422,330,310,545,581,654,665,364,223,160,3832,272,50,57,86,88,70,36,11,12,682,181,103,31,48,22,43,22,19,6,475,33,85,41,24,25,30,33,31,13,315,13,61,25,21,30,44,45,62,21,322,26,56,72,43,57,81,82,48,27,492,10,55,62,59,70,69,89,28,13,455,3,49,93,49,68,76,66,36,25,465,4,46,99,63,68,98,71,33,13,495,0,34,133,58,78,77,45,13,5,443,0,22,146,99,154,132,42,14,7,616,0,13,220,389,529,431,141,52,16,1791,58,61,154,97,99,122,70,60,74,795,600,635,1133,1036,1288,1273,742,407,232,7346
