region_id,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
POA6000,3,113,33,149,3,125,17,145,3,115,28,146,4,492,86,582,3,1570,293,1866,5,707,154,866,13,518,97,628,20,404,71,495,20,168,35,223,14,63,19,96,12,16,3,31,100,4291,836,5227,0,126,32,158,0,105,21,126,0,104,17,121,0,534,72,606,3,1293,206,1502,11,463,62,536,17,325,33,375,8,272,34,314,12,112,16,140,23,53,10,86,33,13,0,46,107,3400,503,4010,3,239,65,307,3,230,38,271,3,219,45,267,4,1026,158,1188,6,2863,499,3368,16,1170,216,1402,30,843,130,1003,28,676,105,809,32,280,51,363,37,116,29,182,45,29,3,77,207,7691,1339,9237
POA6003,3,37,8,48,3,51,14,68,0,33,5,38,3,190,22,215,0,479,80,559,3,234,42,279,3,143,18,164,3,115,20,138,5,59,4,68,3,19,5,27,3,3,3,9,29,1363,221,1613,0,31,10,41,0,50,7,57,0,37,0,37,0,155,15,170,4,439,70,513,3,137,18,158,3,124,26,153,5,111,7,123,3,37,6,46,8,20,3,31,7,6,0,13,33,1147,162,1342,3,68,18,89,3,101,21,125,0,70,5,75,3,345,37,385,4,918,150,1072,6,371,60,437,6,267,44,317,8,226,27,261,8,96,10,114,11,39,8,58,10,9,3,22,62,2510,383,2955
POA6004,0,123,39,162,3,93,19,115,3,114,37,154,3,376,91,470,5,1181,291,1477,6,562,112,680,5,434,86,525,16,412,65,493,13,221,35,269,16,69,16,101,14,10,5,29,84,3595,796,4475,0,94,18,112,0,67,21,88,0,100,27,127,0,434,77,511,5,1057,207,1269,6,372,61,439,4,354,54,412,15,379,52,446,14,152,27,193,19,51,4,74,20,15,3,38,83,3075,551,3709,0,217,57,274,3,160,40,203,3,214,64,281,3,810,168,981,10,2238,498,2746,12,934,173,1119,9,788,140,937,31,791,117,939,27,373,62,462,35,120,20,175,34,25,8,67,167,6670,1347,8184
POA6005,0,55,20,75,4,60,18,82,0,58,13,71,3,227,44,274,3,831,158,992,4,346,64,414,4,247,51,302,8,228,51,287,16,127,18,161,19,45,16,80,22,11,5,38,83,2235,458,2776,0,60,15,75,3,57,18,78,0,52,13,65,3,257,41,301,3,718,120,841,4,243,39,286,5,206,57,268,7,170,33,210,8,95,8,111,33,56,8,97,36,16,7,59,102,1930,359,2391,0,115,35,150,7,117,36,160,0,110,26,136,6,484,85,575,6,1549,278,1833,8,589,103,700,9,453,108,570,15,398,84,497,24,222,26,272,52,101,24,177,58,27,12,97,185,4165,817,5167
POA6006,3,280,16,299,3,383,28,414,3,152,11,166,0,310,31,341,4,700,74,778,5,649,61,715,14,554,28,596,27,348,32,407,21,199,16,236,52,132,17,201,36,24,5,65,168,3731,319,4218,3,251,17,271,3,374,25,402,3,158,6,167,0,328,13,341,3,755,69,827,6,667,41,714,15,520,25,560,30,326,16,372,61,203,15,279,92,151,13,256,88,39,10,137,304,3772,250,4326,6,531,33,570,6,757,53,816,6,310,17,333,0,638,44,682,7,1455,143,1605,11,1316,102,1429,29,1074,53,1156,57,674,48,779,82,402,31,515,144,283,30,457,124,63,15,202,472,7503,569,8544
POA6007,0,177,21,198,3,196,21,220,3,127,10,140,0,249,26,275,3,777,94,874,3,479,52,534,0,368,30,398,8,311,34,353,21,129,13,163,22,65,10,97,21,13,5,39,84,2891,316,3291,0,190,13,203,3,219,18,240,3,102,8,113,3,249,26,278,6,716,89,811,3,497,47,547,6,356,24,386,5,333,31,369,19,169,12,200,58,106,8,172,80,52,5,137,186,2989,281,3456,0,367,34,401,6,415,39,460,6,229,18,253,3,498,52,553,9,1493,183,1685,6,976,99,1081,6,724,54,784,13,644,65,722,40,298,25,363,80,171,18,269,101,65,10,176,270,5880,597,6747
POA6008,0,348,33,381,15,626,37,678,8,288,21,317,12,450,28,490,11,1092,113,1216,29,859,68,956,33,859,59,951,37,822,70,929,40,490,23,553,36,168,11,215,27,42,6,75,248,6044,469,6761,0,351,29,380,7,609,27,643,3,310,19,332,6,484,30,520,14,1125,100,1239,18,965,65,1048,24,918,54,996,44,853,49,946,38,479,35,552,66,192,19,277,66,87,12,165,286,6373,439,7098,0,699,62,761,22,1235,64,1321,11,598,40,649,18,934,58,1010,25,2217,213,2455,47,1824,133,2004,57,1777,113,1947,81,1675,119,1875,78,969,58,1105,102,360,30,492,93,129,18,240,534,12417,908,13859
POA6009,3,352,19,374,12,1054,29,1095,9,615,19,643,5,866,46,917,13,901,56,970,12,806,42,860,8,1003,33,1044,5,947,49,1001,20,634,41,695,31,274,25,330,44,73,29,146,162,7525,388,8075,0,365,26,391,3,1028,44,1075,3,562,24,589,3,782,46,831,4,831,47,882,4,950,37,991,9,1158,41,1208,9,1047,40,1096,31,647,30,708,51,319,24,394,132,155,44,331,249,7844,403,8496,3,717,45,765,15,2082,73,2170,12,1177,43,1232,8,1648,92,1748,17,1732,103,1852,16,1756,79,1851,17,2161,74,2252,14,1994,89,2097,51,1281,71,1403,82,593,49,724,176,228,73,477,411,15369,791,16571
POA6010,3,389,21,413,15,909,97,1021,5,615,81,701,4,523,57,584,8,666,79,753,17,725,70,812,21,931,70,1022,18,876,61,955,20,639,40,699,34,325,22,381,47,85,16,148,192,6683,614,7489,3,357,8,368,10,878,28,916,5,500,19,524,13,531,26,570,6,717,45,768,12,873,48,933,11,1126,51,1188,16,981,39,1036,23,685,33,741,53,471,34,558,139,194,58,391,291,7313,389,7993,6,746,29,781,25,1787,125,1937,10,1115,100,1225,17,1054,83,1154,14,1383,124,1521,29,1598,118,1745,32,2057,121,2210,34,1857,100,1991,43,1324,73,1440,87,796,56,939,186,279,74,539,483,13996,1003,15482
POA6011,3,196,16,215,7,524,39,570,5,245,21,271,0,298,28,326,0,495,92,587,4,408,43,455,8,578,48,634,6,546,55,607,6,341,31,378,13,158,12,183,23,42,7,72,75,3831,392,4298,0,176,24,200,3,542,50,595,0,307,22,329,0,283,28,311,3,480,62,545,0,528,52,580,6,606,42,654,8,599,59,666,13,327,24,364,36,170,16,222,82,62,17,161,151,4080,396,4627,3,372,40,415,10,1066,89,1165,5,552,43,600,0,581,56,637,3,975,154,1132,4,936,95,1035,14,1184,90,1288,14,1145,114,1273,19,668,55,742,49,328,28,405,105,104,24,233,226,7911,788,8925
