region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
POA6000,47,10,78,2502,2053,444,248,2088,1327,8662
POA6003,6,3,24,838,659,146,86,650,362,2741
POA6004,35,11,68,2054,1815,484,266,1767,1319,7705
POA6005,67,18,100,1409,1205,284,160,1007,794,4859
POA6006,105,24,201,1930,2031,719,516,1384,574,7154
POA6007,111,18,177,1677,1671,562,370,1041,565,5886
POA6008,86,73,240,3372,3315,1250,857,1958,1024,11776
POA6009,207,116,478,3585,3602,1705,1370,2529,844,13635
POA6010,184,124,538,3306,3356,1596,1288,2170,1047,12763
POA6011,53,86,231,1965,1890,894,695,1102,800,7346
POA6012,92,47,224,1852,1809,810,596,1443,609,7119
POA6014,230,68,548,4007,4279,1874,1582,2433,963,15138
POA6015,64,30,192,1251,1269,732,653,874,300,5079
POA6016,54,69,179,1977,2126,846,615,1398,774,7736
POA6017,33,12,59,908,844,251,190,826,558,3577
POA6018,425,272,1001,6905,7720,3350,2790,5150,2153,28068
POA6019,94,66,312,4674,4736,1871,1334,2775,1811,17201
POA6020,115,68,332,4125,4596,2380,1765,2819,1028,16713
POA6021,144,91,369,3687,4041,1764,1643,3605,1198,15938
POA6022,20,8,58,942,1192,540,465,741,191,4071
POA6023,126,32,263,2779,3502,1844,1399,2042,494,12060
POA6024,105,25,203,2497,3203,1486,1196,1959,586,10927
POA6025,112,53,302,5819,6702,3163,2551,4349,1418,24002
POA6026,204,166,532,4369,4984,2486,1895,3431,1109,18274
POA6027,202,85,433,8479,9366,4110,3154,6972,2252,34333
POA6028,43,6,80,3998,4220,1891,1542,3219,610,15480
POA6029,15,11,60,532,607,274,232,317,150,2112
POA6030,220,69,439,6197,7243,3285,2960,5890,2715,28290
POA6031,9,6,21,1943,2215,993,829,1610,550,8140
POA6032,0,0,0,45,44,21,10,47,16,183
POA6033,0,0,3,127,139,62,61,115,68,572
POA6035,9,88,110,626,829,435,382,607,418,3297
POA6036,4,6,14,1782,2052,873,813,1492,498,7510
POA6037,10,9,27,274,448,257,239,362,187,1767
POA6041,4,0,11,152,239,155,221,222,105,1094
POA6042,0,0,3,9,15,12,14,18,9,77
POA6043,0,0,0,27,40,21,32,28,21,169
POA6044,8,3,18,213,239,151,138,246,249,1236
POA6050,294,125,596,3638,3388,1294,975,2508,1039,12842
POA6051,120,38,217,2834,2823,937,631,2424,1202,10851
POA6052,79,36,200,2209,2470,948,751,1596,637,8611
POA6053,252,66,423,2567,3283,1287,908,2276,951,11272
POA6054,152,46,318,3591,4261,1925,1588,3463,1256,16084
POA6055,89,20,157,2046,2522,1130,1023,1883,978,9582
POA6056,282,170,658,6284,7449,3555,3226,6446,3114,30074
POA6057,43,22,114,2883,3350,1554,1414,2521,1051,12773
POA6058,92,21,176,2081,2428,1165,1018,2067,769,9528
POA6059,243,107,601,4320,4711,2126,1869,4328,1406,18760
POA6060,276,130,615,4786,5216,1738,1416,4044,1858,19058
POA6061,118,80,289,5606,6141,2318,2196,7217,3255,26733
POA6062,323,77,612,5636,6439,2925,2548,6532,1790,25870
POA6063,31,22,80,2386,2548,1056,1058,2855,923,10826
POA6064,161,60,288,5023,5493,2327,2179,6808,2086,23916
POA6065,269,113,516,9280,10759,4577,4015,8288,2416,39335
POA6066,40,13,86,3480,3710,1676,1379,3574,980,14799
POA6067,3,0,3,10,18,8,7,37,11,91
POA6068,0,0,0,0,0,0,0,0,0,0
POA6069,74,20,155,4261,5119,2298,2108,3342,1114,18242
POA6070,11,3,35,578,813,476,390,396,143,2796
POA6071,10,3,32,593,780,425,380,391,256,2825
POA6072,7,3,13,157,179,93,91,101,75,696
POA6073,19,43,95,486,658,373,313,441,222,2493
POA6074,3,5,11,168,213,107,101,146,40,775
POA6076,170,112,463,3740,4754,2785,2321,2797,1150,17547
POA6077,4,5,23,266,285,197,150,291,97,1286
POA6078,0,0,3,137,174,101,79,151,46,688
POA6079,0,0,0,0,0,0,0,4,0,4
POA6081,7,4,21,757,1055,563,478,559,191,3603
POA6082,5,3,14,505,636,397,324,401,208,2471
POA6083,3,0,15,512,757,398,418,438,267,2790
POA6084,17,4,28,955,1314,693,707,878,394,4941
POA6090,0,0,0,0,6,0,0,7,0,13
POA6100,45,34,155,3133,3192,1052,748,2523,1342,11990
POA6101,147,54,289,3167,3354,1196,912,2938,1123,12690
POA6102,262,298,805,2883,2532,881,652,3549,1781,12278
POA6103,58,39,140,1696,1775,603,504,1759,865,7202
POA6104,154,44,266,2478,2763,1050,898,2580,1332,11101
POA6105,95,54,271,2405,2719,1129,1038,2703,1095,11089
POA6106,0,0,0,3,3,0,0,9,3,18
POA6107,169,87,397,6647,7112,2898,2554,7889,2957,30057
POA6108,64,27,173,3975,4567,2180,2039,4344,1273,18378
POA6109,72,27,158,1648,1955,883,893,2195,998,8572
POA6110,192,183,513,5763,6860,3098,2826,6091,2681,27319
POA6111,133,41,265,3608,4586,2314,2118,3625,1512,17763
POA6112,162,111,393,6698,8032,3548,3547,6544,2802,31171
POA6121,9,0,13,495,533,311,283,359,139,2120
POA6122,52,10,76,1529,1921,844,954,1363,418,7029
POA6123,0,3,12,234,276,151,151,187,69,1068
POA6124,0,3,3,154,226,127,114,141,75,837
POA6125,6,6,22,413,548,314,309,355,156,2095
POA6126,3,0,3,33,65,40,31,40,248,457
POA6147,52,31,155,2712,3076,1272,1270,2907,785,12022
POA6148,260,82,489,3372,3697,1866,1477,2951,1004,14367
POA6149,155,137,447,3970,4134,2129,1660,2880,771,15544
POA6150,133,56,298,2849,2707,1292,1158,2633,577,11216
POA6151,161,58,324,3713,3881,1471,1039,2633,1240,13977
POA6152,399,172,783,5674,5465,2073,1574,4511,1668,20965
POA6153,134,96,468,3982,4272,1968,1624,2934,1249,16029
POA6154,216,58,433,1837,2077,1067,824,1556,572,7933
POA6155,158,44,329,9282,9816,4532,3770,7817,2678,37895
POA6156,175,61,387,3100,3333,1656,1403,2382,889,12763
POA6157,173,86,428,2639,3118,1277,1039,1901,820,10794
POA6158,87,24,157,1400,1596,718,583,939,396,5632
POA6159,48,3,65,565,637,295,161,479,240,2377
POA6160,70,29,146,1779,1993,685,426,1298,680,6861
POA6161,0,0,0,30,22,4,12,25,7,100
POA6162,92,34,216,2025,2438,1077,787,1596,701,8624
POA6163,431,208,912,8422,9782,4522,3922,8864,2933,38445
POA6164,109,25,213,8800,9996,4137,3612,7184,2332,36061
POA6165,0,0,0,15,19,7,17,25,19,102
POA6166,29,13,80,1460,1632,820,769,1552,513,6746
POA6167,106,66,245,3307,4142,1933,1851,3755,2520,17508
POA6168,266,132,585,3641,4700,2214,2205,4849,2041,19650
POA6169,227,81,468,5430,6978,3236,3297,5978,2376,27295
POA6170,7,3,13,1039,1302,606,546,979,447,4919
POA6171,18,3,29,2593,3326,1528,1384,2051,605,11487
POA6172,44,45,113,2142,2550,1208,1192,2171,1017,10280
