region_id,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
POA6000,4,112,31,147,12,477,94,583,44,1521,300,1865,25,680,160,865,46,477,106,629,39,377,81,497,13,165,45,223,4,70,22,96,3,23,6,32,190,3902,845,4937,11,89,20,120,16,514,75,605,57,1232,214,1503,30,441,66,537,37,298,40,375,54,214,45,313,21,101,18,140,6,63,16,85,0,41,4,45,232,2993,498,3723,15,201,51,267,28,991,169,1188,101,2753,514,3368,55,1121,226,1402,83,775,146,1004,93,591,126,810,34,266,63,363,10,133,38,181,3,64,10,77,422,6895,1343,8660
POA6003,0,36,0,36,5,186,25,216,12,469,80,561,14,219,45,278,18,127,19,164,16,101,23,140,4,57,6,67,3,15,8,26,3,6,0,9,75,1216,206,1497,0,34,5,39,4,150,15,169,28,417,68,513,14,126,18,158,19,110,24,153,15,91,17,123,3,40,3,46,0,25,6,31,3,10,0,13,86,1003,156,1245,0,70,5,75,9,336,40,385,40,886,148,1074,28,345,63,436,37,237,43,317,31,192,40,263,7,97,9,113,3,40,14,57,6,16,0,22,161,2219,362,2742
POA6004,3,111,38,152,5,368,95,468,39,1141,296,1476,32,532,116,680,33,405,87,525,39,385,70,494,18,211,42,271,11,65,26,102,3,21,6,30,183,3239,776,4198,3,92,33,128,7,422,83,512,47,1010,211,1268,23,353,63,439,49,309,55,413,58,329,57,444,21,141,28,190,3,56,13,72,0,33,4,37,211,2745,547,3503,6,203,71,280,12,790,178,980,86,2151,507,2744,55,885,179,1119,82,714,142,938,97,714,127,938,39,352,70,461,14,121,39,174,3,54,10,67,394,5984,1323,7701
POA6005,3,51,19,73,3,230,42,275,35,796,160,991,20,328,64,412,29,217,56,302,22,207,58,287,10,131,22,163,4,59,17,80,0,26,12,38,126,2045,450,2621,3,51,11,65,5,252,41,298,32,692,118,842,27,215,46,288,37,179,51,267,41,135,35,211,10,86,14,110,4,75,18,97,0,52,8,60,159,1737,342,2238,6,102,30,138,8,482,83,573,67,1488,278,1833,47,543,110,700,66,396,107,569,63,342,93,498,20,217,36,273,8,134,35,177,0,78,20,98,285,3782,792,4859
POA6006,6,145,15,166,11,297,31,339,25,676,78,779,54,598,61,713,60,502,33,595,61,307,39,407,28,180,29,237,13,160,30,203,6,47,10,63,264,2912,326,3502,4,144,18,166,8,319,15,342,44,715,65,824,77,597,40,714,92,441,28,561,75,274,22,371,29,227,24,280,21,211,22,254,3,120,17,140,353,3048,251,3652,10,289,33,332,19,616,46,681,69,1391,143,1603,131,1195,101,1427,152,943,61,1156,136,581,61,778,57,407,53,517,34,371,52,457,9,167,27,203,617,5960,577,7154
POA6007,4,127,9,140,9,238,28,275,29,750,95,874,27,455,54,536,31,334,32,397,51,267,34,352,16,131,16,163,5,80,13,98,3,26,10,39,175,2408,291,2874,4,97,10,111,15,237,27,279,34,685,91,810,50,447,47,544,68,297,22,387,86,246,37,369,24,160,17,201,10,145,18,173,3,122,13,138,294,2436,282,3012,8,224,19,251,24,475,55,554,63,1435,186,1684,77,902,101,1080,99,631,54,784,137,513,71,721,40,291,33,364,15,225,31,271,6,148,23,177,469,4844,573,5886
POA6008,8,279,30,317,20,438,32,490,42,1058,115,1215,58,825,72,955,98,785,69,952,117,736,76,929,50,449,56,555,24,156,34,214,4,49,21,74,421,4775,505,5701,10,290,32,332,20,467,35,522,66,1069,104,1239,97,877,74,1048,176,757,59,992,207,675,63,945,80,407,64,551,19,206,54,279,7,107,53,167,682,4855,538,6075,18,569,62,649,40,905,67,1012,108,2127,219,2454,155,1702,146,2003,274,1542,128,1944,324,1411,139,1874,130,856,120,1106,43,362,88,493,11,156,74,241,1103,9630,1043,11776
POA6009,22,579,42,643,37,825,56,918,46,856,67,969,53,757,50,860,110,889,46,1045,136,815,49,1000,79,564,53,696,33,260,36,329,18,89,38,145,534,5634,437,6605,22,528,39,589,38,747,46,831,55,784,43,882,116,837,39,992,221,932,54,1207,289,754,52,1095,133,521,53,707,49,300,46,395,9,246,78,333,932,5649,450,7031,44,1107,81,1232,75,1572,102,1749,101,1640,110,1851,169,1594,89,1852,331,1821,100,2252,425,1569,101,2095,212,1085,106,1403,82,560,82,724,27,335,116,478,1466,11283,887,13636
POA6010,24,573,106,703,17,503,65,585,28,644,79,751,50,682,81,813,109,834,77,1020,141,746,67,954,81,563,55,699,29,304,49,382,8,111,30,149,487,4960,609,6056,14,473,35,522,30,506,33,569,50,680,38,768,119,766,49,934,227,911,51,1189,257,740,41,1038,140,548,53,741,62,411,85,558,19,276,93,388,918,5311,478,6707,38,1046,141,1225,47,1009,98,1154,78,1324,117,1519,169,1448,130,1747,336,1745,128,2209,398,1486,108,1992,221,1111,108,1440,91,715,134,940,27,387,123,537,1405,10271,1087,12763
POA6011,8,233,29,270,8,286,30,324,20,477,92,589,35,372,47,454,66,517,50,633,79,472,59,610,41,301,37,379,23,133,28,184,8,45,18,71,288,2836,390,3514,13,293,25,331,7,275,30,312,26,453,64,543,60,476,46,582,128,481,45,654,155,447,63,665,70,255,38,363,22,153,47,222,8,87,65,160,489,2920,423,3832,21,526,54,601,15,561,60,636,46,930,156,1132,95,848,93,1036,194,998,95,1287,234,919,122,1275,111,556,75,742,45,286,75,406,16,132,83,231,777,5756,813,7346
