region_id,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA6000,0,4,0,4,111,31,146,9,11,0,20,469,94,583,100,34,0,134,1433,297,1864,126,15,3,144,566,157,867,64,9,0,73,451,105,629,18,21,3,42,374,79,495,5,13,0,18,164,43,225,0,0,0,0,72,24,96,0,0,0,0,24,10,34,322,107,6,435,3664,840,4939,5,9,0,14,92,16,122,11,26,0,37,492,76,605,133,55,4,192,1104,207,1503,136,18,6,160,313,63,536,29,25,0,54,284,37,375,7,34,0,41,230,42,313,0,27,0,27,94,19,140,3,7,0,10,61,14,85,0,0,0,0,43,0,43,324,201,10,535,2713,474,3722,5,13,0,18,203,47,268,20,37,0,57,961,170,1188,233,89,4,326,2537,504,3367,262,33,9,304,879,220,1403,93,34,0,127,735,142,1004,25,55,3,83,604,121,808,5,40,0,45,258,62,365,3,7,0,10,133,38,181,0,0,0,0
POA6003,3,3,0,6,32,0,38,0,5,0,5,188,21,214,16,11,0,27,452,80,559,46,5,0,51,182,45,278,21,5,0,26,121,18,165,4,10,0,14,107,20,141,0,4,0,4,56,7,67,0,0,0,0,16,9,25,0,0,0,0,9,0,9,90,43,0,133,1163,200,1496,0,0,0,0,34,5,39,0,7,0,7,146,16,169,37,18,3,58,392,65,515,51,13,3,67,74,16,157,17,3,0,20,110,22,152,5,14,0,19,90,13,122,0,6,0,6,37,3,46,0,3,0,3,23,6,32,0,0,0,0,13,0,13,110,64,6,180,919,146,1245,3,3,0,6,66,5,77,0,12,0,12,334,37,383,53,29,3,85,844,145,1074,97,18,3,118,256,61,435,38,8,0,46,231,40,317,9,24,0,33,197,33,263,0,10,0,10,93,10,113,0,3,0,3,39,15,57,0,0,0,0
POA6004,0,0,0,0,113,38,151,0,8,0,8,369,92,469,78,15,3,96,1088,292,1476,131,8,3,142,427,110,679,61,7,0,68,372,86,526,8,33,0,41,386,68,495,0,27,0,27,198,44,269,0,6,0,6,69,28,103,0,0,0,0,22,7,29,278,104,6,388,3044,765,4197,0,5,0,5,90,33,128,9,10,0,19,413,80,512,112,37,3,152,903,215,1270,116,14,0,130,248,61,439,36,17,3,56,303,51,410,6,64,0,70,316,59,445,3,38,0,41,120,31,192,0,4,0,4,59,9,72,0,3,0,3,31,4,38,282,192,6,480,2483,543,3506,0,5,0,5,203,71,279,9,18,0,27,782,172,981,190,52,6,248,1991,507,2746,247,22,3,272,675,171,1118,97,24,3,124,675,137,936,14,97,0,111,702,127,940,3,65,0,68,318,75,461,0,10,0,10,128,37,175,0,3,0,3
POA6005,0,0,0,0,53,19,72,0,4,0,4,229,41,274,42,25,0,67,768,156,991,62,7,3,72,274,67,413,37,3,3,43,206,52,301,3,10,0,13,218,55,286,3,8,0,11,131,21,163,0,6,0,6,61,14,81,3,0,0,3,28,9,40,150,63,6,219,1968,434,2621,0,7,0,7,44,13,64,6,9,0,15,244,40,299,58,25,0,83,643,114,840,67,12,0,79,164,46,289,20,12,0,32,181,55,268,0,29,0,29,146,36,211,0,19,0,19,82,9,110,0,7,0,7,74,16,97,0,0,0,0,52,8,60,151,120,0,271,1630,337,2238,0,7,0,7,97,32,136,6,13,0,19,473,81,573,100,50,0,150,1411,270,1831,129,19,3,151,438,113,702,57,15,3,75,387,107,569,3,39,0,42,364,91,497,3,27,0,30,213,30,273,0,13,0,13,135,30,178,3,0,0,3
POA6006,0,4,0,4,143,18,165,0,18,0,18,286,36,340,94,15,3,112,592,75,779,323,16,9,348,311,56,715,182,11,4,197,366,31,594,29,25,0,54,316,36,406,0,35,0,35,179,22,236,0,11,0,11,162,29,202,0,3,0,3,52,9,64,628,138,16,782,2407,312,3501,0,9,0,9,140,17,166,16,26,0,42,290,10,342,150,55,7,212,548,64,824,382,34,34,450,224,39,713,142,35,12,189,346,26,561,6,62,0,68,285,21,374,0,51,0,51,208,21,280,0,22,0,22,210,23,255,0,0,0,0,124,14,138,696,294,53,1043,2375,235,3653,0,13,0,13,283,35,331,16,44,0,60,576,46,682,244,70,10,324,1140,139,1603,705,50,43,798,535,95,1428,324,46,16,386,712,57,1155,35,87,0,122,601,57,780,0,86,0,86,387,43,516,0,33,0,33,372,52,457,0,3,0,3
POA6007,0,7,0,7,124,10,141,0,8,0,8,240,27,275,65,17,0,82,691,102,875,192,13,10,215,268,53,536,118,8,3,129,241,27,397,21,18,0,39,276,36,351,3,20,0,23,128,13,164,0,7,0,7,79,12,98,0,0,0,0,30,9,39,399,98,13,510,2077,289,2876,3,10,0,13,90,9,112,0,14,0,14,234,30,278,98,54,4,156,568,85,809,224,24,23,271,228,46,545,109,18,5,132,231,23,386,4,60,3,67,273,31,371,3,35,0,38,140,22,200,0,8,0,8,151,14,173,0,0,0,0,126,11,137,441,223,35,699,2041,271,3011,3,17,0,20,214,19,253,0,22,0,22,474,57,553,163,71,4,238,1259,187,1684,416,37,33,486,496,99,1081,227,26,8,261,472,50,783,25,78,3,106,549,67,722,6,55,0,61,268,35,364,0,15,0,15,230,26,271,0,0,0,0
POA6008,3,19,0,22,268,28,318,7,10,0,17,442,31,490,118,19,0,137,961,116,1214,406,24,11,441,439,76,956,317,12,15,344,545,63,952,64,64,3,131,722,76,929,10,73,3,86,424,45,555,3,20,0,23,154,37,214,0,0,0,0,53,20,73,928,241,32,1201,4008,492,5701,3,25,0,28,271,31,330,7,29,0,36,451,34,521,212,63,13,288,850,101,1239,537,31,41,609,373,65,1047,270,49,25,344,598,52,994,23,171,0,194,695,58,947,5,159,0,164,333,53,550,0,22,0,22,211,44,277,0,0,0,0,116,53,169,1057,549,79,1685,3898,491,6074,6,44,0,50,539,59,648,14,39,0,53,893,65,1011,330,82,13,425,1811,217,2453,943,55,52,1050,812,141,2003,587,61,40,688,1143,115,1946,87,235,3,325,1417,134,1876,15,232,3,250,757,98,1105,3,42,0,45,365,81,491,0,0,0,0
POA6009,5,24,0,29,573,40,642,0,22,0,22,848,47,917,114,19,0,133,777,59,969,495,14,18,527,282,50,859,449,14,8,471,531,42,1044,111,66,5,182,775,45,1002,11,139,0,150,501,44,695,3,41,0,44,253,33,330,0,3,0,3,104,39,146,1188,342,31,1561,4644,399,6604,0,42,0,42,512,36,590,6,34,0,40,743,48,831,200,36,9,245,594,43,882,679,41,64,784,172,36,992,469,46,25,540,615,53,1208,37,195,3,235,819,40,1094,9,209,0,218,443,46,707,3,44,0,47,311,37,395,0,3,0,3,263,68,334,1403,650,101,2154,4472,407,7033,5,66,0,71,1085,76,1232,6,56,0,62,1591,95,1748,314,55,9,378,1371,102,1851,1174,55,82,1311,454,86,1851,918,60,33,1011,1146,95,2252,148,261,8,417,1594,85,2096,20,348,0,368,944,90,1402,6,85,0,91,564,70,725,0,6,0,6
POA6010,3,25,0,28,573,102,703,5,16,0,21,498,65,584,103,17,3,123,554,74,751,450,10,9,469,272,70,811,404,13,10,427,515,80,1022,64,46,4,114,777,62,953,8,118,0,126,523,52,701,3,39,3,45,295,42,382,0,0,0,0,122,26,148,1040,284,29,1353,4129,573,6055,0,24,0,24,464,35,523,10,37,0,47,496,27,570,184,41,12,237,496,37,770,637,20,53,710,179,45,934,416,48,28,492,650,46,1188,37,199,0,236,762,38,1036,5,251,5,261,430,49,740,3,48,0,51,435,71,557,0,10,0,10,288,92,390,1292,678,98,2068,4200,440,6708,3,49,0,52,1037,137,1226,15,53,0,68,994,92,1154,287,58,15,360,1050,111,1521,1087,30,62,1179,451,115,1745,820,61,38,919,1165,126,2210,101,245,4,350,1539,100,1989,13,369,5,387,953,101,1441,6,87,3,96,730,113,939,0,10,0,10
POA6011,0,9,0,9,232,29,270,4,9,0,13,283,31,327,42,14,0,56,441,90,587,225,14,5,244,169,43,456,286,15,10,311,275,47,633,56,42,3,101,454,54,609,14,73,0,87,256,35,378,4,20,0,24,134,26,184,0,0,0,0,54,16,70,631,196,18,845,2298,371,3514,0,37,0,37,272,21,330,5,25,0,30,249,31,310,80,33,0,113,368,63,544,352,20,32,404,129,47,580,263,22,6,291,322,42,655,25,116,0,141,460,65,666,9,123,0,132,197,35,364,0,20,0,20,165,38,223,0,0,0,0,96,65,161,734,396,38,1168,2258,407,3833,0,46,0,46,504,50,600,9,34,0,43,532,62,637,122,47,0,169,809,153,1131,577,34,37,648,298,90,1036,549,37,16,602,597,89,1288,81,158,3,242,914,119,1275,23,196,0,219,453,70,742,4,40,0,44,299,64,407,0,0,0,0
