region_id,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA6000,67,10,77,646,308,16,970,6377,1314,8661
POA6003,22,0,22,200,107,6,313,2082,346,2741
POA6004,53,11,67,560,296,12,868,5527,1308,7703
POA6005,80,17,100,301,183,6,490,3598,771,4859
POA6006,176,23,202,1324,432,69,1825,4782,547,7154
POA6007,156,20,176,840,321,48,1209,4118,560,5887
POA6008,169,73,242,1985,790,111,2886,7906,983,11775
POA6009,367,107,480,2591,992,132,3715,9116,806,13637
POA6010,410,118,538,2332,962,127,3421,8329,1013,12763
POA6011,150,81,231,1365,592,56,2013,4556,778,7347
POA6012,184,40,224,1271,482,50,1803,4748,569,7120
POA6014,481,61,547,3460,1004,205,4669,9577,892,15138
POA6015,160,29,192,1077,469,51,1597,3198,284,5079
POA6016,121,59,180,1677,370,98,2145,4852,741,7738
POA6017,49,7,60,446,179,8,633,2419,525,3577
POA6018,717,271,999,5779,2083,297,8159,17805,2103,28067
POA6019,252,61,313,2811,1203,140,4154,11311,1734,17199
POA6020,267,63,330,3225,1600,195,5020,10769,924,16713
POA6021,270,90,370,2876,1256,105,4237,10561,1140,15938
POA6022,50,9,59,786,365,60,1211,2676,185,4072
POA6023,228,31,264,2669,1077,176,3922,7683,456,12061
POA6024,180,23,203,2224,1105,138,3467,6950,512,10929
POA6025,241,55,302,5195,1987,291,7473,15211,1319,24003
POA6026,366,164,530,3877,1393,212,5482,11782,1011,18275
POA6027,345,82,433,6877,2695,356,9928,22335,2070,34333
POA6028,68,10,78,4159,1053,203,5415,9519,546,15480
POA6029,51,9,60,487,224,37,748,1223,142,2113
POA6030,375,59,440,7323,1950,379,9652,16103,2535,28290
POA6031,14,6,20,2631,515,128,3274,4368,498,8140
POA6032,0,0,0,40,13,0,53,117,15,185
POA6033,3,0,3,135,45,3,183,325,64,572
POA6035,20,90,110,789,213,36,1038,1855,404,3297
POA6036,13,3,16,2610,459,125,3194,3872,445,7511
POA6037,19,9,28,351,121,19,491,1099,177,1767
POA6041,9,0,9,175,76,3,254,735,104,1093
POA6042,0,0,0,7,0,0,7,57,10,74
POA6043,0,0,0,24,9,3,36,114,21,171
POA6044,16,3,19,162,67,11,240,759,236,1235
POA6050,477,114,595,1997,799,96,2892,8982,969,12843
POA6051,177,39,216,1529,500,73,2102,7620,1131,10853
POA6052,168,33,201,1651,531,88,2270,5780,563,8613
POA6053,347,72,423,2098,646,148,2892,7467,912,11271
POA6054,271,40,317,3107,1138,164,4409,10526,1150,16085
POA6055,139,19,158,2052,683,105,2840,5824,920,9584
POA6056,487,166,659,5639,2361,316,8316,18879,2880,30075
POA6057,89,22,114,2702,1021,159,3882,7928,961,12771
POA6058,156,21,177,1817,781,93,2691,6135,702,9528
POA6059,504,90,600,3405,1346,136,4887,12616,1257,18760
POA6060,484,128,615,2849,1106,87,4042,13287,1729,19058
POA6061,223,62,289,4783,1594,121,6498,17255,2980,26733
POA6062,528,79,614,4521,1994,159,6674,17590,1607,25871
POA6063,57,22,79,2454,714,98,3266,6717,841,10824
POA6064,231,56,287,4804,1696,171,6671,15414,1831,23916
POA6065,408,105,516,10875,2792,520,14187,23000,2148,39335
POA6066,71,13,87,3322,996,135,4453,9460,886,14799
POA6067,3,0,3,11,3,0,14,69,9,92
POA6068,0,0,0,0,0,0,0,0,0,0
