region_id,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU_15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU_15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA6000,0,14,307,193,151,126,69,32,13,905,0,72,342,105,69,28,8,3,0,627,0,3,3,8,4,7,0,0,0,25,236,0,0,0,0,0,0,0,0,236,0,50,0,0,0,0,0,0,0,50,0,27,19,9,5,5,0,0,0,65,0,51,31,8,9,0,0,0,0,99,0,20,42,6,3,0,3,3,0,77,0,196,318,74,45,35,9,0,0,677,0,61,320,196,156,141,52,21,8,955,0,19,35,17,7,13,5,0,0,96,236,513,1417,616,449,355,146,59,21,3812,0,49,353,192,126,118,55,15,4,912,0,135,308,69,36,20,3,0,0,571,0,3,11,34,31,16,5,9,3,112,221,0,0,0,0,0,0,0,0,221,0,40,0,0,0,0,0,0,0,40,0,22,23,7,6,3,0,0,0,61,0,55,33,7,0,8,3,3,3,112,0,23,28,6,0,0,0,0,0,57
POA6003,0,5,78,68,31,53,22,9,7,273,0,36,103,43,32,10,3,0,0,227,0,0,0,5,7,3,0,0,0,15,83,0,0,0,0,0,0,0,0,83,0,27,0,0,0,0,0,0,0,27,0,11,9,8,0,0,0,0,0,28,0,16,12,3,0,0,3,3,0,37,0,9,23,0,0,0,0,0,0,32,0,84,109,23,13,9,9,0,0,247,0,24,83,71,44,40,26,10,0,298,0,6,13,9,8,0,0,0,0,36,83,218,430,230,135,115,63,22,7,1303,0,11,94,56,49,41,18,8,4,281,0,36,123,23,21,7,0,0,0,210,0,0,6,19,9,7,0,4,4,49,82,0,0,0,0,0,0,0,0,82,0,23,0,0,0,0,0,0,0,23,0,3,7,3,3,3,0,0,0,19,0,13,11,3,3,6,0,0,0,36,0,12,12,0,3,0,0,0,0,27
POA6004,0,3,260,205,174,215,118,31,11,1017,0,63,250,68,54,29,7,3,0,474,0,3,4,7,5,11,0,0,3,33,219,0,0,0,0,0,0,0,0,219,0,64,0,0,0,0,0,0,0,64,0,41,29,9,0,3,0,0,0,82,0,46,52,0,0,0,4,3,0,105,0,29,27,3,0,0,0,0,0,59,0,152,254,34,19,16,5,3,0,483,0,60,223,176,144,119,60,34,6,822,8,17,27,19,12,10,10,0,0,103,227,478,1126,521,408,403,204,74,20,3461,0,33,316,179,184,212,87,20,3,1034,0,91,250,50,45,29,0,0,0,465,0,3,6,23,35,22,3,3,3,98,157,0,0,0,0,0,0,0,0,157,0,59,0,0,0,0,0,0,0,59,0,30,17,5,4,0,0,0,0,56,0,64,35,0,3,6,6,3,0,117,0,21,32,0,0,0,0,0,0,53
POA6005,0,3,175,108,85,85,49,31,6,542,0,42,181,44,28,17,9,3,0,324,0,0,4,3,8,8,0,0,0,23,119,0,0,0,0,0,0,0,0,119,0,25,0,0,0,0,0,0,0,25,0,19,7,3,0,0,0,0,0,29,0,25,22,3,0,0,0,0,0,50,0,9,17,4,0,0,0,0,0,30,0,106,187,29,11,8,5,3,0,349,0,38,185,132,104,98,65,19,6,647,3,12,22,7,5,0,3,0,0,52,122,279,800,333,241,216,131,56,12,2190,0,20,201,95,92,77,36,18,4,543,0,61,178,39,20,10,4,3,0,315,0,0,6,10,15,9,7,5,0,52,113,0,0,0,0,0,0,0,0,113,0,26,0,0,0,0,0,0,0,26,0,19,15,3,3,0,0,0,0,40,0,27,14,3,0,5,0,3,3,55,0,5,14,0,0,0,0,0,0,19
POA6006,0,6,151,377,307,195,127,121,35,1319,0,33,184,90,63,35,8,0,0,413,0,0,0,9,20,13,8,5,0,55,669,0,0,0,0,0,0,0,0,669,0,136,0,0,0,0,0,0,0,136,0,90,41,23,22,13,0,0,0,189,0,18,22,5,3,5,3,3,0,59,0,14,31,4,3,0,0,0,0,52,0,139,147,27,24,11,6,4,0,358,0,9,79,81,85,77,57,36,16,440,6,15,22,10,5,5,0,4,3,70,675,460,677,626,532,354,209,173,54,3760,0,13,227,415,306,185,129,87,10,1372,0,53,187,95,51,25,3,0,0,414,0,5,12,44,57,21,24,15,16,194,635,0,0,0,0,0,0,0,0,635,0,138,0,0,0,0,0,0,0,138,0,76,27,9,16,3,3,0,0,134,0,30,16,6,3,4,7,10,4,80,0,16,20,8,0,0,0,0,0,44
POA6007,0,5,151,254,173,186,94,53,12,928,0,24,180,70,65,27,7,0,0,373,0,0,0,7,11,13,4,6,0,41,374,0,0,0,0,0,0,0,0,374,0,116,0,0,0,0,0,0,0,116,0,57,32,14,9,4,0,0,0,116,0,25,27,0,3,7,0,3,4,69,0,13,29,0,0,0,0,0,0,42,0,90,201,23,15,16,0,0,0,345,0,19,111,93,66,54,30,16,11,400,5,15,20,4,9,3,6,0,0,62,379,364,751,465,351,310,141,78,27,2866,0,9,205,265,191,180,70,33,4,957,0,47,178,85,53,19,3,3,0,388,0,3,10,34,42,22,7,5,12,135,411,0,0,0,0,0,0,0,0,411,0,87,0,0,0,0,0,0,0,87,0,41,26,13,6,11,3,0,0,100,0,24,15,3,4,4,5,7,6,68,0,14,14,0,0,0,0,0,0,28
POA6008,0,8,255,504,519,461,297,110,27,2181,0,39,238,114,84,64,26,3,3,571,0,3,0,10,32,29,7,0,3,84,966,0,0,0,0,0,0,0,0,966,0,301,0,0,0,0,0,0,0,301,0,140,77,21,16,3,0,0,0,257,0,32,19,7,13,3,0,4,3,81,0,17,18,10,5,5,0,0,0,55,0,129,202,28,13,17,9,7,0,405,0,41,199,137,143,204,142,53,18,937,4,26,28,10,12,10,8,3,0,101,970,736,1036,841,837,796,489,180,54,5939,0,13,359,585,524,461,230,71,16,2259,0,83,237,110,88,50,16,0,3,587,0,3,17,71,116,55,20,14,9,305,945,0,0,0,0,0,0,0,0,945,0,297,0,0,0,0,0,0,0,297,0,89,52,3,8,9,3,0,0,164,0,39,18,4,3,13,9,8,6,100,0,21,15,6,0,0,0,0,0,42
POA6009,0,3,226,606,765,742,514,231,65,3152,0,32,107,51,64,48,21,5,0,328,0,3,3,4,21,18,8,3,0,60,1414,0,0,0,0,0,0,0,0,1414,0,672,0,0,0,0,0,0,0,672,0,157,149,27,17,5,0,0,0,355,0,102,46,3,3,3,3,3,8,171,0,50,38,5,0,0,0,0,0,93,0,374,220,25,19,3,7,5,0,653,0,46,93,60,70,87,51,41,24,472,11,35,16,8,14,11,11,0,0,106,1425,1474,898,789,973,917,615,288,97,7476,0,13,305,736,897,729,422,151,29,3282,0,50,113,55,54,36,17,3,3,331,0,0,19,70,116,80,15,19,14,333,1398,0,0,0,0,0,0,0,0,1398,0,603,0,0,0,0,0,0,0,603,0,145,111,13,7,8,0,0,0,284,0,94,38,3,8,16,14,17,13,203,0,44,21,6,0,3,0,0,0,74
POA6010,0,8,165,502,685,630,453,243,68,2754,0,32,127,71,67,44,32,7,0,380,0,7,0,4,31,29,9,0,5,85,1302,0,0,0,0,0,0,0,0,1302,0,562,0,0,0,0,0,0,0,562,0,190,108,23,18,10,0,0,0,349,0,66,27,6,10,4,0,0,0,113,0,14,15,0,0,3,0,3,0,35,0,112,99,13,15,13,8,8,0,268,0,40,70,70,80,115,91,75,47,588,17,38,24,14,4,8,14,5,0,124,1319,1069,635,703,910,856,607,341,120,6560,0,13,252,666,738,612,364,188,36,2869,0,49,149,58,71,44,13,8,0,392,0,3,15,70,186,80,22,18,25,419,1214,0,0,0,0,0,0,0,0,1214,0,515,0,0,0,0,0,0,0,515,0,157,82,8,13,12,0,0,0,272,0,73,24,0,8,8,14,22,10,159,0,17,17,0,3,4,0,0,0,41
POA6011,0,0,80,252,402,391,250,122,33,1530,0,9,96,56,51,40,17,4,0,273,0,3,0,4,18,21,4,3,0,53,711,0,0,0,0,0,0,0,0,711,0,285,0,0,0,0,0,0,0,285,0,106,46,9,7,3,3,0,0,174,0,30,7,4,4,0,3,0,0,48,0,4,14,0,0,0,0,3,0,21,0,49,130,11,16,7,3,0,0,216,0,24,77,50,61,51,40,24,17,344,4,22,26,7,5,8,5,0,0,77,715,532,476,393,564,521,325,156,50,3732,0,4,117,360,433,387,206,84,12,1603,0,26,122,48,46,25,8,3,0,278,0,3,7,29,68,36,3,13,10,169,701,0,0,0,0,0,0,0,0,701,0,300,0,0,0,0,0,0,0,300,0,67,39,12,6,7,0,0,0,131,0,42,14,3,3,5,8,7,16,98,0,17,12,0,0,3,0,0,0,32
