region_id,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU_15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,0,193,226,39,17,13,6,0,0,494,0,57,196,91,90,73,44,38,13,602,9,18,28,5,9,3,3,3,0,78,230,595,1206,450,315,254,119,68,23,3260,0,63,660,385,277,244,124,47,17,1817,0,207,650,174,105,48,11,3,0,1198,0,6,14,42,35,23,5,9,3,137,457,0,0,0,0,0,0,0,0,457,0,90,0,0,0,0,0,0,0,90,0,49,42,16,11,8,0,0,0,126,0,106,64,15,9,8,3,3,3,211,0,43,70,12,3,0,3,3,0,134,0,389,544,113,62,48,15,0,0,1171,0,118,516,287,246,214,96,59,21,1557,9,37,63,22,16,16,8,3,0,174,466,1108,2623,1066,764,609,265,127,44,7072
POA6003,0,60,90,8,4,0,0,0,0,162,0,11,67,20,40,45,23,18,3,227,3,8,19,4,0,3,0,0,3,40,85,177,429,136,132,112,41,30,14,1156,0,16,172,124,80,94,40,17,11,554,0,72,226,66,53,17,3,0,0,437,0,0,6,24,16,10,0,4,4,64,165,0,0,0,0,0,0,0,0,165,0,50,0,0,0,0,0,0,0,50,0,14,16,11,3,3,0,0,0,47,0,29,23,6,3,6,3,3,0,73,0,21,35,0,3,0,0,0,0,59,0,144,199,31,17,9,9,0,0,409,0,35,150,91,84,85,49,28,3,525,3,14,32,13,8,3,0,0,3,76,168,395,859,366,267,227,104,52,21,2459
POA6004,0,141,180,15,7,8,5,0,0,356,0,68,163,85,66,91,49,33,14,569,6,15,32,6,5,13,4,0,3,84,163,525,1031,363,349,381,154,59,23,3048,0,36,576,384,358,427,205,51,14,2051,0,154,500,118,99,58,7,3,0,939,0,6,10,30,40,33,3,3,6,131,376,0,0,0,0,0,0,0,0,376,0,123,0,0,0,0,0,0,0,123,0,71,46,14,4,3,0,0,0,138,0,110,87,0,3,6,10,6,0,222,0,50,59,3,0,0,0,0,0,112,0,293,434,49,26,24,10,3,0,839,0,128,386,261,210,210,109,67,20,1391,14,32,59,25,17,23,14,0,3,187,390,1003,2157,884,757,784,358,133,43,6509
POA6005,0,107,123,17,3,4,0,0,0,254,0,30,141,70,72,66,46,37,14,476,0,8,12,7,3,4,3,3,0,40,113,303,704,244,208,175,96,69,21,1933,0,23,376,203,177,162,85,49,10,1085,0,103,359,83,48,27,13,6,0,639,0,0,10,13,23,17,7,5,0,75,232,0,0,0,0,0,0,0,0,232,0,51,0,0,0,0,0,0,0,51,0,38,22,6,3,0,0,0,0,69,0,52,36,6,0,5,0,3,3,105,0,14,31,4,0,0,0,0,0,49,0,213,310,46,14,12,5,3,0,603,0,68,326,202,176,164,111,56,20,1123,3,20,34,14,8,4,6,3,0,92,235,582,1504,577,449,391,227,125,33,4123
POA6006,0,108,150,14,8,7,5,3,0,295,0,24,80,62,70,81,60,83,59,519,8,29,24,13,6,5,11,5,3,104,643,492,743,666,517,331,242,203,92,3929,0,19,378,792,613,380,256,208,45,2691,0,86,371,185,114,60,11,0,0,827,0,5,12,53,77,34,32,20,16,249,1304,0,0,0,0,0,0,0,0,1304,0,274,0,0,0,0,0,0,0,274,0,166,68,32,38,16,3,0,0,323,0,48,38,11,6,9,10,13,4,139,0,30,51,12,3,0,0,0,0,96,0,247,297,41,32,18,11,7,0,653,0,33,159,143,155,158,117,119,75,959,14,44,46,23,11,10,11,9,6,174,1318,952,1420,1292,1049,685,451,376,146,7689
POA6007,0,94,138,15,11,11,3,3,0,275,0,20,94,74,42,73,71,54,42,470,3,17,27,8,9,6,3,0,0,73,414,356,707,497,358,326,165,105,64,2992,0,14,356,519,364,366,164,86,16,1885,0,71,358,155,118,46,10,3,0,761,0,3,10,41,53,35,11,11,12,176,785,0,0,0,0,0,0,0,0,785,0,203,0,0,0,0,0,0,0,203,0,98,58,27,15,15,3,0,0,216,0,49,42,3,7,11,5,10,10,137,0,27,43,0,0,0,0,0,0,70,0,184,339,38,26,27,3,3,0,620,0,39,205,167,108,127,101,70,53,870,8,32,47,12,18,9,9,0,0,135,793,720,1458,962,709,636,306,183,91,5858
POA6008,0,165,194,20,20,17,9,0,0,425,0,52,160,134,143,227,197,141,65,1119,6,26,35,16,12,19,9,3,0,126,951,788,1087,949,914,851,493,237,99,6369,0,21,614,1089,1043,922,527,181,43,4440,0,122,475,224,172,114,42,3,6,1158,0,6,17,81,148,84,27,14,12,389,1911,0,0,0,0,0,0,0,0,1911,0,598,0,0,0,0,0,0,0,598,0,229,129,24,24,12,3,0,0,421,0,71,37,11,16,16,9,12,9,181,0,38,33,16,5,5,0,0,0,97,0,294,396,48,33,34,18,7,0,830,0,93,359,271,286,431,339,194,83,2056,10,52,63,26,24,29,17,6,0,227,1921,1524,2123,1790,1751,1647,982,417,153,12308
POA6009,0,304,130,13,9,8,8,4,0,476,0,55,69,55,51,145,147,146,137,805,4,38,23,0,8,13,13,3,0,102,1402,1346,829,951,1150,1038,636,343,196,7891,0,16,531,1342,1662,1471,936,382,94,6434,0,82,220,106,118,84,38,8,3,659,0,3,22,74,137,98,23,22,14,393,2812,0,0,0,0,0,0,0,0,2812,0,1275,0,0,0,0,0,0,0,1275,0,302,260,40,24,13,0,0,0,639,0,196,84,6,11,19,17,20,21,374,0,94,59,11,0,3,0,0,0,167,0,678,350,38,28,11,15,9,0,1129,0,101,162,115,121,232,198,187,161,1277,15,73,39,8,22,24,24,3,0,208,2827,2820,1727,1740,2123,1955,1251,631,293,15367
POA6010,0,90,88,7,13,11,12,0,0,221,0,49,66,57,77,180,220,274,219,1142,11,25,32,10,13,11,27,12,6,147,1225,991,725,876,1122,962,672,522,296,7391,0,21,417,1168,1423,1242,817,431,104,5623,0,81,276,129,138,88,45,15,0,772,0,10,15,74,217,109,31,18,30,504,2516,0,0,0,0,0,0,0,0,2516,0,1077,0,0,0,0,0,0,0,1077,0,347,190,31,31,22,0,0,0,621,0,139,51,6,18,12,14,22,10,272,0,31,32,0,3,7,0,3,0,76,0,202,187,20,28,24,20,8,0,489,0,89,136,127,157,295,311,349,266,1730,28,63,56,24,17,19,41,17,6,271,2544,2060,1360,1579,2032,1818,1279,863,416,13951
POA6011,0,48,91,13,3,12,6,3,0,176,0,19,49,50,39,89,76,86,63,471,3,14,15,10,6,10,3,3,0,64,704,540,466,525,604,574,310,199,101,4023,0,4,197,612,835,778,456,206,45,3133,0,35,218,104,97,65,25,7,0,551,0,6,7,33,86,57,7,16,10,222,1412,0,0,0,0,0,0,0,0,1412,0,585,0,0,0,0,0,0,0,585,0,173,85,21,13,10,3,0,0,305,0,72,21,7,7,5,11,7,16,146,0,21,26,0,0,3,0,3,0,53,0,97,221,24,19,19,9,3,0,392,0,43,126,100,100,140,116,110,80,815,7,36,41,17,11,18,8,3,0,141,1419,1072,942,918,1168,1095,635,355,151,7755
