region_id,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
POA6000,97,0,3,0,0,0,0,21,121,517,12,3,0,0,0,0,75,607,710,46,5,3,0,0,0,111,875,426,78,25,6,0,0,0,90,625,169,59,29,13,3,0,0,26,299,101,35,45,13,4,0,3,34,235,74,30,44,17,4,3,3,17,192,63,32,53,12,5,4,0,16,185,48,18,50,27,5,0,3,23,174,35,20,32,21,12,5,0,16,141,9,8,29,12,10,3,3,11,85,11,0,17,7,11,0,3,8,57,6,3,7,11,5,3,3,9,47,3,0,4,15,5,0,3,7,37,3,4,16,7,4,4,3,3,44,2272,345,362,164,68,22,24,467,3724
POA6003,36,0,0,0,0,0,0,0,36,151,0,0,0,0,0,0,19,170,248,16,0,0,0,0,0,42,306,151,17,10,0,0,0,0,24,202,39,16,20,0,0,0,0,8,83,27,14,19,6,0,0,0,9,75,29,7,17,5,0,0,0,13,71,27,15,20,6,0,4,0,8,80,18,5,21,15,0,0,0,8,67,12,6,22,4,3,4,0,10,61,0,6,4,6,0,0,0,0,16,3,4,3,7,3,4,3,0,27,3,3,4,4,0,0,0,3,17,0,0,4,0,4,0,0,7,15,3,0,3,0,3,0,6,0,15,747,109,147,53,13,12,9,151,1241
POA6004,95,3,0,0,0,0,0,30,128,408,14,3,0,3,0,0,83,511,614,30,11,0,3,0,0,133,791,301,71,23,0,0,0,0,81,476,138,42,35,12,0,0,3,28,258,77,29,26,12,3,3,0,30,180,76,36,38,15,9,0,0,30,204,49,25,59,37,10,0,3,25,208,29,38,72,37,19,3,3,39,240,38,24,72,40,10,3,0,23,210,12,8,50,19,7,3,0,15,114,6,7,23,18,5,3,0,13,75,7,7,10,9,3,0,4,6,46,3,0,8,6,6,3,3,0,29,3,4,15,5,3,0,3,5,38,1856,338,445,210,81,18,19,541,3508
POA6005,46,0,0,0,0,0,0,17,63,253,4,0,0,0,0,0,42,299,407,16,3,0,0,0,0,69,495,246,29,9,3,4,0,0,52,343,89,32,11,4,0,0,0,31,167,65,15,22,4,0,0,0,14,120,54,19,28,4,0,0,0,26,131,34,21,44,5,6,0,0,26,136,24,13,34,20,3,0,3,16,113,15,10,34,7,12,0,0,19,97,13,3,15,13,0,5,0,3,52,7,6,22,11,4,0,3,5,58,5,7,17,4,5,5,3,5,51,7,7,7,16,5,6,0,3,51,12,6,15,11,7,0,3,8,62,1277,188,261,102,46,16,12,336,2238
POA6006,156,0,0,0,0,0,0,8,164,313,11,3,0,0,0,0,15,342,365,33,11,0,0,0,0,42,451,230,81,39,5,4,0,0,21,380,102,80,115,30,6,0,3,20,356,98,58,114,54,9,0,3,20,356,85,51,107,40,8,0,0,16,307,81,41,78,30,10,0,0,11,251,46,31,67,42,3,0,0,11,200,37,26,43,38,13,3,0,14,174,13,11,37,28,10,3,0,7,109,23,15,45,37,25,5,10,8,168,17,10,39,30,13,6,4,5,124,13,14,33,36,13,6,4,11,130,15,8,36,31,19,4,8,17,138,1594,470,767,401,133,27,32,226,3650
POA6007,102,0,0,0,0,0,0,8,110,247,0,0,0,0,0,0,31,278,389,15,13,0,0,0,0,47,464,219,57,28,4,0,0,0,40,348,119,43,78,24,3,0,0,25,292,99,40,69,20,3,0,0,22,253,65,23,53,29,5,3,0,11,189,61,28,57,29,3,3,0,15,196,47,27,49,41,8,4,0,12,188,34,29,58,30,12,0,0,17,180,27,10,34,27,5,0,0,5,108,20,12,21,17,9,0,5,8,92,25,6,19,17,14,0,7,3,91,26,7,15,15,7,3,4,4,81,48,13,26,15,12,5,13,6,138,1528,310,520,268,81,18,29,254,3008
POA6008,306,3,0,0,0,0,0,25,334,472,8,3,3,0,0,0,37,523,554,31,9,3,0,0,0,70,667,343,98,75,14,3,0,0,42,575,196,108,134,50,10,4,0,31,533,141,72,187,71,5,3,3,29,511,138,65,167,85,10,8,4,32,509,116,63,181,70,19,3,0,32,484,102,67,178,79,32,3,3,39,503,87,54,163,91,19,3,3,21,441,51,20,114,73,32,8,0,18,316,33,21,67,64,18,5,3,20,231,21,12,39,34,19,4,8,18,155,11,11,26,29,24,5,6,16,128,16,15,32,16,22,3,3,57,164,2587,648,1375,682,213,49,33,487,6074
POA6009,552,0,0,0,0,0,0,37,589,774,4,0,0,0,0,0,53,831,425,41,15,3,0,0,0,29,513,179,80,70,15,5,0,0,22,371,72,64,170,79,10,0,4,11,410,67,58,245,163,29,6,0,15,583,51,60,257,122,35,8,0,21,554,68,67,272,168,37,10,9,23,654,78,47,198,156,40,9,0,17,545,53,70,217,132,44,9,4,20,549,47,34,161,121,38,12,0,18,431,34,14,84,75,44,6,6,12,275,23,20,41,58,33,12,6,10,203,32,15,44,33,36,9,9,13,191,31,28,73,78,45,19,10,48,332,2486,602,1847,1203,396,100,48,349,7031
POA6010,490,0,0,0,0,0,0,36,526,520,14,0,3,0,0,0,32,569,356,20,22,3,4,0,0,19,424,167,58,83,16,9,0,0,16,349,68,53,153,74,10,4,3,18,383,72,67,220,136,30,0,0,28,553,85,80,234,127,31,3,3,25,588,68,71,244,153,37,3,3,19,598,70,69,216,120,46,8,3,22,554,54,56,192,109,41,6,3,21,482,53,37,142,118,29,13,6,18,416,35,24,83,106,44,10,3,13,318,28,20,61,87,43,21,11,6,277,39,10,64,64,58,15,13,18,281,45,29,79,100,54,18,7,57,389,2150,608,1793,1216,436,101,55,348,6707
POA6011,305,0,0,0,0,0,0,26,331,268,6,0,0,0,0,0,36,310,255,7,4,0,0,0,0,32,298,140,34,32,9,0,0,0,32,247,75,28,64,43,8,0,0,17,235,56,33,124,81,22,0,0,28,344,43,41,106,81,25,4,3,15,318,49,34,123,71,26,8,0,21,332,53,35,125,79,28,3,3,38,364,37,24,118,78,22,4,0,20,303,11,13,75,72,18,9,0,17,215,10,9,42,43,23,3,0,17,147,8,5,22,43,21,3,4,13,119,10,5,20,33,13,5,8,13,107,13,11,34,35,19,4,6,39,161,1333,285,889,668,225,43,24,364,3831
