region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6000,1220,2350,6,30,19,70,0,14,256,852,281,966,5,29,24,79,51,146,80,254,361,1220,0,0,4,21,0,3,57,132,61,156,3,5,21,37,52,108,76,150,137,306,74,159,1792,4035
POA6003,393,765,0,0,4,18,4,14,77,261,85,293,4,25,19,48,18,60,41,133,126,426,0,4,3,9,3,4,27,65,33,82,0,0,11,21,20,36,31,57,64,139,30,60,613,1390
POA6004,1200,2299,0,13,15,63,0,11,229,759,244,846,3,13,43,126,82,233,128,372,372,1218,0,0,3,8,3,7,34,76,40,91,5,18,36,77,51,96,92,191,132,282,88,183,1792,3982
POA6005,711,1366,0,0,11,39,0,4,130,438,141,481,10,33,17,57,20,63,47,153,188,634,0,0,3,9,0,3,29,61,32,73,0,4,14,20,32,69,46,93,78,166,39,87,1016,2253
POA6006,891,1744,6,22,54,226,22,99,615,2292,697,2639,26,112,83,271,118,379,227,762,924,3401,0,4,5,24,8,14,79,185,92,227,12,44,38,82,105,208,155,334,247,561,44,99,2106,5805
POA6007,822,1578,5,38,40,188,9,27,357,1320,411,1573,29,112,45,150,71,207,145,469,556,2042,3,6,8,22,3,15,56,136,70,179,13,48,20,42,72,156,105,246,175,425,56,111,1609,4156
POA6008,1536,2952,10,66,110,479,16,58,871,3221,1007,3824,68,270,171,566,149,459,388,1295,1395,5119,3,10,17,65,3,3,124,319,147,397,28,78,80,159,131,278,239,515,386,912,60,119,3377,9102
POA6009,1513,2953,19,98,273,1252,18,56,1092,4349,1402,5755,116,471,365,1302,290,860,771,2633,2173,8388,5,19,36,111,3,13,101,255,145,398,27,99,75,167,147,307,249,573,394,971,130,271,4210,12583
POA6010,1521,2929,20,106,220,977,18,88,945,3712,1203,4883,132,527,264,904,231,694,627,2125,1830,7008,7,27,42,141,5,10,137,350,191,528,41,123,114,262,160,332,315,717,506,1245,93,201,3950,11383
POA6011,892,1726,18,95,122,562,14,48,522,2082,676,2787,63,244,166,546,132,402,361,1192,1037,3979,4,11,9,32,0,0,80,206,93,249,13,39,44,108,72,145,129,292,222,541,52,107,2203,6353
POA6012,819,1577,9,41,98,430,8,34,520,2039,635,2544,52,221,128,450,105,311,285,982,920,3526,6,14,26,98,4,15,76,198,112,325,13,44,62,147,93,203,168,394,280,719,39,80,2058,5902
POA6014,1743,3415,30,153,231,1086,32,125,1513,5947,1806,7311,131,536,277,966,259,794,667,2296,2473,9607,5,12,35,118,5,18,168,415,213,563,28,84,84,205,144,288,256,577,469,1140,101,196,4786,14358
POA6015,650,1263,14,53,132,614,13,66,413,1711,572,2444,67,276,172,615,137,415,376,1306,948,3750,4,3,5,23,0,0,41,122,50,148,12,38,17,47,43,88,72,173,122,321,13,27,1733,5361
POA6016,845,1633,4,20,78,362,12,51,790,2926,884,3359,35,151,83,290,104,313,222,754,1106,4113,0,8,20,48,0,9,126,312,146,377,18,47,38,82,106,222,162,351,308,728,68,141,2327,6615
POA6017,426,826,3,12,9,62,0,4,198,692,210,770,6,30,20,58,30,86,56,174,266,944,0,0,3,9,3,11,68,154,74,174,7,34,16,30,47,99,70,163,144,337,35,79,871,2186
POA6018,3627,7088,47,268,375,1679,71,300,2473,9380,2966,11627,202,819,400,1364,553,1687,1155,3870,4121,15497,14,59,88,305,31,101,408,1020,541,1485,57,167,198,431,450,936,705,1534,1246,3019,200,430,9194,26034
POA6019,2356,4553,22,111,173,750,22,111,1119,4121,1336,5093,100,401,212,709,234,707,546,1817,1882,6910,4,10,50,146,10,41,263,616,327,813,35,104,94,206,241,490,370,800,697,1613,117,246,5052,13322
POA6020,2248,4397,46,252,312,1389,60,241,1298,5031,1716,6913,225,904,341,1160,579,1760,1145,3824,2861,10737,3,5,43,135,21,60,193,484,260,684,50,157,90,208,214,448,354,813,614,1497,77,161,5800,16792
POA6021,2128,4213,29,143,167,761,42,193,1263,4826,1501,5923,140,596,175,604,514,1632,829,2832,2330,8755,10,54,41,150,24,67,226,598,301,869,51,161,66,146,281,606,398,913,699,1782,131,286,5288,15036
POA6022,636,1265,11,54,40,196,14,66,337,1292,402,1608,31,138,38,136,129,388,198,662,600,2270,3,10,15,52,9,19,81,207,108,288,15,43,20,59,88,178,123,280,231,568,22,42,1489,4145
POA6023,1601,3147,30,152,226,995,36,151,1161,4476,1453,5774,169,703,249,855,435,1318,853,2876,2306,8650,6,22,50,155,13,48,122,327,191,552,37,108,58,136,179,383,274,627,465,1179,43,90,4415,13066
POA6024,1558,3068,24,113,118,541,41,196,971,3718,1154,4568,92,386,132,451,390,1179,614,2016,1768,6584,14,61,22,73,14,48,182,466,232,648,37,107,43,101,213,451,293,659,525,1307,68,139,3919,11098
