region_id,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_199_cpl_fam_no_child,FI_1_199_cpl_fam_with_child,FI_1_199_One_parent_fam,FI_1_199_Other_fam,FI_1_199_Tot,FI_200_299_cpl_fam_no_child,FI_200_299_cpl_fam_with_child,FI_200_299_One_parent_fam,FI_200_299_Other_fam,FI_200_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_599_cpl_fam_no_child,FI_400_599_cpl_fam_with_child,FI_400_599_One_parent_fam,FI_400_599_Other_fam,FI_400_599_Tot,FI_600_799_cpl_fam_no_child,FI_600_799_cpl_fam_with_child,FI_600_799_One_parent_fam,FI_600_799_Other_fam,FI_600_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_with_child,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1999_cpl_fam_no_child,FI_1500_1999_cpl_fam_wth_chld,FI_1500_1999_One_parent_fam,FI_1500_1999_Other_fam,FI_1500_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cple_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cple_fam_no_child,All_inc_ns_cple_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cple_fam_no_child,Tot_cple_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
POA6000,13,8,7,12,40,9,6,0,3,18,5,0,4,3,12,4,6,7,0,17,40,19,10,0,69,40,13,14,3,70,53,14,15,3,85,47,26,7,7,87,69,26,3,11,109,137,28,23,10,198,177,36,5,7,225,142,59,14,4,219,143,34,7,4,188,60,20,3,3,86,141,38,0,3,182,126,29,17,3,175,13,0,0,0,13,1219,362,136,76,1793
POA6003,5,0,3,3,11,13,0,0,3,16,0,0,0,3,3,3,0,3,0,6,23,3,10,3,39,24,7,6,3,40,20,9,10,3,42,24,6,5,3,38,17,8,0,3,28,35,12,8,0,55,47,7,0,3,57,36,17,4,0,57,48,9,3,3,63,22,4,4,0,30,31,19,0,3,53,37,23,4,0,64,6,0,3,3,12,391,124,63,36,614
POA6004,21,8,6,5,40,7,3,0,0,10,3,3,3,3,12,5,3,6,4,18,36,8,10,8,62,38,6,16,10,70,52,13,12,6,83,59,15,10,10,94,56,15,9,3,83,114,32,13,12,171,140,29,3,9,181,177,60,15,4,256,135,34,8,6,183,73,21,0,3,97,149,62,0,5,216,134,58,15,0,207,3,3,3,0,9,1202,373,129,88,1792
POA6005,10,0,6,3,19,10,0,0,0,10,5,0,6,0,11,0,0,3,0,3,24,5,5,3,37,23,4,9,0,36,35,8,4,3,50,34,8,9,3,54,32,12,3,3,50,78,18,5,9,110,81,11,8,0,100,113,45,9,3,170,62,16,3,3,84,47,11,0,0,58,91,26,0,4,121,61,22,7,3,93,4,3,0,3,10,710,189,77,40,1016
POA6006,7,5,9,0,21,13,3,3,3,22,0,0,5,0,5,5,4,13,4,26,103,9,9,3,124,48,13,29,0,90,56,22,28,0,106,37,31,19,5,92,45,26,25,6,102,80,80,27,13,200,84,94,15,3,196,73,184,16,0,273,96,152,7,3,258,60,61,0,0,121,106,126,0,0,232,66,103,36,4,209,13,11,5,0,29,892,924,246,44,2106
POA6007,5,3,0,0,8,6,3,3,0,12,6,0,9,0,15,4,0,3,4,11,33,3,14,4,54,32,3,14,3,52,31,11,13,9,64,32,19,13,4,68,37,19,19,3,78,75,45,25,8,153,89,37,15,11,152,92,113,23,3,231,94,81,11,6,192,67,46,0,0,113,123,107,0,0,230,84,65,10,0,159,12,3,0,0,15,822,558,172,55,1607
POA6008,13,3,6,0,22,14,3,10,4,31,5,0,9,0,14,9,3,12,0,24,58,6,20,6,90,68,19,29,6,122,83,21,22,8,134,71,38,43,3,155,72,34,27,5,138,143,94,40,7,284,141,64,28,6,239,187,298,69,4,558,171,190,11,5,377,99,123,5,0,227,242,286,8,3,539,145,209,47,3,404,15,4,0,0,19,1536,1395,386,60,3377
POA6009,33,14,12,13,72,15,3,7,9,34,3,3,6,3,15,3,3,13,3,22,65,21,27,10,123,69,19,36,10,134,86,41,26,9,162,75,32,33,7,147,98,61,26,12,197,149,114,45,17,325,115,97,19,11,242,184,434,52,7,677,162,263,14,8,447,83,186,3,0,272,215,535,12,3,765,137,331,54,3,525,21,18,8,3,50,1513,2175,393,128,4209
POA6010,14,6,15,5,40,17,8,11,12,48,0,0,13,3,16,7,0,17,3,27,78,6,28,5,117,82,11,30,13,136,119,10,42,8,179,81,30,44,15,170,84,36,43,9,172,134,104,65,10,313,161,106,25,4,296,157,386,70,3,616,159,248,19,0,426,81,159,6,3,249,173,376,11,0,560,159,331,65,0,555,15,11,3,0,29,1521,1828,507,93,3949
POA6011,9,3,12,5,29,4,0,7,4,15,0,0,4,3,7,4,4,4,0,12,31,4,17,6,58,36,9,13,6,64,47,6,9,0,62,39,10,14,3,66,51,17,14,8,90,76,46,24,5,151,80,55,19,0,154,104,208,47,4,363,96,138,8,0,242,51,89,4,0,144,169,241,0,3,413,88,200,24,4,316,7,6,4,0,17,892,1036,224,51,2203
