region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6000,316,27,9,3,0,3,4,362
POA6003,112,10,4,0,0,0,0,126
POA6004,336,30,5,3,0,0,0,374
POA6005,171,18,0,0,0,0,0,189
POA6006,825,68,25,3,0,0,3,924
POA6007,506,46,3,3,0,0,0,558
POA6008,1277,89,20,5,0,0,3,1394
POA6009,2046,81,32,7,0,0,7,2173
POA6010,1702,94,28,4,0,0,0,1828
POA6011,952,61,14,3,0,0,4,1034
POA6012,836,62,23,0,0,0,0,921
POA6014,2287,125,52,6,0,0,6,2476
POA6015,874,43,17,6,0,0,4,944
POA6016,1044,41,19,0,0,0,0,1104
POA6017,250,10,3,3,0,0,0,266
POA6018,3764,214,110,23,0,3,8,4122
POA6019,1680,145,49,3,3,0,3,1883
POA6020,2625,153,59,14,0,7,4,2862
POA6021,2134,125,48,18,0,3,3,2331
POA6022,528,37,23,6,0,3,0,597
POA6023,2102,126,56,12,0,4,5,2305
POA6024,1579,101,66,12,5,0,4,1767
POA6025,3662,287,127,22,3,3,17,4121
POA6026,3089,213,106,11,3,3,7,3432
POA6027,5015,411,199,48,3,3,10,5689
POA6028,3128,224,123,26,0,0,10,3511
POA6029,354,15,13,0,0,0,0,382
POA6030,4346,355,305,44,0,11,17,5078
POA6031,1496,127,120,12,0,0,4,1759
POA6032,22,0,3,0,0,0,0,25
POA6033,85,3,3,3,0,0,3,97
POA6035,426,39,38,0,0,0,7,510
POA6036,1436,98,101,10,0,3,8,1656
POA6037,201,23,11,0,0,0,3,238
POA6041,106,8,11,0,0,3,0,128
POA6042,3,0,0,0,0,0,0,3
POA6043,13,4,0,0,0,0,0,17
POA6044,85,5,8,0,0,0,0,98
POA6050,1410,75,26,8,0,0,4,1523
POA6051,830,63,27,4,0,0,8,932
POA6052,1093,65,21,6,0,0,4,1189
POA6053,1314,98,30,6,0,0,8,1456
POA6054,1841,170,95,23,3,3,12,2147
POA6055,1339,99,63,21,0,0,3,1525
POA6056,3437,369,214,54,4,13,22,4113
POA6057,1717,179,117,14,0,3,10,2040
POA6058,1101,148,75,17,4,3,0,1348
POA6059,2552,156,60,24,3,3,13,2811
POA6060,1594,127,42,13,0,0,5,1781
POA6061,2870,219,148,73,7,9,17,3343
POA6062,3327,268,136,40,7,0,23,3801
POA6063,1689,132,85,36,0,0,12,1954
POA6064,3269,267,178,74,6,9,21,3824
POA6065,6899,556,329,74,4,5,20,7887
POA6066,2415,210,118,33,0,6,13,2795
POA6067,5,0,0,0,0,0,0,5
POA6068,0,0,0,0,0,0,0,0
POA6069,3281,292,204,16,4,4,14,3815
POA6070,442,38,17,0,0,0,0,497
POA6071,418,35,14,4,0,0,0,471
POA6072,88,9,7,5,0,0,0,109
POA6073,312,32,9,7,0,0,3,363
POA6074,105,15,4,0,0,0,0,124
POA6076,2494,199,77,25,0,0,14,2809
POA6077,187,9,10,0,0,0,0,206
POA6078,124,6,0,4,4,0,0,138
POA6079,0,0,0,0,0,0,0,0
POA6081,620,55,20,5,3,0,0,703
POA6082,349,44,19,3,0,3,3,421
POA6083,419,36,14,3,0,0,3,475
POA6084,732,85,56,8,0,0,3,884
POA6090,0,0,0,0,0,0,0,0
POA6100,1016,108,26,12,0,0,3,1165
POA6101,1197,103,37,3,3,3,5,1351
POA6102,743,52,31,12,0,3,4,845
POA6103,614,54,23,3,0,0,0,694
POA6104,1070,122,45,15,0,0,6,1258
POA6105,1215,102,57,16,5,0,8,1403
POA6106,4,0,0,0,0,0,0,4
POA6107,3542,289,162,65,6,9,14,4087
POA6108,2596,253,135,34,3,3,20,3044
POA6109,944,105,60,15,0,3,10,1137
POA6110,3583,359,217,53,5,16,24,4257
POA6111,2185,259,158,29,4,4,15,2654
POA6112,3983,407,315,59,5,11,39,4819
POA6121,372,29,15,6,0,0,0,422
POA6122,1142,123,72,14,0,3,6,1360
POA6123,171,22,7,3,0,0,3,206
POA6124,120,9,4,0,0,0,0,133
POA6125,318,21,18,7,0,0,3,367
POA6126,20,0,3,0,0,0,0,23
POA6147,1601,115,59,28,0,4,7,1814
POA6148,2060,121,42,21,0,3,11,2258
POA6149,2621,148,52,20,0,0,4,2845
POA6150,1758,74,38,19,0,4,5,1898
POA6151,1506,102,22,9,0,3,0,1642
POA6152,2006,162,49,14,0,5,9,2245
POA6153,2136,134,48,10,0,3,7,2338
POA6154,1099,81,32,7,0,0,8,1227
POA6155,6740,410,217,104,0,10,14,7495
POA6156,1780,124,65,4,0,0,7,1980
POA6157,1225,88,39,9,0,0,4,1365
POA6158,789,65,24,3,0,0,3,884
POA6159,200,14,5,0,0,0,0,219
POA6160,470,57,22,0,0,0,0,549
POA6161,10,0,0,0,0,0,0,10
POA6162,951,83,48,3,3,3,0,1091
POA6163,4550,422,191,53,4,5,21,5246
POA6164,6142,461,300,46,3,10,21,6983
POA6165,7,0,0,0,0,0,0,7
POA6166,1049,69,34,12,0,0,3,1167
POA6167,2007,251,176,30,0,6,27,2497
POA6168,1698,250,139,21,0,5,19,2132
POA6169,3328,387,241,36,0,12,26,4030
POA6170,708,95,69,7,0,3,6,888
POA6171,2079,184,141,15,0,4,7,2430
POA6172,1681,188,141,19,0,5,14,2048
POA6173,1597,120,112,4,0,4,3,1840
POA6174,226,27,18,6,0,0,0,277
POA6175,391,35,19,0,0,0,4,449
POA6176,101,3,5,0,0,0,0,109
POA6180,419,37,28,4,0,4,0,492
POA6181,64,6,3,3,0,3,0,79
POA6182,0,0,0,0,0,0,0,0
POA6207,124,8,7,3,0,0,0,142
POA6208,815,96,75,8,0,0,13,1007
POA6209,148,14,7,0,0,0,3,172
POA6210,4795,601,365,41,6,17,40,5865
POA6211,529,54,49,4,0,0,12,648
POA6213,70,6,5,0,0,0,0,81
POA6214,42,4,0,0,0,0,0,46
POA6215,338,31,19,3,0,0,0,391
POA6218,26,4,6,0,0,0,0,36
POA6220,470,45,34,7,0,0,4,560
POA6221,46,5,4,0,0,0,0,55
POA6224,114,17,10,3,0,0,0,144
POA6225,816,110,58,8,0,0,11,1003
POA6226,78,9,3,3,0,0,0,93
POA6227,57,5,3,3,0,0,3,71
POA6229,50,0,4,0,0,0,0,54
POA6230,3733,357,260,43,0,5,25,4423
POA6232,1000,105,84,11,0,3,4,1207
POA6233,1834,137,119,10,0,4,12,2116
POA6236,232,10,16,3,0,0,3,264
POA6237,300,17,15,0,0,4,0,336
POA6239,411,33,18,3,5,0,7,477
POA6240,30,0,4,0,0,0,0,34
POA6244,151,8,12,0,0,0,3,174
POA6251,39,4,5,0,0,0,0,48
POA6253,27,3,3,0,0,0,3,36
POA6254,59,3,5,0,0,0,0,67
POA6255,303,25,18,3,0,0,3,352
POA6256,20,3,3,0,0,0,0,26
POA6258,585,44,44,7,0,0,5,685
POA6260,156,17,5,4,0,0,0,182
POA6262,68,3,3,0,0,0,4,78
POA6271,238,33,28,0,0,0,0,299
POA6275,94,7,3,0,0,0,4,108
POA6280,2234,212,140,8,4,3,6,2607
POA6281,602,48,26,3,0,0,0,679
POA6282,160,8,4,0,0,0,0,172
POA6284,185,11,10,0,0,0,0,206
