region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6000,35,80,115,16,31,47,11,89,100,19,95,114,66,112,178,62,134,196,74,135,209,82,156,238,103,195,298,191,293,484,217,51,268,227,430,657,192,30,222,93,19,112,195,37,232,178,135,313,12,42,54,1773,2064,3837
POA6003,11,19,30,11,14,25,7,39,46,11,63,74,38,47,85,33,52,85,34,42,76,36,71,107,32,67,99,59,91,150,56,15,71,56,86,142,58,16,74,29,4,33,57,5,62,69,45,114,12,20,32,609,696,1305
POA6004,32,95,127,11,36,47,7,76,83,16,143,159,53,94,147,68,104,172,74,113,187,88,154,242,83,120,203,168,216,384,193,53,246,256,393,649,185,28,213,97,12,109,225,24,249,211,84,295,10,30,40,1777,1775,3552
POA6005,18,47,65,7,28,35,8,88,96,3,99,102,39,85,124,32,71,103,46,91,137,52,109,161,48,115,163,108,190,298,100,25,125,170,282,452,83,25,108,64,18,82,131,31,162,95,59,154,7,38,45,1011,1401,2412
POA6006,18,35,53,20,23,43,0,84,84,22,174,196,117,111,228,84,90,174,98,76,174,81,106,187,105,86,191,204,135,339,195,32,227,281,132,413,259,17,276,123,12,135,241,23,264,210,69,279,27,35,62,2085,1240,3325
POA6007,8,20,28,9,18,27,11,56,67,13,113,126,47,88,135,53,75,128,67,96,163,62,97,159,77,84,161,141,138,279,148,43,191,228,167,395,189,16,205,116,10,126,245,19,264,161,89,250,17,23,40,1592,1152,2744
POA6008,20,61,81,28,74,102,13,176,189,27,270,297,83,214,297,114,181,295,121,176,297,152,173,325,139,173,312,287,229,516,242,32,274,553,420,973,373,30,403,230,9,239,552,41,593,410,98,508,19,78,97,3363,2435,5798
POA6009,67,128,195,30,57,87,8,85,93,24,145,169,113,197,310,119,132,251,159,114,273,156,166,322,194,100,294,310,166,476,243,30,273,679,231,910,444,12,456,274,11,285,776,11,787,526,77,603,47,57,104,4169,1719,5888
POA6010,42,58,100,44,73,117,14,129,143,31,253,284,112,278,390,120,163,283,169,158,327,169,148,317,171,113,284,315,162,477,298,25,323,615,223,838,419,10,429,252,7,259,570,14,584,557,61,618,29,84,113,3927,1959,5886
POA6011,26,32,58,11,20,31,3,35,38,9,66,75,59,78,137,61,68,129,61,89,150,67,83,150,85,84,169,142,102,244,150,14,164,356,178,534,241,11,252,153,7,160,424,20,444,316,71,387,17,38,55,2181,996,3177
POA6012,25,36,61,22,45,67,17,102,119,24,198,222,72,170,242,84,127,211,89,88,177,80,118,198,102,88,190,154,90,244,160,21,181,298,112,410,203,10,213,112,6,118,306,9,315,276,37,313,23,54,77,2047,1311,3358
POA6014,39,48,87,29,59,88,14,118,132,25,287,312,122,314,436,185,285,470,230,261,491,229,247,476,260,209,469,406,249,655,386,43,429,731,242,973,552,17,569,300,11,311,679,22,701,519,72,591,32,73,105,4738,2557,7295
POA6015,18,13,31,19,8,27,3,16,19,5,56,61,41,66,107,49,42,91,82,36,118,53,43,96,66,28,94,119,28,147,109,4,113,263,57,320,200,3,203,115,7,122,344,4,348,215,14,229,18,24,42,1719,449,2168
POA6016,26,23,49,17,33,50,9,106,115,22,221,243,103,143,246,111,119,230,113,91,204,134,126,260,121,99,220,235,135,370,242,33,275,341,110,451,225,28,253,107,18,125,241,22,263,239,57,296,24,44,68,2310,1408,3718
POA6017,7,16,23,3,14,17,9,54,63,16,111,127,65,99,164,69,113,182,61,113,174,87,117,204,71,105,176,126,99,225,100,14,114,61,42,103,44,9,53,21,4,25,17,3,20,90,30,120,14,30,44,861,973,1834
POA6018,72,77,149,90,80,170,39,290,329,93,706,799,427,492,919,471,346,817,503,250,753,430,284,714,503,239,742,949,371,1320,885,84,969,1244,347,1591,981,49,1030,500,25,525,820,41,861,1020,204,1224,87,153,240,9114,4038,13152
POA6019,31,67,98,38,57,95,17,147,164,45,359,404,196,334,530,211,261,472,281,287,568,277,276,553,293,245,538,535,320,855,523,74,597,664,357,1021,488,57,545,265,38,303,477,58,535,614,198,812,56,96,152,5011,3231,8242
POA6020,26,43,69,47,44,91,24,99,123,30,274,304,223,294,517,248,154,402,308,117,425,245,122,367,317,90,407,527,118,645,527,21,548,787,133,920,670,11,681,331,4,335,623,12,635,731,56,787,57,52,109,5721,1644,7365
POA6021,63,41,104,60,65,125,24,175,199,49,430,479,457,234,691,296,173,469,332,205,537,304,206,510,333,146,479,606,203,809,575,38,613,539,121,660,389,16,405,185,7,192,343,12,355,548,66,614,93,79,172,5196,2217,7413
POA6022,7,10,17,12,5,17,4,27,31,8,86,94,94,54,148,98,32,130,103,35,138,101,46,147,107,37,144,201,38,239,192,11,203,155,29,184,112,6,118,55,4,59,51,0,51,149,17,166,19,16,35,1468,453,1921
POA6023,27,11,38,24,21,45,8,51,59,29,121,150,149,129,278,201,84,285,215,67,282,218,77,295,269,59,328,494,81,575,446,14,460,618,77,695,459,6,465,230,3,233,384,4,388,554,25,579,30,40,70,4355,870,5225
POA6024,23,35,58,23,16,39,12,70,82,38,189,227,217,123,340,219,112,331,231,98,329,247,106,353,283,94,377,545,117,662,518,10,528,444,72,516,288,3,291,148,6,154,152,4,156,425,42,467,44,47,91,3857,1144,5001
POA6025,56,53,109,70,60,130,26,111,137,63,326,389,398,286,684,417,215,632,480,214,694,481,233,714,534,187,721,1014,226,1240,958,59,1017,1102,170,1272,738,27,765,325,14,339,562,14,576,1051,96,1147,96,74,170,8371,2365,10736
POA6026,26,33,59,46,29,75,18,67,85,31,281,312,263,245,508,284,137,421,342,102,444,326,116,442,365,89,454,754,116,870,798,9,807,874,83,957,590,17,607,290,3,293,382,5,387,834,22,856,80,50,130,6303,1404,7707
POA6027,66,75,141,87,61,148,49,152,201,102,423,525,563,367,930,582,283,865,626,293,919,679,313,992,738,248,986,1550,323,1873,1443,54,1497,1380,226,1606,924,24,948,441,14,455,635,14,649,1585,138,1723,135,104,239,11585,3112,14697
POA6028,25,26,51,39,20,59,22,44,66,38,93,131,168,95,263,210,59,269,244,62,306,251,79,330,295,66,361,711,74,785,708,7,715,829,57,886,597,6,603,271,3,274,367,3,370,751,33,784,57,27,84,5583,754,6337
POA6029,4,5,9,7,3,10,0,14,14,4,45,49,13,32,45,35,23,58,37,9,46,28,12,40,31,15,46,65,15,80,72,8,80,94,24,118,95,0,95,45,3,48,89,0,89,99,9,108,3,7,10,721,224,945
POA6030,91,51,142,73,59,132,54,140,194,110,316,426,626,289,915,626,227,853,625,196,821,668,237,905,731,163,894,1335,171,1506,1131,49,1180,1053,151,1204,677,16,693,264,6,270,360,7,367,1328,71,1399,164,88,252,9916,2237,12153
POA6031,17,6,23,27,6,33,13,26,39,38,39,77,117,34,151,137,34,171,173,45,218,168,70,238,240,54,294,519,53,572,423,12,435,359,30,389,234,3,237,101,4,105,100,8,108,365,26,391,37,9,46,3068,459,3527
POA6032,3,0,3,3,0,3,0,0,0,0,3,3,3,0,3,3,3,6,6,3,9,0,0,0,3,3,6,3,0,3,10,0,10,6,0,6,0,0,0,0,0,0,0,0,0,8,3,11,0,3,3,48,18,66
POA6033,0,0,0,4,0,4,0,5,5,0,5,5,11,3,14,7,6,13,9,4,13,15,4,19,21,4,25,24,0,24,23,0,23,16,3,19,15,0,15,6,0,6,11,0,11,21,0,21,6,0,6,189,34,223
POA6035,9,10,19,14,8,22,10,20,30,18,53,71,93,37,130,83,35,118,79,30,109,80,36,116,81,24,105,138,24,162,121,5,126,102,7,109,64,0,64,19,0,19,27,0,27,158,15,173,24,13,37,1120,317,1437
POA6036,24,6,30,23,7,30,15,30,45,33,37,70,129,36,165,144,44,188,129,53,182,194,65,259,222,58,280,449,62,511,393,11,404,336,43,379,199,11,210,76,3,79,105,3,108,371,15,386,42,9,51,2884,493,3377
POA6037,3,7,10,8,3,11,6,22,28,15,63,78,67,30,97,61,24,85,46,14,60,45,11,56,53,15,68,71,16,87,35,0,35,47,11,58,28,0,28,6,3,9,8,0,8,110,4,114,9,6,15,618,229,847
POA6041,6,5,11,7,3,10,5,10,15,8,26,34,58,10,68,36,11,47,31,3,34,27,8,35,29,3,32,37,5,42,18,0,18,30,4,34,10,0,10,4,0,4,5,0,5,69,0,69,9,6,15,389,94,483
POA6042,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,0,3,3,5,0,5,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,17,9,26
POA6043,0,0,0,4,0,4,0,0,0,6,5,11,12,4,16,3,5,8,5,4,9,3,0,3,5,0,5,6,0,6,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,6,0,6,0,0,0,58,18,76
POA6044,4,5,9,5,0,5,5,15,20,6,27,33,45,20,65,40,15,55,35,11,46,17,15,32,26,5,31,41,6,47,24,3,27,17,4,21,14,0,14,0,0,0,0,0,0,46,4,50,7,8,15,332,138,470
POA6050,39,53,92,20,38,58,10,101,111,14,260,274,149,238,387,147,194,341,163,190,353,160,205,365,173,166,339,337,247,584,308,60,368,429,255,684,388,23,411,212,19,231,522,23,545,374,111,485,48,74,122,3493,2257,5750
POA6051,35,55,90,21,43,64,26,217,243,46,307,353,144,314,458,171,271,442,181,298,479,208,284,492,184,221,405,320,271,591,300,62,362,309,233,542,215,24,239,134,11,145,208,21,229,303,118,421,48,103,151,2853,2853,5706
POA6052,23,24,47,29,35,64,12,101,113,20,248,268,152,179,331,152,123,275,148,113,261,143,140,283,145,101,246,283,154,437,255,30,285,366,108,474,286,21,307,126,6,132,221,9,230,304,53,357,32,59,91,2697,1504,4201
POA6053,18,39,57,27,48,75,23,127,150,20,356,376,235,240,475,204,149,353,185,148,333,197,155,352,228,113,341,415,171,586,399,38,437,422,122,544,291,20,311,161,4,165,229,9,238,396,61,457,37,82,119,3487,1882,5369
POA6054,23,55,78,46,52,98,38,177,215,62,506,568,441,290,731,385,253,638,383,217,600,381,212,593,400,187,587,685,184,869,571,36,607,478,118,596,332,17,349,128,11,139,199,6,205,572,71,643,90,108,198,5214,2500,7714
POA6055,18,30,48,29,19,48,12,71,83,20,172,192,174,111,285,155,113,268,171,83,254,194,83,277,213,72,285,434,80,514,395,17,412,317,54,371,224,10,234,96,5,101,175,4,179,422,25,447,47,42,89,3096,991,4087
