region_id,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
POA6000,936,1938,728,100,36,3738,100,3838
POA6003,260,670,270,45,22,1267,39,1306
POA6004,742,1817,753,99,47,3458,91,3549
POA6005,453,1308,485,76,38,2360,53,2413
POA6006,315,1277,1209,309,125,3235,89,3324
POA6007,267,1199,919,220,76,2681,62,2743
POA6008,648,2584,1856,428,143,5659,138,5797
POA6009,450,1807,2327,787,391,5762,126,5888
POA6010,399,2169,2293,598,279,5738,148,5886
POA6011,130,998,1317,445,218,3108,70,3178
POA6012,394,1226,1155,356,132,3263,96,3359
POA6014,489,2899,2687,722,343,7140,157,7297
POA6015,70,471,1002,363,216,2122,46,2168
POA6016,388,1502,1329,308,107,3634,82,3716
POA6017,235,956,461,88,33,1773,61,1834
POA6018,854,4298,5572,1438,662,12824,328,13152
POA6019,409,3248,3302,777,325,8061,180,8241
POA6020,268,1859,3247,1173,668,7215,151,7366
POA6021,472,2521,2907,872,441,7213,201,7414
POA6022,73,562,879,267,106,1887,34,1921
POA6023,115,1279,2501,829,428,5152,73,5225
POA6024,171,1484,2189,716,337,4897,104,5001
POA6025,343,2962,4727,1660,838,10530,205,10735
POA6026,266,1985,3280,1292,765,7588,121,7709
POA6027,533,4277,6177,2255,1149,14391,307,14698
POA6028,105,1498,3011,1099,547,6260,78,6338
POA6029,35,227,443,160,64,929,19,948
POA6030,437,4016,5125,1633,655,11866,287,12153
POA6031,64,920,1717,538,233,3472,54,3526
POA6032,3,12,23,13,16,67,3,70
POA6033,4,51,91,39,34,219,4,223
POA6035,52,487,598,188,78,1403,33,1436
POA6036,89,1111,1610,384,127,3321,56,3377
POA6037,36,313,308,107,55,819,27,846
POA6041,5,124,205,93,44,471,12,483
POA6042,3,6,9,6,0,24,3,27
POA6043,4,17,29,19,8,77,0,77
POA6044,13,115,187,86,53,454,16,470
POA6050,596,2213,1936,581,274,5600,146,5746
POA6051,771,2717,1598,301,104,5491,216,5707
POA6052,399,1575,1534,417,159,4084,119,4203
POA6053,484,2031,1970,514,206,5205,164,5369
POA6054,666,2821,2705,828,453,7473,242,7715
POA6055,161,1112,1632,622,409,3936,151,4087
POA6056,975,4319,4836,1863,1088,13081,477,13558
POA6057,125,1510,2280,940,585,5440,128,5568
POA6058,232,1379,1673,629,374,4287,109,4396
POA6059,673,3098,3177,1103,500,8551,236,8787
POA6060,973,4750,3029,692,241,9685,300,9985
POA6061,1192,5002,4021,1144,490,11849,539,12388
POA6062,663,3820,4366,1529,819,11197,329,11526
POA6063,200,1224,1861,700,389,4374,154,4528
POA6064,600,3174,3900,1437,812,9923,356,10279
POA6065,456,4439,8063,2648,1271,16877,322,17199
POA6066,194,1508,2499,1082,608,5891,130,6021
POA6067,7,7,3,4,4,25,0,25
POA6068,0,3,0,0,0,3,0,3
POA6069,178,2112,4053,1165,517,8025,139,8164
POA6070,20,273,591,226,131,1241,19,1260
POA6071,17,226,477,250,176,1146,23,1169
POA6072,4,63,89,71,44,271,9,280
POA6073,58,293,402,196,134,1083,79,1162
POA6074,9,72,120,75,58,334,5,339
POA6076,231,1859,3081,1376,921,7468,146,7614
POA6077,13,108,131,107,142,501,16,517
POA6078,0,24,95,53,80,252,4,256
POA6079,0,0,0,0,3,3,0,3
POA6081,7,279,663,310,262,1521,34,1555
POA6082,18,199,425,204,170,1016,25,1041
POA6083,7,153,471,272,234,1137,22,1159
POA6084,29,406,842,459,346,2082,45,2127
POA6090,0,0,4,0,0,4,0,4
POA6100,574,2460,1819,468,179,5500,167,5667
POA6101,615,2429,2095,529,192,5860,229,6089
POA6102,887,2004,1243,436,173,4743,261,5004
POA6103,411,1387,1112,278,106,3294,158,3452
POA6104,394,1820,1799,566,232,4811,198,5009
POA6105,472,1981,1780,560,236,5029,203,5232
POA6106,0,3,4,0,0,7,0,7
POA6107,830,4333,4699,1697,939,12498,429,12927
POA6108,336,2445,3168,1215,616,7780,208,7988
POA6109,272,1392,1267,480,279,3690,155,3845
POA6110,753,3952,4608,1665,888,11866,331,12197
POA6111,396,2349,2925,1230,791,7691,224,7915
POA6112,782,4432,5451,1903,1090,13658,397,14055
POA6121,12,78,297,205,233,825,15,840
POA6122,43,551,1267,603,450,2914,52,2966
POA6123,9,94,162,109,91,465,8,473
POA6124,12,83,157,65,51,368,7,375
POA6125,18,196,325,212,147,898,20,918
POA6126,7,22,25,21,17,92,0,92
POA6147,310,1957,2043,657,351,5318,151,5469
POA6148,314,2060,2458,863,434,6129,134,6263
POA6149,201,1643,2795,1114,583,6336,106,6442
POA6150,182,1046,1837,734,434,4233,82,4315
POA6151,507,2792,2425,566,208,6498,139,6637
POA6152,723,3749,3445,1025,434,9376,241,9617
POA6153,344,2433,2898,903,472,7050,125,7175
POA6154,279,1267,1461,453,189,3649,82,3731
POA6155,290,3599,7003,2489,1328,14709,226,14935
POA6156,404,2051,2422,710,313,5900,159,6059
POA6157,421,2204,2036,486,197,5344,149,5493
POA6158,134,904,1077,307,125,2547,64,2611
POA6159,113,424,446,87,22,1092,21,1113
POA6160,497,1499,974,206,72,3248,129,3377
POA6161,27,12,0,0,0,39,0,39
POA6162,459,1690,1466,368,130,4113,147,4260
POA6163,1491,6215,6456,2194,1063,17419,589,18008
POA6164,379,4076,7450,2312,1182,15399,303,15702
POA6165,0,6,11,5,7,29,3,32
POA6166,113,731,1185,496,291,2816,79,2895
POA6167,548,2744,2836,972,491,7591,289,7880
POA6168,929,4021,2927,882,367,9126,335,9461
POA6169,625,4251,4781,1610,720,11987,353,12340
POA6170,73,634,855,304,164,2030,50,2080
POA6171,61,1302,2581,731,377,5052,63,5115
POA6172,93,1203,1893,639,301,4129,114,4243
POA6173,31,722,1665,482,173,3073,32,3105
POA6174,15,202,325,102,57,701,16,717
POA6175,13,248,459,155,59,934,12,946
POA6176,5,33,72,54,59,223,3,226
POA6180,18,356,488,146,93,1101,20,1121
POA6181,5,15,48,36,39,143,0,143
POA6182,0,0,0,0,0,0,0,0
POA6207,3,55,137,71,77,343,15,358
POA6208,107,1170,1407,485,263,3432,114,3546
POA6209,28,242,222,113,81,686,21,707
POA6210,1513,9177,8341,2539,1052,22622,742,23364
