region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6000,0,1556,1556,1244,350,1594,347,88,435,125,40,165,44,14,58,13,16,29,1773,2064,3837
POA6003,0,525,525,410,104,514,116,37,153,64,20,84,11,7,18,7,3,10,608,696,1304
POA6004,0,1391,1391,1259,261,1520,343,83,426,131,28,159,28,9,37,14,3,17,1775,1775,3550
POA6005,0,1121,1121,751,198,949,171,60,231,67,16,83,17,6,23,5,0,5,1011,1401,2412
POA6006,0,964,964,983,158,1141,494,79,573,432,30,462,135,9,144,40,0,40,2084,1240,3324
POA6007,0,871,871,908,160,1068,302,88,390,280,28,308,78,4,82,22,3,25,1590,1154,2744
POA6008,0,2054,2054,1724,239,1963,688,104,792,694,32,726,210,6,216,46,0,46,3362,2435,5797
POA6009,0,1277,1277,1659,233,1892,833,135,968,1057,44,1101,491,24,515,129,6,135,4169,1719,5888
POA6010,0,1733,1733,1790,148,1938,732,53,785,906,18,924,399,3,402,100,4,104,3927,1959,5886
POA6011,0,816,816,993,112,1105,398,41,439,480,25,505,235,0,235,75,3,78,2181,997,3178
POA6012,0,1138,1138,925,127,1052,411,31,442,468,15,483,191,0,191,53,0,53,2048,1311,3359
POA6014,0,2214,2214,1934,240,2174,907,72,979,1251,24,1275,509,7,516,137,0,137,4738,2557,7295
POA6015,0,399,399,691,26,717,291,12,303,423,12,435,244,0,244,70,0,70,1719,449,2168
POA6016,0,1104,1104,994,172,1166,531,75,606,575,44,619,175,7,182,35,7,42,2310,1409,3719
POA6017,0,847,847,505,94,599,191,27,218,113,6,119,36,0,36,15,0,15,860,974,1834
POA6018,0,3368,3368,4167,459,4626,1933,145,2078,2102,51,2153,717,10,727,196,5,201,9115,4038,13153
POA6019,0,2583,2583,2707,426,3133,1009,183,1192,927,27,954,290,11,301,79,0,79,5012,3230,8242
POA6020,0,1487,1487,2448,112,2560,1173,40,1213,1443,5,1448,518,0,518,139,0,139,5721,1644,7365
POA6021,0,1924,1924,2380,204,2584,1127,63,1190,1107,23,1130,420,6,426,159,0,159,5193,2220,7413
POA6022,0,390,390,711,47,758,308,14,322,299,0,299,108,0,108,41,3,44,1467,454,1921
POA6023,0,780,780,1717,61,1778,939,22,961,1189,6,1195,390,0,390,120,0,120,4355,869,5224
POA6024,0,991,991,1725,113,1838,896,24,920,808,16,824,314,3,317,112,0,112,3855,1147,5002
