region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6000,521,1217,300,623,367,744,667,1367,244,446,604,1037,1773,2943,4,4,2625,4430,0,0,0,0,19,43,19,43,6,8,3838,7065,895,0,4733,7065
POA6003,254,595,56,127,204,419,260,546,167,251,346,547,237,445,0,0,750,1243,0,0,0,0,37,60,37,60,3,3,1304,2447,223,0,1527,2447
POA6004,210,485,27,66,388,743,415,809,105,189,764,1414,2021,3510,3,0,2893,5113,0,0,0,0,29,57,29,57,4,12,3551,6476,720,0,4271,6476
POA6005,276,634,114,202,243,411,357,613,117,179,502,847,1146,1841,3,0,1768,2867,0,0,0,0,10,21,10,21,3,6,2414,4141,422,0,2836,4141
POA6006,2475,6129,116,202,256,563,372,765,311,509,73,114,82,119,0,0,466,742,0,0,0,0,10,26,10,26,3,3,3326,7665,335,0,3661,7665
POA6007,1512,3654,209,344,382,800,591,1144,307,525,169,282,165,242,0,0,641,1049,0,0,0,0,0,0,0,0,0,7,2744,5854,300,0,3044,5854
POA6008,2861,7371,242,444,1055,2062,1297,2506,602,956,737,1058,274,409,0,0,1613,2423,0,0,3,0,13,22,16,22,8,29,5795,12351,737,0,6532,12351
POA6009,4012,11850,280,505,449,945,729,1450,589,1139,261,479,291,520,0,0,1141,2138,0,0,0,0,3,3,3,3,3,3,5888,15444,792,0,6680,15444
POA6010,4262,11349,286,491,298,540,584,1031,488,709,240,330,303,524,0,0,1031,1563,0,0,0,0,4,12,4,12,5,3,5886,13958,806,0,6692,13958
POA6011,2255,6172,91,187,228,488,319,675,221,384,296,433,85,150,0,0,602,967,0,0,0,0,0,0,0,0,0,0,3176,7814,468,0,3644,7814
