region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA6000,170,119,215,3,0,507,137,172,607,3,0,919,79,189,1265,6,0,1539,3,32,87,0,0,122,94,119,319,5,0,537,6,11,19,0,3,39,11,11,46,4,0,72,5,4,16,0,0,25,198,366,1752,15,3,2334,3,0,9,3,0,15,12,11,42,0,0,65,520,668,2625,24,3,3840
POA6003,78,43,56,3,0,180,55,64,127,13,0,259,63,82,270,12,0,427,4,14,120,0,0,138,37,44,120,3,0,204,5,3,9,0,0,17,5,0,16,3,3,27,4,3,3,3,0,13,118,146,538,21,3,826,0,0,0,0,0,0,3,7,26,3,0,39,254,260,747,40,3,1304
POA6004,80,116,323,9,0,528,74,83,651,8,0,816,18,75,1297,9,3,1402,0,70,118,0,0,188,34,35,365,3,0,437,0,15,14,0,0,29,3,3,38,0,0,44,0,6,27,0,0,33,55,204,1859,12,3,2133,0,0,10,0,0,10,3,11,50,0,0,64,212,414,2893,29,3,3551
POA6005,81,30,202,4,3,320,75,102,340,0,0,517,49,128,742,3,3,925,3,30,98,0,0,131,52,51,281,0,0,384,0,3,10,0,0,13,4,3,28,0,0,35,3,0,21,0,0,24,111,215,1180,3,3,1512,0,3,3,0,0,6,8,8,39,3,0,58,275,358,1764,10,6,2413
POA6006,902,75,46,0,0,1023,883,126,113,6,0,1128,304,93,159,0,3,559,12,4,73,0,0,89,283,41,49,4,0,377,6,10,3,0,0,19,23,3,4,0,0,30,12,3,3,0,0,18,640,154,291,4,3,1092,18,12,5,0,0,35,33,3,11,0,0,47,2476,370,466,10,3,3325
POA6007,576,105,76,0,0,757,476,169,125,0,0,770,237,164,290,0,3,694,7,21,3,0,0,31,166,83,109,0,0,358,4,5,6,0,0,15,10,0,13,0,0,23,7,0,3,0,0,10,431,273,424,0,3,1131,5,28,0,0,0,33,25,14,15,0,0,54,1513,589,640,0,3,2745
POA6008,1184,359,193,4,4,1744,927,272,206,6,3,1414,393,392,571,7,0,1363,14,24,300,0,0,338,269,184,216,0,0,669,0,3,38,0,0,41,7,25,21,0,0,53,13,11,12,0,3,39,696,639,1158,7,3,2503,11,9,11,0,0,31,43,18,43,0,0,104,2861,1297,1611,17,10,5796
POA6009,1931,210,257,0,3,2401,1208,114,129,0,0,1451,458,219,444,0,0,1121,4,3,21,0,0,28,279,102,186,3,3,573,0,10,15,0,0,25,16,5,32,0,0,53,23,17,9,0,0,49,780,356,707,3,3,1849,27,28,15,0,0,70,63,20,33,0,0,116,4009,728,1141,3,6,5887
POA6010,1889,228,244,0,0,2361,1367,103,98,0,0,1568,408,96,277,0,0,781,82,47,53,0,0,182,255,68,126,0,0,449,3,3,15,0,0,21,139,7,16,0,0,162,21,3,12,0,0,36,908,224,499,0,0,1631,45,6,137,0,0,188,57,27,52,0,0,136,4266,588,1030,0,0,5884
POA6011,1090,130,118,0,0,1338,679,59,62,0,0,800,231,54,268,0,0,553,4,0,0,0,0,4,165,61,132,0,0,358,4,0,0,0,0,4,7,0,8,0,0,15,16,7,3,0,0,26,427,122,411,0,0,960,8,0,0,0,0,8,52,7,11,0,0,70,2256,318,602,0,0,3176
