region_id,M_1_299_DS_DS_Seprt_house,M_1_299_DS_DS_sd_row_tce_hs_t,M_1_299_DS_DS_Flat_unit_apart,M_1_299_DS_DS_Other_dwg,M_1_299_DS_ns,M_1_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_unit_apartm,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_unit_aptmnt,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_unit_aptmt,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_unit_aprtm,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_unt_aprt,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flt_unit_aprt,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_unt_aprt,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flt_unit_aprtm,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_unit_aprt,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_unit_aptm,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flt_unit_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_unit_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA6000,8,8,19,0,0,35,3,0,3,0,0,6,0,4,6,0,0,10,5,3,6,0,0,14,5,4,17,0,0,26,14,13,42,0,0,69,8,20,58,0,0,86,17,28,141,3,0,189,15,24,123,4,0,166,27,35,107,0,0,169,27,26,65,0,0,118,6,6,19,0,0,31,135,171,606,7,0,919
POA6003,3,3,3,0,0,9,0,3,3,0,0,6,0,0,3,0,0,3,3,3,3,0,0,9,0,4,4,0,0,8,4,6,21,3,0,34,5,5,20,3,0,33,7,8,33,7,0,55,6,9,18,0,0,33,13,9,11,3,0,36,11,13,4,0,0,28,3,0,3,0,0,6,55,63,126,16,0,260
POA6004,5,0,12,0,0,17,0,0,11,0,0,11,0,0,6,0,0,6,3,3,13,0,0,19,3,0,17,0,0,20,6,5,57,0,0,68,9,6,61,0,0,76,10,16,130,0,0,156,6,14,116,0,0,136,9,14,112,0,0,135,22,19,95,5,0,141,3,4,22,4,0,33,76,81,652,9,0,818
POA6005,5,6,9,0,0,20,0,0,3,0,0,3,0,5,5,0,0,10,0,5,7,0,0,12,3,3,13,0,0,19,3,10,26,0,0,39,9,10,55,0,0,74,17,21,73,0,0,111,15,16,51,0,0,82,11,13,56,0,0,80,11,12,38,0,0,61,0,0,6,0,0,6,74,101,342,0,0,517
POA6006,33,5,3,0,0,41,16,0,0,0,0,16,16,0,3,0,0,19,30,3,0,0,0,33,28,8,9,0,0,45,77,8,13,0,0,98,80,14,23,0,0,117,117,20,23,0,0,160,112,26,16,0,0,154,162,23,10,3,0,198,172,13,10,0,0,195,40,7,4,0,0,51,883,127,114,3,0,1127
POA6007,27,5,7,0,0,39,7,3,3,0,0,13,6,3,3,0,0,12,11,5,0,0,0,16,19,0,11,0,0,30,38,14,22,0,0,74,35,18,20,0,0,73,79,28,16,0,0,123,46,19,10,0,0,75,74,34,21,0,0,129,115,32,10,0,0,157,19,7,3,0,0,29,476,168,126,0,0,770
POA6008,56,14,16,0,0,86,19,7,3,0,0,29,20,5,3,0,0,28,30,5,8,0,0,43,26,8,7,0,0,41,77,23,25,0,3,128,66,20,20,0,0,106,122,49,34,6,0,211,86,22,20,0,0,128,125,47,30,0,0,202,257,57,31,0,0,345,43,15,8,0,0,66,927,272,205,6,3,1413
POA6009,97,6,6,0,0,109,10,5,0,0,0,15,10,3,0,0,0,13,25,3,10,0,0,38,31,6,4,0,0,41,72,5,14,0,0,91,59,5,16,0,0,80,111,17,22,0,0,150,80,6,15,0,0,101,141,19,14,0,0,174,478,26,23,0,0,527,94,14,4,0,0,112,1208,115,128,0,0,1451
POA6010,106,6,10,0,0,122,23,3,3,0,0,29,16,0,0,0,0,16,32,0,0,0,0,32,35,4,5,0,0,44,104,14,6,0,0,124,77,16,15,0,0,108,144,15,19,0,0,178,97,3,10,0,0,110,176,15,4,0,0,195,466,21,19,0,0,506,93,4,7,0,0,104,1369,101,98,0,0,1568
POA6011,59,5,6,0,0,70,8,0,3,0,0,11,5,0,0,0,0,5,12,0,0,0,0,12,15,0,3,0,0,18,42,7,6,0,0,55,38,4,16,0,0,58,67,0,9,0,0,76,30,9,4,0,0,43,71,7,7,0,0,85,273,24,8,0,0,305,60,0,0,0,0,60,680,56,62,0,0,798
POA6012,51,5,5,0,0,61,7,3,7,0,0,17,4,3,0,0,0,7,4,0,7,0,0,11,21,6,4,0,0,31,43,10,14,0,0,67,45,11,17,0,0,73,79,16,25,0,0,120,40,3,11,0,0,54,83,8,8,0,0,99,267,3,0,0,0,270,66,3,4,0,0,73,710,71,102,0,0,883
POA6014,111,9,10,0,0,130,29,3,9,0,0,41,23,5,12,0,0,40,49,4,19,0,0,72,44,0,21,0,0,65,158,9,62,0,0,229,154,16,80,0,0,250,260,15,67,0,0,342,160,17,19,0,0,196,290,28,12,0,0,330,533,18,8,0,0,559,99,5,10,0,4,118,1910,129,329,0,4,2372
