region_id,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_estat_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_estat_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_estat_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_over_LT_Real_eSte_agent,R_650_over_LT_Ste_ter_hsg_aut,R_650_over_LT_Psn_not_Sme_hhd,R_650_ovr_LT_hs_coop_com_ch_g,R_650_over_LT_Other_Lld_type,R_650_over_LT_Lld_type_ns,R_650_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA6000,6,30,22,0,10,10,78,0,50,0,0,0,0,50,4,23,9,9,0,0,45,31,4,28,8,4,0,75,21,0,29,3,0,6,59,88,0,57,0,7,0,152,148,0,84,3,10,0,245,458,4,128,3,8,0,601,424,0,89,8,6,0,527,192,0,42,0,9,0,243,133,5,31,0,5,0,174,35,5,18,3,13,9,83,1540,121,537,37,72,25,2332
POA6003,0,30,4,4,3,4,45,0,49,0,0,3,0,52,3,20,9,8,0,3,43,7,10,14,3,0,0,34,5,3,3,0,0,3,14,31,0,15,0,0,0,46,76,14,57,0,8,0,155,156,3,54,0,3,0,216,106,0,29,0,3,0,138,27,0,9,0,3,0,39,12,0,6,0,3,0,21,6,7,3,0,3,3,22,429,136,203,15,29,13,825
POA6004,3,40,23,3,3,15,87,0,65,0,0,3,0,68,7,43,6,14,0,0,70,27,15,19,5,3,0,69,21,6,12,0,0,0,39,85,3,40,3,3,0,134,124,0,69,3,7,0,203,322,0,87,0,4,3,416,380,3,64,0,5,3,455,211,0,43,0,0,3,257,205,0,53,0,9,4,271,18,13,21,0,4,6,62,1403,188,437,28,41,34,2131
POA6005,0,33,17,0,3,16,69,0,59,0,0,3,0,62,6,20,21,7,3,0,57,23,8,20,3,0,3,57,26,3,25,0,3,0,57,86,0,62,3,3,0,154,115,3,55,0,3,4,180,227,3,78,0,3,0,311,229,0,51,0,0,0,280,112,0,21,3,3,0,139,92,0,18,0,3,0,113,9,3,15,0,6,0,33,925,132,383,16,33,23,1512
POA6006,0,17,17,4,0,19,57,0,44,4,4,0,0,52,6,14,5,4,0,0,29,21,5,20,0,0,0,46,27,0,21,0,4,0,52,55,0,29,0,0,0,84,59,3,73,3,7,0,145,166,0,101,0,7,0,274,133,0,68,0,4,0,205,51,0,12,0,6,0,69,35,0,14,0,3,0,52,4,6,13,4,0,0,27,557,89,377,19,31,19,1092
POA6007,0,4,13,3,5,5,30,0,8,3,3,0,0,14,0,10,9,3,0,0,22,19,4,12,6,0,3,44,25,0,19,0,3,0,47,70,0,27,0,0,3,100,123,3,67,0,5,0,198,156,0,101,0,5,0,262,149,0,60,0,3,0,212,65,0,17,0,0,0,82,67,0,22,0,0,0,89,18,3,9,0,0,0,30,692,32,359,15,21,11,1130
POA6008,6,68,45,7,0,28,154,0,143,6,8,0,0,157,5,59,26,10,7,6,113,28,25,33,0,10,0,96,41,9,35,0,12,0,97,90,3,58,3,7,0,161,187,4,90,3,4,0,288,279,4,122,0,4,0,409,275,0,97,0,0,0,372,184,0,62,0,0,0,246,254,0,79,0,0,0,333,16,23,18,8,9,0,74,1365,338,671,39,53,34,2500
POA6009,3,0,60,3,0,38,104,0,0,5,0,3,0,8,3,4,21,13,5,3,49,16,5,25,4,3,0,53,23,4,26,3,3,0,59,71,5,44,3,15,0,138,144,5,68,0,3,0,220,269,0,97,0,4,4,374,208,0,62,0,6,0,276,108,4,28,0,3,0,143,263,0,115,0,5,0,383,13,0,20,5,3,4,45,1121,27,571,31,53,49,1852
POA6010,3,28,47,3,14,26,121,0,66,3,3,3,0,75,4,28,15,7,6,4,64,28,18,18,4,28,0,96,3,10,25,0,36,0,74,37,7,34,3,31,0,112,90,3,54,0,8,3,158,165,5,85,0,6,0,261,127,0,55,0,5,0,187,84,0,23,0,4,0,111,224,4,71,0,7,0,306,16,13,20,0,13,4,66,781,182,450,20,161,37,1631
POA6011,0,0,31,0,3,24,58,0,0,3,0,0,0,3,6,0,10,0,0,0,16,5,0,10,0,0,0,15,18,0,11,0,0,0,29,47,0,22,0,3,0,72,51,0,45,0,3,0,99,89,0,59,0,0,0,148,96,3,50,0,3,0,152,55,0,35,0,0,0,90,176,0,75,0,4,0,255,8,0,7,3,0,3,21,551,3,358,3,16,27,958
