region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA6000,101,78,320,3,0,502,363,512,1909,16,6,2806,17,12,71,0,0,100,24,49,259,3,0,335,404,573,2239,19,6,3241,14,16,66,0,0,96,519,667,2625,22,6,3839
POA6003,38,32,121,5,0,196,185,210,516,28,3,942,9,4,30,0,0,43,14,9,52,3,0,78,208,223,598,31,3,1063,9,4,29,3,0,45,255,259,748,39,3,1304
POA6004,15,68,323,0,0,406,178,290,2133,28,3,2632,8,15,72,0,0,95,8,19,298,0,0,325,194,324,2503,28,3,3052,3,24,66,0,0,93,212,416,2892,28,3,3551
POA6005,49,45,241,0,0,335,198,264,1263,10,3,1738,7,7,59,0,0,73,12,33,155,0,0,200,217,304,1477,10,3,2011,9,11,47,0,0,67,275,360,1765,10,3,2413
POA6006,470,47,99,0,0,616,1797,278,304,10,3,2392,46,5,13,0,0,64,94,29,33,0,0,156,1937,312,350,10,3,2612,68,12,17,0,0,97,2475,371,466,10,3,3325
POA6007,187,72,82,0,0,341,1184,434,461,0,3,2082,35,12,19,0,0,66,74,46,57,0,0,177,1293,492,537,0,3,2325,31,25,22,0,0,78,1511,589,641,0,3,2744
POA6008,247,122,418,4,0,791,2405,1044,954,13,8,4424,71,37,48,0,0,156,85,68,124,0,0,277,2561,1149,1126,13,8,4857,54,26,69,0,0,149,2862,1297,1613,17,8,5797
POA6009,265,122,162,0,0,549,3524,533,828,0,3,4888,85,21,28,0,3,137,59,31,89,0,0,179,3668,585,945,0,6,5204,78,24,33,0,0,135,4011,731,1140,0,6,5888
POA6010,355,126,267,0,0,748,3620,393,596,0,0,4609,96,20,42,0,0,158,98,18,61,5,0,182,3814,431,699,5,0,4949,96,30,62,0,0,188,4265,587,1028,5,0,5885
POA6011,169,41,90,0,0,300,1899,251,410,0,0,2560,59,7,23,0,0,89,66,14,65,0,0,145,2024,272,498,0,0,2794,63,6,14,0,0,83,2256,319,602,0,0,3177
