region_id,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA6000,3,14,155,239,83,13,8,6,521,0,29,146,87,32,3,0,3,300,3,21,173,149,11,4,0,6,367,3,50,319,236,43,7,0,9,667,0,87,122,29,0,0,0,7,245,20,261,234,68,12,0,0,9,604,16,534,1022,172,7,0,0,22,1773,0,0,3,0,0,0,0,0,3,36,882,1381,269,19,0,0,38,2625,0,7,6,5,0,0,0,0,18,0,0,5,0,0,0,0,0,5,42,953,1866,749,145,20,8,53,3836
POA6003,0,29,70,103,36,8,3,6,255,0,6,24,20,6,0,0,0,56,0,13,70,104,13,0,3,3,206,0,19,94,124,19,0,3,3,262,0,78,68,12,3,0,0,7,168,7,107,190,30,0,0,0,10,344,8,18,183,24,0,0,0,4,237,0,0,0,0,0,0,0,0,0,15,203,441,66,3,0,0,21,749,0,11,20,3,0,0,0,3,37,0,3,0,0,0,0,0,0,3,15,265,625,296,58,8,6,33,1306
POA6004,3,4,34,107,44,18,0,0,210,0,0,5,17,3,0,0,0,25,9,51,87,150,65,10,3,15,390,9,51,92,167,68,10,3,15,415,0,29,52,23,0,0,0,0,104,4,96,450,195,15,0,0,5,765,72,553,937,409,17,0,0,33,2021,0,0,3,0,0,0,0,0,3,76,678,1442,627,32,0,0,38,2893,0,0,16,12,0,0,0,0,28,0,0,3,3,0,0,0,0,6,88,733,1587,916,144,28,3,53,3552
POA6005,0,3,94,128,33,7,3,7,275,0,18,76,15,3,3,0,0,115,4,31,103,92,6,3,0,5,244,4,49,179,107,9,6,0,5,359,8,36,42,27,0,0,0,4,117,8,181,207,88,7,0,0,12,503,31,365,552,166,11,0,0,20,1145,0,0,0,0,0,0,0,0,0,47,582,801,281,18,0,0,36,1765,0,3,3,3,0,0,0,0,9,0,3,3,0,0,0,0,0,6,51,640,1080,519,60,13,3,48,2414
POA6006,0,52,525,1280,492,71,22,32,2474,0,29,35,48,3,0,0,3,118,0,15,28,171,36,4,0,0,254,0,44,63,219,39,4,0,3,372,3,88,101,105,5,0,0,8,310,0,7,56,3,0,0,4,3,73,0,71,13,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,3,166,170,108,5,0,4,11,467,0,0,0,4,4,0,0,0,8,0,0,0,3,0,0,0,0,3,3,262,758,1614,540,75,26,46,3324
POA6007,0,27,325,779,294,59,9,19,1512,0,19,96,77,8,0,0,8,208,3,26,106,227,15,0,0,5,382,3,45,202,304,23,0,0,13,590,4,55,168,74,0,0,0,7,308,0,43,106,17,0,0,0,3,169,5,122,34,0,0,0,0,3,164,0,0,0,0,0,0,0,0,0,9,220,308,91,0,0,0,13,641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,292,835,1174,317,59,9,45,2743
POA6008,0,46,555,1343,726,139,21,30,2860,0,31,102,100,7,0,0,3,243,4,78,299,540,117,7,3,9,1057,4,109,401,640,124,7,3,12,1300,18,206,265,93,6,3,0,12,603,26,314,321,48,10,0,0,17,736,4,110,120,26,0,0,0,14,274,0,0,0,0,0,0,0,0,0,48,630,706,167,16,3,0,43,1613,3,6,4,4,0,0,0,0,17,0,0,0,6,0,0,0,0,6,55,791,1666,2160,866,149,24,85,5796
POA6009,0,12,360,1159,1631,651,152,45,4010,0,24,142,90,15,3,0,6,280,0,16,127,265,34,3,0,4,449,0,40,269,355,49,6,0,10,729,3,122,295,146,0,0,4,18,588,3,111,114,22,5,0,3,4,262,4,31,99,144,13,0,0,0,291,0,0,0,0,0,0,0,0,0,10,264,508,312,18,0,7,22,1141,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,6,10,319,1140,1826,1698,657,159,77,5886
POA6010,6,49,488,1759,1498,364,70,32,4266,0,29,118,107,17,0,0,14,285,0,9,107,146,22,5,0,11,300,0,38,225,253,39,5,0,25,585,0,88,284,90,7,0,4,15,488,0,144,63,17,6,0,0,10,240,0,23,220,47,0,0,0,13,303,0,0,0,0,0,0,0,0,0,0,255,567,154,13,0,4,38,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,6,342,1280,2166,1554,369,74,95,5886
POA6011,0,39,254,864,753,244,64,38,2256,0,5,30,44,10,0,0,3,92,0,3,62,118,38,4,0,3,228,0,8,92,162,48,4,0,6,320,0,21,110,86,3,0,0,3,223,23,86,158,19,5,0,0,3,294,5,8,52,20,0,0,0,0,85,0,0,0,0,0,0,0,0,0,28,115,320,125,8,0,0,6,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,162,666,1151,809,248,64,50,3178
