region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
POA6000,4938,3723,8661,2536,1511,4047,530,600,1130,168,109,277,163,138,301,3397,2358,5755,749,926,1675,4.8,5.9,5.2,68.8,63.3,66.4,65.5,59.6,63.0,383,293,676,96,104,200,1199,1029,2228,389,357,746,697,304,1001,2700,2146,4846,1669,1341,3010,1072,802,1874,3136,2548,5684
POA6003,1497,1244,2741,709,467,1176,228,254,482,53,41,94,66,50,116,1056,812,1868,252,291,543,6.3,6.2,6.2,70.6,65.2,68.2,66.2,61.2,63.9,93,79,172,31,43,74,373,309,682,122,121,243,199,103,302,906,766,1672,476,415,891,433,346,779,923,796,1719
POA6004,4197,3507,7704,2172,1331,3503,418,589,1007,118,88,206,130,123,253,2838,2131,4969,637,867,1504,4.6,5.8,5.1,67.6,60.8,64.5,64.5,57.3,61.2,384,277,661,74,94,168,1087,955,2042,370,341,711,505,259,764,2301,1904,4205,1382,1220,2602,961,785,1746,2575,2252,4827
POA6005,2622,2238,4860,1369,903,2272,252,344,596,90,68,158,90,61,151,1801,1376,3177,398,539,937,5.0,4.4,4.8,68.7,61.5,65.4,65.3,58.8,62.3,261,179,440,69,73,142,720,635,1355,183,190,373,321,178,499,1485,1297,2782,834,735,1569,660,570,1230,1598,1389,2987
POA6006,3501,3653,7154,1819,1210,3029,468,870,1338,118,139,257,87,75,162,2492,2294,4786,720,1112,1832,3.5,3.3,3.4,71.2,62.8,66.9,68.7,60.8,64.7,221,208,429,92,145,237,828,926,1754,285,317,602,540,335,875,3127,3243,6370,720,797,1517,1987,2077,4064,1615,1740,3355
POA6007,2875,3011,5886,1610,1079,2689,348,652,1000,107,120,227,85,63,148,2150,1914,4064,471,852,1323,4.0,3.3,3.6,74.8,63.5,69.0,71.8,61.5,66.5,262,261,523,81,122,203,834,915,1749,219,295,514,421,193,614,2245,2467,4712,696,685,1381,1285,1476,2761,1508,1501,3009
POA6008,5701,6074,11775,2949,1890,4839,791,1457,2248,190,240,430,129,116,245,4059,3703,7762,1233,1949,3182,3.2,3.1,3.2,71.2,61.0,65.9,68.9,59.1,63.8,755,584,1339,163,345,508,1735,1894,3629,423,557,980,558,345,903,4918,5181,10099,1292,1393,2685,2888,3123,6011,3017,3116,6133
POA6009,6604,7033,13637,2810,1472,4282,1141,1849,2990,217,263,480,216,156,372,4384,3740,8124,1906,2985,4891,4.9,4.2,4.6,66.4,53.2,59.6,63.1,51.0,56.8,1189,785,1974,152,283,435,2079,2257,4336,382,680,1062,347,263,610,6247,6606,12853,1419,1464,2883,3920,4431,8351,3402,3297,6699
POA6010,6056,6707,12763,2702,1429,4131,889,1803,2692,182,193,375,147,123,270,3920,3548,7468,1660,2824,4484,3.8,3.5,3.6,64.7,52.9,58.5,62.3,51.1,56.4,711,519,1230,138,308,446,1669,1878,3547,458,766,1224,581,384,965,5639,6321,11960,1220,1265,2485,3550,4111,7661,2948,3132,6080
POA6011,3513,3833,7346,1666,860,2526,533,939,1472,132,137,269,73,76,149,2404,2012,4416,778,1463,2241,3.0,3.8,3.4,68.4,52.5,60.1,66.4,50.5,58.1,380,288,668,72,167,239,1125,1135,2260,275,409,684,319,206,525,3116,3374,6490,741,808,1549,2054,2279,4333,1630,1727,3357
