region_id,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6000,1074,801,1875,241,189,430,125,81,206,102,71,173,90,52,142,32,29,61,1161,943,2104,7,8,15,10,5,15,15,19,34,0,0,0,1542,1208,2750,1323,1125,2448,31,26,57,3137,2548,5685,870,500,1370,5081,3849,8930
POA6003,433,346,779,73,70,143,30,11,41,32,13,45,15,11,26,14,8,22,356,318,674,3,0,3,3,4,7,3,3,6,0,0,0,456,368,824,386,350,736,9,7,16,924,795,1719,209,158,367,1566,1299,2865
POA6004,961,786,1747,197,153,350,125,104,229,80,67,147,68,52,120,37,27,64,907,799,1706,8,13,21,9,6,15,9,6,15,0,0,0,1243,1074,2317,1113,1008,2121,22,17,39,2575,2252,4827,777,557,1334,4313,3595,7908
POA6005,660,571,1231,102,86,188,74,47,121,64,49,113,36,24,60,15,14,29,661,568,1229,9,7,16,7,0,7,8,4,12,0,0,0,874,713,1587,611,583,1194,11,8,19,1598,1390,2988,443,357,800,2701,2318,5019
POA6006,1987,2077,4064,128,146,274,50,26,76,50,75,125,26,30,56,14,17,31,967,1090,2057,4,5,9,3,5,8,13,5,18,0,0,0,1127,1253,2380,346,324,670,16,17,33,1617,1740,3357,312,239,551,3916,4056,7972
POA6007,1286,1475,2761,108,111,219,45,32,77,44,43,87,42,37,79,13,15,28,746,817,1563,12,3,15,6,3,9,3,3,6,0,0,0,911,953,1864,479,430,909,10,7,17,1508,1501,3009,301,274,575,3095,3250,6345
POA6008,2887,3122,6009,390,419,809,113,124,237,109,122,231,70,63,133,33,37,70,1368,1389,2757,11,9,20,8,3,11,11,11,22,0,0,0,1723,1758,3481,888,921,1809,15,17,32,3016,3115,6131,476,481,957,6379,6718,13097
POA6009,3922,4430,8352,564,558,1122,68,67,135,92,91,183,51,63,114,23,25,48,1332,1270,2602,9,3,12,4,8,12,23,17,40,0,0,0,1602,1544,3146,1224,1189,2413,13,4,17,3403,3295,6698,378,377,755,7703,8102,15805
POA6010,3550,4111,7661,292,366,658,112,126,238,62,84,146,64,73,137,19,31,50,1634,1709,3343,10,7,17,25,26,51,16,7,23,0,0,0,1942,2063,4005,695,685,1380,19,17,36,2948,3131,6079,578,381,959,7076,7623,14699
POA6011,2052,2280,4332,288,272,560,85,98,183,54,63,117,33,29,62,12,9,21,730,789,1519,7,3,10,4,4,8,6,3,9,0,0,0,931,998,1929,405,446,851,8,9,17,1632,1725,3357,399,422,821,4083,4427,8510
