region_id,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
POA6000,8,172,95,57,29,23,0,0,384,8,26,24,24,11,3,0,0,96,92,649,195,122,100,31,7,3,1199,50,148,68,60,44,15,5,0,390,6,14,3,3,4,6,3,0,39,89,202,119,92,70,42,10,4,628,12,7,5,4,3,0,0,0,31,107,223,127,99,77,48,13,4,698,12,24,12,15,13,3,6,3,88,131,299,157,110,87,37,20,10,851,408,1541,678,487,361,160,51,20,3706,9,166,64,27,24,0,4,0,294,5,48,27,14,10,0,0,0,104,163,567,142,85,41,25,6,0,1029,64,133,59,53,32,10,5,0,356,8,14,10,12,4,3,0,0,51,62,76,34,24,20,6,0,0,222,9,7,5,3,3,3,0,0,30,79,97,49,39,27,12,0,0,303,8,27,9,10,6,0,0,0,60,100,215,65,38,43,28,19,9,517,428,1253,415,266,183,75,34,9,2663,17,338
POA6003,3,31,24,10,17,8,0,0,93,3,17,4,3,4,0,0,0,31,48,192,79,27,20,8,0,0,374,18,45,24,23,9,4,0,0,123,3,3,0,0,0,3,0,0,9,36,69,32,29,14,3,3,0,186,0,3,3,0,0,0,0,0,6,39,75,35,29,14,6,3,0,201,4,4,6,3,3,3,0,0,23,27,78,41,17,27,8,7,0,205,142,442,213,112,94,37,10,0,1050,3,47,11,12,3,0,3,0,79,3,12,9,14,7,0,0,0,45,38,191,38,25,14,3,0,0,309,18,43,26,14,12,4,3,0,120,3,4,3,3,3,3,0,0,19,18,30,9,5,7,0,0,0,69,3,4,3,3,0,0,0,0,13,24,38,15,11,10,3,0,0,101,5,17,0,5,7,0,4,0,38,21,67,21,27,18,8,7,0,169,112,415,120,108,71,18,17,0,861,6,78
POA6004,6,148,96,60,46,23,5,0,384,3,28,18,14,10,0,0,0,73,107,512,183,117,108,45,10,4,1086,44,126,53,60,56,27,5,0,371,3,7,6,4,3,5,0,0,28,51,151,75,63,66,32,13,3,454,6,8,5,0,0,0,0,4,23,60,166,86,67,69,37,13,7,505,8,20,7,8,13,6,4,3,69,129,302,115,92,75,48,29,6,796,357,1302,558,418,377,186,66,20,3284,9,149,54,31,30,3,0,0,276,4,39,15,18,10,9,0,0,95,126,517,128,77,84,21,3,0,956,51,107,49,65,36,21,8,3,340,6,10,4,9,8,3,3,3,46,51,57,22,27,22,9,3,0,191,4,3,4,3,6,0,0,0,20,61,70,30,39,36,12,6,3,257,11,28,7,7,16,9,3,0,81,113,216,68,54,66,34,13,10,574,375,1126,351,291,278,109,33,16,2579,15,297
POA6005,0,116,58,38,32,12,5,0,261,4,33,17,12,4,0,0,0,70,63,371,121,80,55,27,3,0,720,24,55,37,20,33,8,6,0,183,4,4,0,6,3,0,0,0,17,41,103,47,29,28,21,12,4,285,8,3,3,0,4,0,0,0,18,53,110,50,35,35,21,12,4,320,0,17,7,5,6,5,4,0,44,61,159,67,54,54,23,20,21,459,205,861,357,244,219,96,50,25,2057,6,103,31,24,9,4,3,0,180,7,40,14,3,8,0,0,0,72,75,361,81,54,40,19,4,0,634,26,60,34,28,22,14,3,4,191,3,10,6,5,3,3,0,0,30,38,41,17,16,7,3,3,3,128,0,7,6,4,0,3,0,0,20,41,58,29,25,10,9,3,3,178,3,9,9,8,6,5,4,4,48,52,118,41,55,44,12,23,21,366,210,749,239,197,139,63,40,32,1669,6,219
POA6006,3,57,70,41,30,19,0,0,220,0,10,28,36,13,4,0,0,91,62,276,229,162,78,18,3,0,828,24,70,56,56,44,23,9,3,285,6,6,4,10,3,0,0,0,29,64,123,100,79,66,36,18,11,497,4,4,3,0,3,0,0,0,14,74,133,107,89,72,36,18,11,540,6,10,9,12,3,3,7,3,53,53,77,71,38,47,34,39,11,370,222,633,570,434,287,137,76,28,2387,5,52,70,52,24,0,3,3,209,0,44,58,28,13,3,0,0,146,91,345,248,147,76,16,3,0,926,29,92,63,65,38,20,7,3,317,6,7,23,13,9,3,0,0,61,43,72,50,38,19,3,7,3,235,12,12,4,6,3,3,0,0,40,61,91,77,57,31,9,7,3,336,0,11,15,10,8,11,3,0,58,27,67,42,42,39,44,58,55,374,213,702,573,401,229,103,81,64,2366,8,109
POA6007,3,85,70,49,38,12,5,0,262,0,14,29,24,10,4,0,0,81,67,372,175,110,78,22,9,0,833,17,52,40,45,41,21,3,0,219,0,6,4,3,3,4,0,0,20,55,108,58,66,51,24,22,3,387,5,4,5,0,0,0,0,0,14,60,118,67,69,54,28,22,3,421,4,6,9,3,7,3,0,3,35,39,89,56,36,43,22,14,6,305,190,736,446,336,271,112,53,12,2156,3,99,75,39,33,4,4,3,260,4,39,34,27,16,0,3,0,123,86,366,203,99,84,30,23,24,915,17,65,55,60,46,32,18,3,296,5,6,12,4,7,5,0,0,39,26,32,34,17,14,10,0,3,136,3,9,0,3,0,0,0,3,18,34,47,46,24,21,15,0,6,193,3,15,9,11,8,10,5,3,64,36,92,50,23,40,21,22,19,303,183,723,472,283,248,112,75,58,2154,6,184
POA6008,0,139,177,178,157,80,17,6,754,3,40,38,41,27,10,3,0,162,118,526,362,321,263,112,30,3,1735,29,80,62,70,90,65,25,3,424,4,5,8,11,10,7,0,0,45,44,102,72,100,75,62,20,10,485,4,7,4,3,3,5,3,0,29,52,114,84,114,88,74,23,10,559,4,15,16,16,21,20,6,5,103,55,119,77,67,79,59,41,22,519,261,1033,816,807,725,420,145,49,4256,6,158,149,115,106,39,8,3,584,12,67,81,83,70,22,7,3,345,171,601,428,307,235,115,30,6,1893,29,74,107,134,116,65,24,8,557,6,12,14,25,25,12,3,0,97,31,52,30,33,32,16,8,4,206,10,3,11,10,3,0,3,0,40,47,67,55,68,60,28,14,4,343,4,15,23,19,25,27,13,8,134,57,106,70,68,77,69,67,68,582,326,1088,913,794,689,365,163,100,4438,6,297
POA6009,6,199,219,294,235,160,62,14,1189,3,24,33,46,27,14,6,0,153,207,415,366,405,390,195,78,22,2078,31,45,48,69,69,65,39,16,382,5,11,3,4,8,5,0,0,36,41,52,35,53,49,38,16,9,293,6,3,3,0,0,3,3,0,18,52,66,41,57,57,46,19,9,347,13,15,11,15,22,28,17,7,128,84,57,51,47,57,55,31,33,415,396,821,769,933,857,563,252,101,4692,14,166,204,188,139,53,19,0,783,4,36,49,76,67,36,10,6,284,265,447,464,438,342,186,88,28,2258,39,41,94,155,164,105,61,21,680,0,7,3,19,24,14,4,3,74,24,20,25,33,29,14,5,3,153,5,4,3,7,6,4,4,3,36,29,31,31,59,59,32,13,9,263,12,11,14,27,38,50,17,17,186,77,45,34,57,54,48,47,80,442,440,777,890,1000,863,510,255,161,4896,20,365
POA6010,4,65,141,198,155,89,44,16,712,0,14,40,29,33,14,6,3,139,117,300,292,373,304,180,83,18,1667,24,39,56,83,106,107,30,12,457,8,7,3,8,10,9,5,4,54,69,91,78,79,66,68,33,16,500,13,4,3,4,0,0,3,0,27,90,102,84,91,76,77,41,20,581,7,6,11,20,16,15,14,10,99,156,76,70,76,66,57,47,26,574,398,602,694,870,756,539,265,105,4229,13,76,123,137,111,36,22,0,518,7,47,71,80,56,30,10,6,307,142,356,395,411,293,159,91,32,1879,22,77,101,196,170,112,66,22,766,3,7,10,35,23,19,14,3,114,52,44,41,34,29,13,13,4,230,8,3,6,8,3,4,3,5,40,63,54,57,77,55,36,30,12,384,3,10,20,26,44,49,28,14,194,57,32,45,64,51,55,84,93,481,307,652,812,991,780,477,331,179,4529,17,141
POA6011,5,45,68,115,76,40,26,5,380,0,19,18,21,12,4,0,0,74,64,233,179,257,231,110,40,13,1127,11,33,42,46,62,53,19,9,275,0,0,0,5,8,5,0,0,18,46,67,38,51,46,23,13,5,289,3,3,0,0,3,0,3,0,12,49,70,38,56,57,28,16,5,319,3,10,8,8,13,16,3,3,64,71,89,44,49,54,33,26,16,382,203,499,397,552,505,284,130,51,2621,3,58,59,68,66,22,6,5,287,4,25,37,55,39,5,0,0,165,84,259,260,221,188,80,31,10,1133,21,37,54,88,90,60,48,11,409,7,6,10,13,16,4,0,5,61,15,30,22,21,16,11,8,3,126,5,3,0,3,0,5,3,0,19,27,39,32,37,32,20,11,8,206,0,6,8,18,25,16,12,7,92,55,64,49,46,72,48,38,62,434,194,488,499,533,512,251,146,103,2726,8,103
