region_id,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA6000,159,84,53,23,4,0,678,13,74,51,38,21,3,0,0,200,255,1216,337,207,141,56,13,3,2228,114,281,127,113,76,25,10,0,746,14,28,13,15,8,9,3,0,90,151,278,153,116,90,48,10,4,850,21,14,10,7,6,3,0,0,61,186,320,176,138,104,60,13,4,1001,20,51,21,25,19,3,6,3,148,231,514,222,148,130,65,39,19,1368,836,2794,1093,753,544,235,85,29,6369
POA6003,35,22,20,8,3,0,172,6,29,13,17,11,0,0,0,76,86,383,117,52,34,11,0,0,683,36,88,50,37,21,8,3,0,243,6,7,3,3,3,6,0,0,28,54,99,41,34,21,3,3,0,255,3,7,6,3,0,0,0,0,19,63,113,50,40,24,9,3,0,302,9,21,6,8,10,3,4,0,61,48,145,62,44,45,16,14,0,374,254,857,333,220,165,55,27,0,1911
POA6004,150,91,76,26,5,0,660,7,67,33,32,20,9,0,0,168,233,1029,311,194,192,66,13,4,2042,95,233,102,125,92,48,13,3,711,9,17,10,13,11,8,3,3,74,102,208,97,90,88,41,16,3,645,10,11,9,3,6,0,0,4,43,121,236,116,106,105,49,19,10,762,19,48,14,15,29,15,7,3,150,242,518,183,146,141,82,42,16,1370,732,2428,909,709,655,295,99,36,5863
POA6005,89,62,41,16,8,0,441,11,73,31,15,12,0,0,0,142,138,732,202,134,95,46,7,0,1354,50,115,71,48,55,22,9,4,374,7,14,6,11,6,3,0,0,47,79,144,64,45,35,24,15,7,413,8,10,9,4,4,3,0,0,38,94,168,79,60,45,30,15,7,498,3,26,16,13,12,10,8,4,92,113,277,108,109,98,35,43,42,825,415,1610,596,441,358,159,90,57,3726
POA6006,140,93,54,19,3,3,429,0,54,86,64,26,7,0,0,237,153,621,477,309,154,34,6,0,1754,53,162,119,121,82,43,16,6,602,12,13,27,23,12,3,0,0,90,107,195,150,117,85,39,25,14,732,16,16,7,6,6,3,0,0,54,135,224,184,146,103,45,25,14,876,6,21,24,22,11,14,10,3,111,80,144,113,80,86,78,97,66,744,435,1335,1143,835,516,240,157,92,4753
POA6007,145,88,71,16,9,3,522,4,53,63,51,26,4,3,0,204,153,738,378,209,162,52,32,24,1748,34,117,95,105,87,53,21,3,515,5,12,16,7,10,9,0,0,59,81,140,92,83,65,34,22,6,523,8,13,5,3,0,0,0,3,32,94,165,113,93,75,43,22,9,614,7,21,18,14,15,13,5,6,99,75,181,106,59,83,43,36,25,608,373,1459,918,619,519,224,128,70,4310
POA6008,326,293,263,119,25,9,1338,15,107,119,124,97,32,10,3,507,289,1127,790,628,498,227,60,9,3628,58,154,169,204,206,130,49,11,981,10,17,22,36,35,19,3,0,142,75,154,102,133,107,78,28,14,691,14,10,15,13,6,5,6,0,69,99,181,139,182,148,102,37,14,902,8,30,39,35,46,47,19,13,237,112,225,147,135,156,128,108,90,1101,587,2121,1729,1601,1414,785,308,149,8694
POA6009,423,482,374,213,81,14,1972,7,60,82,122,94,50,16,6,437,472,862,830,843,732,381,166,50,4336,70,86,142,224,233,170,100,37,1062,5,18,6,23,32,19,4,3,110,65,72,60,86,78,52,21,12,446,11,7,6,7,6,7,7,3,54,81,97,72,116,116,78,32,18,610,25,26,25,42,60,78,34,24,314,161,102,85,104,111,103,78,113,857,836,1598,1659,1933,1720,1073,507,262,9588
POA6010,264,335,266,125,66,16,1230,7,61,111,109,89,44,16,9,446,259,656,687,784,597,339,174,50,3546,46,116,157,279,276,219,96,34,1223,11,14,13,43,33,28,19,7,168,121,135,119,113,95,81,46,20,730,21,7,9,12,3,4,6,5,67,153,156,141,168,131,113,71,32,965,10,16,31,46,60,64,42,24,293,213,108,115,140,117,112,131,119,1055,705,1254,1506,1861,1536,1016,596,284,8758
POA6011,127,183,142,62,32,10,667,4,44,55,76,51,9,0,0,239,148,492,439,478,419,190,71,23,2260,32,70,96,134,152,113,67,20,684,7,6,10,18,24,9,0,5,79,61,97,60,72,62,34,21,8,415,8,6,0,3,3,5,6,0,31,76,109,70,93,89,48,27,13,525,3,16,16,26,38,32,15,10,156,126,153,93,95,126,81,64,78,816,397,987,896,1085,1017,535,276,154,5347
