region_id,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
POA6000,11,80,32,19,19,5,0,0,166,14,109,26,15,9,0,0,0,173,67,346,134,119,94,46,9,3,818,26,96,42,22,29,10,8,4,237,8,12,5,6,0,7,0,0,38,4,68,22,18,10,3,5,0,130,5,24,13,15,7,12,0,0,76,66,244,112,69,40,13,3,0,547,27,125,60,52,42,15,5,0,326,15,77,34,18,13,6,0,0,163,23,42,27,18,8,0,0,0,118,5,0,0,0,0,0,0,0,5,8,10,8,4,0,3,0,0,33,131,308,164,112,89,38,21,11,874,410,1541,679,487,360,158,51,18,3704,20,70,21,3,5,0,0,0,119,8,29,6,7,0,0,0,0,50,13,65,24,4,4,0,0,0,110,9,29,6,5,0,0,0,0,49,0,13,4,3,0,0,0,0,20,43,143,37,27,32,16,5,0,303,8,47,30,27,21,13,3,0,149,94,292
POA6003,12,28,5,0,3,0,0,0,48,7,29,10,5,3,0,0,0,54,24,79,30,22,22,8,3,0,188,13,34,16,8,3,0,0,0,74,0,3,0,3,0,3,0,0,9,0,20,10,4,0,0,3,0,37,3,5,3,3,6,0,0,0,20,22,62,37,17,10,7,0,0,155,9,34,29,17,16,8,3,0,116,16,32,18,4,0,4,0,0,74,8,24,10,7,6,0,0,0,55,0,0,3,0,0,0,0,0,3,0,9,4,0,0,0,0,0,13,27,82,38,22,25,5,5,0,204,141,441,213,112,94,35,14,0,1050,7,20,3,4,3,0,0,0,37,0,7,0,6,0,0,0,0,13,3,25,3,0,0,0,0,0,31,0,10,4,3,0,3,0,0,20,0,6,0,0,0,0,0,0,6,10,51,8,17,5,0,0,0,91,3,15,13,9,10,4,3,0,57,19,95
POA6004,18,46,25,17,21,3,4,0,134,6,94,31,15,5,3,0,0,154,62,281,123,115,96,46,10,7,740,28,74,26,20,31,12,5,0,196,0,13,6,3,3,5,0,0,30,11,43,35,23,15,9,3,0,139,0,9,8,9,15,6,0,0,47,57,258,108,79,63,25,9,0,599,16,78,51,34,34,20,3,0,236,11,35,11,3,3,4,0,0,67,15,56,17,7,11,4,0,0,110,0,0,0,0,0,0,0,0,0,0,12,4,4,3,0,0,0,23,132,303,115,91,75,49,32,10,807,356,1302,560,420,375,186,66,17,3282,12,43,11,14,13,4,0,3,100,3,29,9,4,0,0,0,0,45,7,64,30,7,6,3,0,0,117,3,26,8,3,3,3,0,0,46,7,8,3,3,3,0,0,0,24,32,110,32,49,35,12,5,0,275,6,44,17,24,45,12,5,3,156,92,301
POA6005,5,51,17,20,11,3,0,0,107,5,48,16,6,3,0,0,0,78,32,213,77,57,52,25,9,4,469,20,38,19,10,13,7,3,0,110,3,9,3,0,4,4,0,0,23,4,53,17,13,9,0,5,0,101,3,11,9,3,3,4,3,0,36,39,143,68,40,34,9,3,0,336,13,78,36,24,30,13,3,3,200,11,31,12,3,3,4,0,0,64,10,18,10,13,3,0,0,0,54,0,0,3,0,0,0,0,0,3,0,8,0,3,0,0,0,0,11,60,159,71,51,54,27,24,20,466,205,860,358,243,219,96,50,27,2058,18,39,15,4,0,0,0,0,76,0,21,0,3,0,0,0,0,24,7,40,10,3,5,4,0,3,72,3,14,5,5,3,0,0,0,30,0,4,3,0,0,0,0,0,7,22,101,27,24,23,10,9,4,220,5,41,18,14,19,11,3,3,114,46,178
POA6006,8,35,39,26,14,7,0,0,129,10,41,27,21,3,0,0,0,102,34,143,99,102,74,32,14,6,504,23,54,39,31,27,19,8,4,205,3,12,14,0,3,0,0,0,32,7,30,37,23,13,9,0,0,119,0,12,18,22,21,3,0,0,76,14,109,111,82,38,18,5,3,380,17,50,61,44,29,13,6,0,220,32,49,24,16,10,3,0,0,134,13,17,23,14,10,0,5,0,82,4,0,0,0,0,0,0,0,4,6,5,4,13,0,0,0,0,28,52,77,75,40,45,32,38,14,373,223,634,571,434,287,136,76,27,2388,9,39,30,19,3,0,0,0,100,3,3,10,6,3,0,0,0,25,5,29,13,6,4,0,5,3,65,7,22,9,5,0,0,0,0,43,3,7,10,0,0,0,0,0,20,17,95,59,58,46,9,5,3,292,9,40,76,67,38,14,8,3,255,38,138
POA6007,7,50,37,24,21,8,0,0,147,5,42,29,10,4,0,0,0,90,43,175,95,74,70,30,17,3,507,20,67,29,23,23,10,4,3,179,3,14,4,8,4,3,3,0,39,6,54,42,31,16,3,3,0,155,0,17,7,14,15,5,0,0,58,19,104,71,60,40,17,6,3,320,18,59,44,25,28,5,5,0,184,18,35,15,19,8,3,0,0,98,9,26,12,11,0,3,0,3,64,0,0,0,0,3,0,0,0,3,3,3,3,3,0,3,0,0,15,38,90,58,34,38,23,14,3,298,189,736,446,336,270,113,52,15,2157,14,49,24,9,15,0,0,0,111,0,7,6,7,0,0,0,0,20,3,25,16,3,3,4,0,0,54,6,20,9,3,3,3,0,0,44,0,15,6,4,3,0,0,0,28,31,108,78,59,58,29,29,24,416,4,47,38,39,47,13,6,3,197,34,155
POA6008,16,104,76,77,63,34,12,0,382,7,50,33,24,11,6,0,0,131,53,183,172,139,147,78,22,11,805,17,59,38,57,46,40,7,3,267,3,19,11,14,8,10,4,0,69,18,101,71,78,57,48,8,4,385,0,20,19,30,43,21,8,0,141,30,185,190,164,131,63,20,3,786,26,126,87,96,103,46,13,0,497,21,36,20,29,20,5,4,0,135,7,20,16,19,6,6,0,0,74,0,0,0,0,0,0,0,0,0,5,10,6,10,5,6,3,0,45,58,121,78,70,85,57,45,26,540,261,1034,817,807,725,420,146,47,4257,32,67,61,35,30,8,3,0,236,3,10,12,10,3,0,0,0,38,6,46,26,10,4,3,3,3,101,8,27,28,23,12,0,0,0,98,3,14,10,8,4,0,3,0,42,41,203,161,175,147,91,33,7,858,12,58,72,96,147,63,18,10,476,62,239
POA6009,37,97,51,87,78,60,27,4,441,16,46,25,23,5,3,0,0,118,76,187,143,170,154,72,33,15,850,22,26,32,29,46,27,19,5,206,5,23,20,12,12,17,7,4,100,19,73,115,155,139,117,49,8,675,3,12,9,24,27,28,14,3,120,64,163,185,237,183,91,36,12,971,36,89,115,117,136,71,30,11,605,21,23,13,13,8,6,7,5,96,5,13,4,10,7,5,0,0,44,6,0,0,0,0,4,0,0,10,5,10,6,7,7,5,0,0,40,81,59,51,48,55,56,31,33,414,396,821,769,932,857,562,253,100,4690,46,82,59,53,45,28,14,3,330,5,13,12,18,7,3,0,0,58,17,51,29,29,11,0,3,0,140,18,12,28,13,6,4,0,3,84,4,18,16,13,3,3,0,4,61,54,134,177,248,205,123,66,22,1029,10,43,76,139,172,117,45,21,623,98,164
POA6010,11,42,41,68,58,30,14,10,274,10,23,15,19,7,6,0,0,80,57,129,131,164,161,113,54,18,827,16,34,34,42,45,34,18,6,229,0,15,16,15,18,13,8,0,85,16,37,79,105,84,66,45,13,445,4,12,19,34,27,34,21,6,157,51,121,180,217,169,123,33,11,905,30,71,70,96,106,58,26,9,466,21,27,11,16,8,3,0,0,86,13,11,10,8,8,3,5,0,58,0,0,0,0,0,0,0,0,0,6,3,9,7,3,3,3,3,37,163,78,79,78,62,53,38,29,580,398,603,694,869,756,539,265,105,4229,21,41,36,56,20,20,11,3,208,3,8,7,14,5,0,0,0,37,3,28,25,23,3,3,0,4,89,8,10,13,13,13,4,0,0,61,7,5,6,9,5,0,0,0,32,35,127,184,250,188,142,68,34,1028,18,53,89,170,176,100,53,16,675,58,157
POA6011,9,34,22,42,31,20,9,4,171,0,17,5,5,11,3,0,0,41,28,71,63,95,99,50,17,8,431,26,44,14,34,33,14,4,3,172,7,16,11,11,7,9,5,0,66,3,45,51,60,59,36,24,8,286,3,5,4,11,12,13,5,0,53,27,96,119,139,106,50,22,5,564,24,43,46,79,62,46,15,3,318,11,25,5,14,14,6,0,0,75,0,10,8,7,9,0,0,0,34,0,0,0,0,0,3,0,5,8,0,5,3,6,3,3,3,0,23,66,87,46,50,58,30,27,15,379,204,498,397,553,504,283,131,51,2621,14,43,19,24,17,9,4,0,130,0,0,0,7,3,0,0,0,10,3,8,6,9,7,0,4,3,40,4,9,20,14,8,0,0,0,55,5,13,7,5,5,0,0,0,35,23,90,88,120,104,58,31,14,528,7,31,49,98,124,56,23,5,393,34,90
