region_id,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
POA6000,87,63,25,14,4,0,579,57,191,73,50,34,6,3,0,414,44,92,41,16,6,3,0,0,202,33,50,20,9,10,3,3,0,128,0,0,0,0,0,0,0,0,0,0,14,4,7,0,0,0,0,25,98,216,62,45,46,21,17,10,515,427,1251,415,266,183,76,35,10,2663,31,150,53,22,24,5,0,0,285,22,138,32,22,9,0,0,0,223,80,411,158,123,98,46,9,3,928,35,125,48,27,29,10,8,4,286,8,25,9,9,0,7,0,0,58,47,211,59,45,42,19,10,0,433,13,71,43,42,28,25,3,0,225,160,536,199,132,65,27,7,0,1126,84,316,133,102,76,21,8,0,740,59,169,75,34,19,9,0,0,365,56,92,47,27,18,3,3,0,246,5,0,0,0,0,0,0,0,5,8,24,12,11,0,3,0,0,58,229,524,226,157,135,59,38,21,1389,837,2792,1094,753
POA6003,31,23,11,3,3,0,185,17,61,17,17,18,0,0,0,130,13,32,10,5,6,0,0,0,66,16,24,8,3,0,0,0,0,51,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,23,67,19,23,17,9,7,0,165,111,417,120,110,70,19,13,0,860,19,48,8,4,6,0,0,0,85,7,36,10,11,3,0,0,0,67,27,104,33,22,22,8,3,0,219,13,44,20,11,3,3,0,0,94,0,9,0,3,0,3,0,0,15,10,71,18,21,5,0,3,0,128,6,20,16,12,16,4,3,0,77,41,157,68,40,21,10,3,0,340,26,95,46,34,34,8,3,0,246,29,64,28,9,6,4,0,0,140,24,48,18,10,6,0,0,0,106,0,0,7,0,0,0,0,0,7,0,13,4,0,0,0,0,0,17,50,149,57,45,42,14,12,0,369,252,858,333,222
POA6004,97,76,44,21,3,4,638,41,161,41,38,43,9,3,0,336,23,61,18,3,4,3,0,0,112,31,50,13,12,13,3,4,0,126,7,0,0,0,0,0,0,0,7,0,11,5,3,4,3,0,0,26,113,219,66,54,65,36,13,7,573,377,1127,350,290,278,109,33,17,2581,30,89,36,31,34,7,4,3,234,9,123,40,19,5,3,0,0,199,69,345,153,122,102,49,10,7,857,31,100,34,23,34,15,5,0,242,7,21,9,6,6,5,0,0,54,43,153,67,72,50,21,8,0,414,6,53,25,33,60,18,5,3,203,149,559,205,155,107,46,12,4,1237,57,239,92,72,77,29,6,0,572,34,96,29,6,7,7,0,0,179,46,106,30,19,24,7,4,0,236,7,0,0,0,0,0,0,0,7,0,23,9,7,7,3,0,0,49,245,522,181,145,140,85,45,17,1380,733,2429,910,710
POA6005,50,48,16,7,3,3,351,23,107,34,20,22,9,3,0,218,12,57,20,7,3,0,0,0,99,17,22,11,3,3,3,3,0,62,0,3,0,3,0,3,3,0,12,0,3,4,3,4,3,0,0,17,54,120,41,61,41,13,17,19,366,207,750,238,198,139,63,41,32,1668,23,90,32,24,11,3,0,0,183,5,69,16,9,3,0,0,0,102,39,253,87,60,57,29,9,7,541,23,52,24,15,16,7,3,0,140,3,13,6,0,4,4,0,0,30,26,154,44,37,32,10,14,4,321,8,52,27,17,22,15,6,3,150,85,321,118,88,50,16,6,3,687,36,185,70,44,52,22,6,3,418,23,88,32,10,6,4,0,0,163,27,40,21,16,6,3,3,0,116,0,3,3,3,0,3,3,0,15,0,11,4,6,4,3,0,0,28,114,279,112,112,95,40,41,39,832,412,1610,596,441
POA6006,130,77,30,13,0,3,429,31,130,111,76,44,15,0,3,410,43,78,54,19,11,4,0,0,209,17,43,21,19,7,0,0,0,107,0,0,0,0,0,0,0,0,0,0,14,7,11,3,0,0,0,35,29,63,43,38,42,49,61,50,375,211,701,573,401,231,104,79,65,2365,17,74,69,45,17,7,0,0,229,13,44,37,27,6,0,0,0,127,39,172,112,108,78,32,19,9,569,30,76,48,36,27,19,8,4,248,6,19,24,0,3,0,0,0,52,24,125,96,81,59,18,5,3,411,9,52,94,89,59,17,8,3,331,52,247,241,159,68,31,5,6,809,48,180,172,120,73,28,6,3,630,75,127,78,35,21,7,0,0,343,30,60,44,33,17,0,5,0,189,4,0,0,0,0,0,0,0,4,6,19,11,24,3,0,0,0,63,81,140,118,78,87,81,99,64,748,434,1335,1144,835
POA6007,104,55,24,17,9,0,398,23,120,78,53,47,13,10,4,348,16,54,30,12,3,3,0,0,118,12,24,20,15,6,4,3,3,87,0,0,3,0,0,0,0,0,3,4,9,5,0,0,3,0,3,24,37,91,54,25,39,22,19,18,305,184,724,471,284,248,111,76,55,2153,21,99,61,33,36,8,0,0,258,5,49,35,17,4,0,0,0,110,46,200,111,77,73,34,17,3,561,26,87,38,26,26,13,4,3,223,3,29,10,12,7,3,3,0,67,37,162,120,90,74,32,32,24,571,4,64,45,53,62,18,6,3,255,53,259,175,115,64,34,15,3,718,41,179,122,78,75,18,15,4,532,34,89,45,31,11,6,0,0,216,21,50,32,26,6,7,3,6,151,0,0,3,0,3,0,0,0,6,7,12,8,3,0,6,0,3,39,75,181,112,59,77,45,33,21,603,373,1460,917,620
POA6008,200,167,100,55,15,13,851,49,215,183,139,126,56,13,0,781,38,69,47,41,20,12,0,4,231,15,22,30,14,14,4,6,0,105,3,0,0,0,0,3,3,0,9,3,10,17,8,6,8,3,0,55,52,109,66,67,75,62,62,63,556,327,1089,913,793,688,365,162,100,4437,48,171,137,112,93,42,15,0,618,10,60,45,34,14,6,0,0,169,59,229,198,149,151,81,25,14,906,25,86,66,80,58,40,7,3,365,6,33,21,22,12,10,7,0,111,59,304,232,253,204,139,41,11,1243,12,78,91,126,190,84,26,10,617,92,424,390,331,231,118,35,16,1637,75,341,270,235,229,102,26,0,1278,59,105,67,70,40,17,4,4,366,22,42,46,33,20,10,6,0,179,3,0,0,0,0,3,3,0,9,8,20,23,18,11,14,6,0,100,110,230,144,137,160,119,107,89,1096,588,2123,1730,1600
POA6009,202,194,117,59,21,14,869,55,147,187,172,181,90,48,8,888,38,43,31,32,32,20,4,6,206,8,16,27,15,22,8,4,0,100,0,0,0,0,0,0,0,4,4,7,6,10,18,19,14,3,0,77,79,47,37,57,42,41,47,78,428,439,776,891,1001,862,510,255,163,4897,83,179,110,140,123,88,41,7,771,21,59,37,41,12,6,0,0,176,93,238,172,199,165,72,36,15,990,40,38,60,42,52,31,19,8,290,9,41,36,25,15,20,7,8,161,73,207,292,403,344,240,115,30,1704,13,55,85,163,199,145,59,24,743,162,327,387,431,300,150,57,26,1840,91,236,302,289,317,161,78,19,1493,59,66,44,45,40,26,11,11,302,13,29,31,25,29,13,4,0,144,6,0,0,0,0,4,0,4,14,12,16,16,25,26,19,3,0,117,160,106,88,105,97,97,78,111,842,835,1597,1660,1933
POA6010,176,176,121,68,33,15,804,45,104,163,146,140,58,60,16,732,26,56,29,33,32,18,15,9,218,18,26,27,33,14,6,6,0,130,4,0,0,0,0,0,0,0,4,7,5,15,9,11,10,4,4,65,53,31,43,59,51,50,81,78,446,306,651,813,991,779,479,331,179,4529,32,83,77,124,78,50,25,13,482,13,31,22,33,12,6,0,0,117,60,157,156,187,164,116,54,22,916,24,44,47,55,58,38,18,6,290,7,20,22,24,23,13,8,0,117,51,164,263,355,272,208,113,47,1473,22,65,108,204,203,134,74,22,832,109,278,356,393,290,191,66,26,1709,75,175,233,242,246,116,86,25,1198,47,83,40,49,40,21,15,9,304,31,37,37,41,22,9,11,0,188,4,0,0,0,0,0,0,0,4,13,8,24,16,14,13,7,7,102,216,109,122,137,113,103,119,107,1026,704,1254,1507,1860
POA6011,122,76,63,32,14,10,441,25,81,92,89,95,36,22,6,446,10,34,26,23,15,7,8,3,126,11,10,10,12,4,4,4,4,59,0,0,0,0,0,0,0,0,0,0,10,9,6,6,8,3,0,42,57,69,50,48,62,42,33,59,420,193,488,498,531,513,252,146,104,2725,23,77,41,66,48,29,13,4,301,0,17,5,12,14,3,0,0,51,31,79,69,104,106,50,21,11,471,30,53,34,48,41,14,4,3,227,12,29,18,16,12,9,5,0,101,26,135,139,180,163,94,55,22,814,10,36,53,109,136,69,28,5,446,61,186,241,215,169,82,36,15,1005,49,124,138,168,157,82,37,9,764,21,59,31,37,29,13,8,3,201,11,20,18,19,13,4,4,4,93,0,0,0,0,0,3,0,5,8,0,15,12,12,9,11,6,0,65,123,156,96,98,120,72,60,74,799,397,986,895,1084
