region_id,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Emp_wkd_Tot_15_19,M_Emp_wkd_Tot_20_24,M_Emp_wkd_Tot_25_34,M_Emp_wkd_Tot_35_44,M_Emp_wkd_Tot_45_54,M_Emp_wkd_Tot_55_64,M_Emp_wkd_Tot_65_74,M_Emp_wkd_Tot_75_84,M_Emp_wkd_Tot_85ov,M_Emp_wkd_Tot_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Unem_look_Tot_15_19,M_Unem_look_Tot_20_24,M_Unem_look_Tot_25_34,M_Unem_look_Tot_35_44,M_Unem_look_Tot_45_54,M_Unem_look_Tot_55_64,M_Unem_look_Tot_65_74,M_Unem_look_Tot_75_84,M_Unem_look_Tot_85ov,M_Unem_look_Tot_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Emp_wkd_Tot_15_19,F_Emp_wkd_Tot_20_24,F_Emp_wkd_Tot_25_34,F_Emp_wkd_Tot_35_44,F_Emp_wkd_Tot_45_54,F_Emp_wkd_Tot_55_64,F_Emp_wkd_Tot_65_74,F_Emp_wkd_Tot_75_84,F_Emp_wkd_Tot_85ov,F_Emp_wkd_Tot_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Unem_look_Tot_15_19,F_Unem_look_Tot_20_24,F_Unem_look_Tot_25_34,F_Unem_look_Tot_35_44,F_Unem_look_Tot_45_54,F_Unem_look_Tot_55_64,F_Unem_look_Tot_65_74,F_Unem_look_Tot_75_84,F_Unem_look_Tot_85ov,F_Unem_look_Tot_Tot
POA6000,15,218,1165,521,362,217,33,5,0,2536,21,118,186,66,53,54,27,6,0,531,0,13,35,27,21,19,4,0,0,119,3,10,20,6,5,5,0,0,0,49,39,359,1406,620,441,295,64,11,0,3235,0,19,36,27,24,11,4,0,0,121,3,11,10,3,8,7,0,0,0,42,3,30,46,30,32,18,4,0,0,163,42,389,1452,650,473,313,68,11,0,3398,75,103,121,66,60,110,120,68,26,749,30,92,291,150,94,73,36,18,6,790,147,584,1864,866,627,496,224,97,32,4937,10,224,761,224,181,98,9,3,0,1510,29,142,200,100,59,57,11,0,0,598,0,14,41,13,8,9,0,0,0,85,3,0,9,6,5,0,3,0,0,26,42,380,1011,343,253,164,23,3,0,2219,0,23,34,7,10,3,0,0,0,77,6,15,26,5,4,5,0,0,0,61,6,38,60,12,14,8,0,0,0,138
POA6003,7,81,316,150,89,60,10,0,0,713,10,55,91,37,15,12,8,0,0,228,0,3,14,3,10,5,3,0,0,38,0,0,6,7,0,0,0,0,0,13,17,139,427,197,114,77,21,0,0,992,0,9,10,10,8,4,0,0,0,41,0,8,9,6,0,0,0,0,0,23,0,17,19,16,8,4,0,0,0,64,17,156,446,213,122,81,21,0,0,1056,17,37,40,26,25,41,42,14,10,252,5,20,75,39,17,18,4,10,0,188,39,213,561,278,164,140,67,24,10,1496,0,56,250,71,62,26,0,0,0,465,18,60,92,30,33,18,3,0,0,254,0,5,15,3,3,5,3,0,0,34,0,0,9,0,0,0,0,0,0,9,18,121,366,104,98,49,6,0,0,762,3,0,13,3,3,0,0,0,0,22,3,6,7,7,3,3,0,0,0,29,6,6,20,10,6,3,0,0,0,51
POA6004,16,172,866,467,343,252,52,3,0,2171,15,86,154,44,25,49,40,4,0,417,3,15,29,11,13,14,3,0,0,88,3,5,13,5,3,3,0,0,0,32,37,278,1062,527,384,318,95,7,0,2708,0,11,34,12,11,7,0,0,0,75,12,21,12,3,3,3,0,0,0,54,12,32,46,15,14,10,0,0,0,129,49,310,1108,542,398,328,95,7,0,2837,72,72,85,31,45,103,136,75,18,637,31,87,283,108,83,64,38,20,9,723,152,469,1476,681,526,495,269,102,27,4197,14,176,642,200,165,125,8,0,0,1330,26,116,186,59,83,100,19,0,0,589,3,6,27,14,16,7,3,0,0,76,0,7,6,0,0,0,0,0,0,13,43,305,861,273,264,232,30,0,0,2008,0,17,35,9,10,4,0,0,0,75,7,14,10,9,5,3,0,0,0,48,7,31,45,18,15,7,0,0,0,123
POA6005,8,129,633,255,176,128,38,3,0,1370,14,43,82,38,32,18,19,4,5,255,3,4,24,12,11,11,3,0,0,68,0,3,4,6,6,3,0,0,0,22,25,179,743,311,225,160,60,7,5,1715,6,8,29,9,7,9,0,0,0,68,0,10,10,0,0,0,0,0,0,20,6,18,39,9,7,9,0,0,0,88,31,197,782,320,232,169,60,7,5,1803,27,37,59,30,20,68,82,53,21,397,14,39,151,64,49,50,20,19,15,421,72,273,992,414,301,287,162,79,41,2621,9,123,460,126,112,66,5,0,0,901,12,81,115,48,40,27,15,4,0,342,3,7,25,8,10,3,0,3,0,59,0,3,3,4,0,3,0,0,0,13,24,214,603,186,162,99,20,7,0,1315,0,3,29,8,0,4,0,0,0,44,4,6,7,0,0,0,0,0,0,17,4,9,36,8,0,4,0,0,0,61
POA6006,15,135,516,508,407,208,30,0,0,1819,62,96,86,71,61,58,26,8,0,468,3,11,22,15,23,9,0,3,0,86,5,4,7,6,5,4,0,0,0,31,85,246,631,600,496,279,56,11,0,2404,0,12,15,11,15,5,0,0,0,58,3,9,7,3,3,4,3,0,0,32,3,21,22,14,18,9,3,0,0,90,88,267,653,614,514,288,59,11,0,2494,70,45,53,44,54,88,155,159,52,720,7,30,72,58,28,29,23,31,11,289,165,342,778,716,596,405,237,201,63,3503,15,138,440,245,264,104,3,0,0,1209,60,123,167,245,148,103,18,6,0,870,3,7,41,28,20,9,4,0,0,112,3,5,3,6,3,7,0,0,0,27,81,273,651,524,435,223,25,6,0,2218,4,6,9,7,0,0,0,0,0,26,10,6,9,8,9,6,0,0,0,48,14,12,18,15,9,6,0,0,0,74
POA6007,21,140,585,384,281,177,23,0,0,1611,31,60,88,50,40,48,26,5,0,348,4,7,22,17,9,15,3,0,0,77,0,0,14,3,3,7,3,0,0,30,56,207,709,454,333,247,55,5,0,2066,0,5,23,13,8,3,0,0,0,52,8,6,7,0,4,7,0,0,0,32,8,11,30,13,12,10,0,0,0,84,64,218,739,467,345,257,55,5,0,2150,69,34,50,17,23,64,99,83,32,471,9,24,84,52,30,31,10,10,4,254,142,276,873,536,398,352,164,98,36,2875,5,104,452,211,193,104,11,0,0,1080,44,88,129,151,96,119,21,4,0,652,0,14,38,22,10,13,0,0,0,97,3,3,5,0,4,3,3,3,0,24,52,209,624,384,303,239,35,7,0,1853,0,3,5,6,6,0,0,0,0,20,11,7,11,6,7,0,0,0,0,42,11,10,16,12,13,0,0,0,0,62
POA6008,14,177,829,699,673,463,91,3,0,2949,107,160,121,77,80,140,92,15,0,792,4,13,27,25,24,36,9,0,0,138,5,7,8,10,7,7,4,0,0,48,130,357,985,811,784,646,196,18,0,3927,3,9,27,8,19,17,3,0,0,86,16,8,8,7,0,3,3,0,0,45,19,17,35,15,19,20,6,0,0,131,149,374,1020,826,803,666,202,18,0,4058,150,89,90,63,94,196,314,175,62,1233,19,27,106,66,54,68,37,21,13,411,318,490,1216,955,951,930,553,214,75,5702,25,175,647,359,386,268,30,0,0,1890,122,165,198,304,327,263,74,5,0,1458,8,20,61,43,35,30,16,3,0,216,0,6,6,6,3,4,0,0,0,25,155,366,912,712,751,565,120,8,0,3589,0,10,21,12,7,3,0,0,0,53,9,13,13,8,16,3,0,0,0,62,9,23,34,20,23,6,0,0,0,115
POA6009,16,161,446,623,806,611,140,8,0,2811,172,268,169,78,93,157,158,47,0,1142,8,35,20,14,21,34,12,3,0,147,5,10,14,13,15,5,7,0,0,69,201,474,649,728,935,807,317,58,0,4169,3,17,15,22,12,14,0,0,0,83,33,55,24,4,7,6,3,0,0,132,36,72,39,26,19,20,3,0,0,215,237,546,688,754,954,827,320,58,0,4384,387,334,234,61,59,131,336,247,117,1906,20,38,47,45,31,43,40,24,27,315,644,918,969,860,1044,1001,696,329,144,6605,17,145,340,256,363,293,52,5,0,1471,187,305,172,331,422,303,115,11,3,1849,6,30,40,34,32,40,11,3,0,196,7,13,7,19,9,6,5,0,0,66,217,493,559,640,826,642,183,19,3,3582,3,8,12,12,8,3,0,0,0,46,25,30,16,17,15,3,3,0,3,112,28,38,28,29,23,6,3,0,3,158
POA6010,31,170,484,580,757,547,123,10,0,2702,162,184,79,66,77,147,135,40,0,890,13,15,21,17,21,25,9,0,0,121,0,10,3,21,11,5,3,5,0,58,206,379,587,684,866,724,270,55,0,3771,6,9,12,10,18,16,3,0,0,74,31,26,7,4,0,3,0,3,0,74,37,35,19,14,18,19,3,3,0,148,243,414,606,698,884,743,273,58,0,3919,383,117,76,50,63,155,389,300,128,1661,75,55,70,63,73,57,39,24,20,476,701,586,752,811,1020,955,701,382,148,6056,19,158,367,213,384,255,33,0,0,1429,181,229,158,349,434,325,112,14,0,1802,19,13,32,26,27,29,7,0,0,153,3,7,4,10,9,8,3,0,0,44,222,407,561,598,854,617,155,14,0,3428,0,8,10,10,11,5,0,0,0,44,26,16,6,8,12,10,0,0,0,78,26,24,16,18,23,15,0,0,0,122
POA6011,18,101,365,329,457,325,67,5,0,1667,59,109,66,37,70,96,79,19,0,535,9,10,17,17,13,22,8,3,0,99,0,7,3,6,3,10,4,0,0,33,86,227,451,389,543,453,158,27,0,2334,3,8,10,4,11,6,0,0,0,42,8,7,3,0,5,3,3,0,0,29,11,15,13,4,16,9,3,0,0,71,97,242,464,393,559,462,161,27,0,2405,152,57,39,19,29,97,188,138,59,778,20,27,84,44,46,49,27,21,13,331,269,326,587,456,634,608,376,186,72,3514,11,84,264,148,195,142,14,3,0,861,92,99,94,171,230,179,68,5,0,938,8,18,22,19,12,24,5,3,0,111,4,3,4,3,5,3,0,3,0,25,115,204,384,341,442,348,87,14,0,1935,3,5,8,7,6,3,3,0,0,35,7,7,7,6,8,7,0,0,0,42,10,12,15,13,14,10,3,0,0,77
