region_id,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Emp_wkd_Tot_15_19,P_Emp_wkd_Tot_20_24,P_Emp_wkd_Tot_25_34,P_Emp_wkd_Tot_35_44,P_Emp_wkd_Tot_45_54,P_Emp_wkd_Tot_55_64,P_Emp_wkd_Tot_65_74,P_Emp_wkd_Tot_75_84,P_Emp_wkd_Tot_85ov,P_Emp_wkd_Tot_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Unem_look_Tot_15_19,P_Unem_look_Tot_20_24,P_Unem_look_Tot_25_34,P_Unem_look_Tot_35_44,P_Unem_look_Tot_45_54,P_Unem_look_Tot_55_64,P_Unem_look_Tot_65_74,P_Unem_look_Tot_75_84,P_Unem_look_Tot_85ov,P_Unem_look_Tot_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,48,418,1071,355,267,172,23,3,0,2357,58,117,236,116,75,106,103,70,45,926,15,69,197,65,34,36,13,12,0,441,121,604,1504,536,376,314,139,85,45,3724,25,442,1926,745,543,315,42,8,0,4046,50,260,386,166,112,111,38,6,0,1129,0,27,76,40,29,28,4,0,0,204,6,10,29,12,10,5,3,0,0,75,81,739,2417,963,694,459,87,14,0,5454,0,42,70,34,34,14,4,0,0,198,9,26,36,8,12,12,0,0,0,103,9,68,106,42,46,26,4,0,0,301,90,807,2523,1005,740,485,91,14,0,5755,133,220,357,182,135,216,223,138,71,1675,45,161,488,215,128,109,49,30,6,1231,268,1188,3368,1402,1003,810,363,182,77,8661
POA6003,24,127,386,114,104,52,6,0,0,813,13,28,60,27,30,56,36,29,12,291,0,16,67,16,20,16,3,4,0,142,37,171,513,157,154,124,45,33,12,1246,7,137,566,221,151,86,10,0,0,1178,28,115,183,67,48,30,11,0,0,482,0,8,29,6,13,10,6,0,0,72,0,0,15,7,0,0,0,0,0,22,35,260,793,301,212,126,27,0,0,1754,3,9,23,13,11,4,0,0,0,63,3,14,16,13,3,3,0,0,0,52,6,23,39,26,14,7,0,0,0,115,41,283,832,327,226,133,27,0,0,1869,30,65,100,53,55,97,78,43,22,543,5,36,142,55,37,34,7,14,0,330,76,384,1074,435,318,264,112,57,22,2742
POA6004,50,336,906,291,279,239,30,0,0,2131,51,99,159,88,83,154,135,64,35,868,26,76,204,60,49,53,28,7,5,508,127,511,1269,439,411,446,193,71,40,3507,30,348,1508,667,508,377,60,3,0,3501,41,202,340,103,108,149,59,4,0,1006,6,21,56,25,29,21,6,0,0,164,3,12,19,5,3,3,0,0,0,45,80,583,1923,800,648,550,125,7,0,4716,0,28,69,21,21,11,0,0,0,150,19,35,22,12,8,6,0,0,0,102,19,63,91,33,29,17,0,0,0,252,99,646,2014,833,677,567,125,7,0,4968,123,171,244,119,128,257,271,139,53,1505,57,163,487,168,132,117,66,27,14,1231,279,980,2745,1120,937,941,462,173,67,7704
POA6005,28,223,639,194,162,103,20,7,0,1376,25,40,90,51,57,75,79,73,48,538,12,37,111,42,50,31,11,19,10,323,65,300,840,287,269,209,110,99,58,2237,17,252,1093,381,288,194,43,3,0,2271,26,124,197,86,72,45,34,8,5,597,6,11,49,20,21,14,3,3,0,127,0,6,7,10,6,6,0,0,0,35,49,393,1346,497,387,259,80,14,5,3030,6,11,58,17,7,13,0,0,0,112,4,16,17,0,0,0,0,0,0,37,10,27,75,17,7,13,0,0,0,149,59,420,1421,514,394,272,80,14,5,3179,52,77,149,81,77,143,161,126,69,935,26,76,262,106,99,81,31,38,25,744,137,573,1832,701,570,496,272,178,99,4858
POA6006,95,285,669,539,444,229,25,6,0,2292,68,43,98,140,92,123,235,214,100,1113,3,14,58,34,23,21,18,36,38,245,166,342,825,713,559,373,278,256,138,3650,30,273,956,753,671,312,33,0,0,3028,122,219,253,316,209,161,44,14,0,1338,6,18,63,43,43,18,4,3,0,198,8,9,10,12,8,11,0,0,0,58,166,519,1282,1124,931,502,81,17,0,4622,4,18,24,18,15,5,0,0,0,84,13,15,16,11,12,10,3,0,0,80,17,33,40,29,27,15,3,0,0,164,183,552,1322,1153,958,517,84,17,0,4786,138,88,151,184,146,211,390,373,152,1833,10,44,130,92,51,50,41,67,49,534,331,684,1603,1429,1155,778,515,457,201,7153
POA6007,63,219,640,396,316,239,35,7,0,1915,42,32,87,104,49,102,152,154,130,852,7,28,85,44,20,28,14,10,9,245,112,279,812,544,385,369,201,171,139,3012,26,244,1037,595,474,281,34,0,0,2691,75,148,217,201,136,167,47,9,0,1000,4,21,60,39,19,28,3,0,0,174,3,3,19,3,7,10,6,3,0,54,108,416,1333,838,636,486,90,12,0,3919,0,8,28,19,14,3,0,0,0,72,19,13,18,6,11,7,0,0,0,74,19,21,46,25,25,10,0,0,0,146,127,437,1379,863,661,496,90,12,0,4065,111,66,137,121,72,166,251,237,162,1323,16,52,169,96,50,59,24,20,13,499,254,555,1685,1080,783,721,365,269,175,5887
POA6008,164,389,946,732,774,571,120,8,0,3704,150,105,193,254,171,325,390,244,117,1949,17,27,100,62,48,51,41,26,49,421,331,521,1239,1048,993,947,551,278,166,6074,39,352,1476,1058,1059,731,121,3,0,4839,229,325,319,381,407,403,166,20,0,2250,12,33,88,68,59,66,25,3,0,354,5,13,14,16,10,11,4,0,0,73,285,723,1897,1523,1535,1211,316,26,0,7516,3,19,48,20,26,20,3,0,0,139,25,21,21,15,16,6,3,0,0,107,28,40,69,35,42,26,6,0,0,246,313,763,1966,1558,1577,1237,322,26,0,7762,300,194,283,317,265,521,704,419,179,3182,36,54,206,128,102,119,78,47,62,832,649,1011,2455,2003,1944,1877,1104,492,241,11776
POA6009,245,531,587,669,849,648,186,19,6,3740,325,261,259,297,317,416,482,353,274,2984,19,39,37,25,42,30,38,24,54,308,589,831,883,991,1208,1094,706,396,334,7032,33,306,786,879,1169,904,192,13,0,4282,359,573,341,409,515,460,273,58,3,2991,14,65,60,48,53,74,23,6,0,343,12,23,21,32,24,11,12,0,0,135,418,967,1208,1368,1761,1449,500,77,3,7751,6,25,27,34,20,17,0,0,0,129,58,85,40,21,22,9,6,0,3,244,64,110,67,55,42,26,6,0,3,373,482,1077,1275,1423,1803,1475,506,77,6,8124,712,595,493,358,376,547,818,600,391,4890,39,77,84,70,73,73,78,48,81,623,1233,1749,1852,1851,2252,2095,1402,725,478,13637
POA6010,248,431,577,616,877,632,155,14,0,3550,259,114,162,276,265,370,553,504,321,2824,17,23,31,42,47,34,32,40,68,334,524,568,770,934,1189,1036,740,558,389,6708,50,328,851,793,1141,802,156,10,0,4131,343,413,237,415,511,472,247,54,0,2692,32,28,53,43,48,54,16,0,0,274,3,17,7,31,20,13,6,5,0,102,428,786,1148,1282,1720,1341,425,69,0,7199,6,17,22,20,29,21,3,0,0,118,57,42,13,12,12,13,0,3,0,152,63,59,35,32,41,34,3,3,0,270,491,845,1183,1314,1761,1375,428,72,0,7469,642,231,238,326,328,525,942,804,449,4485,92,78,101,105,120,91,71,64,88,810,1225,1154,1522,1745,2209,1991,1441,940,537,12764
POA6011,125,216,399,354,456,358,90,14,0,2012,188,68,82,180,163,249,243,183,106,1462,19,27,63,46,34,58,33,25,54,359,332,311,544,580,653,665,366,222,160,3833,29,185,629,477,652,467,81,8,0,2528,151,208,160,208,300,275,147,24,0,1473,17,28,39,36,25,46,13,6,0,210,4,10,7,9,8,13,4,3,0,58,201,431,835,730,985,801,245,41,0,4269,6,13,18,11,17,9,3,0,0,77,15,14,10,6,13,10,3,0,0,71,21,27,28,17,30,19,6,0,0,148,222,458,863,747,1015,820,251,41,0,4417,340,125,121,199,192,346,431,321,165,2240,39,54,147,90,80,107,60,46,67,690,601,637,1131,1036,1287,1273,742,408,232,7347
