region_id,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA6000,0,5,4,4,0,3,0,0,0,16,0,17,148,69,48,23,3,0,0,308,0,16,82,33,30,27,5,0,0,193,0,4,13,7,3,4,0,0,0,31,6,50,164,47,36,26,4,0,0,333,0,16,43,23,11,3,3,0,0,99,7,48,61,34,20,13,6,0,0,189,14,61,119,46,36,22,3,0,0,301,4,10,34,17,21,20,0,3,0,109,0,9,25,16,10,5,0,0,0,65,0,10,56,18,10,3,3,3,0,103,0,4,20,9,8,8,5,0,0,54,5,31,317,137,71,50,15,3,0,629,0,17,62,22,17,9,0,0,0,127,0,14,62,36,40,26,5,0,0,183,0,6,33,30,37,17,6,0,0,129,0,11,74,30,24,17,3,0,0,159,4,7,27,15,4,3,0,0,0,60,0,4,28,14,9,11,0,3,0,69,0,18,35,13,5,5,3,0,0,79
POA6003,0,0,0,0,0,0,0,0,0,0,0,7,25,12,9,3,0,0,0,56,0,6,26,16,9,3,3,0,0,63,0,0,4,0,0,3,0,0,0,7,0,18,54,13,9,9,0,0,0,103,0,4,11,8,0,3,3,0,0,29,3,17,34,8,12,11,0,0,0,85,6,21,54,14,11,8,0,0,0,114,0,0,5,14,0,3,3,0,0,25,3,3,11,3,0,0,0,0,0,20,0,6,15,9,0,0,0,0,0,30,0,3,5,4,3,3,3,0,0,21,0,14,81,39,15,8,3,0,0,160,0,7,16,8,0,5,3,0,0,39,0,7,18,13,11,5,0,0,0,54,0,4,15,11,11,6,3,0,0,50,0,3,16,11,8,4,0,3,0,45,0,3,17,6,3,0,0,0,0,29,3,7,5,0,9,0,0,0,0,24,0,8,15,9,4,3,0,0,0,39
POA6004,0,3,3,0,0,0,0,0,0,6,0,20,125,76,48,27,10,0,0,306,3,9,57,29,22,25,7,3,0,155,0,4,11,8,6,5,3,0,0,37,6,35,122,43,44,33,6,3,0,292,6,6,28,13,15,14,5,0,0,87,6,25,39,27,18,13,0,0,0,128,7,50,107,29,16,12,5,0,0,226,0,3,35,21,19,9,0,0,0,87,0,9,15,13,3,7,0,0,0,47,0,9,41,13,13,16,3,0,0,95,0,3,14,13,10,8,4,0,0,52,0,38,235,108,84,61,22,3,0,551,0,20,48,20,13,5,7,0,0,113,0,13,53,30,28,20,6,0,0,150,0,0,20,18,15,24,6,0,0,83,0,11,52,41,17,21,4,0,0,146,0,10,17,3,0,5,3,0,0,38,4,6,12,9,5,8,0,0,0,44,4,3,28,12,7,5,3,0,0,62
POA6005,3,0,3,0,0,3,0,0,0,9,0,12,88,41,25,24,3,0,0,193,3,16,35,26,14,7,3,0,0,104,0,0,10,3,3,3,0,0,0,19,3,17,78,28,18,15,3,0,0,162,3,3,21,8,3,0,3,0,5,46,3,13,28,14,14,5,3,0,0,80,3,27,50,16,11,3,3,0,0,113,3,8,20,9,9,6,3,0,0,58,0,7,16,12,5,0,0,0,0,40,3,6,38,10,5,9,3,0,0,74,0,3,10,3,8,5,3,0,0,32,0,28,177,66,43,35,12,0,0,361,0,6,14,8,7,5,3,3,0,46,3,4,34,15,11,8,3,0,0,78,0,8,25,18,13,8,3,0,0,75,0,0,54,16,20,11,3,3,0,107,3,8,16,3,3,3,0,0,0,36,0,3,9,8,7,6,3,3,0,39,3,9,16,7,5,3,3,0,0,46
POA6006,0,0,4,0,0,0,0,0,0,4,0,15,53,57,32,11,0,0,0,168,3,9,53,28,28,21,4,0,0,146,0,0,8,9,6,7,0,0,0,30,4,38,80,70,50,28,8,3,0,281,3,4,18,19,27,8,3,0,0,82,27,33,39,42,32,11,4,0,0,188,16,36,41,28,17,12,3,0,0,153,0,6,24,20,16,13,0,0,0,79,0,8,13,7,11,3,0,0,0,42,0,0,27,29,21,4,5,0,0,86,3,3,11,17,9,3,0,0,0,46,5,28,132,114,96,46,12,0,0,433,0,7,22,13,17,5,5,0,0,69,4,6,23,35,40,31,5,0,0,144,5,18,20,31,30,25,0,0,0,129,0,8,29,33,39,27,3,0,0,139,5,15,15,15,12,6,3,0,0,71,3,6,10,19,10,15,5,4,0,72,3,4,8,13,4,4,0,3,0,39
POA6007,0,0,3,0,0,0,3,0,0,6,0,7,66,55,14,12,6,0,0,160,0,4,31,23,17,16,3,0,0,94,0,3,9,10,11,3,0,0,0,36,8,34,92,35,36,23,5,0,0,233,0,4,23,10,12,4,3,0,0,56,20,29,45,14,21,25,3,0,0,157,15,28,54,17,9,8,0,0,0,131,0,4,13,15,9,9,3,0,0,53,0,12,13,7,5,6,0,0,0,43,0,3,20,26,21,4,0,0,0,74,0,3,8,13,3,4,3,4,0,38,0,33,164,104,60,40,13,0,0,414,4,4,22,13,11,8,3,0,0,65,0,10,33,22,20,17,0,0,0,102,3,5,27,24,27,23,7,0,0,116,0,6,48,37,41,29,4,0,0,165,4,8,13,10,10,4,0,0,0,49,0,4,14,8,7,7,0,0,0,40,0,6,13,10,0,4,0,0,0,33
POA6008,0,0,4,0,5,6,0,0,0,15,0,17,108,112,85,46,11,0,0,379,5,12,51,42,34,37,8,5,0,194,0,5,10,8,14,14,0,0,0,51,8,34,85,56,41,36,14,0,0,274,4,6,23,32,20,17,6,0,0,108,29,54,47,24,18,28,12,0,0,212,48,47,58,23,11,13,4,0,0,204,0,6,29,20,22,17,4,0,0,98,5,6,10,15,10,6,0,0,0,52,0,9,48,41,40,23,7,0,0,168,0,8,12,23,29,29,13,0,0,114,0,50,207,217,193,144,50,4,0,865,4,11,27,20,16,14,6,0,0,98,0,11,58,38,56,52,13,0,0,228,8,22,54,36,68,80,12,4,0,284,7,28,97,75,84,55,24,5,0,375,8,11,19,9,11,11,3,0,0,72,0,16,18,7,11,12,4,0,0,68,3,3,20,14,16,7,5,0,0,68
POA6009,0,3,0,0,6,7,8,4,0,28,0,17,41,66,117,64,12,3,0,320,11,15,20,29,37,25,10,0,0,147,0,0,10,5,16,15,3,0,0,49,7,27,40,47,47,56,13,3,0,240,4,9,3,17,26,22,7,0,0,88,41,85,63,34,48,35,23,3,0,332,66,71,42,20,15,12,9,0,0,235,0,12,13,17,16,12,9,0,0,79,0,9,8,9,9,12,5,0,0,52,3,10,30,60,56,26,15,6,0,206,0,9,20,25,39,24,14,9,0,140,9,63,128,154,182,172,54,8,0,770,9,21,18,25,16,24,9,0,0,122,0,14,28,17,33,56,15,0,0,163,24,33,68,54,84,63,29,3,0,358,8,43,67,109,148,148,64,18,0,605,8,15,11,5,10,5,7,0,0,61,7,6,21,13,14,15,3,0,0,79,4,13,17,19,17,17,8,0,0,95
POA6010,0,5,4,4,7,16,16,4,0,56,0,18,57,96,111,60,12,0,0,354,12,13,32,34,41,32,17,0,0,181,0,4,5,7,5,6,0,0,0,27,5,46,54,48,53,34,14,3,0,257,4,9,17,15,33,27,11,5,0,121,65,67,29,32,28,37,17,6,0,281,51,60,34,12,17,12,7,0,0,193,5,4,12,19,19,6,4,0,0,69,0,8,6,3,19,8,3,0,0,47,3,9,25,43,51,36,21,3,0,191,3,12,16,28,27,35,15,3,0,139,3,34,105,133,185,157,57,10,0,684,3,5,10,10,23,21,3,0,0,75,0,10,78,60,50,55,9,3,0,265,29,31,44,31,63,59,11,6,0,274,4,20,29,78,98,84,34,13,0,360,9,6,8,6,10,12,3,0,0,54,7,11,10,7,14,18,6,0,0,73,5,7,11,17,10,10,11,0,0,71
POA6011,3,3,0,0,3,11,3,0,0,23,0,7,47,46,60,41,10,0,0,211,3,10,21,13,37,28,17,4,0,133,0,0,6,4,6,0,0,0,0,16,6,37,46,20,40,32,12,3,0,196,3,7,12,11,24,14,4,4,0,79,26,37,25,19,14,22,8,0,0,151,20,33,25,21,16,9,6,0,0,130,0,7,14,14,13,3,3,0,0,54,3,3,6,5,5,6,3,0,0,31,0,3,27,35,41,22,14,0,0,142,0,3,10,16,30,24,6,7,0,96,4,31,86,80,130,101,30,4,0,466,3,7,11,13,12,15,4,0,0,65,0,3,31,20,10,25,6,0,0,95,10,13,20,9,22,24,5,0,0,103,3,7,42,45,61,57,20,5,0,240,3,6,8,4,0,4,3,0,0,28,0,5,4,6,9,5,0,0,0,29,0,6,10,8,11,9,4,0,0,48
