region_id,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA6000,40,358,1407,620,440,295,64,12,0,3236,0,0,4,0,3,0,0,0,0,7,0,18,76,27,20,7,0,0,0,148,0,7,28,3,12,7,3,0,0,60,0,5,10,4,3,0,0,0,0,22,0,8,28,11,3,9,0,0,0,59,0,7,21,13,6,0,0,0,0,47,12,56,58,28,23,16,3,0,0,196,11,78,109,27,14,10,0,0,0,249,0,7,19,16,6,3,0,0,0,51,0,12,20,5,3,0,0,0,0,40,0,15,51,17,9,4,3,0,0,99,3,3,14,10,4,6,3,0,0,43,3,37,165,52,32,19,0,0,0,308,3,33,57,13,13,9,0,0,0,128,0,15,71,29,18,12,4,0,0,149,0,11,77,28,30,22,3,0,0,171,4,40,128,43,38,36,5,0,0,294,0,15,13,4,10,0,0,0,0,42,4,8,37,6,3,4,0,0,0,62
POA6003,15,138,427,198,114,77,21,3,0,993,0,0,0,0,0,0,0,0,0,0,0,6,24,8,3,0,0,0,0,41,0,3,10,3,3,0,0,0,0,19,0,3,6,0,3,0,0,0,0,12,0,0,12,3,4,0,0,0,0,19,0,3,5,3,0,3,0,0,0,14,3,15,32,14,7,0,0,0,0,71,4,36,46,8,4,4,0,0,0,102,0,0,4,0,0,0,0,0,0,4,0,3,4,4,0,0,0,0,0,11,0,7,9,3,5,0,0,0,0,24,3,0,4,0,3,3,0,0,0,13,0,9,67,12,8,9,0,0,0,105,6,8,31,8,6,0,0,0,0,59,0,0,18,20,12,8,0,0,0,58,0,7,19,9,18,6,0,0,0,59,4,16,39,6,16,11,3,0,0,95,0,3,9,0,4,3,0,0,0,19,0,5,18,0,3,3,3,0,0,32
POA6004,36,277,1062,526,383,318,94,9,0,2705,0,0,0,0,3,0,0,0,0,3,0,17,65,24,14,10,0,0,0,130,0,9,20,10,10,9,0,0,0,58,0,0,10,0,5,4,0,0,0,19,0,6,27,22,14,4,0,0,0,73,0,3,11,6,8,4,3,0,0,35,9,30,49,14,18,20,0,0,0,140,15,82,91,26,13,12,0,0,0,239,3,3,19,4,3,5,0,0,0,37,3,3,17,3,3,0,0,0,0,29,0,15,44,9,20,7,0,0,0,95,4,3,20,7,6,9,0,0,0,49,4,29,178,49,28,31,5,0,0,324,5,18,58,8,9,7,0,0,0,105,0,17,56,15,24,19,3,0,0,134,0,9,45,24,28,31,3,0,0,140,0,31,104,32,44,49,14,0,0,274,0,6,14,3,4,4,0,0,0,31,0,14,28,9,7,8,3,0,0,69
POA6005,33,178,742,311,224,159,57,9,5,1718,0,0,0,0,0,0,0,0,0,0,0,10,55,15,7,3,0,0,0,90,0,3,17,4,4,3,0,0,0,31,0,0,10,5,4,0,0,0,0,19,0,6,26,6,12,4,3,0,0,57,0,0,14,4,3,3,3,0,0,27,8,32,26,10,12,9,3,0,0,100,0,31,52,13,15,4,0,0,0,115,3,5,10,4,0,0,0,0,0,22,0,5,12,3,0,3,0,0,0,23,0,3,27,9,10,4,0,3,0,56,0,10,12,3,0,0,3,0,0,28,0,22,120,31,28,9,3,0,0,213,0,11,34,11,3,4,0,0,0,63,3,14,24,16,19,6,3,0,0,85,0,6,48,18,13,15,3,0,0,103,4,43,83,27,16,21,3,0,0,197,0,7,8,0,3,3,0,0,0,21,3,5,18,3,7,3,0,0,0,39
POA6006,81,244,630,599,497,280,60,10,0,2401,0,0,4,0,0,0,0,0,0,4,0,14,49,24,11,3,0,0,0,101,4,8,25,18,12,0,0,0,0,67,0,3,3,3,3,3,0,0,0,15,0,6,14,19,12,4,0,0,0,55,0,7,11,8,4,4,0,0,0,34,24,47,40,36,37,17,0,0,0,201,31,49,42,17,16,9,0,0,0,164,0,3,10,9,8,3,0,0,0,33,0,12,10,15,4,5,0,0,0,46,0,8,30,32,9,7,0,0,0,86,3,5,13,13,8,5,0,0,0,47,3,21,97,80,47,24,0,0,0,272,3,7,35,15,11,11,4,0,0,86,0,4,57,49,49,16,3,0,0,178,4,24,68,84,78,47,8,3,0,316,4,29,104,73,85,52,6,0,0,353,0,9,10,3,7,5,0,0,0,34,4,11,27,21,23,7,0,0,0,93
POA6007,54,207,711,453,334,246,56,4,0,2065,0,0,0,0,0,3,0,0,0,3,0,3,37,33,8,0,0,0,0,81,0,4,21,10,10,0,3,0,0,48,0,3,9,7,4,3,0,0,0,26,0,4,23,7,10,5,0,0,0,49,0,3,11,7,7,4,0,0,0,32,17,29,38,23,20,10,3,0,0,140,15,40,39,16,13,8,4,0,0,135,0,0,7,6,4,4,0,0,0,21,0,3,15,4,10,3,0,0,0,35,4,5,26,16,11,4,0,0,0,66,0,3,4,7,7,9,0,3,0,33,4,25,112,53,31,20,3,0,0,248,0,7,24,12,5,4,3,0,0,55,0,7,39,25,23,22,3,0,0,119,3,13,70,49,63,51,3,3,0,255,5,35,120,83,67,73,7,3,0,393,0,13,6,6,3,4,0,0,0,32,4,9,18,15,7,5,3,0,0,61
POA6008,129,356,985,812,784,647,196,18,0,3927,0,0,0,0,6,0,0,0,0,6,3,12,75,60,34,9,0,0,0,193,18,12,13,15,17,6,3,0,0,84,0,0,9,9,3,3,0,0,0,24,0,7,30,12,22,8,3,0,0,82,0,3,17,13,12,9,0,0,0,54,38,56,57,41,37,31,7,0,0,267,43,60,37,16,21,9,3,0,0,189,3,3,8,7,6,10,0,0,0,37,4,7,26,13,10,8,3,0,0,71,3,9,22,34,32,16,4,0,0,120,3,6,21,8,22,13,5,0,0,78,6,45,177,133,92,60,17,0,0,530,0,16,42,18,12,21,5,0,0,114,0,11,49,47,57,39,8,0,0,211,18,25,76,88,137,127,20,0,0,491,7,63,203,158,198,166,38,3,0,836,4,14,20,14,14,15,0,0,0,81,3,10,15,13,10,7,5,0,0,63
POA6009,201,475,648,725,936,810,317,57,0,4169,0,4,0,0,6,5,5,3,0,23,3,12,18,26,17,3,0,0,0,79,11,5,21,15,10,18,6,0,0,86,0,0,6,4,6,5,0,0,0,21,0,3,12,17,16,7,3,0,0,58,3,4,17,14,19,11,3,0,0,71,71,108,37,32,45,32,16,3,0,344,65,75,39,17,15,12,0,5,0,228,0,4,3,5,7,12,3,0,0,34,3,11,5,5,4,4,3,0,0,35,0,7,26,25,22,18,6,0,0,104,0,10,4,19,21,15,13,3,0,85,6,67,100,89,108,68,28,0,0,466,0,9,23,17,21,18,4,0,0,92,0,15,40,25,53,38,10,0,0,181,16,45,65,116,174,145,33,3,0,597,13,76,122,177,238,190,44,3,0,863,9,17,5,12,14,12,0,0,3,72,11,9,8,10,9,15,4,0,0,66
POA6010,208,379,586,683,864,725,271,56,0,3772,0,0,0,0,7,9,5,0,0,21,0,5,43,31,29,0,5,0,0,113,5,7,11,12,12,16,0,0,0,63,0,0,4,0,4,0,0,0,0,8,4,8,19,14,19,10,3,0,0,77,3,8,9,12,20,9,0,3,0,64,80,80,59,43,50,45,12,3,0,372,57,69,25,13,16,13,0,0,0,193,3,7,3,7,3,11,3,0,0,37,5,17,7,10,7,3,0,0,0,49,3,3,28,17,22,13,0,0,0,86,3,11,14,9,13,16,9,0,0,75,12,40,86,89,114,57,19,0,0,417,6,11,21,21,17,19,3,0,0,98,0,7,33,38,33,38,8,4,0,161,19,44,53,100,193,159,30,0,0,598,11,63,105,153,233,163,42,0,0,770,4,12,17,8,13,7,6,0,0,67,4,10,17,12,37,13,6,0,0,99
POA6011,87,228,451,389,544,452,158,27,0,2336,0,0,0,0,4,6,7,0,0,17,0,4,25,21,9,3,0,0,0,62,3,3,3,11,12,8,6,0,0,46,0,0,3,4,3,0,0,0,0,10,0,5,13,7,13,5,0,0,0,43,0,7,5,11,8,11,4,0,0,46,32,45,19,26,47,25,5,3,0,202,33,25,25,13,14,8,0,0,0,118,0,0,7,4,9,8,0,0,0,28,0,5,9,9,6,7,0,0,0,36,3,3,15,10,17,10,6,0,0,64,0,4,12,13,9,14,11,0,0,63,0,29,65,57,48,35,8,3,0,245,5,6,16,9,13,10,3,0,0,62,0,7,18,14,19,17,3,0,0,78,15,14,40,41,85,77,15,3,0,290,6,34,78,75,105,87,12,0,0,397,5,4,13,3,3,3,3,3,0,37,8,5,8,6,9,10,0,0,0,46
