region_id,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
POA6000,0,6,25,7,6,0,0,0,0,44,40,381,1011,343,256,164,24,0,0,2219,0,5,8,4,3,3,0,0,0,23,0,35,224,96,68,30,3,0,0,456,0,23,110,36,42,34,8,0,0,253,0,9,23,11,6,4,0,0,0,53,6,58,192,58,39,35,4,0,0,392,0,23,64,36,17,3,3,0,0,146,19,104,119,62,43,29,9,0,0,385,25,139,228,73,50,32,3,0,0,550,4,17,53,33,27,23,0,3,0,160,0,21,45,21,13,5,0,0,0,105,0,25,107,35,19,7,6,3,0,202,3,7,34,19,12,14,8,0,0,97,8,68,482,189,103,69,15,3,0,937,3,50,119,35,30,18,0,0,0,255,0,29,133,65,58,38,9,0,0,332,0,17,110,58,67,39,9,0,0,300,4,51,202,73,62,53,8,0,0,453,4,22,40,19,14,3,0,0,0,102
POA6003,0,0,7,0,0,0,0,0,0,7,20,124,364,101,99,50,6,0,0,764,0,0,0,0,0,0,0,0,0,0,0,13,49,20,12,3,0,0,0,97,0,9,36,19,12,3,3,0,0,82,0,3,10,0,3,3,0,0,0,19,0,18,66,16,13,9,0,0,0,122,0,7,16,11,0,6,3,0,0,43,6,32,66,22,19,11,0,0,0,156,10,57,100,22,15,12,0,0,0,216,0,0,9,14,0,3,3,0,0,29,3,6,15,7,0,0,0,0,0,31,0,13,24,12,5,0,0,0,0,54,3,3,9,4,6,6,3,0,0,34,0,23,148,51,23,17,3,0,0,265,6,15,47,16,6,5,3,0,0,98,0,7,36,33,23,13,0,0,0,112,0,11,34,20,29,12,3,0,0,109,4,19,55,17,24,15,3,3,0,140,0,6,26,6,7,3,0,0,0,48
POA6004,0,8,5,9,4,0,0,0,0,26,43,303,861,274,265,233,31,0,0,2010,0,3,3,0,3,0,0,0,0,9,0,37,190,100,62,37,10,0,0,436,3,18,77,39,32,34,7,3,0,213,0,4,21,8,11,9,3,0,0,56,6,41,149,65,58,37,6,3,0,365,6,9,39,19,23,18,8,0,0,122,15,55,88,41,36,33,0,0,0,268,22,132,198,55,29,24,5,0,0,465,3,6,54,25,22,14,0,0,0,124,3,12,32,16,6,7,0,0,0,76,0,24,85,22,33,23,3,0,0,190,4,6,34,20,16,17,4,0,0,101,4,67,413,157,112,92,27,3,0,875,5,38,106,28,22,12,7,0,0,218,0,30,109,45,52,39,9,0,0,284,0,9,65,42,43,55,9,0,0,223,0,42,156,73,61,70,18,0,0,420,0,16,31,6,4,9,3,0,0,69
POA6005,0,3,7,3,5,3,0,3,0,24,21,216,603,185,161,97,24,6,0,1313,3,0,3,0,0,3,0,0,0,9,0,22,143,56,32,27,3,0,0,283,3,19,52,30,18,10,3,0,0,135,0,0,20,8,7,3,0,0,0,38,3,23,104,34,30,19,6,0,0,219,3,3,35,12,6,3,6,0,5,73,11,45,54,24,26,14,6,0,0,180,3,58,102,29,26,7,3,0,0,228,6,13,30,13,9,6,3,0,0,80,0,12,28,15,5,3,0,0,0,63,3,9,65,19,15,13,3,3,0,130,0,13,22,6,8,5,6,0,0,60,0,50,297,97,71,44,15,0,0,574,0,17,48,19,10,9,3,3,0,109,6,18,58,31,30,14,6,0,0,163,0,14,73,36,26,23,6,0,0,178,4,43,137,43,36,32,6,3,0,304,3,15,24,3,6,6,0,0,0,57
POA6006,3,9,3,6,10,0,3,0,0,34,83,276,652,525,434,222,24,3,0,2219,0,0,8,0,0,0,0,0,0,8,0,29,102,81,43,14,0,0,0,269,7,17,78,46,40,21,4,0,0,213,0,3,11,12,9,10,0,0,0,45,4,44,94,89,62,32,8,3,0,336,3,11,29,27,31,12,3,0,0,116,51,80,79,78,69,28,4,0,0,389,47,85,83,45,33,21,3,0,0,317,0,9,34,29,24,16,0,0,0,112,0,20,23,22,15,8,0,0,0,88,0,8,57,61,30,11,5,0,0,172,6,8,24,30,17,8,0,0,0,93,8,49,229,194,143,70,12,0,0,705,3,14,57,28,28,16,9,0,0,155,4,10,80,84,89,47,8,0,0,322,9,42,88,115,108,72,8,3,0,445,4,37,133,106,124,79,9,0,0,492,5,24,25,18,19,11,3,0,0,105
POA6007,0,4,5,5,0,4,3,0,0,21,52,210,624,384,303,236,35,9,0,1853,0,0,3,0,0,3,3,0,0,9,0,10,103,88,22,12,6,0,0,241,0,8,52,33,27,16,6,0,0,142,0,6,18,17,15,6,0,0,0,62,8,38,115,42,46,28,5,0,0,282,0,7,34,17,19,8,3,0,0,88,37,58,83,37,41,35,6,0,0,297,30,68,93,33,22,16,4,0,0,266,0,4,20,21,13,13,3,0,0,74,0,15,28,11,15,9,0,0,0,78,4,8,46,42,32,8,0,0,0,140,0,6,12,20,10,13,3,7,0,71,4,58,276,157,91,60,16,0,0,662,4,11,46,25,16,12,6,0,0,120,0,17,72,47,43,39,3,0,0,221,6,18,97,73,90,74,10,3,0,371,5,41,168,120,108,102,11,3,0,558,4,21,19,16,13,8,0,0,0,81
POA6008,3,7,16,13,9,9,0,0,0,57,156,366,913,712,751,566,121,3,0,3588,0,0,4,0,11,6,0,0,0,21,3,29,183,172,119,55,11,0,0,572,23,24,64,57,51,43,11,5,0,278,0,5,19,17,17,17,0,0,0,75,8,41,115,68,63,44,17,0,0,356,4,9,40,45,32,26,6,0,0,162,67,110,104,65,55,59,19,0,0,479,91,107,95,39,32,22,7,0,0,393,3,9,37,27,28,27,4,0,0,135,9,13,36,28,20,14,3,0,0,123,3,18,70,75,72,39,11,0,0,288,3,14,33,31,51,42,18,0,0,192,6,95,384,350,285,204,67,4,0,1395,4,27,69,38,28,35,11,0,0,212,0,22,107,85,113,91,21,0,0,439,26,47,130,124,205,207,32,4,0,775,14,91,300,233,282,221,62,8,0,1211,12,25,39,23,25,26,3,0,0,153
POA6009,6,11,8,17,19,12,4,0,0,77,217,492,559,642,824,640,185,20,3,3582,0,7,0,0,12,12,13,7,0,51,3,29,59,92,134,67,12,3,0,399,22,20,41,44,47,43,16,0,0,233,0,0,16,9,22,20,3,0,0,70,7,30,52,64,63,63,16,3,0,298,7,13,20,31,45,33,10,0,0,159,112,193,100,66,93,67,39,6,0,676,131,146,81,37,30,24,9,5,0,463,0,16,16,22,23,24,12,0,0,113,3,20,13,14,13,16,8,0,0,87,3,17,56,85,78,44,21,6,0,310,0,19,24,44,60,39,27,12,0,225,15,130,228,243,290,240,82,8,0,1236,9,30,41,42,37,42,13,0,0,214,0,29,68,42,86,94,25,0,0,344,40,78,133,170,258,208,62,6,0,955,21,119,189,286,386,338,108,21,0,1468,17,32,16,17,24,17,7,0,3,133
POA6010,3,6,8,9,14,15,3,3,0,61,222,408,562,598,856,616,154,13,0,3429,0,5,4,4,14,25,21,4,0,77,0,23,100,127,140,60,17,0,0,467,17,20,43,46,53,48,17,0,0,244,0,4,9,7,9,6,0,0,0,35,9,54,73,62,72,44,17,3,0,334,7,17,26,27,53,36,11,8,0,185,145,147,88,75,78,82,29,9,0,653,108,129,59,25,33,25,7,0,0,386,8,11,15,26,22,17,7,0,0,106,5,25,13,13,26,11,3,0,0,96,6,12,53,60,73,49,21,3,0,277,6,23,30,37,40,51,24,3,0,214,15,74,191,222,299,214,76,10,0,1101,9,16,31,31,40,40,6,0,0,173,0,17,111,98,83,93,17,7,0,426,48,75,97,131,256,218,41,6,0,872,15,83,134,231,331,247,76,13,0,1130,13,18,25,14,23,19,9,0,0,121
POA6011,6,3,10,7,8,5,3,3,0,45,116,203,384,341,441,349,86,15,0,1935,3,3,0,0,7,17,10,0,0,40,0,11,72,67,69,44,10,0,0,273,6,13,24,24,49,36,23,4,0,179,0,0,9,8,9,0,0,0,0,26,6,42,59,27,53,37,12,3,0,239,3,14,17,22,32,25,8,4,0,125,58,82,44,45,61,47,13,3,0,353,53,58,50,34,30,17,6,0,0,248,0,7,21,18,22,11,3,0,0,82,3,8,15,14,11,13,3,0,0,67,3,6,42,45,58,32,20,0,0,206,0,7,22,29,39,38,17,7,0,159,4,60,151,137,178,136,38,7,0,711,8,13,27,22,25,25,7,0,0,127,0,10,49,34,29,42,9,0,0,173,25,27,60,50,107,101,20,3,0,393,9,41,120,120,166,144,32,5,0,637,8,10,21,7,3,7,6,3,0,65
