region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA6000,4,12,65,20,12,15,0,3,0,131,0,24,60,20,11,5,3,0,0,123,80,739,2418,963,696,459,88,12,0,5455
POA6003,3,12,23,0,12,3,3,0,0,56,0,8,22,9,4,3,0,0,0,46,35,262,791,299,213,127,27,3,0,1757
POA6004,4,20,40,18,12,16,3,0,0,113,4,11,33,21,11,5,3,0,0,88,79,580,1923,800,648,551,125,9,0,4715
POA6005,3,8,27,11,14,9,3,3,0,78,3,12,23,10,10,6,3,3,0,70,54,394,1345,496,385,256,81,15,5,3031
POA6006,7,17,37,40,33,22,5,4,0,165,6,13,11,19,14,4,3,3,0,73,164,520,1282,1124,931,502,84,13,0,4620
POA6007,4,13,32,23,14,12,3,0,0,101,0,10,18,15,0,8,3,0,0,54,106,417,1335,837,637,482,91,13,0,3918
POA6008,3,26,33,20,21,19,9,0,0,131,6,10,36,27,25,16,5,0,0,125,285,722,1898,1524,1535,1213,317,21,0,7515
POA6009,18,15,29,23,23,30,7,0,0,145,10,24,25,36,36,29,12,0,0,172,418,967,1207,1367,1760,1450,502,77,3,7751
POA6010,11,21,27,19,51,31,12,0,0,172,8,13,19,26,24,25,14,3,0,132,430,787,1148,1281,1720,1341,425,69,0,7201
POA6011,8,10,12,12,18,15,0,0,0,75,6,9,20,15,19,14,7,3,0,93,203,431,835,730,985,801,244,42,0,4271
POA6012,7,13,18,23,18,16,4,0,0,99,9,4,15,8,26,14,6,0,0,82,215,416,881,805,881,680,223,21,0,4122
POA6014,10,38,62,46,69,37,11,3,0,276,11,9,32,45,38,24,9,6,5,179,514,1055,2052,2286,2266,1345,277,54,5,9854
POA6015,3,10,3,10,10,14,8,0,0,58,0,6,11,10,21,14,6,3,0,71,211,268,197,538,883,494,191,53,9,2844
