region_id,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
POA6000,6,0,4,0,0,0,0,9,3,22,70,230,56,3,65,3,23,4,3,457,41,54,56,4,29,5,29,31,5,254,7,18,3,0,19,0,0,3,3,53,66,67,133,3,42,3,15,60,0,389,33,39,10,3,24,14,14,4,3,144,94,35,34,16,23,155,10,18,3,388,108,11,97,191,20,18,0,100,3,548,22,28,9,22,34,5,33,6,3,162,16,47,10,3,16,9,3,3,0,107,28,75,7,0,81,8,0,0,3,202,20,13,4,4,13,33,0,7,3,97,106,618,91,0,101,9,8,0,4,937,34,74,9,26,34,3,6,67,3,256,51,126,13,42,94,0,0,4,4,334,30,216,6,22,22,0,0,4,0,300,24,246,18,94,45,0,0,21,3,451,22,34,8,25,8,0,0,4,0,101,18,21,49,18,12,3,0,10,0,131,12,37,12,3,12,3,9,13,22,123
POA6003,0,0,0,0,0,0,0,0,0,0,15,57,5,0,13,0,6,0,0,96,17,11,17,0,9,3,12,13,0,82,4,9,0,0,5,0,0,0,0,18,20,22,49,0,13,0,0,15,0,119,10,10,3,0,7,6,3,0,3,42,43,18,10,6,8,63,3,7,0,158,23,3,50,94,6,6,3,29,3,217,3,6,0,0,7,0,15,0,0,31,4,17,3,0,7,3,0,0,0,34,9,13,4,0,23,0,0,3,0,52,3,4,3,4,5,6,3,3,0,31,27,172,23,0,37,4,0,3,0,266,10,14,5,11,6,0,3,50,0,99,10,42,4,12,33,5,0,7,0,113,9,77,5,4,11,0,0,3,0,109,3,69,6,30,21,0,0,9,0,138,6,21,3,12,3,3,0,0,0,48,4,13,19,11,6,3,0,0,0,56,4,8,3,0,3,0,8,7,15,48
POA6004,3,3,0,0,0,0,0,0,0,6,78,225,37,0,58,5,28,5,0,436,48,34,43,3,28,18,12,24,3,213,13,29,0,0,15,0,0,0,0,57,61,75,119,0,54,11,12,29,3,364,31,23,13,0,19,25,4,4,3,122,71,25,14,3,13,105,15,19,3,268,69,3,90,180,21,27,3,71,3,467,28,19,3,6,31,3,23,11,0,124,10,37,9,0,15,3,0,0,3,77,26,82,3,0,65,9,3,0,3,191,26,8,0,3,18,40,0,3,3,101,108,596,59,0,103,3,0,3,3,875,24,48,6,22,17,4,4,88,3,216,31,115,7,45,79,0,0,3,5,285,31,141,4,10,27,3,0,0,3,219,25,230,6,89,48,0,3,15,5,421,17,13,7,18,8,3,0,3,0,69,10,6,38,33,13,3,0,5,3,111,11,17,7,6,12,0,0,9,30,92
POA6005,6,0,0,0,0,0,0,0,0,6,42,159,21,0,39,0,15,7,0,283,21,44,32,3,12,3,9,10,0,134,6,16,4,0,12,0,0,0,0,38,31,45,75,0,35,4,7,21,0,218,15,23,10,0,8,4,6,3,3,72,37,17,14,3,11,85,3,7,3,180,47,3,53,64,8,8,0,40,7,230,10,17,7,6,15,0,16,9,0,80,10,33,6,0,4,10,0,0,0,63,15,60,0,0,48,3,0,0,6,132,8,9,0,0,13,25,4,4,0,63,66,404,32,0,59,0,0,6,7,574,21,32,3,14,9,3,3,26,0,111,15,65,10,24,47,0,0,3,0,164,10,138,0,14,13,3,0,0,0,178,15,181,10,51,30,0,0,11,5,303,13,13,10,11,6,0,0,0,0,53,4,22,23,9,5,4,0,9,0,76,10,19,7,3,4,3,3,7,14,70
POA6006,3,3,3,0,3,0,0,0,0,12,43,128,30,0,39,0,17,9,4,270,34,49,50,3,15,12,23,20,5,211,11,16,5,0,8,0,4,0,0,44,53,41,148,0,33,9,11,36,4,335,34,16,4,3,15,26,12,5,0,115,93,35,16,3,27,191,7,15,3,390,47,3,61,118,13,17,4,50,3,316,22,13,3,12,34,3,18,3,3,111,15,36,11,0,13,12,0,4,0,91,30,74,5,0,51,12,0,0,0,172,14,14,0,0,16,47,3,0,0,94,78,464,55,3,90,9,0,5,3,707,31,31,6,16,25,4,0,41,0,154,57,107,9,48,93,0,0,3,4,321,46,284,18,41,47,3,0,4,0,443,34,265,23,75,67,0,5,18,4,491,19,40,10,19,15,0,0,4,0,107,12,22,67,27,22,4,0,8,0,162,15,10,6,4,9,3,3,8,15,73
POA6007,3,0,4,0,0,0,0,0,0,7,46,127,10,0,32,0,18,7,0,240,35,27,31,3,20,5,12,10,0,143,10,25,6,0,19,0,0,0,0,60,42,56,115,0,23,3,5,35,3,282,24,11,12,0,17,10,8,4,0,86,67,21,6,4,15,152,8,24,0,297,56,6,58,93,7,16,0,30,3,269,10,23,4,0,12,6,20,0,0,75,10,40,6,0,13,10,0,0,0,79,32,69,0,0,37,3,0,0,0,141,11,7,0,0,10,33,0,4,3,68,74,460,43,0,71,10,0,0,3,661,19,26,8,19,16,7,0,23,0,118,28,87,11,34,58,0,0,0,3,221,31,266,7,22,36,3,0,3,3,371,21,378,14,58,66,0,3,20,3,563,10,31,8,17,7,3,0,5,0,81,3,25,32,15,15,3,0,7,0,100,8,12,6,3,5,3,4,5,9,55
POA6008,13,4,0,0,3,0,0,4,0,24,140,294,23,0,83,0,15,10,7,572,68,54,56,10,24,31,12,19,3,277,18,36,8,0,9,0,3,0,0,74,77,61,119,0,47,9,7,32,5,357,51,32,5,0,23,34,13,3,0,161,103,49,21,6,25,235,6,30,3,478,73,7,42,165,12,37,5,48,3,392,29,36,6,6,31,7,17,4,0,136,13,68,6,3,12,14,0,7,0,123,64,123,0,5,87,4,0,0,5,288,29,30,8,0,23,91,3,6,5,195,149,992,67,4,166,8,0,4,7,1397,41,58,15,28,28,4,0,33,3,210,81,186,18,60,80,0,3,8,3,439,68,548,19,57,66,3,0,12,3,776,59,791,36,128,139,8,9,40,0,1210,32,49,5,40,19,7,0,0,0,152,18,26,32,19,13,3,4,14,0,129,19,42,10,4,19,3,0,4,25,126
POA6009,42,0,0,0,4,0,0,6,0,52,151,181,6,3,36,0,16,3,4,400,79,42,28,9,26,25,9,17,0,235,20,28,4,0,8,3,6,3,0,72,120,50,54,0,33,11,3,22,3,296,70,21,5,0,29,19,8,4,3,159,144,72,19,8,37,352,11,29,7,679,70,3,40,197,26,32,16,76,4,464,25,28,5,3,21,8,15,7,0,112,16,46,10,0,3,8,3,0,0,86,56,174,0,0,63,3,0,0,13,309,38,31,5,0,38,102,3,4,3,224,176,832,40,0,160,3,5,3,18,1237,43,40,13,24,25,0,0,61,5,211,54,178,11,21,66,0,0,9,4,343,61,673,25,86,78,10,0,15,6,954,71,1021,27,116,193,6,3,22,7,1466,21,54,6,29,12,3,0,7,3,135,21,31,32,25,22,7,0,8,0,146,31,44,4,13,25,11,4,4,36,172
POA6010,49,5,5,0,9,0,0,7,0,75,159,203,20,3,55,0,17,7,3,467,84,46,43,4,32,15,7,12,3,246,13,17,0,0,7,0,0,0,0,37,86,49,88,3,44,13,4,45,3,335,72,34,7,0,19,32,15,3,3,185,132,44,21,12,33,358,17,33,4,654,59,12,19,197,12,38,7,41,3,388,20,21,4,11,17,6,17,8,0,104,24,40,4,0,13,7,0,6,0,94,67,139,0,0,52,6,0,0,10,274,34,42,0,0,25,96,4,4,6,211,173,699,56,3,144,10,5,0,11,1101,32,46,13,23,28,8,0,21,3,174,75,156,25,79,79,3,7,3,0,427,78,570,24,125,64,0,0,11,0,872,51,718,24,139,164,3,4,22,4,1129,28,33,6,37,10,3,0,0,4,121,23,23,42,42,19,3,4,14,3,173,22,33,5,7,23,4,0,9,29,132
POA6011,29,3,3,0,3,0,0,4,0,42,103,125,11,0,13,5,11,5,0,273,77,31,27,0,18,11,8,8,0,180,7,10,4,0,0,4,0,0,0,25,65,25,81,3,34,5,4,21,0,238,57,17,3,0,19,22,5,3,0,126,90,35,17,3,9,178,9,13,0,354,68,7,18,101,15,14,3,20,3,249,17,22,5,14,12,0,7,5,0,82,7,35,8,0,4,4,3,0,3,64,36,109,0,0,50,0,0,0,10,205,34,20,0,0,18,73,3,3,7,158,86,505,26,3,75,8,0,0,7,710,29,35,14,11,12,3,3,21,0,128,41,79,5,20,26,0,0,3,3,177,24,278,7,51,23,0,0,6,3,392,28,449,13,67,70,4,3,0,4,638,8,18,7,18,0,5,0,5,0,61,9,21,19,18,5,0,0,4,0,76,15,21,3,7,14,11,0,0,23,94
