region_id,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA6000,808,1989,629,479,694,271,150,368,68,5456
POA6003,224,586,212,184,223,102,56,149,21,1757
POA6004,721,1729,465,418,644,262,107,292,76,4714
POA6005,402,1300,317,202,378,155,66,163,45,3028
POA6006,691,1651,530,372,635,352,107,233,48,4619
POA6007,540,1697,381,268,479,267,78,177,30,3917
POA6008,1145,3486,496,535,909,498,97,278,72,7516
POA6009,1309,3549,334,534,905,603,102,300,116,7752
POA6010,1281,2930,406,685,849,605,108,246,89,7199
POA6011,830,1845,271,316,420,347,59,121,63,4272
POA6012,656,1526,336,388,486,372,82,228,49,4123
POA6014,1420,3891,848,802,1279,785,225,481,121,9852
POA6015,595,1149,154,180,344,239,46,95,43,2845
POA6016,706,1696,589,465,703,375,152,389,70,5145
POA6017,196,490,347,214,291,201,141,237,27,2144
POA6018,2492,5454,2135,1406,2659,1506,552,1007,210,17421
POA6019,1522,3549,1569,1003,1532,872,315,659,128,11149
POA6020,1715,3201,1301,936,1701,1063,295,540,106,10858
POA6021,1178,2157,1506,798,1574,893,526,857,153,9642
POA6022,258,608,426,243,462,243,130,217,45,2632
POA6023,1087,2356,1138,724,1273,747,229,433,87,8074
POA6024,723,1630,1193,723,1262,717,398,556,67,7269
POA6025,1978,3559,2705,1577,2648,1534,722,1188,228,16139
POA6026,1452,2630,2000,1193,2294,1249,526,824,121,12289
POA6027,2571,4460,4246,2405,3758,2358,1100,1875,276,23049
POA6028,1412,2128,1946,1139,1896,1226,470,777,144,11138
POA6029,241,439,148,126,184,109,29,70,11,1357
POA6030,1719,2629,3457,1861,2577,1755,1142,1876,227,17243
POA6031,566,863,1182,631,955,559,384,545,69,5754
POA6032,28,22,19,8,15,16,6,13,0,127
POA6033,63,41,79,24,48,36,27,36,9,363
POA6035,134,252,409,215,255,153,176,225,23,1842
POA6036,514,773,1189,574,793,499,339,490,49,5220
POA6037,62,100,183,89,118,66,127,112,14,871
POA6041,58,44,100,26,66,31,64,75,12,476
POA6042,7,3,4,0,0,3,3,11,0,31
POA6043,13,6,12,6,6,6,6,15,3,73
POA6044,145,61,79,34,59,38,67,112,10,605
POA6050,1237,2892,701,721,1129,711,193,401,87,8072
POA6051,781,1989,978,685,983,517,402,551,96,6982
POA6052,765,1676,696,493,873,484,225,317,70,5599
POA6053,853,1874,1085,681,1071,573,389,509,104,7139
POA6054,901,1864,1682,1011,1514,830,751,1007,163,9723
POA6055,740,979,1048,560,967,487,495,525,107,5908
POA6056,1691,2403,3201,1850,2862,1783,1873,1894,289,17846
POA6057,865,994,1610,753,1534,766,969,795,127,8413
POA6058,486,619,1141,579,1060,556,748,622,105,5916
POA6059,1392,2622,1480,1022,1859,1129,565,877,178,11124
POA6060,1212,3137,1561,1089,1892,1068,576,996,173,11704
POA6061,946,2135,2347,1609,2003,1300,1387,2134,330,14191
POA6062,1466,2642,2741,1505,2625,1542,1141,1523,239,15424
POA6063,499,742,1328,692,1113,680,772,900,123,6849
POA6064,1082,1566,2582,1573,1998,1302,1319,2081,285,13788
POA6065,3006,4442,5274,2621,4433,2609,1730,2504,338,26957
POA6066,918,1215,1754,1001,1642,1083,853,1090,179,9735
POA6067,3,0,3,0,3,3,3,3,0,18
POA6068,0,0,3,0,0,0,0,0,0,3
POA6069,1578,1888,2205,1358,2224,1261,1019,1029,145,12707
POA6070,287,581,227,145,252,163,56,90,22,1823
POA6071,247,447,250,182,278,146,75,131,15,1771
