region_id,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
POA6000,4,3,5,4,4,6,3,8,3,40,30,73,60,55,32,31,14,56,7,358,167,604,231,92,114,38,47,101,13,1407,135,228,96,26,44,16,27,35,12,619,104,143,72,19,37,11,26,25,4,441,69,90,43,10,20,9,19,29,4,293,9,23,7,3,9,7,0,3,3,64,3,3,0,0,0,3,3,3,0,15,0,0,0,0,0,0,0,0,0,0,521,1167,514,209,260,121,139,260,46,3237,0,4,3,8,6,12,0,7,0,40,26,89,29,84,78,43,3,23,5,380,119,458,51,119,177,37,4,39,5,1009,64,134,13,23,61,27,0,18,3,343,44,74,6,21,68,18,3,14,7,255,26,57,14,14,35,11,0,8,0,165,3,4,0,0,10,3,3,0,0,23,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,285,820,116,269,435,151,13,109,20,2218
POA6003,3,0,0,4,0,0,0,4,3,14,9,26,27,19,11,13,11,19,3,138,44,165,87,26,35,11,18,40,3,429,51,67,23,12,16,9,7,6,8,199,26,28,24,5,7,5,11,8,0,114,14,22,17,8,0,6,3,8,0,78,0,8,0,0,0,3,4,0,3,18,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,147,319,178,74,69,47,54,85,20,993,0,3,0,3,3,5,0,8,0,22,7,21,4,40,31,10,3,5,3,124,33,139,22,46,73,22,0,28,0,363,15,47,4,5,19,5,0,6,0,101,17,41,0,6,22,5,0,8,0,99,6,16,3,9,6,4,0,4,0,48,0,0,0,0,0,3,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,267,33,109,154,54,3,62,3,763
POA6004,4,0,14,5,3,3,0,5,3,37,17,81,47,38,22,19,7,42,5,278,118,443,187,66,78,37,30,83,20,1062,118,212,59,31,36,26,20,20,6,528,115,127,46,13,26,13,17,18,9,384,87,115,31,10,21,24,10,13,6,317,28,33,0,0,8,10,5,9,0,93,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,490,1016,384,163,194,132,89,190,49,2707,0,0,3,11,13,15,0,0,0,42,17,62,17,74,71,33,5,20,4,303,73,386,32,101,172,33,4,52,8,861,49,96,13,28,58,12,0,12,5,273,47,78,7,29,68,22,4,6,4,265,43,79,10,12,58,15,3,12,3,235,4,14,0,0,11,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,715,82,255,451,130,16,102,24,2008
POA6005,3,0,5,3,3,6,0,5,0,25,9,53,42,23,10,11,7,23,3,181,75,391,121,31,40,19,24,32,10,743,70,133,41,9,22,10,10,12,6,313,50,95,25,7,12,4,9,15,8,225,39,61,16,3,11,9,10,8,3,160,12,18,4,3,5,3,3,6,3,57,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,5,261,756,254,79,103,67,63,101,33,1717,3,0,5,6,4,8,0,0,0,26,7,62,15,44,51,23,0,10,3,215,64,318,22,50,99,28,0,20,3,604,29,80,10,14,35,6,0,11,0,185,24,47,8,6,49,12,3,11,3,163,15,27,0,3,31,7,0,10,3,96,3,9,0,0,5,3,0,0,0,20,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,145,543,60,123,274,87,3,62,15,1312
POA6006,3,3,11,15,0,26,3,18,3,82,13,50,55,30,24,29,12,30,3,246,73,238,123,40,44,39,25,42,5,629,127,228,98,29,41,26,24,21,4,598,128,181,67,13,36,20,19,28,5,497,64,85,41,10,22,19,15,21,3,280,10,17,8,0,8,6,3,7,0,59,0,3,4,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,418,805,407,137,175,165,101,167,26,2401,0,3,7,21,12,32,0,3,3,81,19,56,10,63,63,51,0,12,0,274,72,310,41,64,114,35,3,10,4,653,92,228,25,29,105,29,0,11,6,525,63,155,27,39,98,32,0,16,4,434,27,84,8,15,60,8,5,13,3,223,0,6,3,3,6,0,0,4,3,25,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,273,846,121,234,458,187,8,69,23,2219
POA6007,0,0,9,6,5,19,0,13,0,52,9,60,48,20,17,25,8,18,3,208,88,331,120,39,34,32,21,40,5,710,99,220,48,12,18,23,16,14,3,453,79,146,34,8,21,20,7,15,3,333,55,88,34,12,10,11,18,14,3,245,11,20,10,0,3,3,0,9,0,56,0,3,3,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,341,868,306,97,108,133,70,123,20,2066,0,3,3,10,8,26,3,3,0,56,12,57,8,47,51,24,0,9,0,208,62,328,30,52,106,24,0,15,6,623,58,196,17,22,65,17,0,9,0,384,50,132,10,18,63,16,3,8,3,303,17,102,3,17,71,20,0,7,0,237,0,8,3,5,8,4,0,4,0,32,0,3,3,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,199,829,77,171,372,134,6,55,9,1852
POA6008,4,4,15,28,4,42,3,30,0,130,10,98,66,49,23,47,16,45,3,357,121,523,112,70,73,25,18,36,7,985,182,408,69,33,43,25,16,31,6,813,202,384,56,18,47,27,14,31,5,784,172,289,47,16,49,28,13,25,8,647,34,100,16,5,15,10,5,8,3,196,4,8,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,729,1814,381,219,254,204,85,209,32,3927,0,8,5,52,17,57,0,9,4,152,19,100,14,79,73,70,0,6,3,364,89,504,35,57,146,53,6,18,4,912,112,390,16,32,101,27,4,15,13,710,102,365,20,50,158,40,0,7,9,751,76,248,20,38,134,33,3,8,5,565,17,54,3,8,24,13,0,3,0,122,3,3,0,0,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,418,1672,113,316,656,293,13,70,38,3589
POA6009,0,21,14,43,14,45,14,46,4,201,19,122,52,75,42,69,25,64,8,476,81,323,63,38,29,41,16,45,11,647,187,400,34,6,31,22,7,23,14,724,298,476,41,14,39,36,15,12,6,937,231,423,34,12,35,32,12,19,11,809,74,161,12,3,24,17,5,6,15,317,11,34,0,0,6,3,0,0,4,58,0,0,0,0,0,0,0,0,0,0,901,1960,250,191,220,265,94,215,73,4169,5,15,3,68,25,90,0,12,0,218,16,142,17,100,94,111,0,12,0,492,53,296,18,49,81,29,3,24,5,558,93,346,15,32,111,24,3,11,8,643,128,399,13,50,167,44,0,11,11,823,74,307,16,34,159,28,3,10,10,641,34,78,4,7,44,11,0,3,4,185,6,5,0,0,4,0,0,0,3,18,0,0,0,0,0,0,0,4,0,4,409,1588,86,340,685,337,9,87,41,3582
POA6010,6,16,20,47,10,65,10,34,0,208,17,77,62,69,22,59,23,47,3,379,78,248,84,64,35,31,11,29,7,587,188,309,43,39,37,24,11,22,10,683,304,383,47,21,37,27,19,16,9,863,192,321,44,21,42,43,17,31,14,725,87,120,8,3,15,14,8,6,11,272,12,32,0,0,3,3,0,0,3,53,0,0,0,0,0,0,0,0,0,0,884,1506,308,264,201,266,99,185,57,3770,5,12,3,75,21,92,0,11,3,222,23,102,15,99,77,85,0,6,0,407,73,255,24,58,87,43,3,18,0,561,87,288,13,56,107,28,3,9,7,598,112,414,22,77,169,41,0,11,10,856,78,298,19,42,134,35,3,3,4,616,20,49,0,13,46,13,0,5,6,152,0,6,0,0,7,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,398,1424,96,420,648,340,9,63,30,3428
POA6011,3,4,11,20,3,19,3,25,0,88,11,50,44,30,9,45,15,19,3,226,46,220,65,33,26,17,12,23,10,452,117,190,27,16,6,16,5,5,8,390,192,255,24,0,23,24,6,10,9,543,139,221,27,6,18,19,5,9,7,451,52,68,10,6,6,7,0,3,5,157,8,15,0,0,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,568,1023,208,111,94,150,46,94,42,2336,0,5,3,49,9,41,0,6,0,113,8,51,5,47,38,47,0,3,4,203,44,206,9,42,53,22,3,5,0,384,62,161,14,12,63,19,3,3,4,341,78,205,19,26,73,34,3,4,0,442,56,158,9,21,73,21,3,3,6,350,15,34,0,8,16,9,0,3,3,88,0,3,3,0,3,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,263,823,62,205,328,196,12,27,20,1936
