region_id,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA6000,4,7,8,12,10,18,3,15,3,80,56,162,89,139,110,74,17,79,12,738,286,1062,282,211,291,75,51,140,18,2416,199,362,109,49,105,43,27,53,15,962,148,217,78,40,105,29,29,39,11,696,95,147,57,24,55,20,19,37,4,458,12,27,7,3,19,10,3,3,3,87,6,3,0,0,0,3,3,3,0,18,0,0,0,0,0,0,0,0,0,0,806,1987,630,478,695,272,152,369,66,5455
POA6003,3,3,0,7,3,5,0,12,3,36,16,47,31,59,42,23,14,24,6,262,77,304,109,72,108,33,18,68,3,792,66,114,27,17,35,14,7,12,8,300,43,69,24,11,29,10,11,16,0,213,20,38,20,17,6,10,3,12,0,126,0,8,0,0,0,6,4,3,3,24,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,225,586,211,183,223,101,57,147,23,1756
POA6004,4,0,17,16,16,18,0,5,3,79,34,143,64,112,93,52,12,62,9,581,191,829,219,167,250,70,34,135,28,1923,167,308,72,59,94,38,20,32,11,801,162,205,53,42,94,35,21,24,13,649,130,194,41,22,79,39,13,25,9,552,32,47,0,0,19,10,5,9,0,122,3,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,723,1731,466,418,645,262,105,292,73,4715
POA6005,6,0,10,9,7,14,0,5,0,51,16,115,57,67,61,34,7,33,6,396,139,709,143,81,139,47,24,52,13,1347,99,213,51,23,57,16,10,23,6,498,74,142,33,13,61,16,12,26,11,388,54,88,16,6,42,16,10,18,6,256,15,27,4,3,10,6,3,6,3,77,3,5,0,0,0,0,0,0,3,11,0,0,0,0,0,5,0,0,0,5,406,1299,314,202,377,154,66,163,48,3029
POA6006,3,6,18,36,12,58,3,21,6,163,32,106,65,93,87,80,12,42,3,520,145,548,164,104,158,74,28,52,9,1282,219,456,123,58,146,55,24,32,10,1123,191,336,94,52,134,52,19,44,9,931,91,169,49,25,82,27,20,34,6,503,10,23,11,3,14,6,3,11,3,84,0,7,4,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,691,1651,528,371,633,352,109,236,49,4620
POA6007,0,3,12,16,13,45,3,16,0,108,21,117,56,67,68,49,8,27,3,416,150,659,150,91,140,56,21,55,11,1333,157,416,65,34,83,40,16,23,3,837,129,278,44,26,84,36,10,23,6,636,72,190,37,29,81,31,18,21,3,482,11,28,13,5,11,7,0,13,0,88,0,6,6,0,0,3,0,0,3,18,0,0,0,0,0,0,0,0,0,0,540,1697,383,268,480,267,76,178,29,3918
POA6008,4,12,20,80,21,99,3,39,4,282,29,198,80,128,96,117,16,51,6,721,210,1027,147,127,219,78,24,54,11,1897,294,798,85,65,144,52,20,46,19,1523,304,749,76,68,205,67,14,38,14,1535,248,537,67,54,183,61,16,33,13,1212,51,154,19,13,39,23,5,11,3,318,7,11,0,0,3,0,0,7,0,28,0,0,0,0,0,0,0,0,0,0,1147,3486,494,535,910,497,98,279,70,7516
POA6009,5,36,17,111,39,135,14,58,4,419,35,264,69,175,136,180,25,76,8,968,134,619,81,87,110,70,19,69,16,1205,280,746,49,38,142,46,10,34,22,1367,426,875,54,64,206,80,15,23,17,1760,305,730,50,46,194,60,15,29,21,1450,108,239,16,10,68,28,5,9,19,502,17,39,0,0,10,3,0,0,7,76,0,0,0,0,0,0,0,4,0,4,1310,3548,336,531,905,602,103,302,114,7751
POA6010,11,28,23,122,31,157,10,45,3,430,40,179,77,168,99,144,23,53,3,786,151,503,108,122,122,74,14,47,7,1148,275,597,56,95,144,52,14,31,17,1281,416,797,69,98,206,68,19,27,19,1719,270,619,63,63,176,78,20,34,18,1341,107,169,8,16,61,27,8,11,17,424,12,38,0,0,10,6,0,0,3,69,0,0,0,0,0,0,0,0,0,0,1282,2930,404,684,849,606,108,248,87,7198
POA6011,3,9,14,69,12,60,3,31,0,201,19,101,49,77,47,92,15,22,7,429,90,426,74,75,79,39,15,28,10,836,179,351,41,28,69,35,8,8,12,731,270,460,43,26,96,58,9,14,9,985,195,379,36,27,91,40,8,12,13,801,67,102,10,14,22,16,0,6,8,245,8,18,3,0,6,6,0,0,3,44,0,0,0,0,0,0,0,0,0,0,831,1846,270,316,422,346,58,121,62,4272
POA6012,4,9,11,59,17,76,3,34,3,216,16,85,49,87,57,73,17,34,0,418,91,367,105,83,104,65,9,49,8,881,172,337,54,57,91,41,15,29,9,805,189,374,61,48,105,43,13,35,13,881,130,269,48,47,81,43,22,36,5,681,50,77,11,6,27,25,4,12,10,222,3,8,0,0,0,5,0,0,3,19,0,0,0,0,0,0,0,0,0,0,655,1526,339,387,482,371,83,229,51,4123
POA6014,10,29,30,110,40,199,18,74,3,513,47,261,140,186,138,165,16,95,8,1056,184,892,229,163,243,139,61,115,26,2052,451,1054,140,134,286,88,43,66,26,2288,458,985,177,120,308,101,41,60,18,2268,225,557,101,64,215,73,34,53,23,1345,38,96,24,24,45,21,12,11,6,277,6,15,7,3,5,0,0,5,8,49,0,0,0,0,0,0,0,0,4,4,1419,3889,848,804,1280,786,225,479,122,9852
POA6015,8,9,16,45,19,78,5,31,0,211,9,71,28,50,31,47,4,22,6,268,17,95,19,13,19,16,8,9,0,196,137,250,19,21,75,17,10,6,4,539,247,395,41,36,93,39,8,12,13,884,122,225,23,7,67,22,10,12,6,494,40,83,7,3,34,16,0,0,9,192,15,23,0,3,5,0,0,0,6,52,0,0,0,0,4,4,0,0,0,8,595,1151,153,178,347,239,45,92,44,2844
POA6016,3,5,12,43,19,62,9,23,0,176,33,97,94,83,66,76,18,73,11,551,152,493,195,147,175,97,33,140,18,1450,252,576,112,78,194,63,45,53,18,1391,180,347,116,71,150,47,26,42,13,992,79,149,58,37,87,20,17,45,7,499,6,28,3,9,9,9,3,12,0,79,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,705,1695,590,468,704,374,151,388,67,5142
POA6017,0,3,6,7,0,20,0,8,0,44,17,53,51,41,39,43,14,32,4,294,92,247,152,87,111,79,50,92,12,922,37,106,70,28,54,29,29,36,4,393,36,46,36,28,37,17,22,33,4,259,13,29,25,20,39,10,23,31,3,193,0,5,6,3,10,3,3,7,0,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,198,489,346,214,290,201,141,239,27,2145
POA6018,9,12,94,152,68,369,29,161,7,901,88,334,291,279,275,251,59,139,17,1733,476,1549,638,287,510,244,139,194,46,4083,785,1556,420,252,637,218,127,167,57,4219,675,1142,395,236,619,207,96,167,39,3576,364,692,244,171,447,163,86,123,21,2311,85,154,45,29,98,47,17,46,15,536,10,15,8,0,5,6,0,10,8,62,0,0,0,0,0,0,0,0,0,0,2492,5454,2135,1406,2659,1505,553,1007,210,17421
POA6019,7,21,70,93,37,159,7,55,10,459,54,219,251,214,169,144,51,111,13,1226,324,1174,609,298,385,202,85,218,26,3321,438,881,286,147,322,124,72,102,30,2402,419,704,204,144,283,108,54,87,20,2023,224,446,110,85,276,96,42,54,22,1355,49,92,35,21,55,35,3,23,8,321,6,11,6,0,6,3,0,8,0,40,0,0,0,0,0,0,0,0,0,0,1521,3548,1571,1002,1533,871,314,658,129,11147
POA6020,8,26,65,171,45,280,15,106,7,723,50,198,195,176,123,168,34,90,9,1043,160,489,240,116,178,100,42,75,18,1418,393,723,232,147,326,120,43,73,19,2076,557,895,267,180,450,162,69,72,18,2670,460,715,244,140,477,176,66,95,25,2398,76,147,54,8,95,54,21,24,13,492,8,8,3,0,6,3,3,6,0,37,0,0,0,0,0,0,0,0,0,0,1712,3201,1300,938,1700,1063,293,541,109,10857
POA6021,6,7,73,60,41,179,9,77,6,458,49,166,228,96,138,143,47,106,14,987,239,753,367,182,340,138,132,154,32,2337,349,574,315,172,380,165,108,153,32,2248,294,359,273,152,351,135,114,161,30,1869,183,252,195,118,265,114,88,150,23,1388,48,48,52,18,51,21,26,46,15,325,12,0,0,0,3,0,3,6,0,24,0,0,0,0,3,0,0,3,0,6,1180,2159,1503,798,1572,895,527,856,152,9642
POA6022,4,0,22,18,5,56,4,23,3,135,4,34,58,22,35,42,5,39,6,245,55,151,105,49,86,34,24,34,10,548,74,148,112,50,102,35,24,40,7,592,53,136,64,36,100,37,29,31,8,494,58,110,48,63,115,28,30,39,9,500,10,30,16,6,19,12,12,10,0,115,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,258,609,425,244,462,244,131,216,43,2632
