region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA6000,150,78,228,298,273,571,3,3,6,3,0,3,20,9,29,1122,674,1796,102,117,219,14,0,14,26,5,31,83,41,124,61,23,84,894,621,1515,2776,1844,4620,49,38,87,0,0,0,0,0,0,3,0,3,3,0,3,9,0,9,64,38,102,0,0,0,0,0,0,3,4,7,0,5,5,11,4,15,14,13,27,32,16,48,110,67,177,7,7,14,3,0,3,3,0,3,13,7,20,94,75,169,217,205,422,27,21,48,3237,2219,5456
POA6003,31,25,56,98,123,221,0,3,3,3,0,3,4,6,10,405,271,676,40,39,79,5,0,5,17,3,20,41,18,59,16,4,20,162,132,294,822,624,1446,21,18,39,0,0,0,0,0,0,0,3,3,0,0,0,7,3,10,28,24,52,0,0,0,0,0,0,0,0,0,3,3,6,3,3,6,6,6,12,8,3,11,42,33,75,9,3,12,0,0,0,0,0,0,9,3,12,33,16,49,75,78,153,13,8,21,994,762,1756
POA6004,101,57,158,496,467,963,4,0,4,0,0,0,8,5,13,1051,686,1737,83,111,194,12,0,12,25,3,28,60,20,80,44,17,61,427,316,743,2311,1682,3993,61,44,105,0,0,0,0,5,5,0,0,0,5,4,9,0,0,0,66,53,119,3,0,3,0,0,0,11,3,14,7,11,18,7,3,10,28,17,45,15,4,19,109,74,183,7,10,17,3,0,3,0,0,0,10,10,20,68,66,134,183,170,353,26,7,33,2707,2009,4716
POA6005,50,43,93,221,204,425,0,0,0,0,0,0,15,7,22,668,465,1133,58,66,124,4,0,4,20,9,29,70,19,89,20,14,34,336,261,597,1462,1088,2550,26,24,50,0,0,0,0,0,0,3,0,3,3,3,6,3,0,3,35,27,62,0,0,0,0,0,0,7,0,7,3,10,13,3,6,9,13,16,29,12,6,18,60,49,109,3,4,7,3,3,6,3,0,3,9,7,16,53,31,84,118,130,248,13,9,22,1715,1314,3029
POA6006,9,8,17,220,253,473,0,0,0,0,0,0,10,9,19,1393,1194,2587,95,137,232,16,0,16,39,10,49,124,40,164,35,4,39,105,104,209,2046,1759,3805,30,30,60,0,0,0,0,0,0,0,0,0,4,0,4,4,3,7,38,33,71,0,0,0,0,0,0,3,6,9,3,10,13,5,0,5,11,16,27,19,11,30,68,60,128,9,5,14,3,0,3,3,3,6,15,8,23,91,101,192,159,277,436,23,15,38,2402,2220,4622
POA6007,158,122,280,137,111,248,0,0,0,0,0,0,7,8,15,1051,884,1935,82,100,182,10,3,13,20,10,30,115,45,160,24,7,31,135,161,296,1739,1451,3190,35,44,79,0,0,0,0,0,0,6,0,6,5,3,8,6,5,11,52,52,104,0,0,0,0,0,0,3,3,6,4,4,8,0,3,3,7,10,17,13,5,18,72,67,139,11,6,17,0,0,0,0,0,0,11,6,17,71,69,140,157,247,404,15,12,27,2065,1852,3917
POA6008,223,194,417,370,362,732,0,0,0,0,3,3,14,10,24,1853,1508,3361,116,210,326,16,4,20,60,7,67,242,91,333,59,24,83,342,364,706,3295,2777,6072,44,32,76,0,0,0,0,0,0,7,5,12,6,5,11,9,6,15,66,48,114,3,0,3,0,0,0,12,7,19,7,8,15,4,4,8,26,19,45,14,17,31,106,84,190,10,7,17,4,0,4,0,3,3,14,10,24,185,198,383,293,486,779,37,34,71,3930,3589,7519
POA6009,42,21,63,329,256,585,0,0,0,3,0,3,12,7,19,2417,1827,4244,149,229,378,9,0,9,43,9,52,205,62,267,39,7,46,219,220,439,3467,2638,6105,18,11,29,0,0,0,0,0,0,15,9,24,0,3,3,3,0,3,36,23,59,3,0,3,0,0,0,11,6,17,7,18,25,4,0,4,25,24,49,26,13,39,87,60,147,10,5,15,3,3,6,3,3,6,16,11,27,222,292,514,334,538,872,43,43,86,4169,3582,7751
POA6010,245,214,459,164,131,295,0,0,0,0,3,3,10,9,19,2151,1854,4005,105,156,261,16,3,19,33,8,41,170,42,212,32,17,49,170,117,287,3096,2554,5650,21,20,41,0,0,0,0,0,0,24,27,51,12,7,19,3,3,6,60,57,117,0,0,0,0,0,0,8,18,26,5,7,12,0,3,3,13,28,41,30,15,45,103,100,203,19,4,23,0,4,4,3,0,3,22,8,30,206,240,446,306,488,794,38,39,77,3771,3429,7200
POA6011,219,152,371,38,49,87,0,0,0,0,3,3,9,0,9,1436,1033,2469,47,82,129,7,0,7,22,0,22,78,17,95,22,14,36,56,54,110,1934,1404,3338,17,14,31,0,0,0,0,0,0,9,15,24,5,3,8,7,5,12,38,37,75,0,0,0,0,0,0,3,7,10,3,0,3,0,0,0,6,7,13,15,4,19,59,48,107,8,5,13,3,0,3,0,0,0,11,5,16,114,172,286,191,284,475,26,23,49,2335,1936,4271
