POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA6000,6083,5339,11425,237,212,449,187,165,349,136,157,298,593,728,1315,2333,2041,4376,1052,802,1858,607,473,1083,534,368,895,274,222,492,108,109,215,32,56,92,5683,5011,10689,402,327,731,56,50,108,0,0,0,3,0,3,57,55,110,2247,1715,3965,2847,2796,5649,3229,2572,5800,1891,1984,3877,3246,2601,5850,33,38,72,139,144,277,95,110,202,269,320,589,518,607,1125,3781,3392,7173,325,241,561,408,299,710,83,75,163,72,99,173,33,39,73,4513,4125,8638,3444,2413,5854
POA6003,1822,1688,3509,41,46,92,61,67,127,35,38,69,157,188,339,713,704,1418,319,250,568,200,137,338,160,146,307,88,70,159,38,35,76,9,18,27,1735,1613,3347,82,83,165,11,4,23,0,0,0,0,0,0,15,8,23,710,650,1357,754,722,1476,992,877,1870,477,511,988,1033,954,1989,8,3,7,53,54,101,18,18,40,44,64,106,127,150,281,1073,1056,2130,93,60,156,143,91,238,24,23,47,22,26,50,7,9,16,1391,1353,2745,506,379,883
POA6004,5559,5036,10596,177,192,372,122,133,254,140,136,278,540,613,1155,1990,1824,3815,830,677,1507,595,487,1082,585,514,1097,377,317,694,158,112,277,40,39,70,5143,4764,9911,414,274,685,41,24,66,3,3,3,3,0,3,46,27,73,1767,1426,3195,2940,2865,5809,2801,2244,5044,1925,2082,4012,2848,2397,5248,17,27,44,100,113,217,109,90,196,217,267,486,428,529,954,3561,3285,6848,273,212,485,416,369,788,89,57,145,55,48,102,13,21,36,4396,4132,8525,1735,1288,3019
POA6005,2908,2717,5624,85,103,193,69,77,153,53,75,125,273,246,519,1053,1029,2086,489,384,876,317,253,570,229,208,437,208,169,380,98,90,188,27,88,115,2686,2550,5238,230,163,391,12,16,23,0,0,0,0,0,0,12,16,29,1116,1027,2142,1380,1318,2699,1672,1496,3167,829,861,1688,1659,1524,3183,6,19,21,66,60,124,38,58,96,119,96,209,228,263,483,1902,1759,3659,157,100,257,174,183,356,43,32,74,31,42,77,18,16,30,2327,2198,4523,650,621,1270
POA6006,4323,4425,8744,258,227,493,470,425,890,174,179,348,256,292,545,832,842,1670,678,684,1360,641,620,1267,477,473,948,286,252,538,173,256,431,83,176,261,4100,4260,8356,223,165,387,19,20,45,3,0,3,0,0,0,25,20,41,2701,2710,5409,1330,1443,2777,3175,3134,6311,866,1002,1874,3581,3686,7266,58,50,103,438,402,843,137,148,286,103,123,227,196,227,418,2421,2464,4880,199,203,405,409,383,794,91,96,184,127,239,367,27,38,68,3865,3974,7841,309,361,665
POA6007,3482,3653,7130,222,168,394,312,283,590,119,170,288,238,273,509,901,893,1790,593,564,1151,400,412,813,339,357,695,233,259,494,90,160,242,44,110,153,3269,3476,6751,210,174,380,18,14,29,0,0,3,0,0,0,21,12,36,2029,2106,4131,1171,1252,2427,2623,2714,5341,575,650,1231,2644,2787,5434,56,38,96,282,261,538,83,110,197,93,109,198,186,234,421,2198,2273,4472,160,172,333,225,289,516,35,52,91,46,84,132,6,18,25,3078,3175,6250,303,408,706
POA6008,7348,7800,15144,435,424,858,829,800,1629,334,353,686,432,473,904,1247,1329,2575,1041,1107,2146,949,1033,1977,903,960,1865,760,747,1509,330,390,721,97,185,277,6931,7429,14361,413,374,787,35,48,90,0,6,4,7,4,9,40,60,99,4176,4392,8567,2612,2810,5425,5651,5818,11470,1140,1391,2530,5618,5995,11610,102,91,192,788,738,1525,284,312,596,238,247,477,333,456,785,4543,4775,9317,325,356,684,482,613,1098,109,120,230,88,96,185,8,15,19,6455,6881,13331,976,1286,2264
POA6009,9212,9320,18534,392,379,767,1193,1091,2286,824,873,1697,1326,1165,2488,1171,968,2137,912,1023,1927,1060,1123,2185,957,1073,2027,825,912,1735,407,451,854,157,275,433,8807,8988,17794,402,338,737,51,50,102,3,0,4,0,0,4,59,47,111,5116,5187,10299,3655,3714,7376,6596,6622,13214,2182,2295,4474,6952,7090,14040,107,109,223,1133,1052,2185,764,826,1585,1076,914,1990,683,568,1256,6302,6263,12564,268,326,594,401,586,983,155,150,307,63,87,153,9,14,25,7907,7974,15876,1648,1776,3420
POA6010,8200,8623,16825,397,329,723,1217,987,2203,740,576,1311,576,468,1042,861,868,1729,900,936,1835,1048,1277,2322,955,1120,2077,842,959,1802,481,654,1139,191,451,642,7738,8242,15986,464,374,837,58,17,74,0,3,3,3,0,6,61,26,87,5259,5452,10713,2408,2574,4977,6696,6965,13659,950,1070,2022,6784,7144,13931,106,95,205,1139,928,2070,661,512,1176,328,279,606,249,377,626,4768,5173,9940,393,407,793,604,801,1409,211,208,414,57,73,137,11,12,20,7139,7750,14887,899,779,1679
POA6011,4313,4703,9007,205,184,390,593,641,1226,270,387,653,257,255,509,499,565,1064,456,492,945,637,708,1342,636,635,1271,467,456,919,214,220,433,76,171,252,3989,4436,8422,318,264,584,8,49,55,0,0,0,0,0,0,8,49,58,2938,3209,6145,1067,1185,2248,3706,4054,7759,302,358,660,3609,3943,7551,52,40,96,557,600,1164,243,341,587,135,128,263,112,188,302,2691,2838,5528,161,237,390,257,339,605,82,131,214,39,46,83,0,0,3,3844,4137,7981,285,487,769
