POA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
POA6000,32,2167,949,430,2243,1,1827,1.9
POA6003,32,2041,970,400,2226,1,1765,1.9
POA6004,33,2167,992,435,2301,1,1868,1.9
POA6005,33,2000,1046,400,2331,1,1736,1.8
POA6006,37,2400,943,415,2616,0.8,2074,2.4
POA6007,34,2383,1128,430,2837,0.9,2163,2.2
POA6008,39,2500,1077,440,2858,0.9,2107,2.2
POA6009,34,3300,693,462,3369,0.8,2306,2.7
POA6010,43,2817,953,450,3131,0.8,2170,2.5
POA6011,42,3225,1204,550,3738,0.8,2782,2.5
POA6012,40,2700,894,320,2887,0.8,1864,2.4
POA6014,37,2500,949,340,2783,0.9,2021,2.6
POA6015,45,3033,1023,700,3675,0.7,2925,2.9
POA6016,34,2167,890,350,2471,0.9,1957,2.5
POA6017,33,1733,768,300,1565,0.9,1207,2
POA6018,38,2339,883,400,2424,0.8,1942,2.5
POA6019,35,2210,1025,400,2458,0.8,1941,2.3
POA6020,44,2210,871,420,2523,0.7,2138,2.7
POA6021,39,2000,713,370,1957,0.7,1570,2.5
POA6022,40,2000,749,400,1891,0.7,1614,2.6
POA6023,41,2167,819,450,2389,0.7,2142,2.8
POA6024,40,2000,737,400,1906,0.7,1662,2.6
POA6025,39,2031,793,400,2179,0.7,1881,2.7
POA6026,43,2000,746,450,2271,0.7,1986,2.8
POA6027,38,2000,749,400,2112,0.7,1822,2.7
POA6028,37,2167,810,430,2434,0.8,2289,3.1
POA6029,42,2650,988,495,2691,0.8,2230,2.7
POA6030,34,2000,690,380,1830,0.8,1629,2.8
POA6031,30,2123,806,400,2012,0.8,1902,3.1
POA6032,43,2342,782,238,1875,0.7,1833,2.6
POA6033,42,2084,690,100,2194,0.8,1875,3.2
POA6034,27,2363,973,350,2143,0.7,1982,2.7
POA6035,34,2050,691,350,1728,0.7,1511,2.8
POA6036,29,2136,753,360,1881,0.8,1715,2.9
POA6037,39,2000,582,340,1509,0.7,1276,2.6
POA6038,28,2249,930,360,2094,0.7,1942,2.8
POA6041,48,2000,481,300,1263,0.7,1093,2.5
POA6042,64,826,519,230,966,0.5,687,1.7
POA6043,53,1500,515,250,1050,0.7,843,2.1
POA6044,52,1674,555,240,1150,0.7,959,2.2
POA6050,39,2300,900,360,2665,0.8,1894,2.3
POA6051,34,1950,891,310,2055,0.9,1449,2
POA6052,37,2167,846,360,2283,0.8,1805,2.4
POA6053,38,2100,825,350,2208,0.8,1705,2.4
POA6054,38,1733,680,330,1741,0.8,1415,2.5
POA6055,32,2167,858,380,2078,0.8,1902,2.7
POA6056,39,1744,666,330,1664,0.8,1357,2.5
POA6057,37,1953,759,390,1870,0.7,1635,2.7
POA6058,37,1858,711,360,1714,0.7,1459,2.6
POA6059,41,2000,681,350,1878,0.7,1477,2.5
POA6060,36,1950,816,340,1911,0.8,1420,2.1
POA6061,32,1733,575,350,1358,0.8,1225,2.5
POA6062,39,1950,631,380,1644,0.8,1432,2.6
POA6063,34,1800,596,360,1590,0.8,1481,3
POA6064,35,1733,532,340,1414,0.8,1296,2.9
POA6065,33,2167,768,420,2080,0.8,1920,2.9
POA6066,35,1780,626,375,1701,0.8,1588,3
POA6067,28,0,417,0,0,0,0,0
POA6068,65,0,866,0,0,0.3,1374,1.5
POA6069,31,2167,815,390,1978,0.8,1849,3
