POA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
POA6000,0,0,0,0,136,136,21,0,0,3,569,593,517,26,38,3,1753,2333,439,53,73,0,495,1052,227,48,118,0,216,607,231,30,128,8,133,534,137,12,68,4,57,274,47,3,11,11,26,108,13,0,6,4,14,32,1621,167,437,34,3395,5660,3,0,0,0,154,157,39,0,0,0,684,728,582,34,46,0,1370,2041,366,30,84,0,328,802,193,31,109,9,139,473,194,14,90,22,46,368,100,12,50,40,26,222,23,0,28,43,8,109,3,0,0,54,3,56,1495,120,402,178,2760,4961,3,0,0,0,291,298,57,0,0,3,1251,1315,1100,59,82,3,3126,4376,803,79,157,0,821,1858,416,75,227,9,353,1083,422,42,213,31,177,895,233,17,114,43,84,492,74,5,42,54,38,215,10,0,6,61,20,92,3121,296,838,217,6162,10626
POA6003,0,0,0,0,33,35,8,0,0,0,144,157,128,3,6,0,569,713,104,10,22,0,184,319,55,9,51,0,85,200,62,16,43,3,40,160,39,0,19,0,33,88,18,0,3,3,7,38,3,0,3,0,0,9,423,47,143,10,1093,1716,0,0,0,0,38,38,11,0,0,0,169,188,181,13,16,0,494,704,92,8,27,0,124,250,54,3,34,0,40,137,59,8,39,12,36,146,23,0,20,14,9,70,9,0,5,19,0,35,0,0,0,13,0,18,428,40,135,55,916,1583,0,0,0,0,68,69,25,0,0,0,317,339,305,19,27,3,1064,1418,196,23,46,0,309,568,112,17,86,3,127,338,124,23,75,9,74,307,62,7,38,18,38,159,30,0,14,23,12,76,6,0,5,14,4,27,852,81,280,65,2004,3291
POA6004,0,0,0,0,142,140,28,4,0,0,506,540,581,23,29,3,1355,1990,367,15,54,0,394,830,308,40,94,5,156,595,323,35,110,18,105,585,209,14,87,7,58,377,79,11,17,19,30,158,14,0,6,12,3,40,1916,147,391,61,2746,5265,3,0,0,0,132,136,56,0,3,0,551,613,643,19,46,3,1110,1824,319,30,81,0,250,677,251,28,120,13,73,487,319,32,102,24,36,514,174,10,71,38,20,317,45,0,9,46,8,112,4,0,0,28,0,39,1809,116,437,162,2186,4707,3,3,0,0,266,278,81,4,3,0,1064,1155,1224,41,72,6,2465,3815,684,41,135,0,640,1507,558,67,211,19,227,1082,640,63,214,39,140,1097,384,26,154,51,74,694,126,13,32,67,43,277,21,0,4,43,10,70,3726,261,833,221,4933,9971
POA6005,0,0,0,0,53,53,3,0,0,3,266,273,247,18,12,0,774,1053,219,15,33,0,222,489,102,24,58,0,132,317,98,17,65,0,51,229,93,14,52,8,41,208,44,3,24,11,19,98,15,0,3,4,3,27,818,98,247,26,1557,2754,0,0,0,0,73,75,7,0,0,0,237,246,312,17,19,0,679,1029,155,10,39,0,174,384,91,21,47,3,85,253,85,10,63,10,34,208,71,9,48,28,13,169,26,6,25,25,7,90,8,0,8,72,3,88,761,69,255,139,1309,2537,0,0,0,0,122,125,12,0,0,3,500,519,562,32,30,4,1458,2086,378,28,74,0,394,876,194,45,106,4,214,570,184,33,131,10,88,437,163,23,103,29,55,380,69,10,52,40,24,188,20,3,12,70,10,115,1579,172,504,170,2865,5285
POA6006,0,0,0,0,174,174,3,0,0,0,252,256,182,7,10,0,635,832,389,7,30,0,242,678,376,22,74,4,172,641,284,9,73,5,101,477,171,12,51,9,37,286,106,6,18,30,20,173,43,0,3,32,6,83,1543,68,268,78,1640,3593,0,0,0,0,179,179,6,0,0,0,285,292,235,11,21,0,571,842,429,19,49,8,182,684,369,32,97,5,117,620,255,18,93,26,83,473,124,9,65,35,18,252,94,4,23,118,11,256,19,3,5,139,8,176,1545,89,354,336,1448,3770,0,0,0,0,350,348,16,0,0,0,534,545,416,21,29,0,1204,1670,822,25,81,8,424,1360,745,53,172,12,293,1267,535,26,172,29,179,948,297,14,114,41,56,538,202,10,44,146,33,431,58,3,10,172,12,261,3091,153,618,414,3085,7365
POA6007,0,0,0,0,119,119,7,0,0,0,226,238,210,7,6,0,682,901,316,12,35,4,224,593,205,23,56,0,122,400,195,12,53,8,73,339,161,9,28,4,29,233,54,0,7,18,6,90,20,0,7,16,7,44,1158,67,186,46,1491,2948,0,0,0,0,170,170,16,0,0,0,256,273,253,11,14,0,608,893,326,16,38,3,186,564,208,12,80,11,99,412,183,11,89,18,54,357,137,7,56,24,33,259,45,5,24,62,17,160,15,0,7,85,12,110,1192,59,309,203,1435,3196,0,0,0,0,288,288,29,0,0,0,482,509,462,15,25,4,1292,1790,640,26,66,7,410,1151,411,35,135,11,219,813,381,22,138,26,129,695,297,13,89,27,62,494,101,11,31,79,20,242,29,0,7,97,15,153,2354,127,496,248,2921,6148
POA6008,0,0,0,0,327,334,8,0,0,0,427,432,299,9,13,0,924,1247,647,23,29,3,330,1041,571,57,109,6,202,949,535,30,179,4,148,903,455,44,131,33,91,760,213,7,40,33,34,330,49,4,16,20,9,97,2785,174,531,99,2502,6088,0,0,0,0,354,353,9,0,0,0,465,473,415,22,21,0,868,1329,690,38,97,0,286,1107,639,46,159,9,177,1033,518,41,224,42,144,960,394,28,147,94,84,747,121,11,52,138,57,390,23,3,14,104,33,185,2814,180,725,397,2464,6579,0,0,0,0,683,686,17,0,0,0,895,904,710,22,39,0,1797,2575,1336,56,133,3,613,2146,1213,100,275,16,380,1977,1056,68,407,47,285,1865,850,71,281,125,174,1509,338,22,97,174,89,721,76,6,27,126,46,277,5591,351,1254,495,4969,12661
POA6009,3,0,0,0,817,824,12,0,0,3,1311,1326,294,3,9,0,862,1171,664,16,16,0,211,912,852,16,71,7,118,1060,767,24,94,8,64,957,683,10,71,25,36,825,326,5,32,28,17,407,87,4,5,46,9,157,3687,88,305,121,3433,7627,3,0,0,0,876,873,18,0,0,0,1146,1165,359,7,21,0,580,968,793,23,36,4,161,1023,885,43,90,9,92,1123,787,40,125,35,86,1073,637,14,126,82,47,912,233,14,35,154,15,451,40,0,16,207,10,275,3753,140,451,496,3010,7848,9,0,0,0,1694,1697,23,0,0,4,2453,2488,654,10,31,0,1436,2137,1460,45,59,3,370,1927,1731,63,161,13,208,2185,1553,57,216,43,151,2027,1322,30,198,104,84,1735,555,20,64,177,32,854,126,4,25,252,16,433,7437,230,756,610,6443,15476
POA6010,3,0,0,0,739,740,5,0,0,0,569,576,197,10,8,0,652,861,643,18,28,3,206,900,788,37,79,4,134,1048,682,28,134,7,105,955,638,20,102,28,59,842,365,3,40,45,33,481,122,3,7,57,3,191,3440,111,401,147,2495,6595,0,0,0,0,576,576,9,3,3,0,450,468,309,15,5,0,533,868,691,24,67,5,151,936,903,53,178,17,122,1277,692,46,252,37,93,1120,564,20,187,127,53,959,288,7,102,224,34,654,53,0,38,339,18,451,3515,160,840,757,2036,7303,3,0,0,0,1308,1311,11,4,4,0,1018,1042,508,24,16,0,1185,1729,1339,35,102,8,357,1835,1697,90,257,24,260,2322,1375,73,388,44,200,2077,1199,37,292,159,111,1802,650,8,139,271,62,1139,173,3,46,394,25,642,6952,277,1240,898,4532,13899
POA6011,0,0,0,0,270,270,0,0,0,0,257,257,89,3,7,0,396,499,293,16,19,0,133,456,468,13,57,0,93,637,474,19,75,7,61,636,361,18,51,14,28,467,170,3,16,21,10,214,43,3,8,25,4,76,1897,71,233,65,1250,3513,3,0,0,0,383,387,0,0,0,0,251,255,152,6,5,0,404,565,333,9,32,6,109,492,518,24,65,15,79,708,443,16,100,19,53,635,302,5,75,51,22,456,104,0,26,75,10,220,27,0,13,127,10,171,1894,60,326,292,1303,3876,3,0,0,0,656,653,0,0,0,0,508,509,238,5,16,0,796,1064,629,23,55,5,244,945,993,40,123,15,173,1342,922,36,177,25,112,1271,660,21,126,65,44,919,273,7,46,97,18,433,68,3,20,148,9,252,3790,134,561,352,2555,7394
