POA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
POA6000,0,6,98,105,10,77,339,430,346,444,929,1713,294,152,312,761,144,73,213,427,149,35,206,388,94,15,79,186,38,4,31,80,8,3,11,16,1078,805,2218,4104,0,13,94,107,28,120,364,512,433,457,682,1575,261,104,249,611,140,40,162,341,137,29,107,275,78,8,90,174,20,0,50,73,0,0,30,27,1104,761,1832,3702,0,12,197,213,39,195,708,942,783,902,1609,3288,555,252,560,1375,288,114,372,769,286,64,316,663,170,22,168,360,57,3,90,151,3,3,34,48,2187,1570,4054,7803
POA6003,0,0,21,27,4,17,81,105,92,154,286,524,78,44,114,238,38,25,76,146,52,26,45,125,36,8,43,80,14,0,14,29,3,0,5,9,315,273,689,1276,0,3,23,28,8,31,113,152,120,165,248,534,66,30,96,195,42,18,38,106,46,19,54,123,24,0,36,58,12,0,22,32,0,0,11,11,317,263,649,1228,0,5,45,51,13,49,197,260,213,318,535,1059,145,72,211,431,82,43,123,244,99,41,98,243,59,3,79,140,21,0,31,59,3,0,19,19,636,537,1332,2502
POA6004,0,3,108,112,21,66,345,433,391,372,772,1537,262,104,267,632,223,61,184,465,235,42,170,445,162,16,110,291,58,3,42,103,6,0,16,23,1363,667,2017,4043,0,6,100,107,34,109,341,489,494,366,609,1467,253,77,223,551,207,51,135,392,236,30,137,400,143,5,115,264,39,3,48,92,3,0,15,19,1403,647,1728,3773,0,10,209,219,58,178,688,914,884,738,1382,3002,510,179,494,1185,424,112,324,862,466,70,305,844,309,26,228,554,101,6,94,194,11,0,30,44,2765,1311,3748,7821
POA6005,0,0,44,41,3,39,168,212,181,243,418,842,161,64,166,390,67,27,141,234,72,18,92,189,62,17,75,150,34,3,35,68,7,0,9,17,580,414,1151,2139,0,0,58,56,6,64,140,206,254,234,360,843,116,46,141,309,71,20,104,195,71,13,97,180,56,4,65,119,20,0,40,59,3,0,29,25,591,397,1023,2005,0,3,96,102,10,99,307,419,432,480,779,1692,274,115,307,699,138,50,245,428,142,36,186,366,115,22,137,273,50,3,73,126,9,0,36,41,1168,806,2166,4145
POA6006,0,3,157,161,3,29,203,230,142,169,403,720,340,102,154,598,335,80,149,566,251,42,120,416,153,13,69,237,89,0,55,141,32,0,21,53,1345,445,1332,3127,0,0,173,175,5,32,225,257,209,176,353,735,398,102,129,623,337,79,157,569,227,37,144,411,118,4,99,222,80,0,121,207,6,0,92,98,1374,435,1493,3299,0,5,331,339,6,58,427,490,355,344,759,1457,733,202,286,1222,666,161,304,1136,477,83,259,822,271,21,167,461,169,3,173,348,35,0,114,153,2719,878,2830,6419
POA6007,0,0,94,94,3,25,165,192,176,216,376,764,277,85,148,511,188,59,117,367,176,40,86,300,125,5,56,191,51,6,25,72,15,0,16,33,1001,442,1080,2524,0,0,101,100,11,35,176,228,219,232,329,776,290,76,146,507,193,57,122,378,162,25,139,330,107,9,95,210,34,0,72,114,7,0,54,55,1018,436,1234,2694,0,0,197,199,16,63,341,417,399,445,704,1544,564,159,291,1017,381,121,244,741,335,67,228,629,234,19,147,400,83,5,96,185,15,0,68,88,2022,877,2309,5215
POA6008,0,0,307,305,8,39,344,384,243,290,514,1054,562,116,219,891,500,113,205,818,462,69,238,768,398,43,203,646,166,9,87,263,37,3,22,64,2381,684,2135,5198,0,0,325,326,3,64,339,409,348,291,477,1116,619,132,247,998,575,107,273,951,453,65,323,843,343,23,269,629,96,6,191,292,17,4,88,104,2455,686,2526,5667,0,3,626,630,14,101,682,800,594,586,994,2171,1179,245,466,1886,1073,216,484,1767,915,136,555,1608,738,66,468,1276,266,18,273,554,53,3,115,174,4833,1372,4659,10866
POA6009,0,0,555,555,7,34,837,871,221,113,638,970,598,66,161,822,772,52,139,959,680,54,124,865,623,29,87,746,286,14,59,353,73,0,45,115,3257,361,2639,6251,0,0,534,534,8,46,638,694,298,113,386,801,731,53,170,956,810,70,185,1065,678,37,238,951,554,21,240,814,204,3,200,401,32,0,140,179,3315,351,2729,6392,0,0,1089,1092,18,83,1472,1567,518,222,1025,1769,1330,122,330,1775,1583,123,325,2025,1361,93,362,1814,1177,53,332,1554,487,15,254,751,105,3,187,292,6565,712,5364,12645
POA6010,0,0,573,569,0,24,486,514,166,138,371,669,562,74,125,760,697,72,141,914,598,67,165,829,559,44,137,740,303,19,93,416,98,3,50,150,2982,449,2137,5565,0,3,485,485,6,37,347,395,278,154,315,747,632,77,151,857,812,84,266,1163,615,61,321,997,495,28,326,847,239,11,301,556,41,0,279,323,3117,460,2799,6369,0,3,1052,1059,11,68,833,907,439,290,689,1421,1191,153,273,1615,1510,155,411,2079,1215,129,484,1827,1054,70,465,1588,544,33,395,971,139,3,333,474,6098,907,4938,11941
POA6011,0,0,253,253,0,11,213,228,74,95,239,406,255,64,79,402,400,53,94,547,403,43,100,545,303,25,62,396,137,9,35,183,39,3,22,60,1605,306,1098,3021,0,0,279,279,0,22,195,213,126,116,225,468,315,60,74,453,460,50,119,633,379,29,143,557,255,24,125,401,92,4,95,189,22,3,91,114,1650,307,1349,3308,0,0,534,539,0,35,409,444,203,212,467,877,569,127,155,857,858,104,212,1177,784,76,243,1100,555,45,188,795,235,15,128,370,57,3,111,174,3260,618,2454,6329
