POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA6000,83,291,221,1082,23,1699,0,3,0,28,0,34,1257,17,14,15,9,1313,42,8,3,22,0,69,64,15,10,22,0,119,1165,292,181,1041,36,2719,158,9,15,0,0,184,136,11,4,11,5,164,198,23,16,105,0,342,48,9,8,31,0,91,19,6,0,4,0,30,390,10,3,0,3,403,435,58,47,388,11,939,394,52,23,155,6,633,248,0,0,0,7,253,17,0,3,0,0,16,24,0,0,0,0,28,6,3,0,6,0,9,54,6,3,3,0,66,82,10,13,4,0,113,103,11,3,10,0,125,42,0,0,6,0,50,331,73,42,274,6,732,39,3,0,0,0,49,73,0,3,0,0,74,86,4,3,9,0,101,39,0,3,0,0,46,20,0,0,0,0,18,209,3,4,0,0,219,55,3,6,24,0,85,1730,63,64,74,6,1941,63,6,6,21,1695,1794,6418,565,410,2240,1790,11425
POA6003,22,109,74,391,8,602,0,0,0,5,0,5,288,6,9,3,7,309,11,0,0,11,0,26,21,4,3,13,0,46,323,108,72,347,11,862,37,0,3,0,0,39,40,0,3,3,0,50,47,3,7,39,3,110,13,3,0,6,0,23,6,0,0,0,0,10,69,0,0,0,0,65,135,17,16,151,0,325,134,18,15,59,0,222,107,0,0,0,3,110,0,0,0,3,0,5,15,0,0,3,3,24,0,3,0,3,0,6,15,3,0,0,0,21,17,0,0,3,0,25,19,5,0,6,0,27,5,0,0,3,0,12,88,25,25,104,3,242,31,0,0,3,0,31,17,3,0,0,0,26,14,0,3,0,0,20,10,0,0,0,0,7,10,0,0,0,0,10,50,0,0,3,0,57,17,3,0,3,0,27,422,21,15,22,3,490,15,0,0,4,637,660,1700,203,152,785,664,3509
POA6004,87,192,189,836,16,1315,0,0,0,15,0,12,1296,11,28,3,9,1349,39,4,0,9,0,52,68,11,10,21,0,118,1089,202,167,799,25,2278,130,0,13,0,3,144,122,4,0,6,0,132,132,11,11,82,6,250,41,7,6,12,0,72,28,0,0,3,0,29,548,5,0,0,8,562,388,56,34,283,9,775,288,42,26,80,6,445,312,0,3,0,3,321,10,0,3,3,0,13,14,4,0,3,0,23,8,0,0,3,0,15,39,0,0,0,0,42,63,10,4,0,0,78,92,4,5,14,0,113,76,0,0,4,0,86,295,52,39,234,8,629,38,0,0,3,0,37,68,0,4,0,0,68,99,0,0,3,3,112,45,0,0,0,4,50,19,0,0,0,0,19,112,6,0,0,3,121,46,6,0,14,0,66,1839,48,53,67,14,2018,36,0,3,10,1496,1551,6503,413,352,1740,1584,10596
POA6005,21,150,123,560,20,879,0,0,0,4,0,4,422,12,14,7,3,456,24,0,0,9,0,32,56,7,8,23,7,100,627,172,115,545,15,1467,64,0,7,0,0,71,61,0,0,8,0,70,104,17,7,49,0,179,35,8,0,19,4,70,9,0,0,0,0,15,232,5,0,0,0,241,232,39,34,229,4,540,173,35,6,91,10,317,99,0,0,0,0,99,11,0,0,0,0,11,9,3,0,10,0,17,7,3,0,3,0,7,16,0,0,0,0,18,39,0,6,3,0,52,45,10,5,6,0,67,24,0,0,3,0,32,190,35,34,179,5,439,22,0,0,0,0,24,48,0,0,0,0,53,75,4,0,5,0,89,18,0,0,0,0,14,8,0,0,0,0,12,42,3,0,0,0,40,35,0,3,8,0,46,810,30,33,43,8,925,24,0,0,11,837,867,2968,319,230,1214,897,5624
POA6006,68,407,285,1574,17,2356,3,0,0,0,0,4,335,14,26,17,3,388,52,21,4,34,0,115,86,24,21,42,3,184,920,350,258,1139,21,2683,40,6,8,0,0,49,54,4,0,9,0,73,108,37,22,111,3,279,141,38,7,53,3,241,13,8,0,0,3,27,92,14,10,6,0,121,335,104,67,488,4,999,605,124,65,282,16,1086,52,0,9,0,0,54,5,0,4,0,0,8,133,8,6,31,0,188,19,3,0,4,0,34,22,0,0,0,0,24,58,16,12,3,0,85,63,12,9,23,4,103,18,0,3,5,0,28,272,78,55,350,11,763,31,0,3,0,3,38,51,4,4,0,0,64,32,3,4,7,0,46,15,0,0,0,0,22,9,0,0,0,0,15,230,3,0,11,0,244,30,13,9,27,0,82,673,83,69,98,3,931,20,3,7,22,610,664,3760,818,548,2936,682,8744
POA6007,53,329,290,1201,19,1896,0,0,0,3,0,3,275,16,22,8,4,322,25,7,11,22,0,60,69,22,14,30,0,132,901,327,228,994,21,2468,33,0,3,0,0,32,66,5,8,8,0,85,91,18,17,121,0,251,41,20,7,46,0,122,9,0,0,6,0,12,158,5,7,4,0,175,400,70,55,417,14,957,302,77,33,143,12,567,34,0,0,0,0,33,9,0,0,0,0,9,12,5,3,7,0,27,7,0,0,3,0,5,15,0,0,0,0,12,48,16,17,5,0,82,48,3,4,8,0,70,17,0,7,3,0,29,295,74,62,315,10,744,20,0,0,3,0,28,40,6,11,0,0,60,33,0,3,7,0,46,26,3,0,8,0,35,3,0,0,0,0,3,63,0,0,0,0,62,44,13,5,24,0,87,569,52,72,57,3,756,14,0,3,15,586,615,2988,637,509,2350,651,7130
POA6008,143,789,525,2682,47,4181,0,0,0,12,0,11,785,42,42,34,3,911,60,25,7,54,0,145,185,44,34,54,0,311,2149,752,440,2379,52,5778,80,0,7,0,0,85,162,20,10,32,0,229,232,54,51,213,4,558,55,33,7,64,0,163,40,4,5,5,0,57,314,13,14,7,0,350,659,183,93,969,8,1914,266,99,38,196,6,603,77,0,0,0,0,85,10,0,3,7,0,23,8,8,3,11,0,31,9,6,7,7,0,26,19,7,0,0,0,24,90,36,16,0,5,139,118,11,15,26,0,176,51,10,9,3,0,72,580,175,105,702,12,1570,42,0,4,5,0,49,119,8,11,3,0,140,68,3,4,17,0,97,37,5,7,0,0,55,26,0,3,0,0,27,61,0,0,3,0,67,82,15,4,41,0,136,1368,156,135,116,10,1781,51,12,3,35,1100,1199,6355,1411,929,5227,1222,15144
POA6009,144,842,702,3226,34,4955,0,3,10,11,0,29,2939,78,108,58,16,3195,53,9,11,46,3,121,173,39,17,61,0,293,2029,696,572,2946,52,6290,58,4,3,0,3,65,132,13,18,27,0,196,246,43,42,252,3,585,84,41,16,88,3,231,27,7,3,4,0,43,504,25,19,19,8,581,455,163,136,1128,10,1897,218,105,52,285,4,662,57,0,4,0,0,60,17,4,3,8,0,35,12,3,0,16,0,34,12,4,0,4,0,21,13,3,4,0,0,21,80,42,15,7,3,153,87,19,16,25,0,144,52,3,8,4,3,73,594,177,161,871,16,1819,10,0,0,0,0,12,188,21,8,3,0,222,47,5,12,3,0,65,123,9,3,0,0,136,8,0,0,0,0,9,110,0,13,3,0,122,81,20,16,43,3,155,1684,150,161,146,15,2154,32,9,7,46,786,880,8607,1451,1205,6347,923,18534
POA6010,119,828,679,3712,64,5406,0,0,0,8,0,8,689,25,55,28,5,794,62,24,11,37,3,128,149,41,21,42,3,260,2267,733,603,3335,65,7003,33,5,10,3,0,48,96,3,12,29,3,149,232,41,43,242,9,568,55,22,12,63,0,148,27,8,12,10,0,50,265,20,13,15,0,307,527,162,117,1246,11,2068,192,74,52,277,6,594,39,3,0,0,0,43,23,0,5,4,0,25,7,0,4,8,0,17,14,3,0,0,0,19,10,0,4,0,0,14,92,18,16,7,0,135,121,18,15,21,3,176,64,9,3,10,0,78,610,196,130,1090,23,2048,15,0,0,0,0,20,187,17,27,0,0,238,56,0,5,13,0,79,47,12,4,3,0,69,15,0,0,0,0,15,34,0,4,0,0,37,88,23,11,54,5,187,1065,151,178,168,8,1563,41,10,9,32,1088,1184,5718,1429,1177,7257,1248,16825
POA6011,70,469,378,2065,18,3002,0,0,0,4,0,7,126,7,17,3,0,156,24,7,12,46,0,83,92,25,15,29,0,159,1168,443,340,2145,45,4145,5,0,0,0,0,5,95,8,11,18,0,133,120,26,18,188,8,354,30,25,7,49,0,112,12,3,3,0,0,25,62,13,3,6,0,88,335,113,72,773,20,1313,124,59,28,146,4,362,3,0,8,0,0,7,3,3,0,12,0,23,11,0,0,3,0,11,0,3,0,0,0,3,3,0,0,0,0,8,45,17,15,0,0,77,44,7,7,18,0,78,12,0,0,9,0,19,308,103,90,671,12,1172,8,0,4,0,0,11,81,10,17,7,0,118,12,8,0,10,0,28,13,7,3,3,0,26,5,0,0,0,0,9,6,0,3,0,0,12,34,17,9,32,0,89,424,99,77,81,0,681,4,0,0,17,561,585,2511,851,636,4376,637,9007
