POA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
POA6000,0,0,0,8,0,0,0,0,0,8,159,85,250,1180,252,201,83,39,8,2247,0,0,6,7,0,0,0,0,0,14,0,0,4,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,3,11,17,3,4,0,0,0,36,0,0,0,8,0,0,0,0,0,11,5,3,65,91,15,14,5,3,0,206,0,0,0,6,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,7,0,3,27,182,55,55,44,13,6,378,0,0,0,0,0,0,0,0,0,3,0,3,13,45,8,0,0,0,0,71,0,0,5,23,0,0,3,0,0,32,0,0,0,3,0,0,7,0,0,11,0,3,21,35,3,3,0,0,0,66,10,10,13,119,7,9,9,0,0,167,0,3,12,34,0,0,3,0,0,62,0,0,4,34,5,0,0,0,0,43,0,0,0,3,0,0,0,0,0,5
POA6003,0,0,0,0,0,0,0,0,0,0,30,34,76,370,78,71,36,5,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,3,4,12,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,7,40,23,14,9,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,20,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,3,0,0,3,18,0,0,0,0,0,17,0,3,0,20,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3
POA6004,0,0,0,0,0,0,0,0,0,3,113,63,205,716,219,245,138,51,8,1767,0,0,0,12,3,3,0,0,0,20,0,0,0,7,3,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,9,0,0,0,9,0,4,0,0,0,15,0,5,63,74,18,8,7,3,0,181,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,3,34,163,84,68,43,23,3,423,0,0,0,0,0,0,0,0,0,4,0,0,4,35,7,0,0,0,0,46,0,0,0,19,7,3,6,0,0,34,0,0,0,4,0,0,3,0,0,9,0,0,15,27,3,6,0,0,0,50,10,7,11,160,11,6,8,4,0,217,0,0,7,27,0,0,0,4,0,41,0,0,4,56,6,3,0,0,0,76,0,0,0,3,3,3,0,0,0,11
POA6005,0,0,0,0,3,0,0,0,0,3,57,41,125,561,123,93,78,31,6,1116,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,12,0,0,0,3,0,0,0,0,0,5,0,0,25,24,6,3,3,0,0,64,0,0,0,0,3,0,0,5,0,8,0,0,0,0,0,3,0,0,0,3,0,0,18,88,22,34,24,10,0,198,0,0,0,0,0,0,0,0,0,3,0,0,4,14,3,0,0,0,0,23,0,0,3,10,3,0,3,4,0,22,0,0,0,0,0,4,3,3,3,10,0,0,4,6,4,3,0,0,0,15,6,3,4,67,8,0,4,0,0,92,0,0,4,3,0,0,0,0,0,8,0,0,0,27,6,0,0,0,0,38,0,0,0,3,0,0,0,0,0,7
POA6006,0,0,0,0,0,0,0,0,0,3,234,416,346,901,379,271,105,41,9,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,3,0,3,5,11,5,6,0,0,0,26,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,3,0,5,11,86,65,36,38,9,4,255,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,14,0,0,4,5,5,0,6,6,4,30,0,0,0,0,3,0,11,18,3,33,0,0,0,4,0,0,0,0,0,4,0,3,0,17,4,3,3,4,0,37,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7
POA6007,0,0,0,0,0,0,0,0,0,0,194,246,248,781,221,183,105,33,15,2029,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,0,16,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,5,4,6,19,107,54,54,35,8,3,291,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,3,0,8,0,0,0,10,0,0,0,0,0,7,0,5,0,37,4,7,3,0,0,58,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3
POA6008,0,0,0,0,0,0,0,0,0,0,350,567,520,1160,469,515,394,149,51,4176,0,0,0,5,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,4,15,8,5,3,0,0,47,0,0,0,0,3,3,6,0,0,13,3,13,25,38,4,6,8,0,0,91,0,0,0,0,0,3,3,0,0,12,0,3,0,0,0,0,0,0,0,7,10,52,35,179,156,130,114,47,12,733,0,0,0,0,0,0,0,0,0,0,3,8,3,32,7,3,4,0,0,59,0,7,3,10,10,4,3,3,0,41,0,0,0,0,0,0,0,0,0,0,0,8,3,18,8,3,0,3,0,41,0,15,3,44,14,9,9,6,0,105,0,0,0,5,0,3,0,0,0,13,0,5,3,17,5,7,0,0,0,32,0,0,0,0,0,0,0,0,0,3
POA6009,0,0,0,0,0,0,0,0,0,0,326,900,1181,905,552,496,434,232,78,5116,0,0,0,13,0,3,0,0,0,20,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,11,11,4,11,6,0,0,46,0,0,0,3,0,0,0,0,0,4,4,8,315,233,34,11,15,5,3,626,0,0,0,0,0,0,3,0,0,4,0,0,0,4,0,3,0,3,0,4,8,43,71,96,117,112,100,38,12,588,0,0,0,3,0,0,0,0,0,3,0,5,3,10,4,7,3,0,0,36,0,5,4,10,8,3,5,6,0,33,0,0,0,0,3,7,0,3,0,10,7,11,18,18,15,3,12,4,0,87,0,3,31,45,21,17,15,7,0,144,7,10,21,48,4,8,4,3,0,109,0,0,4,16,5,0,0,0,0,31,4,3,0,14,5,0,0,0,0,32
POA6010,0,0,0,0,0,0,0,0,0,0,350,913,907,1069,577,523,492,294,123,5259,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,8,17,5,8,4,0,0,59,0,0,3,3,0,0,0,0,0,16,0,19,60,23,10,4,6,3,0,131,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,3,7,0,0,11,3,59,64,108,125,116,119,66,23,681,0,0,0,6,0,0,0,0,0,5,0,10,6,13,3,0,0,0,0,35,0,4,6,7,5,8,13,3,0,51,0,0,0,0,0,0,0,0,0,0,5,10,21,7,0,5,3,0,0,42,0,5,8,29,17,7,4,3,0,67,0,3,0,0,0,3,3,4,0,14,0,0,0,5,3,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0
POA6011,0,0,0,0,0,0,0,0,0,0,163,470,431,581,390,414,292,153,47,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,7,6,0,0,0,27,0,0,0,0,3,0,0,0,0,8,0,0,0,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,43,20,82,82,56,70,18,14,397,0,0,0,0,0,0,0,0,0,0,3,0,4,10,0,5,0,0,0,22,0,0,0,5,4,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,16,0,0,0,12,3,3,3,3,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
